target,target_class,protocol,n_compounds,n_docked,n_actives,n_decoys,roc_auc,roc_auc_ci_lo,roc_auc_ci_hi,bedroc_20,ef_1pct,ef_5pct,ef_10pct,log_auc,aupr
fpr2,GPCR,naive,4880,4632,89,4543,0.719284,0.662795,0.765712,0.141865,3.322018,2.467648,2.243317,0.252794,0.044969
fpr2,GPCR,skill,4880,4082,93,3989,0.698022,0.647186,0.741247,0.093419,0.000000,1.070548,1.931698,0.219168,0.039931
egfr,kinase,naive,4665,3100,88,3012,0.575173,0.508251,0.640680,0.135934,3.409091,2.272727,2.159091,0.198410,0.046191
egfr,kinase,skill,4665,1984,46,1938,0.612005,0.514623,0.694249,0.108073,0.000000,2.156522,2.167359,0.200028,0.037441
cdk2,kinase,naive,4863,2840,78,2762,0.571729,0.505493,0.636932,0.124970,3.766578,2.051282,1.794872,0.189404,0.040893
cdk2,kinase,skill,4863,2266,56,2210,0.535423,0.448140,0.618147,0.107263,3.518634,1.774749,1.426054,0.175636,0.033808
cox2,enzyme,naive,4733,3031,80,2951,0.590635,0.518855,0.658593,0.131555,3.666532,2.243339,2.243339,0.203059,0.043393
cox2,enzyme,skill,4733,2033,20,2013,0.663661,0.517666,0.782227,0.144531,0.000000,2.989706,2.491422,0.237527,0.022940
esr1,nuclear_receptor,naive,4811,3437,97,3340,0.564374,0.503633,0.625289,0.135633,3.037113,2.472069,2.060058,0.192550,0.044098
esr1,nuclear_receptor,skill,4811,2441,46,2395,0.597558,0.513303,0.673561,0.074695,0.000000,1.294274,1.732742,0.178383,0.025545
dpp4,serine_protease,naive,4475,2524,40,2484,0.544837,0.446774,0.633689,0.080726,2.426923,1.490551,1.247036,0.169140,0.021257
dpp4,serine_protease,skill,4475,1830,59,1771,0.512810,0.436232,0.587903,0.081268,1.632471,1.685704,0.847458,0.153163,0.037558
ache,hydrolase,naive,3578,2531,78,2453,0.445389,0.373995,0.521425,0.081438,1.248028,1.022007,1.277509,0.138420,0.031910
ache,hydrolase,skill,3578,1661,33,1628,0.510777,0.385230,0.625659,0.156726,8.882353,2.996032,1.506986,0.198335,0.046548
bace1,aspartyl_protease,naive,4420,2620,19,2601,0.626621,0.498431,0.737574,0.114867,10.214425,2.105263,1.052632,0.221193,0.023557
bace1,aspartyl_protease,skill,4420,1957,42,1915,0.497004,0.401441,0.590615,0.081743,2.329762,0.950923,1.426385,0.157705,0.034917
hsp90,chaperone,naive,4659,2520,59,2461,0.533626,0.461706,0.603961,0.090368,4.928292,1.355932,1.016949,0.166978,0.032062
hsp90,chaperone,skill,4659,2200,49,2151,0.530935,0.440612,0.617500,0.085959,0.000000,1.632653,1.428571,0.164330,0.027582
p38,kinase,naive,4939,2854,99,2755,0.657303,0.599858,0.708801,0.153480,3.976315,2.419157,1.915166,0.232146,0.070900
p38,kinase,skill,4939,2159,62,2097,0.651045,0.576786,0.717401,0.133984,1.582845,2.579450,2.257019,0.217448,0.050321
thrombin,serine_protease,naive,4368,2026,60,1966,0.695168,0.620312,0.758232,0.182734,4.823810,2.979412,2.495074,0.251551,0.067722
thrombin,serine_protease,skill,4368,1667,37,1630,0.621124,0.512696,0.716132,0.095298,0.000000,2.145431,1.618709,0.200963,0.036393
