target,target_class,delta_auc,ci_low,ci_high,se,z_stat,p_value
fpr2,GPCR,-0.007947,-0.038688,0.022794,0.015684,-0.506720,0.612351
egfr,kinase,0.001744,-0.058269,0.061758,0.030619,0.056973,0.954567
cdk2,kinase,-0.014889,-0.074204,0.044427,0.030263,-0.491970,0.622741
cox2,enzyme,0.129249,0.024521,0.233977,0.053433,2.418920,0.015567
esr1,nuclear_receptor,-0.008814,-0.052154,0.034527,0.022113,-0.398582,0.690201
dpp4,serine_protease,-0.049810,-0.103432,0.003812,0.027358,-1.820664,0.068658
ache,hydrolase,0.156763,0.049685,0.263842,0.054632,2.869446,0.004112
bace1,aspartyl_protease,-0.192150,-0.449767,0.065466,0.131437,-1.461923,0.143762
hsp90,chaperone,-0.008646,-0.107475,0.090183,0.050423,-0.171470,0.863854
p38,kinase,-0.003724,-0.058050,0.050602,0.027717,-0.134371,0.893109
thrombin,serine_protease,-0.056399,-0.168186,0.055387,0.057034,-0.988875,0.322724
