target,naive_auc_full,skill_auc_post,skill_auc_proxy_full,delta_proxy_minus_naive,delta_post_minus_naive,n_actives_proxy,n_decoys_proxy
ache,0.4435,0.5043,0.4759,0.0324,0.0609,87,2733
bace1,0.6265,0.5283,0.5795,-0.047,-0.0982,50,3211
cdk2,0.5716,0.5506,0.5706,-0.001,-0.021,87,3422
cox2,0.6069,0.6526,0.6095,0.0026,0.0457,66,3330
dpp4,0.5445,0.5079,0.5429,-0.0016,-0.0366,77,3113
egfr,0.5751,0.6296,0.5772,0.0022,0.0546,90,3362
esr1,0.5639,0.6016,0.5475,-0.0164,0.0378,96,3831
fpr2,0.7192,0.6853,0.7008,-0.0184,-0.0339,93,4551
hsp90,0.5335,0.5336,0.5154,-0.0181,0.0002,78,3170
p38,0.6569,0.6491,0.6506,-0.0063,-0.0078,98,3402
thrombin,0.695,0.6329,0.6475,-0.0475,-0.0621,75,2655
