target,auc_naive_full,auc_skill_post_filter,auc_skill_ablation_full,delta_ablation_minus_naive,delta_post_minus_naive,n_compounds_skill_ablation,n_added_from_ablation,intersection_n,delong_delta,delong_se,delong_p
ache,0.4435,0.5108,0.4777,0.0342,0.0673,2939,1278,2285,0.0388,0.023353,0.0969
bace1,0.6265,0.497,0.5134,-0.1131,-0.1295,3458,1501,2275,-0.1081,0.060031,0.0718
cdk2,0.5716,0.5354,0.5545,-0.0171,-0.0362,3625,1359,2407,-0.0195,0.02675,0.4655
cox2,0.6069,0.6637,0.5977,-0.0092,0.0567,3797,1764,2684,0.0394,0.030726,0.2003
dpp4,0.5445,0.5128,0.515,-0.0295,-0.0317,3444,1614,2181,-0.0518,0.026758,0.0531
egfr,0.5751,0.612,0.5173,-0.0577,0.0369,3606,1622,2634,-0.0334,0.018401,0.0697
esr1,0.5639,0.5976,0.5822,0.0184,0.0337,4100,1659,3119,-0.0013,0.019285,0.9452
hsp90,0.5335,0.5309,0.5646,0.0311,-0.0025,3599,1399,2190,0.0266,0.034172,0.4361
p38,0.6569,0.651,0.6455,-0.0114,-0.0059,3948,1789,2555,-0.0141,0.019271,0.4629
thrombin,0.695,0.6211,0.6287,-0.0663,-0.0739,3203,1536,1747,-0.0744,0.056628,0.1891
