target,n_compounds,n_naive_docked,n_skill_docked,n_filtered,n_actives_filtered,naive_full_pct,skill_post_pct,skill_full_pct,filter_lib_pct,filter_act_pct
ache,3578,2531,1661,1776,67,70.74,92.18,46.42,49.64,67.0
bace1,4420,2620,1957,2267,58,59.28,90.9,44.28,51.29,58.0
cdk2,4863,2840,2266,2356,44,58.4,90.39,46.6,48.45,44.0
cox2,4733,3031,2033,2380,60,64.04,86.4,42.95,50.29,60.0
dpp4,4475,2524,1830,2526,41,56.4,93.89,40.89,56.45,41.0
egfr,4665,3100,1984,2358,54,66.45,86.0,42.53,50.55,54.0
esr1,4811,3437,2441,2189,54,71.44,93.1,50.74,45.5,54.0
fpr2,4880,4632,4082,762,1,94.92,99.13,83.65,15.61,1.0
hsp90,4659,2520,2200,2181,51,54.09,88.78,47.22,46.81,51.0
p38,4939,2854,2159,2618,38,57.78,93.02,43.71,53.01,38.0
thrombin,4368,2026,1667,2503,63,46.38,89.38,38.16,57.3,63.0
