compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_001,CHEMBL4749327,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OC,7.01,IC50,545.6690000000004,3.640500000000002,4,9,10,130.16,39,0
ACT_002,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,8.31,IC50,179.307,2.6941000000000006,1,1,0,26.02,13,0
ACT_003,CHEMBL364729,O=C1C(=O)C(Cl)=C(Cl)C(Cl)=C1Cl,5.78,Ki,245.876,2.5166,0,2,0,34.14,12,0
ACT_004,CHEMBL1134,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,6.0,IC50,258.4939999999999,3.5196000000000023,0,0,11,0.0,18,2
ACT_005,CHEMBL1025,CC(C)OP(=O)(F)OC(C)C,6.92,IC50,184.147,2.9140000000000015,0,3,4,35.53,11,0
ACT_006,CHEMBL471187,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1,5.0,IC50,372.2850000000001,3.610500000000002,6,9,2,149.07,27,0
ACT_007,CHEMBL1642988,CC(C)(C)c1cc[n+](/C=C2\C=CC3=CC/C(=C\[n+]4ccc(C(C)(C)C)cc4)C=C3C2)cc1,7.62,IC50,424.6320000000002,6.455000000000007,0,0,2,7.76,32,2
ACT_008,CHEMBL13308,CN(C)Cc1ccc(CSCCSCc2ccc(CN(C)C)o2)o1,6.3,IC50,368.5680000000001,4.162400000000003,0,6,11,32.760000000000005,24,0
ACT_009,CHEMBL3338389,C/C=C1\[C@H]2C=C(C)C[C@]1(NC1OCC3=C4CC(C)(C)[C@H](O)[C@H]4[C@@H](C)CCC31O)c1ccc(=O)[nH]c1C2,7.22,IC50,492.66000000000025,3.849300000000003,4,5,2,94.57999999999998,36,0
ACT_010,CHEMBL1161674,NC1=C2CCCCC2=NC2CCCCC12,6.44,IC50,204.31699999999998,2.7866000000000017,1,2,0,38.379999999999995,15,0
ACT_011,CHEMBL828,c1ccc2c(c1)Nc1ccccc1S2,5.14,IC50,199.278,3.894800000000001,1,2,0,12.03,14,0
ACT_012,CHEMBL149542,C#CCC(CCC)OC[n+]1ccn(C)c1/C=N/O,5.28,IC50,250.32200000000003,1.2867999999999997,1,3,7,50.629999999999995,18,1
ACT_013,CHEMBL603622,CO[P@]1(=O)OC[C@H]2COC(=O)C2=C(C)O1,9.1,IC50,234.14399999999995,1.2347,0,6,1,71.06,15,0
ACT_014,CHEMBL211520,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CCN3CCCCC3)CC2)cc1,6.9,IC50,399.5290000000003,4.157700000000004,0,3,6,9.72,29,0
ACT_015,CHEMBL5639827,Nc1n[nH]c2nc(-c3ccc(Br)cc3)cc(-c3ccc(Br)cc3)c12,6.77,IC50,444.1300000000001,5.3991000000000025,2,3,2,67.59,24,0
ACT_016,CHEMBL4524569,NS(=O)(=O)c1ccc(C(=O)n2[nH]c(=O)c3c([N+](=O)[O-])cccc3c2=O)cc1,7.22,Ki,390.3330000000001,-0.06610000000000049,2,7,3,175.23,27,0
ACT_017,CHEMBL139685,CN[C@H]1CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1,5.21,IC50,360.6300000000002,5.183400000000005,1,2,3,15.27,26,0
ACT_018,CHEMBL479291,[O-]c1cc2c3c(c1)c1cc4c(cc1c[n+]3CC2)OCO4,5.42,IC50,265.268,1.6389,0,3,0,45.400000000000006,20,0
ACT_019,CHEMBL5633239,Clc1ccc(Cn2cc(CNC34CC5CC(CC(C5)C3)C4)nn2)cc1,6.88,IC50,356.9010000000001,4.0382000000000025,1,3,5,42.74,25,0
ACT_020,CHEMBL5275040,COc1cc([C@@H](O)[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Oc2ccc(CCCO)cc2OC)ccc1O,6.12,IC50,540.5620000000004,-0.36819999999999914,7,12,13,187.75999999999996,38,0
ACT_021,CHEMBL1424,O=c1[nH]c(=O)c2nc[nH]c2[nH]1,5.05,IC50,152.113,-1.0605000000000004,3,3,0,94.4,11,0
ACT_022,CHEMBL4080358,CCN(CC)c1ccc(/C=C/c2ccc3ccccc3[n+]2C)c(Cl)c1,6.22,IC50,351.90100000000007,5.334300000000005,0,1,5,7.12,25,1
ACT_023,CHEMBL4129420,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C3=C(O[C@H](C(C)(C)O)[C@H]3O)[C@@]1(C(=O)C(C)C)C2=O,5.05,IC50,568.7950000000003,6.606000000000009,2,6,10,100.9,41,0
ACT_024,CHEMBL4868687,COC(=O)/C(=N\Nc1ccc(C)cc1)C(=O)C(F)(F)F,5.0,Ki,288.22499999999997,2.06732,1,5,4,67.75999999999999,20,0
ACT_025,CHEMBL576384,CCCSc1nc2nc3c(c(N)c2s1)C1CC(CC)=CC(C3)C1,5.14,IC50,345.53700000000015,5.161700000000004,1,5,4,51.8,23,0
ACT_026,CHEMBL4639749,Cc1ccc(C2C([N+](=O)[O-])C(Cc3c[nH]cn3)NC23c2ccccc2-c2nc4ccccc4nc23)cc1,5.7,IC50,488.5510000000003,4.528920000000003,2,6,4,109.63,37,0
ACT_027,CHEMBL4218281,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4cccc(Br)c4)cc3)ccc12,6.89,IC50,437.31300000000005,4.778720000000003,0,3,5,43.32,28,1
ACT_028,CHEMBL134342,O=C(O)CCCC[C@@H]1CCSS1,9.0,IC50,206.332,2.7851000000000017,1,3,5,37.3,12,0
ACT_029,CHEMBL388560,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,5.72,IC50,304.35200000000003,3.5847200000000026,0,6,7,53.47,19,0
ACT_030,CHEMBL4764740,FC(F)(F)c1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,6.74,IC50,375.3540000000001,3.477000000000002,0,6,3,58.290000000000006,27,0
ACT_031,CHEMBL5282524,Cn1c2ccccc2c2cc[n+](-c3ccc(I)cc3)cc21,6.62,IC50,385.228,4.212800000000002,0,0,1,8.809999999999999,21,1
ACT_032,CHEMBL249448,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1[C@H](O)C[C@@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,5.67,IC50,516.4550000000003,1.0295999999999996,7,11,7,211.27999999999997,37,0
ACT_033,CHEMBL71740,CCCCCCCCc1noc(/C(=N/O)SCCN(CC)CC)n1,6.0,IC50,356.5360000000002,4.183400000000003,1,7,13,74.75,24,0
ACT_034,CHEMBL4758581,Cc1c(Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2F)nc2ccc(Nc3cnn(C4CC4)c3)cn2c1=O,5.26,IC50,552.6360000000002,3.0967200000000012,2,8,7,116.87,39,0
ACT_035,CHEMBL140020,C=CC[N+](C)(C)c1ccc(CCC(=O)CCc2ccc([N+](C)(C)CC=C)cc2)cc1,8.1,IC50,406.6140000000001,5.3269000000000055,0,1,12,17.07,30,2
