molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,IC50,750.0,nM,6.12,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL336398,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,IC50,100.0,nM,7.0,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL130628,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,IC50,300.0,nM,6.52,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL130478,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,IC50,800.0,nM,6.1,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL130112,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,IC50,2400.0,nM,5.62,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL130098,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,IC50,100.0,nM,7.0,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL336538,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,IC50,800.0,nM,6.1,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL335033,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,IC50,50.0,nM,7.3,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL338720,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,IC50,560.0,nM,6.25,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL131536,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,IC50,1400.0,nM,5.85,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL334971,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,IC50,1100.0,nM,5.96,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL130666,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,IC50,26.0,nM,7.58,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL133388,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,IC50,800.0,nM,6.1,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL336524,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,IC50,56.0,nM,7.25,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL336276,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,IC50,200.0,nM,6.7,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL334395,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,IC50,300.0,nM,6.52,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL131320,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,IC50,200.0,nM,6.7,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL337714,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,IC50,500.0,nM,6.3,CHEMBL643384,B,Inhibitory concentration against acetylcholinesterase,CHEMBL1148382,2004
CHEMBL54126,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],IC50,22.0,nM,7.66,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL65667,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,3800.0,nM,5.42,CHEMBL645001,B,Inhibition of Acetylcholinesterase (AChE) from human RBC,CHEMBL1128816,1995
CHEMBL431519,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,40.0,nM,7.4,CHEMBL645001,B,Inhibition of Acetylcholinesterase (AChE) from human RBC,CHEMBL1128816,1995
CHEMBL154972,N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,IC50,73.0,nM,7.14,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL152722,COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1,IC50,3100.0,nM,5.51,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL349127,CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,IC50,4500.0,nM,5.35,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL156659,Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1,IC50,1200.0,nM,5.92,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL155322,CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,IC50,540.0,nM,6.27,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL154211,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,IC50,30.0,nM,7.52,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL1203537,CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N.Cl,IC50,830.0,nM,6.08,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL345849,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,IC50,390.0,nM,6.41,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL154689,CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,IC50,390.0,nM,6.41,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL346733,CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,IC50,430.0,nM,6.37,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL1203539,CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1.Cl,IC50,600.0,nM,6.22,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL433041,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,290.0,nM,6.54,CHEMBL645001,B,Inhibition of Acetylcholinesterase (AChE) from human RBC,CHEMBL1128816,1995
CHEMBL292788,CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,700.0,nM,6.16,CHEMBL645000,B,In vitro inhibitory activity against Acetylcholinesterase from human RBC,CHEMBL1128816,1995
CHEMBL155392,CNC(NCCNCc1ccc(CN(C)C)o1)=C(C#N)C#N,IC50,630.0,nM,6.2,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL153311,CNC(NCCNCc1ccc(CN(C(C)C)C(C)C)o1)=C(C#N)C#N,IC50,2100.0,nM,5.68,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
CHEMBL154263,CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,IC50,290.0,nM,6.54,CHEMBL636834,B,Inhibition of guinea pig acetylcholinesterase,CHEMBL1126972,1993
