compound_id,score
DEC_0462,-6.518
DEC_3088,-9.809
DEC_3427,-7.645
DEC_2002,-9.799
DEC_1504,0.0
DEC_0560,0.0
DEC_2116,-7.965
DEC_3280,0.0
DEC_0428,-7.268
ACT_021,-6.166
DEC_1679,-13.623
DEC_2707,-9.482
DEC_3287,-7.118
DEC_0468,-7.932
DEC_2244,0.0
DEC_2764,-10.043
DEC_0049,-10.865
DEC_1049,-10.386
DEC_3272,0.0
DEC_2989,0.0
DEC_1378,-3.298
DEC_2521,-8.173
DEC_1631,-10.464
DEC_2517,-11.315
DEC_2985,0.0
DEC_3415,-10.955
DEC_0802,-8.025
DEC_1540,0.0
DEC_2730,-11.274
DEC_2506,-8.016
DEC_0266,-13.585
DEC_1026,-12.61
DEC_1157,-10.877
DEC_2208,-8.281
DEC_0624,0.0
DEC_0213,-7.92
DEC_1247,-9.785
DEC_2411,-9.525
DEC_1972,0.0
DEC_1933,-8.951
DEC_1098,-7.562
DEC_2637,-10.589
DEC_0867,-8.351
DEC_0300,-10.582
DEC_2029,-9.11
DEC_2745,-9.765
DEC_2936,-10.003
DEC_2844,-10.903
DEC_1510,0.0
DEC_1168,0.0
ACT_020,0.0
DEC_2779,-11.534
DEC_3080,-9.443
DEC_3000,0.0
DEC_0430,-10.426
DEC_2904,-5.944
DEC_0431,-7.591
DEC_0630,-8.113
DEC_3338,-10.66
DEC_2742,-9.853
DEC_0404,-9.927
DEC_2079,-8.2
DEC_3133,-9.419
DEC_0264,-8.156
DEC_1111,-10.497
DEC_0222,-8.059
DEC_2089,-10.25
DEC_1085,-9.345
DEC_0893,-10.865
DEC_2120,-9.833
DEC_1236,-9.479
DEC_0860,-9.399
DEC_0811,-8.303
DEC_2227,-8.154
DEC_1188,-8.76
DEC_3472,-10.646
DEC_1606,-9.529
DEC_0841,-9.915
DEC_3456,-10.46
ACT_028,-6.247
DEC_3478,-8.798
DEC_3357,0.0
DEC_2170,-8.939
DEC_0529,-9.977
DEC_1501,0.0
DEC_0075,0.0
DEC_2418,-8.927
ACT_001,0.0
DEC_3007,0.0
DEC_2213,-10.547
DEC_1263,-9.254
DEC_0435,-10.26
DEC_1223,-10.077
ACT_089,-9.168
DEC_0698,-8.378
DEC_0786,-6.383
DEC_2628,-10.378
DEC_0699,-10.448
DEC_0158,0.0
DEC_0247,-7.816
DEC_2699,-11.047
DEC_1391,-1.446
DEC_0670,0.0
DEC_0704,-11.781
DEC_1001,0.0
DEC_2040,-9.256
DEC_0764,0.0
DEC_2021,-9.332
DEC_2353,-9.169
DEC_3160,-9.117
DEC_0744,0.0
DEC_2256,-8.768
DEC_1064,-13.353
DEC_1527,0.0
DEC_2568,0.0
DEC_3401,-10.893
DEC_1998,-11.208
DEC_2516,-10.86
DEC_2880,0.0
ACT_032,-9.267
DEC_0281,-10.05
DEC_3006,0.0
DEC_1723,-13.021
DEC_3468,-8.414
DEC_0847,-8.151
DEC_2712,-9.941
DEC_1008,0.0
DEC_3245,0.0
DEC_0171,-8.305
DEC_2118,-10.463
DEC_2737,-9.704
DEC_2448,-9.218
DEC_2910,-12.166
DEC_1320,0.0
DEC_1674,6.893
DEC_1308,0.0
DEC_1393,-2.932
DEC_2855,-9.427
DEC_0046,-8.159
DEC_1300,0.0
DEC_0949,0.0
DEC_1799,-9.606
DEC_0968,0.0
DEC_1351,0.0
DEC_3352,0.0
DEC_2094,-9.229
DEC_0220,-8.239
DEC_1425,-9.387
DEC_1916,-8.121
DEC_3363,0.0
DEC_1558,0.0
DEC_1401,-10.939
DEC_2882,0.0
DEC_0107,-9.101
DEC_0743,0.0
DEC_2435,-7.583
DEC_2313,0.0
DEC_3442,0.0
DEC_1429,-8.008
DEC_0658,0.0
DEC_0983,0.0
DEC_1920,-9.914
DEC_1484,0.0
DEC_1038,-9.304
DEC_2868,0.0
DEC_1788,-8.078
DEC_1091,-7.789
DEC_2864,0.0
DEC_1158,-10.813
DEC_1734,-10.77
DEC_3377,-9.967
DEC_0540,-8.322
DEC_1312,0.0
DEC_0262,-10.462
DEC_0315,0.0
DEC_0217,-8.353
DEC_1164,-11.235
DEC_1170,-8.378
DEC_1921,-10.159
DEC_1130,0.0
DEC_3131,-9.06
DEC_2056,-10.001
DEC_0813,-9.03
ACT_008,0.0
DEC_0045,-8.278
DEC_3134,-9.208
DEC_1571,0.0
DEC_0690,-7.223
DEC_1238,-9.724
DEC_1867,-8.925
DEC_1577,0.0
DEC_0947,0.0
DEC_2053,-7.282
DEC_1234,-9.658
DEC_0516,0.0
DEC_1547,0.0
DEC_1765,-8.953
DEC_3074,-9.025
DEC_1302,0.0
DEC_1624,-7.834
DEC_0139,-9.261
