compound_id,score
DEC_0462,-7.4
DEC_3088,0.0
DEC_3427,0.0
DEC_2002,-9.83
DEC_1504,0.0
DEC_0560,0.0
DEC_2116,-8.051
DEC_3280,0.0
DEC_0428,0.0
ACT_021,-6.333
DEC_1679,-13.395
DEC_2707,0.0
DEC_3287,0.0
DEC_0468,0.0
DEC_2244,-8.671
DEC_2764,-10.55
DEC_0049,-11.102
DEC_1049,-9.978
DEC_3272,0.0
DEC_2989,0.0
DEC_1378,0.0
DEC_2521,0.0
DEC_1631,-10.918
DEC_2517,0.0
DEC_2985,0.0
DEC_3415,0.0
DEC_0802,0.0
DEC_1540,0.0
DEC_2730,-11.217
DEC_2506,-8.656
DEC_0266,-14.128
DEC_1026,0.0
DEC_1157,0.0
DEC_2208,0.0
DEC_0624,0.0
DEC_0213,-7.957
DEC_1247,-9.878
DEC_2411,0.0
DEC_1972,-7.957
DEC_1933,0.0
DEC_1098,-8.36
DEC_2637,0.0
DEC_0867,-8.635
DEC_0300,0.0
DEC_2029,0.0
DEC_2745,-10.355
DEC_2936,0.0
DEC_2844,0.0
DEC_1510,0.0
DEC_1168,0.0
ACT_020,-9.827
DEC_2779,0.0
DEC_3080,-9.91
DEC_3000,-9.508
DEC_0430,-10.272
DEC_2904,-8.866
DEC_0431,0.0
DEC_0630,0.0
DEC_3338,-186.165
DEC_2742,-10.727
DEC_0404,-9.99
DEC_2079,0.0
DEC_3133,-9.676
DEC_0264,-8.485
DEC_1111,-10.748
DEC_0222,0.0
DEC_2089,-10.617
DEC_1085,-9.693
DEC_0893,0.0
DEC_2120,0.0
DEC_1236,0.0
DEC_0860,-9.835
DEC_0811,0.0
DEC_2227,0.0
DEC_1188,0.0
DEC_3472,-11.446
DEC_1606,-9.632
DEC_0841,-9.89
DEC_3456,-10.568
ACT_028,0.0
DEC_3478,0.0
DEC_3357,-9.817
DEC_2170,-9.118
DEC_0529,-10.121
DEC_1501,0.0
DEC_0075,-8.911
DEC_2418,-9.507
ACT_001,0.0
DEC_3007,0.0
DEC_2213,-10.26
DEC_1263,-10.161
DEC_0435,0.0
DEC_1223,-10.226
ACT_089,0.0
DEC_0698,0.0
DEC_0786,0.0
DEC_2628,0.0
DEC_0699,0.0
DEC_0158,0.0
DEC_0247,0.0
DEC_2699,-11.191
DEC_1391,0.0
DEC_0670,-8.931
DEC_0704,0.0
DEC_1001,0.0
DEC_2040,-10.456
DEC_0764,0.0
DEC_2021,-9.244
DEC_2353,0.0
DEC_3160,0.0
DEC_0744,0.0
DEC_2256,-8.987
DEC_1064,-13.524
DEC_1527,0.0
DEC_2568,0.0
DEC_3401,0.0
DEC_1998,-11.623
DEC_2516,0.0
DEC_2880,0.0
ACT_032,0.0
DEC_0281,-10.533
DEC_3006,0.0
DEC_1723,-12.077
DEC_3468,0.0
DEC_0847,0.0
DEC_2712,0.0
DEC_1008,0.0
DEC_3245,-47.86
DEC_0171,-8.945
DEC_2118,-10.895
DEC_2737,-10.006
DEC_2448,0.0
DEC_2910,-9.907
DEC_1320,-8.432
DEC_1674,0.0
DEC_1308,0.0
DEC_1393,0.0
DEC_2855,-10.79
DEC_0046,-9.951
DEC_1300,-9.05
DEC_0949,0.0
DEC_1799,-10.098
DEC_0968,-11.199
DEC_1351,-10.123
DEC_3352,-10.031
DEC_2094,-9.898
DEC_0220,-8.534
DEC_1425,0.0
DEC_1916,-8.263
DEC_3363,-9.363
DEC_1558,0.0
DEC_1401,-12.44
DEC_2882,-13.923
DEC_0107,0.0
DEC_0743,108.122
DEC_2435,-7.878
DEC_2313,0.0
DEC_3442,0.0
DEC_1429,0.0
DEC_0658,0.0
DEC_0983,0.0
DEC_1920,-9.472
DEC_1484,-7.87
DEC_1038,0.0
DEC_2868,-11.216
DEC_1788,-8.483
DEC_1091,-8.823
DEC_2864,0.0
DEC_1158,0.0
DEC_1734,-10.523
DEC_3377,0.0
DEC_0540,0.0
DEC_1312,-10.187
DEC_0262,0.0
DEC_0315,0.0
DEC_0217,-8.592
DEC_1164,0.0
DEC_1170,0.0
DEC_1921,-165.475
DEC_1130,0.0
DEC_3131,0.0
DEC_2056,0.0
DEC_0813,-9.537
ACT_008,0.0
DEC_0045,-11.39
DEC_3134,-10.266
DEC_1571,0.0
DEC_0690,0.0
DEC_1238,-10.366
DEC_1867,0.0
DEC_1577,0.0
DEC_0947,0.0
DEC_2053,-37.321
DEC_1234,0.0
DEC_0516,-8.24
DEC_1547,0.0
DEC_1765,-8.446
DEC_3074,0.0
DEC_1302,0.0
DEC_1624,0.0
DEC_0139,-9.649
DEC_1169,0.0
DEC_0173,-9.403
ACT_092,0.0
DEC_0931,0.0
DEC_0789,-8.663
DEC_1870,0.0
DEC_0258,0.0
DEC_1375,-12.314
DEC_2221,0.0
ACT_074,-93.386
DEC_1966,0.0
DEC_1869,-9.02
DEC_2039,-9.97
DEC_2426,-9.359
DEC_0066,-9.759
DEC_0176,-8.983
DEC_2658,0.0
DEC_1524,0.0
DEC_0379,0.0
DEC_3047,-9.113
DEC_3455,0.0
DEC_1358,0.0
DEC_1468,0.0
DEC_0288,0.0
DEC_1014,0.0
DEC_1946,-10.129
DEC_2975,-10.132
DEC_0753,-12.06
ACT_037,0.0
DEC_2413,0.0
DEC_1359,0.0
DEC_3349,0.0
DEC_3208,0.0
DEC_0278,-8.706
DEC_1061,-11.165
DEC_2142,0.0
DEC_0452,0.0
DEC_3053,0.0
DEC_2251,-9.515
ACT_022,0.0
DEC_1009,0.0
DEC_2205,-8.836
DEC_1376,0.0
DEC_2032,-10.297
DEC_2706,0.0
DEC_1858,0.0
DEC_3052,0.0
DEC_1099,-9.197
DEC_1022,-10.476
DEC_0735,-9.506
DEC_1581,-9.54
DEC_1965,0.0
DEC_3275,0.0
DEC_3199,0.0
DEC_2710,-10.693
DEC_1709,0.0
DEC_0474,-10.034
DEC_1152,-20.993
DEC_1893,0.0
DEC_1270,0.0
DEC_0938,0.0
DEC_0349,-10.997
DEC_2891,0.0
DEC_0311,-8.722
DEC_1751,-8.984
DEC_3421,0.0
DEC_2362,0.0
DEC_2477,0.0
DEC_0043,0.0
DEC_3123,-9.507
DEC_1419,0.0
DEC_3266,0.0
DEC_0100,-10.586
DEC_1938,-10.657
DEC_0677,0.0
DEC_2958,0.0
DEC_3002,-9.619
DEC_2926,-11.083
DEC_3172,-10.947
DEC_2551,-10.455
DEC_1668,0.0
DEC_2817,0.0
DEC_2879,0.0
DEC_3039,-11.098
DEC_0119,0.0
DEC_2340,0.0
DEC_0243,-8.683
ACT_082,0.0
DEC_0972,0.0
DEC_2780,0.0
DEC_1248,-11.721
DEC_3336,-9.61
DEC_2483,0.0
DEC_0317,0.0
DEC_2892,-8.822
DEC_2824,0.0
DEC_2981,0.0
DEC_1955,0.0
DEC_3171,0.0
DEC_1952,-8.723
DEC_3469,0.0
DEC_0496,0.0
DEC_1252,0.0
DEC_1028,-10.469
DEC_3292,0.0
DEC_1058,-9.009
DEC_2838,0.0
DEC_1548,0.0
DEC_1056,0.0
DEC_0850,0.0
DEC_0674,0.0
DEC_1882,-10.329
DEC_2294,0.0
ACT_073,0.0
DEC_0648,0.0
DEC_3386,0.0
DEC_1991,-9.547
DEC_1258,0.0
DEC_1280,-10.934
DEC_0634,-8.18
DEC_2697,-13.423
DEC_1271,-8.511
DEC_2013,0.0
DEC_3358,-10.16
DEC_1739,0.0
DEC_0446,0.0
DEC_0569,0.0
DEC_1346,-10.952
DEC_0751,0.0
DEC_1608,-9.778
DEC_2401,0.0
DEC_3059,0.0
DEC_0406,-9.515
DEC_1671,0.0
DEC_3311,-9.765
DEC_1698,-47.265
DEC_2509,0.0
DEC_2515,-11.872
DEC_1701,12.8
DEC_2634,0.0
DEC_1265,0.0
DEC_2798,-11.324
DEC_0105,0.0
DEC_2490,0.0
DEC_3076,0.0
DEC_2255,-9.469
DEC_2727,-9.957
DEC_1242,0.0
DEC_1944,-10.419
DEC_3141,-11.629
DEC_2738,-9.567
DEC_0663,-8.564
DEC_0237,-9.48
DEC_2000,-11.435
ACT_056,0.0
DEC_3277,0.0
DEC_3265,0.0
DEC_2925,-10.418
DEC_1203,0.0
DEC_1767,0.0
DEC_2831,-8.942
DEC_1562,0.0
DEC_3092,-8.401
DEC_2069,-11.623
DEC_3365,-10.696
DEC_0160,0.0
DEC_2827,-12.295
DEC_0976,-11.663
DEC_3228,0.0
DEC_2514,0.0
DEC_1120,-11.026
DEC_2153,0.0
DEC_1659,0.0
DEC_0733,-10.346
DEC_3157,0.0
DEC_0267,0.0
DEC_2129,-8.151
DEC_0568,0.0
DEC_1895,-10.515
DEC_0024,0.0
DEC_0346,0.0
DEC_1512,0.0
DEC_2920,0.0
DEC_1569,0.0
DEC_2669,-10.524
DEC_0605,0.0
ACT_036,0.0
DEC_0830,0.0
DEC_2458,-10.533
DEC_1067,-11.093
DEC_1516,0.0
DEC_0932,0.0
DEC_0539,-9.813
DEC_1249,-9.551
DEC_2552,-9.772
DEC_2270,-10.781
DEC_3309,-9.871
DEC_1054,-9.52
DEC_2801,0.0
DEC_3060,-11.007
DEC_2500,-8.799
DEC_1012,0.0
DEC_1162,-12.234
DEC_1505,0.0
DEC_2523,0.0
DEC_0102,0.0
DEC_0755,-12.748
DEC_1141,-11.06
DEC_2455,-12.43
DEC_1485,-8.132
DEC_2795,-10.164
DEC_2027,0.0
DEC_1576,-10.227
DEC_0564,0.0
DEC_0421,-9.161
DEC_0809,0.0
DEC_0876,-9.977
DEC_1199,0.0
DEC_1976,-7.508
DEC_3284,0.0
DEC_2231,-8.658
DEC_0061,0.0
DEC_1437,-9.73
DEC_2144,0.0
DEC_3308,0.0
DEC_1743,-11.791
DEC_2822,-10.429
DEC_3232,-9.035
DEC_2059,0.0
DEC_1924,-9.815
DEC_0234,0.0
DEC_2289,-9.895
DEC_2399,-10.977
DEC_0671,0.0
DEC_1567,0.0
DEC_1048,-9.862
DEC_0828,0.0
DEC_1003,0.0
DEC_2337,-11.82
DEC_2784,-11.207
DEC_3347,-10.526
DEC_0071,-10.109
DEC_1866,0.0
DEC_3089,0.0
DEC_0056,0.0
DEC_1953,-10.109
DEC_2364,0.0
DEC_3105,-8.75
DEC_1165,36.058
DEC_2297,-8.87
DEC_0205,-8.564
DEC_2253,0.0
DEC_3399,0.0
DEC_1673,0.0
DEC_1742,-12.842
DEC_1502,0.0
DEC_3193,-9.497
DEC_2990,0.0
DEC_0301,-9.492
DEC_0148,0.0
DEC_1190,0.0
DEC_1954,-7.728
DEC_0042,-9.925
DEC_1696,0.0
DEC_1426,0.0
DEC_3113,0.0
DEC_2223,0.0
DEC_0429,0.0
DEC_3391,-11.884
DEC_3022,0.0
DEC_2966,0.0
DEC_1729,-10.459
DEC_0894,-11.408
DEC_2331,-10.85
DEC_1215,0.0
DEC_0999,0.0
DEC_0167,-10.696
DEC_1875,0.0
DEC_0025,-10.208
DEC_1650,-11.533
DEC_1879,-10.575
DEC_0888,-10.024
DEC_0272,-11.133
DEC_2662,-10.342
DEC_2870,-8.689
DEC_3412,0.0
DEC_1362,-13.475
DEC_3018,-9.484
DEC_2837,0.0
DEC_0098,-8.168
DEC_0725,91.037
DEC_2654,-9.167
DEC_3148,0.0
DEC_0551,-9.067
DEC_1637,0.0
DEC_2871,0.0
DEC_1579,0.0
DEC_2900,0.0
DEC_2421,-9.482
DEC_3288,0.0
DEC_0629,0.0
DEC_0585,0.0
DEC_2886,-10.215
DEC_3300,0.0
DEC_2785,-10.058
DEC_2247,-9.972
DEC_2818,-9.392
DEC_1719,-11.829
ACT_045,-38.391
ACT_068,0.0
DEC_3185,-9.54
DEC_1435,-9.024
DEC_2560,0.0
DEC_0356,-9.571
DEC_1444,0.0
ACT_006,-10.479
DEC_2431,-10.798
DEC_1400,-10.927
DEC_1389,-12.222
DEC_0225,-9.418
DEC_0469,0.0
DEC_1675,-10.039
DEC_0432,0.0
DEC_2940,0.0
DEC_0628,-7.668
DEC_0948,0.0
DEC_3078,0.0
DEC_0153,-10.543
DEC_1272,-8.816
DEC_2923,-10.499
DEC_0599,0.0
DEC_0091,0.0
DEC_2046,-9.95
DEC_0766,0.0
DEC_0265,0.0
DEC_1836,0.0
DEC_3051,0.0
DEC_2875,0.0
DEC_0180,-8.774
ACT_031,0.0
DEC_2614,0.0
DEC_0503,0.0
DEC_2492,0.0
DEC_1636,0.0
DEC_3256,0.0
DEC_3163,-11.088
DEC_2919,-12.172
DEC_2535,0.0
DEC_0736,0.0
DEC_3303,-8.898
DEC_2304,-8.559
DEC_2781,0.0
DEC_1023,0.0
DEC_1720,0.0
DEC_0454,0.0
DEC_2867,0.0
DEC_0719,0.0
DEC_1208,-7.617
DEC_1520,0.0
DEC_3226,0.0
DEC_1692,-12.261
DEC_2816,-12.064
DEC_2598,0.0
DEC_1380,0.0
DEC_2631,0.0
DEC_2487,0.0
DEC_2035,0.0
DEC_2438,-9.738
DEC_0188,0.0
DEC_1327,-9.306
DEC_1622,0.0
DEC_1306,0.0
DEC_1511,0.0
DEC_0611,0.0
DEC_3389,0.0
ACT_044,0.0
DEC_0844,-9.962
DEC_2215,-8.689
DEC_1962,0.0
DEC_3110,0.0
DEC_0636,0.0
DEC_1365,0.0
DEC_1641,-9.535
DEC_1424,0.0
DEC_0702,0.0
DEC_0388,0.0
DEC_1519,0.0
DEC_0627,0.0
DEC_2322,0.0
DEC_0500,-9.734
ACT_096,-174.052
DEC_1613,0.0
DEC_2772,-12.329
DEC_1329,0.0
DEC_0132,0.0
DEC_1005,0.0
DEC_0479,-9.983
DEC_1984,0.0
DEC_0891,0.0
DEC_1353,0.0
DEC_2488,0.0
DEC_3237,-10.042
DEC_0910,0.0
DEC_1811,0.0
DEC_1999,0.0
DEC_2077,0.0
DEC_0097,-8.98
DEC_1408,-10.31
DEC_1336,0.0
DEC_0546,-11.018
ACT_099,-10.374
DEC_1553,0.0
DEC_1153,0.0
DEC_1137,-10.733
DEC_3036,0.0
DEC_2496,0.0
DEC_1489,0.0
DEC_0631,-7.426
DEC_3397,0.0
DEC_1192,-9.588
ACT_018,0.0
ACT_013,0.0
DEC_2968,-9.973
DEC_0465,0.0
DEC_3394,0.0
DEC_2430,-10.038
DEC_2869,-9.239
DEC_0400,0.0
DEC_2548,0.0
DEC_0784,0.0
DEC_1037,-10.368
DEC_1798,-8.838
DEC_3475,-11.529
DEC_3102,-8.594
ACT_010,-8.459
DEC_1812,0.0
ACT_070,0.0
DEC_0137,0.0
DEC_0041,-8.689
DEC_3407,-8.652
DEC_3218,-8.869
DEC_2648,0.0
DEC_3212,0.0
DEC_2942,0.0
DEC_1315,-10.079
DEC_2240,-9.241
DEC_0990,0.0
DEC_0657,-9.985
DEC_2048,-11.017
DEC_2151,0.0
DEC_0701,0.0
DEC_2912,93.452
DEC_2589,0.0
DEC_1754,-10.167
DEC_1560,0.0
DEC_0403,0.0
DEC_0967,0.0
DEC_0818,0.0
DEC_2246,0.0
DEC_2301,0.0
DEC_0464,-9.166
DEC_1324,-10.458
DEC_1307,-9.288
DEC_3183,-10.424
DEC_0740,-11.014
DEC_1264,-9.363
DEC_0908,0.0
DEC_2991,-9.395
DEC_1888,0.0
DEC_3086,0.0
DEC_0328,0.0
DEC_3061,-11.341
DEC_0499,-9.122
DEC_3438,-10.256
DEC_3150,-13.442
DEC_3229,-9.585
DEC_2377,-9.434
DEC_1551,0.0
DEC_1132,-11.056
DEC_2370,-9.405
DEC_3189,0.0
DEC_0221,-8.15
DEC_0633,-9.194
DEC_2237,-9.221
DEC_2564,0.0
DEC_0381,-9.105
DEC_2826,-10.821
DEC_0598,0.0
DEC_2428,-12.319
DEC_0886,-8.526
DEC_2811,0.0
DEC_3294,0.0
DEC_2884,0.0
DEC_0268,-9.36
DEC_0565,0.0
DEC_1396,-8.604
DEC_3142,-11.104
DEC_2019,-11.77
DEC_1690,0.0
DEC_2419,-11.019
DEC_0466,-8.934
DEC_2626,0.0
DEC_2896,-8.703
DEC_0110,0.0
DEC_1865,0.0
DEC_3431,0.0
DEC_2414,-8.819
DEC_1927,-9.62
DEC_0095,-9.597
DEC_1855,-8.778
DEC_1907,-8.383
DEC_1983,-9.225
DEC_0241,-8.218
DEC_2924,0.0
DEC_3085,-8.356
DEC_1332,0.0
DEC_0805,-8.867
DEC_0667,-9.554
DEC_3260,-9.253
DEC_3321,0.0
DEC_1433,0.0
ACT_041,0.0
DEC_3324,-9.917
DEC_0520,0.0
DEC_0745,0.0
DEC_1644,-10.024
DEC_1834,0.0
ACT_053,-7.181
DEC_3130,0.0
DEC_0449,0.0
ACT_095,0.0
DEC_3429,0.0
DEC_1474,0.0
DEC_1731,-10.808
DEC_0563,0.0
DEC_0239,0.0
DEC_3008,0.0
DEC_1672,0.0
DEC_3215,-10.245
DEC_1597,-9.942
DEC_1348,-11.212
DEC_1205,0.0
DEC_1052,-8.997
DEC_1986,0.0
DEC_0323,0.0
DEC_0476,-9.959
DEC_2318,0.0
DEC_2878,0.0
DEC_3250,-9.44
DEC_0625,0.0
DEC_1848,0.0
DEC_1914,-8.692
DEC_1452,0.0
DEC_1282,-7.405
DEC_3381,-10.843
DEC_2249,-9.899
DEC_1748,0.0
DEC_0682,0.0
DEC_3466,-106.807
DEC_0779,0.0
DEC_0327,-9.423
DEC_2071,0.0
DEC_2619,0.0
DEC_0438,-9.196
DEC_1047,-9.12
DEC_2661,0.0
DEC_3242,0.0
DEC_0788,-8.162
ACT_049,0.0
DEC_3411,0.0
DEC_0470,-9.659
DEC_0338,0.0
DEC_1844,0.0
DEC_2209,-6.839
DEC_1301,-9.969
DEC_1398,0.0
DEC_1381,-11.104
DEC_1439,-9.515
DEC_2788,0.0
DEC_0975,0.0
DEC_2355,0.0
DEC_0324,-10.841
DEC_0874,-10.139
DEC_2307,-8.794
DEC_0728,0.0
DEC_0047,-9.506
DEC_0907,0.0
DEC_0143,0.0
DEC_2578,0.0
DEC_3274,0.0
DEC_2034,-11.046
DEC_2629,0.0
DEC_1421,-11.321
DEC_1150,0.0
DEC_2734,0.0
DEC_1682,-9.12
DEC_1961,0.0
DEC_0197,0.0
DEC_2093,0.0
DEC_1724,0.0
DEC_3354,-11.3
DEC_0695,0.0
DEC_1807,-10.813
DEC_2367,0.0
DEC_0762,0.0
DEC_3128,0.0
DEC_3320,-10.687
DEC_1284,-8.659
ACT_046,-10.073
DEC_2349,0.0
DEC_1230,0.0
ACT_050,-10.577
DEC_1863,0.0
DEC_2368,-10.097
DEC_2456,-12.921
DEC_2549,-12.777
DEC_1066,-12.759
DEC_2478,0.0
DEC_2556,-9.285
ACT_069,-8.639
DEC_3446,-9.024
DEC_2473,0.0
DEC_3077,-9.228
DEC_3419,-10.218
DEC_1725,-10.076
DEC_0330,0.0
DEC_1475,-11.918
DEC_2197,-8.955
DEC_3342,-9.248
DEC_0684,0.0
DEC_1781,0.0
DEC_2489,0.0
DEC_2597,0.0
DEC_2047,0.0
DEC_1105,-9.233
DEC_2592,0.0
DEC_3458,0.0
DEC_1871,-11.61
DEC_1610,-9.309
DEC_0445,0.0
DEC_0335,0.0
DEC_0458,0.0
DEC_0637,-8.05
DEC_3235,-9.321
DEC_2374,0.0
DEC_1361,-12.42
ACT_024,0.0
DEC_0675,0.0
DEC_2452,-11.989
DEC_0129,0.0
DEC_2111,-7.774
DEC_3462,-10.087
DEC_1021,0.0
DEC_1532,0.0
DEC_0918,-10.565
DEC_0083,0.0
DEC_3345,-9.515
DEC_3291,0.0
DEC_2241,-10.294
DEC_2673,-8.554
DEC_0453,0.0
DEC_2721,0.0
DEC_1654,-10.193
DEC_1443,-9.37
DEC_0285,0.0
DEC_3181,-10.155
DEC_1614,0.0
DEC_2285,-10.664
DEC_2290,0.0
DEC_0331,0.0
DEC_3425,0.0
DEC_3158,-11.282
DEC_0557,-10.395
DEC_1343,0.0
DEC_2482,0.0
DEC_2894,0.0
DEC_1142,0.0
DEC_2132,0.0
