compound_id,score
ACT_001,-11.299
ACT_003,-6.902
ACT_004,-6.785
ACT_005,-5.852
ACT_007,-11.5
ACT_008,-7.264
ACT_009,-13.472
ACT_011,-8.247
ACT_012,-7.948
ACT_013,-51.544
ACT_016,-11.238
ACT_018,-10.278
ACT_022,-10.652
ACT_023,-8.588
ACT_024,-8.77
ACT_025,-8.855
ACT_026,-9.271
ACT_027,-12.299
ACT_028,-6.392
ACT_029,-8.085
ACT_031,-10.934
ACT_032,-10.637
ACT_033,-7.854
ACT_035,-9.714
ACT_036,-10.237
ACT_037,-9.733
ACT_038,-8.461
ACT_040,-12.913
ACT_041,-8.22
ACT_042,-5.948
ACT_043,-10.103
ACT_044,-9.656
ACT_047,-8.496
ACT_048,-8.4
ACT_049,-8.751
ACT_051,-10.104
ACT_052,-10.846
ACT_056,-10.377
ACT_058,-11.248
ACT_059,-8.735
ACT_061,-10.235
ACT_063,-19.572
ACT_064,-9.732
ACT_066,-8.048
ACT_067,-9.917
ACT_068,-9.875
ACT_070,18.104
ACT_071,-9.22
ACT_073,-13.881
ACT_075,-11.483
ACT_077,-13.525
ACT_080,-11.227
ACT_081,-9.498
ACT_082,-10.287
ACT_084,-11.128
ACT_085,-7.323
ACT_086,-8.761
ACT_087,-10.732
ACT_088,-10.042
ACT_089,-9.151
ACT_091,-9.46
ACT_092,-9.363
ACT_093,-11.432
ACT_095,-10.041
ACT_097,-8.458
ACT_098,-7.196
ACT_100,-10.91
DEC_0001,-10.597
DEC_0002,-10.265
DEC_0003,-11.226
DEC_0005,-11.405
DEC_0006,-50.047
DEC_0007,-10.814
DEC_0008,-11.803
DEC_0009,-12.152
DEC_0010,-11.682
DEC_0011,-11.256
DEC_0013,-9.875
DEC_0014,-11.453
DEC_0021,-9.212
DEC_0088,-8.119
DEC_0091,-7.944
DEC_0096,-8.667
DEC_0101,-9.617
DEC_0102,-9.664
DEC_0103,-9.128
DEC_0104,-10.251
DEC_0105,-10.968
DEC_0106,-10.789
DEC_0107,-9.378
DEC_0108,-11.52
DEC_0109,-9.678
DEC_0110,-11.43
DEC_0111,-9.661
DEC_0112,-8.842
DEC_0113,-9.441
DEC_0114,-9.5
DEC_0115,-10.411
DEC_0116,-9.749
DEC_0117,-9.955
DEC_0118,-9.176
DEC_0119,-10.487
DEC_0120,-8.452
DEC_0121,-7.943
DEC_0122,-10.504
DEC_0123,-9.048
DEC_0124,-10.878
DEC_0125,-9.995
DEC_0126,-10.607
DEC_0128,-11.518
DEC_0129,-10.133
DEC_0132,-9.559
DEC_0133,-9.999
DEC_0134,-9.759
DEC_0135,-10.167
DEC_0136,-9.878
DEC_0137,-9.922
DEC_0138,-8.957
DEC_0140,-9.341
DEC_0141,-9.183
DEC_0169,-11.115
DEC_0170,-11.873
DEC_0185,-9.53
DEC_0186,-10.309
DEC_0188,-8.511
DEC_0194,-8.637
DEC_0197,-9.727
DEC_0199,-9.876
DEC_0201,-10.0
DEC_0208,-8.611
DEC_0209,-7.838
DEC_0215,-8.282
DEC_0222,-8.385
DEC_0223,-8.502
DEC_0224,-8.387
DEC_0230,-5.883
DEC_0234,-7.056
DEC_0239,-9.103
DEC_0247,-7.776
DEC_0253,-10.296
DEC_0257,-8.233
DEC_0258,-8.994
DEC_0260,-9.895
DEC_0261,-9.554
DEC_0262,-12.331
DEC_0263,-10.824
DEC_0265,-7.907
DEC_0267,-9.73
DEC_0269,-9.92
DEC_0274,-9.952
DEC_0275,-10.708
DEC_0276,-9.936
DEC_0280,-10.419
DEC_0284,-9.061
DEC_0285,-8.465
DEC_0286,-8.562
DEC_0287,-10.525
DEC_0288,-9.439
DEC_0289,-9.694
DEC_0290,-9.992
DEC_0372,-8.725
DEC_0373,-8.706
DEC_0374,-7.995
DEC_0378,-10.089
DEC_0379,-10.589
DEC_0380,-9.563
DEC_0382,-8.977
DEC_0383,-9.074
DEC_0385,-9.388
DEC_0386,-8.309
DEC_0387,-9.799
DEC_0388,-7.877
DEC_0391,-8.244
DEC_0393,-10.271
DEC_0400,-11.216
DEC_0403,-9.259
DEC_0405,-186.502
DEC_0410,-7.806
DEC_0411,-10.722
DEC_0412,-10.799
DEC_0413,-11.45
DEC_0415,-7.393
DEC_0416,-11.033
DEC_0417,-10.689
DEC_0418,-9.472
DEC_0419,-10.148
DEC_0420,-10.784
DEC_0422,-9.191
DEC_0423,-9.387
DEC_0424,-11.149
DEC_0427,-10.763
DEC_0428,-7.565
DEC_0429,-11.3
DEC_0431,-8.088
DEC_0432,-10.456
DEC_0434,-9.469
DEC_0435,-10.785
DEC_0436,-9.131
DEC_0437,-7.394
DEC_0439,-9.796
DEC_0440,-11.428
DEC_0442,-9.509
DEC_0443,-11.781
DEC_0445,-10.654
DEC_0446,-9.143
DEC_0447,-7.326
DEC_0448,-9.957
DEC_0449,-9.353
DEC_0450,-10.534
DEC_0451,-11.197
DEC_0452,-9.835
DEC_0453,-7.703
DEC_0454,-7.323
DEC_0455,-9.638
DEC_0458,-11.254
DEC_0459,-9.139
DEC_0460,-7.98
DEC_0461,-8.145
DEC_0465,-9.438
DEC_0468,-8.336
DEC_0469,-8.555
DEC_0471,-9.031
DEC_0475,-7.2
DEC_0477,-9.094
DEC_0478,-8.488
DEC_0480,-8.232
DEC_0485,-9.545
DEC_0490,-8.949
DEC_0491,-8.519
DEC_0492,-8.862
DEC_0496,-8.717
DEC_0497,-8.229
DEC_0498,-100.558
DEC_0501,-10.528
DEC_0503,-9.263
DEC_0506,-8.164
DEC_0512,-7.811
DEC_0513,-10.941
DEC_0514,-7.859
DEC_0517,-10.826
DEC_0520,-8.204
DEC_0521,-9.039
DEC_0522,-10.954
DEC_0523,98.056
DEC_0524,-8.793
DEC_0525,-8.206
DEC_0526,-11.018
DEC_0527,-7.689
DEC_0531,-10.13
DEC_0533,-8.194
DEC_0535,-10.602
DEC_0538,-11.561
DEC_0540,-9.097
DEC_0542,-9.634
DEC_0553,-10.726
DEC_0556,-8.685
DEC_0558,-8.872
DEC_0559,-9.751
DEC_0560,-10.491
DEC_0561,-11.031
DEC_0562,-10.835
DEC_0564,-10.231
DEC_0565,-9.973
DEC_0566,-10.234
DEC_0568,-9.817
DEC_0569,-10.38
DEC_0570,-10.389
DEC_0571,-12.859
DEC_0572,-10.3
DEC_0574,-10.399
DEC_0576,-11.542
DEC_0578,-11.426
DEC_0579,-76.524
DEC_0580,-8.643
DEC_0581,-10.51
DEC_0585,-12.309
DEC_0586,-11.786
DEC_0587,-10.974
DEC_0588,-12.357
DEC_0589,-7.834
DEC_0590,-8.511
DEC_0591,-10.874
DEC_0594,-11.312
DEC_0595,-12.841
DEC_0599,-12.284
DEC_0600,-9.747
DEC_0603,-10.051
DEC_0604,-11.99
DEC_0608,-9.811
DEC_0609,-9.716
DEC_0610,-12.385
DEC_0611,-11.249
DEC_0612,-10.361
DEC_0614,-12.029
DEC_0615,-12.591
DEC_0616,-13.065
DEC_0617,-10.594
DEC_0618,-12.443
DEC_0619,-11.897
DEC_0620,-12.057
DEC_0654,-9.914
DEC_0655,-9.305
DEC_0658,-9.337
DEC_0659,-6.659
DEC_0662,-7.688
DEC_0664,-9.251
DEC_0666,-10.01
DEC_0668,-8.383
DEC_0671,-7.327
DEC_0674,-8.59
DEC_0675,-11.891
DEC_0676,-8.523
DEC_0677,-9.113
DEC_0683,-10.352
DEC_0684,-9.279
DEC_0686,-7.216
DEC_0687,-10.615
DEC_0690,-8.472
DEC_0692,-9.507
DEC_0696,-10.539
DEC_0772,-9.384
DEC_0773,-8.08
DEC_0774,-7.31
DEC_0775,-8.009
DEC_0776,-6.731
DEC_0779,-8.629
DEC_0780,-7.452
DEC_0784,-8.965
DEC_0785,-9.329
DEC_0786,-6.724
DEC_0799,-6.606
DEC_0802,-7.856
DEC_0807,-8.776
DEC_0808,-8.745
DEC_0809,-7.959
DEC_0811,-8.402
DEC_0814,-10.599
DEC_0816,-8.396
DEC_0817,-10.585
DEC_0818,-9.453
DEC_0820,-9.525
DEC_0821,-9.074
DEC_0824,-8.654
DEC_0825,-8.683
DEC_0826,-9.103
DEC_0828,-9.512
DEC_0829,-9.947
DEC_0830,-9.27
DEC_0832,-7.77
DEC_0833,-8.882
DEC_0834,-7.757
DEC_0835,-9.868
DEC_0836,-9.216
DEC_0837,-9.247
DEC_0838,-9.939
DEC_0839,-9.628
DEC_0843,-9.198
DEC_0845,-9.058
DEC_0846,-9.398
DEC_0847,-8.275
DEC_0938,-8.808
DEC_0939,-9.031
DEC_0940,-9.262
DEC_0941,-8.471
DEC_0942,-7.962
DEC_0943,-8.769
DEC_0944,-8.823
DEC_0945,-8.819
DEC_0946,-8.673
DEC_0947,-8.393
DEC_0948,-8.657
DEC_0949,-7.967
DEC_0950,-8.511
DEC_0951,-8.561
DEC_0952,-8.407
DEC_0953,-9.715
DEC_0954,-7.935
DEC_0955,-8.273
DEC_0956,-8.47
DEC_0957,-9.689
DEC_1014,-9.151
DEC_1015,-9.463
DEC_1016,-9.448
DEC_1017,-9.765
DEC_1020,-8.872
DEC_1021,-10.969
DEC_1023,-9.168
DEC_1024,-10.81
DEC_1025,-9.723
DEC_1026,-10.401
DEC_1030,-9.491
DEC_1032,-10.534
DEC_1038,-10.005
DEC_1055,-12.017
DEC_1056,-13.325
DEC_1060,-14.067
DEC_1065,-10.828
DEC_1068,-10.522
DEC_1072,-8.838
DEC_1074,-11.473
DEC_1082,-11.25
DEC_1084,-9.221
DEC_1086,-11.019
DEC_1087,-11.858
DEC_1090,-9.858
DEC_1092,-8.148
DEC_1095,-10.16
DEC_1097,-11.676
DEC_1101,-10.29
DEC_1112,-12.229
DEC_1113,-11.547
DEC_1115,-10.471
DEC_1117,-8.672
DEC_1119,-10.925
DEC_1121,-11.78
DEC_1122,-9.275
DEC_1125,-9.768
DEC_1126,-9.101
DEC_1130,-7.314
DEC_1133,-10.379
DEC_1134,-8.728
DEC_1135,-11.45
DEC_1138,-12.272
DEC_1139,-10.613
DEC_1142,-12.608
DEC_1143,-11.361
DEC_1144,-8.311
DEC_1145,-10.36
DEC_1146,-10.957
DEC_1147,-11.366
DEC_1148,-9.763
DEC_1150,-10.554
DEC_1151,-10.686
DEC_1153,-11.832
DEC_1155,-12.674
DEC_1157,-10.846
DEC_1158,-10.07
DEC_1159,-11.802
DEC_1163,-12.411
DEC_1164,-11.605
DEC_1199,-8.483
DEC_1203,-8.874
DEC_1204,-77.041
DEC_1205,59.211
DEC_1207,-8.243
DEC_1213,-8.049
DEC_1214,-9.017
DEC_1215,-8.544
DEC_1216,-8.279
DEC_1217,-8.564
DEC_1219,-8.187
DEC_1226,-8.443
DEC_1227,-12.288
DEC_1228,-10.901
DEC_1229,-10.972
DEC_1230,-10.89
DEC_1231,-10.036
DEC_1233,-9.221
DEC_1234,-9.766
DEC_1236,-10.11
DEC_1237,-8.822
DEC_1242,-11.662
DEC_1250,-8.482
DEC_1251,-10.459
DEC_1252,-11.892
DEC_1255,-9.469
DEC_1257,-7.66
DEC_1258,-9.1
DEC_1265,-8.208
DEC_1267,-10.264
DEC_1268,-10.601
DEC_1269,47.842
DEC_1270,39.247
DEC_1273,-10.044
DEC_1277,-8.344
DEC_1281,32.446
DEC_1287,-8.6
DEC_1288,-8.42
DEC_1294,-9.666
DEC_1295,-10.669
DEC_1302,-9.453
DEC_1306,-9.241
DEC_1308,-11.092
DEC_1317,-10.721
DEC_1321,-12.481
DEC_1322,-8.667
DEC_1323,-7.89
DEC_1326,-9.268
DEC_1329,-8.567
DEC_1330,-12.667
DEC_1331,-8.435
DEC_1332,-11.062
DEC_1333,-8.244
DEC_1334,-9.822
DEC_1336,-8.239
DEC_1337,65.498
DEC_1338,-11.348
DEC_1339,-10.795
DEC_1340,-8.01
DEC_1341,-12.851
