compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_001,CHEMBL5839894,C[C@@H]1CC[C@@H](C)N1C(=O)[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3ccc(C#N)cn3)ccc1F)N=C(N)S2,8.44,IC50,507.6100000000002,4.994780000000004,1,6,4,95.36999999999999,36,0
ACT_002,CHEMBL1097007,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@@H](NC(C)=O)C(C)C,6.43,IC50,530.7760000000002,2.219300000000003,5,6,18,136.63,36,0
ACT_003,CHEMBL1762552,O=C1C=C(c2ccccc2)C(=O)c2ccccc21,5.03,IC50,234.254,3.1492000000000013,0,2,1,34.14,18,0
ACT_004,CHEMBL559870,Oc1cc(O)c2oc3cc(O)c4oc5cc(O)cc(O)c5oc4c3oc2c1,5.27,IC50,370.2690000000001,4.323800000000002,5,9,0,153.70999999999998,27,0
ACT_005,CHEMBL4282611,c1cc(-c2ccc(NCCCN3CCCCC3)c(OCCN3CCCCC3)c2)ccc1CN1CCCCC1,5.68,IC50,518.7900000000004,6.492100000000008,1,5,12,30.980000000000004,38,0
ACT_006,CHEMBL4109797,CN(C)/N=C(/C[C@](CF)(N[S@+]([O-])C(C)(C)C)c1cccc(Br)c1)C(F)(F)F,7.62,IC50,474.362,4.535700000000004,1,4,7,50.69,27,0
ACT_007,CHEMBL4845912,COc1c(O)c(O)c(C(=O)O)c(C)c1C/C=C(\C)CC/C=C(\C)CCC=C(C)C,5.8,IC50,402.53100000000023,6.074720000000006,3,4,10,86.99,29,0
ACT_008,CHEMBL5194590,C=C1[C@@]23C(=O)O[C@H](C)[C@@]2(O)C(=O)O[C@]1(C)[C@@H](O)C1=C2CO[C@H]4CC(=O)OC(C)(C)[C@@]24CC[C@@]13C,7.11,IC50,474.50600000000037,1.1027999999999993,2,9,0,128.59,34,0
ACT_009,CHEMBL3353633,CN1C(=N)N[C@](CCC2CCCCC2)(C[C@H]2CCCNC2)C1=O,5.07,Ki,320.481,2.4717700000000002,3,3,5,68.22,23,0
ACT_010,CHEMBL4176954,COc1ccc2sc(N)cc2c1,5.67,IC50,179.244,2.4920999999999998,1,3,1,35.25,12,0
ACT_011,CHEMBL1601822,Fc1ccccc1CSc1nc2ccc[nH]c-2n1,6.58,IC50,259.309,3.340900000000002,1,3,3,41.57,18,0
ACT_012,CHEMBL1760853,Cc1cccc(Cc2cc(C[C@@H]3CS(=O)(=O)C[C@H](NCc4cccc(C(C)C)c4)[C@H]3O)ccc2O)c1,5.21,IC50,507.69600000000014,4.521220000000006,3,5,8,86.63000000000001,36,0
ACT_013,CHEMBL1952315,O=C(Nc1ccc(N(CCO)CCO)cc1)c1cnc2cc(Cl)cc(Cl)c2c1O,5.64,IC50,436.29500000000013,3.290500000000002,4,6,7,105.92000000000002,29,0
ACT_014,CHEMBL3650838,NC1=NC2(CO1)c1cc(-c3cncc4ccccc34)ccc1OC1(CCC1)C21COC1,5.3,IC50,413.4770000000003,3.7737000000000034,1,6,1,78.96000000000001,31,0
ACT_015,CHEMBL5287811,C(=N/Nc1nnc(-c2cccs2)c(-c2cccs2)n1)\c1cc2ccccc2[nH]1,6.16,IC50,402.5080000000001,5.255900000000003,2,7,5,78.85,28,0
ACT_016,CHEMBL3904196,C[C@@]1(c2sc(Br)cc2Cl)CS(=O)(=O)C2(CCOCC2)C(=N)N1,5.63,Ki,427.77300000000025,2.9236700000000013,2,5,1,79.25,22,0
ACT_017,CHEMBL425828,COC[C@H](N)[C@H](Cc1cc(F)cc(F)c1)NC(=O)c1cc(N(C)C[C@H]2C[C@@H]2C)nc(N(C)S(C)(=O)=O)c1,7.92,IC50,539.6490000000003,2.1626000000000003,2,7,12,117.85999999999999,37,0
ACT_018,CHEMBL4062641,OC1=C2Nc3ccccc3N=C2OC1c1c[nH]c2ccc(COc3ccccc3)cc12,5.75,IC50,409.44500000000016,5.743500000000004,3,5,4,78.86999999999999,31,0
ACT_019,CHEMBL4764740,FC(F)(F)c1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,6.33,IC50,375.3540000000001,3.477000000000002,0,6,3,58.290000000000006,27,0
ACT_020,CHEMBL362378,CC1(C)C=Cc2c(ccc(C(=O)/C=C/c3ccc(O)cc3)c2O)O1,5.01,IC50,322.36,4.178100000000004,2,4,3,66.76,24,0
ACT_021,CHEMBL2380822,CCCc1scc(-c2cn[nH]c2)c1CC(NC1=NC(C)(C)Cc2cc(Cl)ccc21)c1nccc(=O)[nH]1,6.39,IC50,521.0900000000003,5.482300000000005,3,6,7,98.82,36,0
ACT_022,CHEMBL5085067,CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)(C)OC/C=C\C[C@@H]([C@H](O)CNc2ccc(CC(=O)O)cc2)NC1=O,5.92,IC50,619.7160000000003,0.28820000000000756,8,9,13,229.40999999999997,44,0
ACT_023,CHEMBL579169,OC(CNc1cccc2ccccc12)Cn1c2ccccc2c2ccccc21,5.52,IC50,366.46400000000006,5.4207000000000045,2,2,5,37.19,28,0
ACT_024,CHEMBL3945580,O=C([C@@H]1CNC[C@]12CCCc1nc(Cl)ccc12)N1CCC2(C=Cc3ccccc32)CC1c1ccccc1,6.7,IC50,510.0810000000003,5.857000000000006,1,3,2,45.230000000000004,37,0
ACT_025,CHEMBL5962656,CSC1=NC2(C(=O)N1C)c1cc(Br)ccc1CC21CCc2noc(C)c2C1,7.78,IC50,446.37000000000035,3.8632200000000028,0,5,0,58.7,27,0
ACT_026,CHEMBL5278532,Cc1cc2c(c(C)c1CCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)[C@H](C)[C@H]2O,5.01,IC50,396.4360000000001,-0.4717600000000001,5,8,5,136.68,28,0
ACT_027,CHEMBL1097057,NC1=Nc2ccc3cc2CN1[C@H](C1CCCCC1)CCC(=O)N(C1CCOCC1)CCc1cccc(c1)O3,7.77,Ki,516.6860000000004,5.533500000000006,1,6,2,80.39,38,0
ACT_028,CHEMBL122899,O=c1[nH]c(=O)c2cc[nH]c2[nH]1,6.52,IC50,151.125,-0.4555000000000002,3,2,0,81.50999999999999,11,0
ACT_029,CHEMBL508648,COc1c2ccoc2c(OC[C@@H](O)C(C)(C)O)c2oc(=O)ccc12,5.21,Ki,334.32400000000007,2.0584,2,7,5,102.27000000000001,24,0
ACT_030,CHEMBL2347882,O=C(Nc1cc(Br)ccc1N1CCN(C(=O)c2ccco2)CC1)c1cc2ccccc2o/c1=N\c1ccccc1,6.13,IC50,597.4690000000003,6.235400000000006,1,6,5,91.29,40,0
ACT_031,CHEMBL1957483,NC1=N[C@](c2ccc(OC(F)F)cc2)(c2cccc(OCCCF)c2)C2=NCC(F)(F)CN12,8.1,IC50,468.4260000000003,3.947700000000003,1,6,8,72.44,33,0
ACT_032,CHEMBL404020,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NCCc1ccsc1,6.25,IC50,486.68500000000034,5.358000000000005,2,2,7,72.41,35,0
ACT_033,CHEMBL3586197,CC1(C)C(=O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)CC3=CC(=O)[C@H]4C(C)(C)[C@H](O)CC[C@]4(C)[C@H]3CC[C@@H]12,6.64,IC50,454.6950000000003,6.526900000000008,1,3,0,54.370000000000005,33,0
ACT_034,CHEMBL3948054,Cc1noc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)n1,7.01,IC50,394.48200000000014,1.76862,2,10,3,128.51999999999998,26,0
ACT_035,CHEMBL1241578,CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,6.76,IC50,348.20400000000006,3.124500000000001,2,5,2,89.85,21,0
ACT_036,CHEMBL5559386,COc1cc2ncnc(N3CCN(c4ccc([N+](=O)[O-])cc4)CC3)c2cc1OC,6.14,IC50,395.4190000000002,2.881800000000001,0,8,5,93.86000000000001,29,0
ACT_037,CHEMBL3236220,O=C(NC1CCCCC1)c1c[nH]c2ccc(S(=O)(=O)Nc3ccc(C(F)(F)F)cc3)cc2c1=O,5.14,IC50,493.50700000000023,4.410200000000002,3,4,5,108.13,34,0
