molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL406146,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,IC50,413.0,nM,6.38,CHEMBL653511,B,Inhibitory activity against Beta-secretase 1 was determined,CHEMBL1136466,2003
CHEMBL305381,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C)C(O)CC(C)C(=O)NC(C(=O)NCc1ccccc1)C(C)C,Ki,3134.0,nM,5.5,CHEMBL655069,B,Binding affinity for human brain memapsin 2 beta-Secretase (BACE),CHEMBL1144924,2003
CHEMBL302833,CC(C)C[C@H](NC(=O)[C@H](CS(C)(=O)=O)NC(=O)OC(C)(C)C)C(O)CC(C)C(=O)NC(C(=O)NCc1ccccc1)C(C)C,Ki,1129.0,nM,5.95,CHEMBL655069,B,Binding affinity for human brain memapsin 2 beta-Secretase (BACE),CHEMBL1144924,2003
CHEMBL78946,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,Ki,1.6,nM,8.8,CHEMBL655069,B,Binding affinity for human brain memapsin 2 beta-Secretase (BACE),CHEMBL1144924,2003
CHEMBL65752,CSCC(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](CC(C)C)C(O)CC(C)C(=O)NC(C(=O)NCc1ccccc1)C(C)C,Ki,50.1,nM,7.3,CHEMBL655069,B,Binding affinity for human brain memapsin 2 beta-Secretase (BACE),CHEMBL1144924,2003
CHEMBL65981,CC(C)C[C@H](NC(=O)C(CC(N)=O)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(O)CC(C)C(=O)NC(C)C(=O)NCc1ccccc1,Ki,61.4,nM,7.21,CHEMBL655069,B,Binding affinity for human brain memapsin 2 beta-Secretase (BACE),CHEMBL1144924,2003
CHEMBL66595,CSCCC(NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(O)CC(C)C(=O)NC(C(=O)NCc1ccccc1)C(C)C,Ki,5808.0,nM,5.24,CHEMBL655069,B,Binding affinity for human brain memapsin 2 beta-Secretase (BACE),CHEMBL1144924,2003
CHEMBL293611,CSCCC(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](CC(C)C)C(O)CC(C)C(=O)NC(C(=O)NCc1ccccc1)C(C)C,Ki,2.5,nM,8.6,CHEMBL655069,B,Binding affinity for human brain memapsin 2 beta-Secretase (BACE),CHEMBL1144924,2003
CHEMBL294274,CC(C)C[C@H](NC(=O)C(CS(C)(=O)=O)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(O)CC(C)C(=O)NC(C(=O)NCc1ccccc1)C(C)C,Ki,9.4,nM,8.03,CHEMBL655069,B,Binding affinity for human brain memapsin 2 beta-Secretase (BACE),CHEMBL1144924,2003
CHEMBL304010,CC(C)C[C@H](NC(=O)C(CC(N)=O)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(O)CC(C)C(=O)NC(C(=O)NCc1ccccc1)C(C)C,Ki,5.9,nM,8.23,CHEMBL655069,B,Binding affinity for human brain memapsin 2 beta-Secretase (BACE),CHEMBL1144924,2003
