compound_id,score
DEC_1810,-7.456
DEC_2544,-5.026
DEC_3097,-8.701
DEC_0856,0.0
DEC_3480,-9.762
DEC_1780,-7.064
DEC_2285,-8.157
DEC_0445,0.0
DEC_3273,0.0
DEC_0567,-8.206
DEC_2886,0.0
DEC_3645,0.0
DEC_1212,0.0
DEC_2425,-8.073
DEC_1567,0.0
DEC_2104,-8.458
DEC_0770,-7.372
DEC_1003,-8.366
DEC_2087,0.0
DEC_3939,-7.518
DEC_2465,-8.46
DEC_0922,0.0
DEC_0263,-7.295
DEC_1343,-9.105
ACT_004,0.0
DEC_2130,-7.889
DEC_3543,0.0
DEC_1679,0.0
DEC_0049,-8.68
DEC_2526,-7.183
DEC_2580,-6.554
DEC_3526,0.0
DEC_0095,-6.954
DEC_1969,-8.646
DEC_3133,-8.637
DEC_0222,0.0
DEC_2272,-8.345
DEC_1859,0.0
DEC_3916,0.0
DEC_2091,0.0
DEC_1305,0.0
DEC_0547,-8.724
DEC_1466,0.0
DEC_1559,0.0
DEC_2905,-9.013
DEC_0739,-8.28
DEC_4126,-8.288
DEC_2938,-9.066
DEC_2192,-8.088
DEC_2340,-5.76
DEC_4180,0.0
DEC_4158,0.0
DEC_3135,-9.049
DEC_0332,-6.837
DEC_3912,0.0
DEC_4319,0.0
DEC_4060,-7.715
DEC_3676,0.0
DEC_0937,0.0
DEC_0032,-8.505
DEC_1812,-8.544
DEC_3388,-8.368
DEC_1526,-6.643
DEC_2840,0.0
DEC_2039,0.0
DEC_3047,0.0
DEC_0792,-6.001
DEC_0379,-6.992
DEC_1308,0.0
DEC_3191,-9.315
DEC_1817,-8.062
DEC_1400,-9.885
DEC_0976,-7.095
DEC_0148,-8.667
DEC_1481,-8.139
ACT_074,0.0
DEC_3475,-8.711
DEC_1491,-8.014
DEC_1703,0.0
DEC_2138,-7.948
DEC_0364,-5.525
DEC_4039,0.0
DEC_3415,0.0
DEC_2522,-6.95
DEC_0771,-7.967
DEC_2759,-8.75
DEC_3770,-8.549
DEC_4083,-8.773
DEC_1355,0.0
DEC_1455,0.0
DEC_4222,-6.097
DEC_2623,-7.103
DEC_0093,-6.499
DEC_4033,0.0
DEC_1904,-7.788
DEC_3767,-8.672
DEC_2530,-5.857
DEC_2165,-7.842
DEC_0601,-7.591
DEC_2622,-6.102
DEC_1130,-8.628
DEC_1356,0.0
DEC_1154,-7.746
DEC_3087,-7.142
DEC_1708,0.0
DEC_2149,-8.055
DEC_3358,-8.134
DEC_2939,-8.894
DEC_0540,-8.031
DEC_1866,0.0
DEC_0167,0.0
ACT_083,-7.418
DEC_2500,-7.562
DEC_3819,0.0
DEC_2842,0.0
DEC_4281,-8.058
DEC_0595,-7.657
DEC_1471,-6.994
DEC_2357,-8.715
DEC_0826,-7.443
DEC_2044,-7.474
DEC_2574,-8.21
DEC_0009,-9.561
DEC_3496,-8.205
DEC_0454,0.0
DEC_0837,0.0
DEC_2692,0.0
DEC_1113,-8.798
DEC_0338,-7.587
DEC_3452,-6.963
DEC_2821,-7.45
DEC_1914,-9.351
DEC_4218,-6.329
DEC_3691,0.0
DEC_2412,-8.852
DEC_0280,-8.834
DEC_3395,-9.228
DEC_2949,-7.691
DEC_1143,-8.422
ACT_040,0.0
DEC_1624,-5.809
DEC_2559,-8.149
DEC_2722,0.0
DEC_4251,-7.447
DEC_1248,0.0
DEC_3920,0.0
DEC_1142,-9.761
DEC_4276,-7.933
DEC_0113,0.0
DEC_4245,-5.768
DEC_3113,-7.926
DEC_0658,-8.348
DEC_0969,-6.427
DEC_0773,-6.594
DEC_0474,-7.844
DEC_1889,0.0
DEC_0238,-8.045
DEC_0911,0.0
DEC_3626,0.0
DEC_2336,-4.922
DEC_0624,0.0
DEC_2967,0.0
DEC_1523,-6.732
DEC_0253,-7.244
DEC_0701,-8.472
DEC_2484,-8.969
DEC_0652,-7.94
DEC_3021,-8.252
DEC_2101,0.0
DEC_3470,-8.615
DEC_4131,0.0
DEC_0871,-9.199
DEC_1765,-7.733
DEC_2736,0.0
DEC_2114,-8.114
DEC_0133,-7.861
DEC_1778,-5.58
DEC_3577,-7.626
ACT_006,0.0
DEC_1640,-8.166
DEC_3868,0.0
DEC_4259,-8.139
DEC_3406,0.0
DEC_3459,0.0
DEC_2898,-8.472
DEC_1047,-8.779
DEC_0067,-7.129
DEC_3789,0.0
DEC_1115,-9.913
DEC_3104,-8.763
DEC_2856,0.0
DEC_3697,0.0
DEC_2848,0.0
DEC_1986,-9.258
DEC_3333,-9.13
DEC_1259,0.0
DEC_0165,0.0
DEC_2551,-7.133
DEC_1162,0.0
DEC_2685,-8.76
ACT_099,-7.425
DEC_1761,-6.16
DEC_0809,-7.967
DEC_0085,-6.052
DEC_3743,0.0
DEC_1235,0.0
DEC_3072,-7.998
DEC_2248,0.0
DEC_3537,0.0
DEC_3222,-6.688
ACT_064,0.0
DEC_4092,-8.038
DEC_1051,-8.656
DEC_2537,-6.213
DEC_0160,-8.628
DEC_3728,0.0
DEC_1721,-7.886
DEC_0662,-8.346
DEC_3116,-8.463
DEC_0289,0.0
DEC_4198,0.0
DEC_3772,-8.551
DEC_4152,0.0
DEC_1555,0.0
DEC_3362,-9.368
DEC_3369,-6.246
DEC_3763,0.0
DEC_2134,-8.709
DEC_3316,0.0
DEC_2381,0.0
DEC_3471,-8.238
DEC_1362,0.0
DEC_4206,0.0
DEC_0045,-8.237
DEC_0991,0.0
DEC_2263,0.0
DEC_2222,-8.482
DEC_1630,-5.728
DEC_1050,-7.581
DEC_4071,-7.232
DEC_2737,0.0
DEC_0272,-7.102
DEC_1762,-5.907
DEC_1414,-7.768
DEC_3807,0.0
DEC_4305,-7.481
DEC_3795,0.0
DEC_1755,-7.837
DEC_2659,-8.194
DEC_0528,-9.368
DEC_1709,0.0
DEC_0816,-7.728
DEC_1149,-10.194
DEC_0486,-8.198
DEC_2419,-8.54
DEC_2489,-9.273
DEC_3771,-7.659
DEC_0908,0.0
DEC_3779,-9.079
DEC_4067,-8.346
DEC_3760,0.0
DEC_0198,0.0
DEC_1901,0.0
DEC_1831,-9.125
DEC_1897,-9.418
DEC_0360,-5.373
DEC_1464,0.0
DEC_2401,0.0
DEC_2788,0.0
DEC_2495,-8.718
DEC_0585,-8.694
DEC_2880,0.0
DEC_1250,0.0
ACT_038,0.0
DEC_3975,-7.464
DEC_2697,0.0
DEC_2324,-5.64
DEC_1671,-6.803
DEC_1566,0.0
DEC_2988,-7.212
DEC_4165,0.0
DEC_1254,0.0
DEC_3205,-7.296
DEC_1853,0.0
DEC_0316,-6.887
DEC_0385,-5.915
DEC_3241,-6.296
DEC_4082,-8.573
DEC_3419,0.0
DEC_1347,0.0
DEC_1797,-7.993
DEC_0455,0.0
DEC_4000,-6.921
DEC_0220,0.0
DEC_0346,0.0
DEC_3184,-7.864
DEC_3568,-7.697
DEC_2040,0.0
DEC_3953,0.0
DEC_4115,-7.979
DEC_0153,-8.166
DEC_2752,0.0
DEC_3623,-8.832
DEC_2535,-6.368
DEC_0189,0.0
DEC_3070,-6.851
DEC_0081,-4.727
DEC_2406,0.0
DEC_0600,-8.227
DEC_3059,-7.076
DEC_1374,-7.976
DEC_2226,-8.91
DEC_2146,-7.37
DEC_1038,0.0
DEC_2224,-8.912
DEC_2884,0.0
DEC_1447,0.0
DEC_0195,0.0
DEC_1201,0.0
DEC_3751,0.0
DEC_2876,0.0
DEC_2081,-7.793
DEC_3391,-9.139
DEC_0627,0.0
DEC_4014,0.0
ACT_082,-6.703
DEC_0388,0.0
DEC_4103,-8.615
DEC_3345,-8.488
DEC_3434,0.0
DEC_1029,0.0
DEC_4019,0.0
DEC_1651,-8.021
DEC_0605,-8.401
DEC_0013,-8.731
DEC_1435,0.0
DEC_3250,-8.338
DEC_1101,-7.732
DEC_1563,0.0
DEC_0801,-7.692
DEC_0099,-6.096
DEC_3924,0.0
DEC_3062,-7.9
DEC_2267,-6.767
DEC_2476,-8.242
DEC_4011,0.0
DEC_1998,-9.429
DEC_2705,0.0
DEC_2913,-8.862
DEC_2992,-6.882
DEC_0434,0.0
DEC_0590,-7.938
DEC_0729,-7.718
DEC_3416,0.0
DEC_1516,-7.035
DEC_1962,-8.669
DEC_1116,-9.163
DEC_4214,-8.102
DEC_0458,0.0
DEC_0097,-7.607
DEC_1645,-6.641
DEC_2778,0.0
DEC_0909,0.0
DEC_1137,-9.863
DEC_3212,-7.049
DEC_3492,-8.821
DEC_3138,-9.127
DEC_1054,-8.682
