compound_id,score
DEC_1810,-8.488
DEC_2544,0.0
DEC_3097,-8.91
DEC_0856,0.0
DEC_3480,-9.879
DEC_1780,-7.179
DEC_2285,0.0
DEC_0445,0.0
DEC_3273,0.0
DEC_0567,0.0
DEC_2886,0.0
DEC_3645,-8.819
DEC_1212,0.0
DEC_2425,-8.591
DEC_1567,0.0
DEC_2104,0.0
DEC_0770,0.0
DEC_1003,0.0
DEC_2087,-6.976
DEC_3939,0.0
DEC_2465,-9.12
DEC_0922,-8.899
DEC_0263,0.0
DEC_1343,-8.991
ACT_004,0.0
DEC_2130,-8.857
DEC_3543,0.0
DEC_1679,0.0
DEC_0049,0.0
DEC_2526,-7.499
DEC_2580,-6.888
DEC_3526,0.0
DEC_0095,-6.963
DEC_1969,0.0
DEC_3133,-9.543
DEC_0222,0.0
DEC_2272,0.0
DEC_1859,-9.645
DEC_3916,0.0
DEC_2091,-6.84
DEC_1305,-8.947
DEC_0547,-8.933
DEC_1466,-5.304
DEC_1559,0.0
DEC_2905,0.0
DEC_0739,0.0
DEC_4126,0.0
DEC_2938,0.0
DEC_2192,-7.766
DEC_2340,0.0
DEC_4180,-8.862
DEC_4158,0.0
DEC_3135,-9.066
DEC_0332,-7.544
DEC_3912,-8.41
DEC_4319,0.0
DEC_4060,0.0
DEC_3676,0.0
DEC_0937,0.0
DEC_0032,0.0
DEC_1812,0.0
DEC_3388,-9.081
DEC_1526,-107.267
DEC_2840,0.0
DEC_2039,-8.272
DEC_3047,-7.838
DEC_0792,-6.099
DEC_0379,0.0
DEC_1308,0.0
DEC_3191,0.0
DEC_1817,0.0
DEC_1400,-9.388
DEC_0976,-7.262
DEC_0148,0.0
DEC_1481,-8.119
ACT_074,-8.372
DEC_3475,-8.915
DEC_1491,-8.322
DEC_1703,0.0
DEC_2138,0.0
DEC_0364,0.0
DEC_4039,0.0
DEC_3415,0.0
DEC_2522,-6.777
DEC_0771,0.0
DEC_2759,-8.796
DEC_3770,0.0
DEC_4083,-8.778
DEC_1355,0.0
DEC_1455,0.0
DEC_4222,0.0
DEC_2623,-56.721
DEC_0093,-6.435
DEC_4033,-7.452
DEC_1904,-7.901
DEC_3767,0.0
DEC_2530,0.0
DEC_2165,-8.005
DEC_0601,0.0
DEC_2622,0.0
DEC_1130,0.0
DEC_1356,0.0
DEC_1154,-7.939
DEC_3087,0.0
DEC_1708,0.0
DEC_2149,-7.908
DEC_3358,0.0
DEC_2939,0.0
DEC_0540,0.0
DEC_1866,0.0
DEC_0167,0.0
ACT_083,0.0
DEC_2500,-7.755
DEC_3819,0.0
DEC_2842,0.0
DEC_4281,0.0
DEC_0595,0.0
DEC_1471,0.0
DEC_2357,-8.952
DEC_0826,0.0
DEC_2044,0.0
DEC_2574,0.0
DEC_0009,0.0
DEC_3496,-8.775
DEC_0454,0.0
DEC_0837,0.0
DEC_2692,0.0
DEC_1113,0.0
DEC_0338,0.0
DEC_3452,0.0
DEC_2821,0.0
DEC_1914,-9.739
DEC_4218,0.0
DEC_3691,-8.962
DEC_2412,0.0
DEC_0280,0.0
DEC_3395,-8.333
DEC_2949,0.0
DEC_1143,-8.7
ACT_040,-7.832
DEC_1624,0.0
DEC_2559,-9.108
DEC_2722,0.0
DEC_4251,-7.278
DEC_1248,0.0
DEC_3920,0.0
DEC_1142,0.0
DEC_4276,-7.717
DEC_0113,-0.478
DEC_4245,0.0
DEC_3113,0.0
DEC_0658,0.0
DEC_0969,0.0
DEC_0773,-6.719
DEC_0474,-8.124
DEC_1889,13.271
DEC_0238,0.0
DEC_0911,0.0
DEC_3626,-8.686
DEC_2336,0.0
DEC_0624,0.0
DEC_2967,0.0
DEC_1523,-83.939
DEC_0253,0.0
DEC_0701,-8.64
DEC_2484,0.0
DEC_0652,0.0
DEC_3021,0.0
DEC_2101,0.0
DEC_3470,-8.869
DEC_4131,-8.765
DEC_0871,0.0
DEC_1765,0.0
DEC_2736,0.0
DEC_2114,0.0
DEC_0133,0.0
DEC_1778,0.0
DEC_3577,0.0
ACT_006,0.0
DEC_1640,0.0
DEC_3868,0.0
DEC_4259,-8.618
DEC_3406,-8.866
DEC_3459,0.0
DEC_2898,0.0
DEC_1047,0.0
DEC_0067,0.0
DEC_3789,0.0
DEC_1115,0.0
DEC_3104,-9.557
DEC_2856,0.0
DEC_3697,-9.021
DEC_2848,0.0
DEC_1986,-10.387
DEC_3333,-8.816
DEC_1259,0.0
DEC_0165,0.0
DEC_2551,0.0
DEC_1162,-6.599
DEC_2685,0.0
ACT_099,0.0
DEC_1761,0.0
DEC_0809,-7.891
DEC_0085,-5.947
DEC_3743,0.0
DEC_1235,0.0
DEC_3072,-8.011
DEC_2248,-9.304
DEC_3537,-7.6
DEC_3222,-7.357
ACT_064,0.0
DEC_4092,0.0
DEC_1051,-8.45
DEC_2537,0.0
DEC_0160,0.0
DEC_3728,-8.258
DEC_1721,0.0
DEC_0662,0.0
DEC_3116,0.0
DEC_0289,0.0
DEC_4198,-7.864
DEC_3772,-9.067
DEC_4152,-8.86
DEC_1555,-8.168
DEC_3362,-8.966
DEC_3369,0.0
DEC_3763,-7.745
DEC_2134,0.0
DEC_3316,-81.414
DEC_2381,0.0
DEC_3471,-8.296
DEC_1362,0.0
DEC_4206,-8.656
DEC_0045,0.0
DEC_0991,0.0
DEC_2263,0.0
DEC_2222,-8.505
DEC_1630,0.0
DEC_1050,0.0
DEC_4071,0.0
DEC_2737,0.0
DEC_0272,0.0
DEC_1762,0.0
DEC_1414,-8.155
DEC_3807,0.0
DEC_4305,-7.522
DEC_3795,0.0
DEC_1755,0.0
DEC_2659,-7.698
DEC_0528,0.0
DEC_1709,-9.479
DEC_0816,-7.736
DEC_1149,0.0
DEC_0486,0.0
DEC_2419,-8.542
DEC_2489,0.0
DEC_3771,-10.758
DEC_0908,-7.641
DEC_3779,-9.435
DEC_4067,-8.642
DEC_3760,-8.945
DEC_0198,0.0
DEC_1901,-9.134
DEC_1831,0.0
DEC_1897,0.0
DEC_0360,0.0
DEC_1464,-6.417
DEC_2401,-8.429
DEC_2788,-8.836
DEC_2495,-9.296
DEC_0585,-8.625
DEC_2880,-10.773
DEC_1250,0.0
ACT_038,0.0
DEC_3975,-8.202
DEC_2697,0.0
DEC_2324,0.0
DEC_1671,-7.149
DEC_1566,-9.056
DEC_2988,0.0
DEC_4165,0.0
DEC_1254,0.0
DEC_3205,-7.441
DEC_1853,0.0
DEC_0316,0.0
DEC_0385,0.0
DEC_3241,-6.342
DEC_4082,0.0
DEC_3419,-9.535
DEC_1347,-39.661
DEC_1797,-9.088
DEC_0455,0.0
DEC_4000,0.0
DEC_0220,0.0
DEC_0346,0.0
DEC_3184,-8.431
DEC_3568,0.0
DEC_2040,-8.099
DEC_3953,0.0
DEC_4115,-7.942
DEC_0153,0.0
