compound_id,score
ACT_002,-7.049
ACT_003,-7.521
ACT_004,-8.76
ACT_005,-7.794
ACT_006,-6.398
ACT_007,-7.452
ACT_008,-9.659
ACT_009,-8.005
ACT_013,-6.877
ACT_015,-8.143
ACT_016,-7.973
ACT_020,-8.74
ACT_022,36.007
ACT_024,-10.217
ACT_029,-7.241
ACT_031,-8.317
ACT_032,-8.955
ACT_036,-7.485
ACT_038,-7.717
ACT_039,-5.559
ACT_041,-9.303
ACT_042,-6.754
ACT_045,-8.903
ACT_046,-8.547
ACT_048,-8.618
ACT_049,-7.98
ACT_050,-7.963
ACT_051,-9.144
ACT_055,-9.792
ACT_056,-8.716
ACT_058,-6.223
ACT_059,-7.092
ACT_061,-8.334
ACT_063,-9.328
ACT_064,-7.803
ACT_065,-8.787
ACT_066,-9.257
ACT_067,-9.836
ACT_068,-5.181
ACT_069,-9.847
ACT_073,-8.66
ACT_076,-6.905
ACT_077,-103.005
ACT_078,-7.308
ACT_079,-5.167
ACT_080,-9.421
ACT_081,-8.508
ACT_083,-7.59
ACT_084,-9.639
ACT_087,-9.168
ACT_091,-8.174
ACT_092,-8.891
ACT_094,-92.931
ACT_095,-8.132
ACT_097,-8.87
ACT_098,-8.656
ACT_099,-7.908
ACT_100,-6.598
DEC_0001,-2.594
DEC_0005,-9.564
DEC_0007,-9.202
DEC_0008,-9.109
DEC_0009,-9.338
DEC_0010,-8.815
DEC_0013,-8.448
DEC_0015,-8.293
DEC_0018,-10.406
DEC_0019,-8.861
DEC_0020,-8.788
DEC_0021,-9.074
DEC_0022,-9.626
DEC_0023,-8.813
DEC_0024,-8.271
DEC_0025,-8.868
DEC_0026,-2.413
DEC_0027,-8.684
DEC_0028,-8.827
DEC_0029,-8.676
DEC_0030,-8.834
DEC_0031,-9.037
DEC_0032,-8.85
DEC_0035,-8.491
DEC_0036,-8.664
DEC_0037,-9.316
DEC_0038,-8.485
DEC_0040,-9.809
DEC_0042,-10.476
DEC_0043,-10.272
DEC_0044,-8.759
DEC_0045,-8.98
DEC_0046,-9.135
DEC_0047,-9.013
DEC_0048,-8.728
DEC_0049,-9.251
DEC_0050,-8.759
DEC_0052,-7.352
DEC_0053,-6.602
DEC_0054,-6.683
DEC_0057,-7.544
DEC_0058,-7.608
DEC_0059,-7.961
DEC_0060,-7.434
DEC_0061,-7.914
DEC_0062,-7.347
DEC_0064,-7.308
DEC_0065,-7.53
DEC_0066,-7.769
DEC_0067,-7.232
DEC_0068,-8.064
DEC_0069,-6.883
DEC_0071,-6.839
DEC_0072,-8.65
DEC_0073,-7.887
DEC_0078,-6.8
DEC_0079,-6.061
DEC_0080,-6.004
DEC_0081,-4.943
DEC_0082,-6.637
DEC_0084,-7.216
DEC_0105,-6.605
DEC_0109,-47.604
DEC_0111,-4.246
DEC_0112,-227.108
DEC_0120,-7.341
DEC_0121,-6.18
DEC_0122,-6.708
DEC_0123,-6.628
DEC_0126,-6.94
DEC_0128,-9.246
DEC_0129,-8.867
DEC_0130,-7.659
DEC_0131,-7.919
DEC_0132,-8.158
DEC_0133,-8.009
DEC_0135,-7.516
DEC_0136,-8.138
DEC_0137,-8.336
DEC_0138,-8.283
DEC_0139,-8.122
DEC_0141,-8.194
DEC_0142,-7.717
DEC_0143,-7.746
DEC_0144,-8.077
DEC_0145,-8.597
DEC_0146,-9.14
DEC_0147,-7.49
DEC_0148,-8.504
DEC_0149,-8.299
DEC_0150,-8.815
DEC_0151,-7.974
DEC_0152,-8.577
DEC_0153,-8.227
DEC_0154,-8.519
DEC_0155,-8.649
DEC_0156,-8.26
DEC_0157,-7.079
DEC_0158,-7.649
DEC_0159,-9.428
DEC_0160,-8.622
DEC_0161,-7.201
DEC_0229,-8.514
DEC_0230,-7.77
DEC_0231,-6.675
DEC_0232,-7.672
DEC_0233,-7.937
DEC_0234,-6.874
DEC_0235,-8.263
DEC_0236,-7.938
DEC_0237,-8.384
DEC_0238,-8.165
DEC_0239,-7.999
DEC_0240,-8.509
DEC_0241,-7.712
DEC_0243,-8.011
DEC_0244,-7.279
DEC_0245,-6.784
DEC_0246,-5.837
DEC_0247,-6.992
DEC_0248,-8.367
DEC_0251,-7.568
DEC_0252,-8.213
DEC_0253,-7.148
DEC_0254,-6.95
DEC_0255,-7.676
DEC_0257,-7.527
DEC_0259,-7.301
DEC_0260,-8.055
DEC_0262,-6.926
DEC_0263,-7.106
DEC_0265,-6.53
DEC_0266,-7.385
DEC_0267,-8.033
