compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_001,CHEMBL5971879,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN[C@H]5C)ncc3F)cc2n1C(C)(C)C,7.84,IC50,463.5360000000002,5.180220000000004,2,6,3,80.55000000000001,34,0
ACT_002,CHEMBL1998611,NC(=O)c1sc2c(Br)ccc(Cl)c2c1N,6.3,Ki,305.58400000000006,2.9983000000000004,2,3,1,69.11,15,0
ACT_003,CHEMBL5589612,CO[C@@]1(C)[C@H](O)C(=O)C(C)=C2OC(=O)c3c(C)cc(O)c(C)c3O[C@@H]21,6.19,IC50,348.35100000000006,1.5495400000000001,2,7,1,102.29000000000002,25,0
ACT_004,CHEMBL303958,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,5.89,Ki,251.28999999999994,1.998,2,7,4,116.47999999999999,18,0
ACT_005,CHEMBL5407116,S=C(Nc1ccccc1)N1CCN(c2nnc(Cc3ccccc3)c3ccccc23)CC1,6.62,IC50,439.5880000000002,4.739600000000004,1,4,4,44.29,32,0
ACT_006,CHEMBL233554,CN(C)CCNS(=O)(=O)c1ccc(-c2ccc(/C=C3\SC(=N)NC3=O)o2)cc1,6.24,IC50,420.5160000000001,1.9251700000000003,3,7,7,115.50000000000001,28,0
ACT_007,CHEMBL2000114,CSc1c[nH]c2ncnc(NCCCO)c12,5.5,Ki,238.31599999999995,1.4741,3,5,5,73.83,16,0
ACT_008,CHEMBL1081105,N[C@H](CCc1cc(-c2ccc3cnccc3c2)no1)Cc1ccc(C(F)(F)F)cc1,6.93,IC50,411.4270000000001,5.411200000000004,1,4,6,64.94,30,0
ACT_009,CHEMBL1257080,Cc1nc(/N=N/c2ccc(C(=O)O)cc2)c(COP(=O)(O)O)c(C=O)c1O,5.75,IC50,395.26400000000007,2.6310200000000026,4,8,7,178.97,27,0
ACT_010,CHEMBL415471,N#CCCc1cc(-c2ccc[nH]2)c2c3c(ccc(F)c13)NC2=O,8.3,IC50,305.312,3.9958800000000014,2,2,3,68.68,23,0
ACT_011,CHEMBL540752,Cc1nnc2sc(S)nn12,5.17,IC50,172.23800000000003,0.7829199999999996,1,5,0,43.08,10,0
ACT_012,CHEMBL488270,O=C1C2=C(C(=O)N1CCCSC1=NCCN1)n1ccc3cccc(c31)C1Cc3ccccc3N21,5.11,IC50,469.5700000000002,3.3786000000000023,1,6,4,69.94,34,0
ACT_013,CHEMBL430507,CN(C)CC(O)COc1ccc(Nc2nccc(N(CC#N)c3cc(Cl)ccc3Cl)n2)cc1,6.16,IC50,487.39100000000025,4.489980000000004,2,8,10,97.54,33,0
ACT_014,CHEMBL1230607,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,8.1,IC50,361.4900000000002,2.3134000000000006,2,4,4,81.33,26,0
ACT_015,CHEMBL5401470,O=C(O)c1ccc([N+](=O)[O-])c2c1NC(c1ccc(Cl)cc1)C1CC=CC21,5.03,IC50,370.7920000000001,4.772900000000003,2,4,3,92.47,26,0
ACT_016,CHEMBL380500,Nc1nccc(-c2c3c(O)ccnc3n3c(N)nccc23)n1,7.1,IC50,293.29,1.2094999999999998,3,7,1,128.24,22,0
ACT_017,CHEMBL505474,CC(C)(C)c1cnc(CSc2cnc(NC3CCCC(N)C3)s2)o1,6.8,IC50,366.55600000000015,4.402700000000003,2,7,5,76.97,24,0
ACT_018,CHEMBL233152,Cc1cc(N2CCCS2(=O)=O)c2oc(-c3ccc(O)c(C#N)c3)c(O)c(=O)c2c1,5.85,IC50,412.4230000000002,2.5912000000000006,2,7,2,131.84,29,0
ACT_019,CHEMBL2035052,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC/1,6.57,IC50,473.57700000000017,4.612100000000003,1,8,4,81.63000000000001,35,0
ACT_020,CHEMBL4126111,C=C1CCC[C@H]2[C@]3(C)CC4=C(O[C@]3(C)CC[C@]12C)C(=O)C=C(NC)C4=O,5.32,Kd,355.47800000000007,3.8373000000000026,1,4,1,55.4,26,0
ACT_021,CHEMBL4062453,CN(C)CCn1cc(-c2ccn3c(-c4ccc(C(N)=O)c(OCc5cccc(F)c5)c4)cnc3c2)cn1,6.43,IC50,498.56200000000024,4.243400000000003,1,5,9,90.68,37,0
ACT_022,CHEMBL1975256,Nc1nonc1-n1nnc(C(=O)NN=Cc2cccs2)c1-c1cccs1,5.8,Ki,386.4220000000001,1.7864000000000004,2,10,5,137.11,26,0
ACT_023,CHEMBL1809109,CS(=O)(=O)Nc1cccc(-c2c[nH]c(=O)c3cc(-c4ccnc5[nH]ccc45)sc23)c1,5.5,IC50,436.51800000000014,4.171400000000002,3,5,4,107.71000000000001,30,0
ACT_024,CHEMBL1969042,Oc1ccc(Nc2[nH]nc(-c3ccc(O)cc3)c2-c2ccc(O)cc2)cc1,5.9,Ki,359.38500000000005,4.6041000000000025,5,5,4,101.4,27,0
ACT_025,CHEMBL215803,C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,8.47,IC50,403.4420000000002,2.912900000000001,2,7,0,96.53000000000002,30,0
ACT_026,CHEMBL2322701,Cc1[nH]nc2c1N=C(c1ccccc1Cl)c1cc(N)ccc1N2,7.06,IC50,323.78700000000003,4.179820000000001,3,4,1,79.09,23,0
ACT_027,CHEMBL1994241,COc1cc(C=C(C#N)c2nc3ccccc3[nH]2)c(Br)cc1O,6.0,Ki,370.206,4.103780000000002,2,4,3,81.92999999999999,23,0
ACT_028,CHEMBL301138,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccccc21,5.85,IC50,342.3540000000001,3.4917000000000016,1,3,2,64.24000000000001,26,0
ACT_029,CHEMBL1708376,Cc1nn(-c2nccs2)c2c1C(=O)CC(C)(C)C2Br,5.32,Kd,340.2459999999999,3.685820000000003,0,4,1,47.78,19,0
ACT_030,CHEMBL3655762,CC[C@H](Nc1nc(NCc2cnc(C)cc2C)c2ncn(C(C)C)c2n1)[C@@H](C)O,8.35,IC50,397.5270000000001,3.6024400000000028,3,7,8,100.78,29,0
ACT_031,CHEMBL209280,Nc1nc(Nc2ccc(S(=O)(=O)NC(=O)CCC(=O)O)cc2)nn1C(=O)c1c(F)cccc1F,7.15,IC50,494.4360000000001,1.2402999999999993,4,9,8,186.36999999999995,34,0
ACT_032,CHEMBL2143507,CC(=O)Nc1ccc(C(C)C(=O)Nc2ncc(C(C)C)s2)cc1,7.51,IC50,331.44100000000003,3.967100000000003,2,4,5,71.09,23,0
ACT_033,CHEMBL1994830,Nc1nnc(-c2cc3c(Oc4ccc(Cl)cc4)cncc3s2)o1,6.2,Ki,344.7830000000001,4.374200000000002,1,7,3,87.06,23,0
ACT_034,CHEMBL248757,N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2,5.51,Ki,471.93000000000006,4.265680000000002,3,9,3,134.08,32,0
ACT_035,CHEMBL1988437,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,5.1,Ki,386.48,4.639100000000004,2,4,5,70.67,28,0
ACT_036,CHEMBL2003637,O=[N+]([O-])c1cccc(-c2nnc3ccc(N4CCCCC4)nn23)c1,6.2,Ki,324.34400000000005,2.6898,0,6,3,89.46,24,0
ACT_037,CHEMBL396377,NC1=NC(=O)/C(=C/c2ccc3ncccc3c2)S1,5.7,Ki,255.302,2.1638,1,4,1,68.34,18,0
ACT_038,CHEMBL334285,O=C(Nc1cccc2c1C(=O)c1c(-c3ccc(C(=O)N4CCNCC4)s3)n[nH]c1-2)NN1CCOCC1,8.1,IC50,507.5760000000003,1.7637000000000003,4,8,4,131.69,36,0
ACT_039,CHEMBL2007044,CCN(CC)CC#Cc1ccc2c(c1)-c1[nH]nc(-c3ccc(C#N)nc3)c1C2,5.2,Ki,367.45600000000013,3.6078800000000024,1,4,4,68.6,28,0
ACT_040,CHEMBL5177986,Cn1cc(S(=O)(=O)N2CCC(Nc3ncc4c(n3)N([C@@H]3CCC[C@@H](O)C3)C(=O)C43CC3)CC2)cn1,6.5,IC50,501.61300000000045,1.156999999999999,2,8,5,133.55,35,0
ACT_041,CHEMBL1969502,O=C1NN=Cc2c[nH]c3cc(NC(=O)C4CC4c4ccccc4)cc1c23,6.2,Ki,344.374,2.987400000000002,3,3,3,86.35,26,0
ACT_042,CHEMBL502651,Nc1ccc(CN/C=C2\C(=O)NC(=O)c3ccc(Br)cc32)cc1O,5.17,IC50,388.22100000000006,2.1376000000000004,4,5,3,104.45,24,0
ACT_043,CHEMBL4161364,N=c1[nH]c(=O)[nH]c2c1cnn2-c1ccc(S(N)(=O)=O)cc1,6.72,IC50,306.307,-0.8312299999999999,4,5,2,150.48,21,0
ACT_044,CHEMBL225519,O=C1NCCc2[nH]c(-c3ccncc3)cc21,6.62,IC50,213.24000000000004,1.3626,2,2,1,57.78,16,0
ACT_045,CHEMBL1988173,Cc1cc(Cl)ccc1NC(=S)NNC(=O)C(O)(c1ccccc1)c1ccccc1,6.5,Ki,425.9410000000001,3.902120000000001,4,3,4,73.39,29,0
ACT_046,CHEMBL1725279,Oc1c2ccccc2c2c3c(cccc13)N=N2,7.1,Ki,220.231,4.427400000000002,1,3,0,44.95,17,0
ACT_047,CHEMBL1980715,CCCCCCCCCCCCOc1ccc(NC(=N)N)cc1NC(=N)N,5.3,Ki,376.54900000000004,4.597040000000001,6,3,14,133.03,27,0
ACT_048,CHEMBL272171,NC(=O)c1c(NC(=O)CN2C(=O)CCC2=O)sc2c1CCC2,5.12,IC50,321.3580000000001,0.4231999999999987,2,5,4,109.57,22,0
