molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL260416,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Br)c3)ccc12)C1CC1,IC50,2.0,nM,8.7,CHEMBL661128,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136207,2003
CHEMBL84944,CC(C)C(CO)Nc1nc(NCc2cccc(O)c2)c2ncn(C(C)C)c2n1,IC50,30.0,nM,7.52,CHEMBL661130,B,Inhibition of Cyclin-dependent kinase 2,CHEMBL1133758,2000
CHEMBL419720,CN(C)CC(O)COc1ccc(Nc2ncc(Br)c(N(CCCC(F)(F)F)c3ccccc3)n2)cc1,IC50,200.0,nM,6.7,CHEMBL660784,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136192,2003
CHEMBL260929,O=C(Nc1n[nH]c2cc(-c3ccc[nH]3)ccc12)C1CC1,IC50,497.0,nM,6.3,CHEMBL661128,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136207,2003
CHEMBL86066,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc21,IC50,8000.0,nM,5.1,CHEMBL661130,B,Inhibition of Cyclin-dependent kinase 2,CHEMBL1133758,2000
CHEMBL101311,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1,IC50,1000.0,nM,6.0,CHEMBL660784,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136192,2003
CHEMBL260231,O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CC1,IC50,639.0,nM,6.19,CHEMBL661128,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136207,2003
CHEMBL99689,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3C#N)n2)cc1,IC50,4000.0,nM,5.4,CHEMBL660784,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136192,2003
CHEMBL260163,O=C(Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12)C1CC1,IC50,5.0,nM,8.3,CHEMBL661128,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136207,2003
CHEMBL421207,O=C(Nc1n[nH]c2cc(-c3ccco3)ccc12)C1CC1,IC50,631.0,nM,6.2,CHEMBL661128,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136207,2003
CHEMBL427909,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(-c3ccccc3)cc12)C1CC1,IC50,5.0,nM,8.3,CHEMBL661128,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136207,2003
CHEMBL315837,CC(C)n1cnc2c(NC3CCCC3)nc(NCCCO)nc21,IC50,900.0,nM,6.05,CHEMBL661130,B,Inhibition of Cyclin-dependent kinase 2,CHEMBL1133758,2000
CHEMBL83980,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCCO)nc21,IC50,800.0,nM,6.1,CHEMBL661130,B,Inhibition of Cyclin-dependent kinase 2,CHEMBL1133758,2000
CHEMBL101156,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCC#N)c3cc(Cl)ccc3Cl)n2)cc1,IC50,3000.0,nM,5.52,CHEMBL660784,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136192,2003
CHEMBL101473,Cc1cnc(Nc2ccc(OCC(O)CN(C)C)cc2)nc1Nc1ccccc1,IC50,8000.0,nM,5.1,CHEMBL660784,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136192,2003
CHEMBL260928,O=C(Nc1n[nH]c2cc(-c3ccsc3)ccc12)C1CC1,IC50,484.0,nM,6.32,CHEMBL661128,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136207,2003
CHEMBL84140,CC(C)n1cnc2c(N)nc(NCCCO)nc21,IC50,2400.0,nM,5.62,CHEMBL661130,B,Inhibition of Cyclin-dependent kinase 2,CHEMBL1133758,2000
CHEMBL407981,CCN1CCN(CCCC(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)c(Br)cc23)CC1,IC50,60.0,nM,7.22,CHEMBL661128,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136207,2003
CHEMBL259838,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Cl)c3)ccc12)C1CC1,IC50,2.0,nM,8.7,CHEMBL661128,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136207,2003
CHEMBL430507,CN(C)CC(O)COc1ccc(Nc2nccc(N(CC#N)c3cc(Cl)ccc3Cl)n2)cc1,IC50,700.0,nM,6.16,CHEMBL660784,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136192,2003
CHEMBL100391,CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1,IC50,500.0,nM,6.3,CHEMBL660784,B,Inhibitory concentration against cyclin-dependent kinase 2,CHEMBL1136192,2003
