compound_id,score
DEC_0195,-7.198
DEC_1757,0.0
DEC_2667,0.0
DEC_4714,0.0
DEC_0920,0.0
DEC_2793,-9.224
DEC_1867,0.0
DEC_2142,-9.486
DEC_3242,-8.2
DEC_3696,-9.421
DEC_1101,0.0
DEC_1306,-8.302
DEC_1133,0.0
DEC_3602,0.0
DEC_2816,0.0
DEC_1630,-8.33
DEC_2007,0.0
DEC_3827,-8.58
DEC_2749,0.0
DEC_4536,-9.563
DEC_3787,-9.376
DEC_3703,-8.049
DEC_3679,-8.01
DEC_2668,0.0
DEC_1425,0.0
DEC_0452,-8.257
DEC_1814,0.0
DEC_4602,-8.092
DEC_1005,0.0
DEC_3747,-9.125
DEC_0885,-9.09
DEC_3660,0.0
DEC_1256,0.0
DEC_3448,-9.855
DEC_0494,0.0
DEC_4330,-6.898
DEC_0018,0.0
DEC_3314,-9.259
DEC_1194,-9.23
DEC_0630,0.0
DEC_4178,0.0
DEC_3541,-8.006
DEC_0126,-7.237
DEC_0272,0.0
DEC_2606,0.0
DEC_3957,-9.77
DEC_0323,-6.379
DEC_0601,-7.893
DEC_4571,-8.799
DEC_1240,0.0
DEC_1721,-7.841
DEC_4066,-7.541
DEC_1563,0.0
DEC_3791,-9.139
DEC_0221,0.0
DEC_0020,0.0
DEC_2222,0.0
DEC_0350,-7.632
DEC_3689,-9.104
DEC_2768,-7.629
DEC_0584,-8.529
DEC_1400,-9.695
DEC_1497,-8.845
DEC_2682,-8.68
DEC_0483,-7.844
DEC_2695,-9.393
DEC_1200,-8.582
DEC_1091,0.0
DEC_2424,0.0
DEC_0558,-8.361
DEC_0912,0.0
DEC_2039,-7.71
ACT_041,0.0
DEC_2850,-8.814
ACT_009,-7.749
DEC_2876,0.0
DEC_1481,-8.707
DEC_3940,-7.15
DEC_4169,0.0
DEC_0520,0.0
DEC_4031,-7.719
DEC_3896,-8.202
DEC_4402,-9.273
DEC_1499,-7.917
DEC_2913,-8.268
DEC_0194,-7.477
ACT_079,-8.228
DEC_1488,-9.096
DEC_3984,0.0
DEC_3774,-9.833
DEC_3055,-8.49
DEC_4684,-9.443
DEC_2706,0.0
DEC_2218,0.0
DEC_0446,0.0
DEC_2116,-8.686
DEC_2437,0.0
DEC_0122,-7.097
DEC_4205,-11.324
DEC_3548,-7.782
DEC_2660,0.0
DEC_1589,-9.24
DEC_3725,-8.839
DEC_1057,0.0
DEC_1022,0.0
DEC_0222,0.0
DEC_0593,-8.704
DEC_2328,0.0
DEC_2568,-9.187
DEC_4310,-9.224
DEC_3447,-8.419
DEC_4527,0.0
DEC_3906,-8.532
DEC_3431,-8.729
DEC_1479,-8.792
DEC_1471,-9.888
DEC_4307,-7.419
ACT_048,-8.026
DEC_1601,-8.945
DEC_0434,0.0
DEC_1284,-7.825
DEC_0616,0.0
DEC_4739,-7.831
DEC_2370,-6.957
DEC_3860,-9.638
DEC_4524,0.0
DEC_4278,0.0
DEC_3989,-7.309
DEC_1579,0.0
DEC_0940,0.0
DEC_0612,-7.094
DEC_4166,-6.706
DEC_1144,-9.032
DEC_3062,-7.436
DEC_2641,0.0
DEC_1322,-8.892
DEC_2997,-8.976
DEC_0913,0.0
DEC_1896,0.0
ACT_045,-9.459
DEC_3381,-9.15
DEC_2383,-7.036
DEC_3723,-8.492
DEC_1504,-7.663
DEC_0277,0.0
DEC_3436,-8.843
DEC_1388,-8.334
DEC_1290,-8.003
DEC_0844,-9.29
DEC_0184,-8.07
DEC_0543,-9.01
DEC_0884,-9.259
DEC_0459,-9.461
DEC_0027,-7.459
DEC_0047,0.0
DEC_0758,-9.432
DEC_0725,-7.781
DEC_0318,-6.95
DEC_3880,-7.405
DEC_3259,-8.712
DEC_3954,-9.648
DEC_3776,-9.991
DEC_4145,0.0
DEC_2800,0.0
DEC_2581,-8.923
DEC_3657,0.0
DEC_0206,-8.052
DEC_0643,0.0
DEC_3627,0.0
DEC_1179,-9.716
DEC_0978,0.0
DEC_0238,-6.67
DEC_1751,0.0
DEC_2648,0.0
DEC_0727,-7.957
DEC_1605,-7.522
DEC_0794,-9.821
DEC_0958,-8.288
DEC_4207,-7.85
DEC_2643,0.0
DEC_1347,-9.345
DEC_4188,-9.176
DEC_1714,-7.121
DEC_1038,-7.885
DEC_1927,0.0
DEC_3855,-8.125
DEC_1099,0.0
DEC_3498,0.0
DEC_4210,-9.806
DEC_2902,-11.124
DEC_2149,-9.361
DEC_4374,0.0
DEC_3847,-9.497
DEC_0332,-7.237
DEC_0197,-8.296
DEC_2630,0.0
DEC_1437,0.0
DEC_0289,0.0
DEC_1555,0.0
DEC_1696,-7.69
DEC_0169,-6.639
DEC_3318,-8.425
DEC_0550,-7.942
DEC_3805,-9.485
DEC_4561,-9.767
DEC_0302,0.0
DEC_1440,0.0
DEC_0962,0.0
DEC_4425,0.0
DEC_3871,-7.838
DEC_0627,0.0
DEC_3645,0.0
DEC_4746,-8.701
DEC_1995,0.0
DEC_0068,0.0
DEC_4334,-7.736
DEC_4596,-8.698
DEC_3387,-9.393
DEC_4241,-9.354
DEC_0989,-8.719
DEC_2162,-8.274
DEC_4540,-9.86
DEC_3041,-8.642
DEC_2996,-7.653
DEC_4655,-7.878
DEC_1392,-8.743
DEC_3488,0.0
DEC_2971,0.0
DEC_4163,-8.987
DEC_0674,0.0
DEC_1586,0.0
DEC_1713,-7.807
DEC_3068,-8.205
DEC_4468,-6.5
DEC_0328,-7.414
DEC_2847,-8.795
DEC_1052,0.0
DEC_1756,0.0
DEC_2539,-8.005
DEC_0164,-7.348
DEC_2484,0.0
DEC_3612,0.0
DEC_4577,-8.886
DEC_3829,-9.821
DEC_0585,-8.992
DEC_2859,0.0
DEC_1230,0.0
DEC_1968,0.0
DEC_3029,-8.157
ACT_043,-8.366
DEC_1115,0.0
DEC_0331,-6.294
DEC_4502,-7.448
DEC_1885,-8.031
DEC_1176,-8.678
DEC_4410,0.0
DEC_2505,0.0
DEC_1533,0.0
DEC_1464,-8.84
DEC_2720,-8.878
DEC_4134,0.0
DEC_4650,0.0
DEC_3652,0.0
DEC_3019,0.0
DEC_3834,-7.237
DEC_2897,-9.708
DEC_2806,0.0
DEC_0658,0.0
DEC_0319,-6.592
DEC_3649,0.0
DEC_2030,0.0
DEC_3850,-8.161
DEC_4718,0.0
DEC_1082,-7.92
DEC_3341,0.0
DEC_4083,-8.686
DEC_4583,-8.505
DEC_2986,-9.513
DEC_3167,-8.447
ACT_008,-9.792
DEC_1847,-8.027
DEC_4357,0.0
DEC_1245,0.0
DEC_1681,0.0
DEC_0444,0.0
DEC_0097,0.0
DEC_1501,-8.822
DEC_2994,0.0
DEC_4603,-6.735
DEC_0856,-8.855
DEC_3891,-8.025
DEC_3767,-10.425
DEC_0706,-6.319
DEC_0624,0.0
DEC_4747,-8.813
DEC_0896,-8.765
DEC_3205,-9.582
DEC_2019,0.0
DEC_4219,-9.025
DEC_0997,-8.337
DEC_3848,-9.176
DEC_3430,-9.741
DEC_1191,-8.059
DEC_3406,-9.042
DEC_2883,-9.147
ACT_042,-9.313
DEC_1413,0.0
DEC_1550,0.0
ACT_074,-8.828
DEC_2890,-10.022
DEC_2934,-9.959
DEC_3339,0.0
DEC_4220,-9.0
DEC_2001,0.0
ACT_071,-8.457
DEC_2354,0.0
DEC_1452,-10.352
DEC_3968,0.0
DEC_0295,0.0
DEC_2506,0.0
DEC_0977,0.0
ACT_062,-9.546
DEC_0157,-8.787
DEC_2184,-7.156
DEC_0770,-8.425
ACT_037,0.0
DEC_4383,0.0
DEC_0198,-8.335
DEC_2273,0.0
DEC_1426,0.0
DEC_2211,0.0
DEC_2954,-8.735
DEC_3565,-10.002
DEC_2016,0.0
DEC_3163,-7.839
DEC_1674,-6.632
DEC_3486,0.0
DEC_2778,-8.519
DEC_1812,0.0
DEC_2281,-8.769
DEC_4492,-8.126
DEC_0976,0.0
DEC_1679,-7.968
DEC_0792,-8.234
DEC_3201,-6.8
DEC_1992,0.0
DEC_1095,0.0
DEC_2272,0.0
DEC_0834,0.0
DEC_3482,0.0
ACT_066,-8.027
DEC_0928,0.0
DEC_1402,-8.714
DEC_0503,0.0
DEC_2849,-9.93
DEC_3260,-8.742
DEC_3554,-7.685
DEC_2787,-8.404
DEC_0472,-6.149
DEC_4466,-6.601
DEC_3051,-8.919
DEC_4005,-8.321
DEC_1270,-8.346
DEC_1449,-9.371
DEC_0975,0.0
DEC_0252,-10.566
DEC_2018,0.0
DEC_4454,-8.615
DEC_1536,0.0
ACT_098,-7.881
DEC_3182,-8.494
DEC_3781,-8.532
DEC_1035,-9.085
ACT_019,-8.072
DEC_1961,0.0
DEC_2285,-9.184
DEC_4656,-8.373
DEC_3210,-9.447
DEC_2477,-8.327
DEC_1779,-8.11
DEC_3939,-7.649
DEC_4149,-8.861
DEC_0596,-8.853
ACT_072,-9.284
DEC_2363,-10.565
DEC_0788,-8.933
DEC_1235,0.0
DEC_4087,-8.372
DEC_1498,-7.959
DEC_3933,-8.659
DEC_4487,-7.351
DEC_2498,0.0
DEC_0605,-6.682
DEC_3126,0.0
DEC_3752,-8.525
DEC_4708,0.0
DEC_0336,-6.426
DEC_3217,-8.481
DEC_4733,-8.802
DEC_0576,-8.252
DEC_0676,0.0
DEC_3506,-9.403
DEC_1023,0.0
DEC_2602,0.0
DEC_3573,0.0
DEC_2823,-9.262
DEC_3711,-7.389
DEC_4706,0.0
DEC_2450,-9.242
DEC_3513,-9.319
DEC_0922,0.0
DEC_4157,-8.489
DEC_1320,-7.503
DEC_4193,-8.383
DEC_0540,-7.181
DEC_2128,-7.628
DEC_2134,-10.114
DEC_3788,-8.749
ACT_053,-10.051
DEC_1308,-9.695
DEC_4004,-8.245
DEC_2598,-7.561
DEC_0167,-8.331
DEC_4667,-9.385
DEC_4598,-8.032
DEC_1003,-7.664
DEC_4588,-8.644
DEC_3634,0.0
DEC_1512,-8.849
DEC_2620,0.0
DEC_1774,-6.994
DEC_2683,-9.263
DEC_3838,-8.068
DEC_3101,-8.35
DEC_1357,-8.339
DEC_0265,-8.524
DEC_4521,0.0
DEC_0747,-8.023
DEC_0212,0.0
DEC_0496,0.0
DEC_4072,-6.586
DEC_3849,-8.897
DEC_0902,0.0
DEC_0773,-10.545
ACT_089,-8.909
DEC_2234,0.0
DEC_2133,-8.952
DEC_2684,-8.345
DEC_3897,-8.671
DEC_3297,0.0
DEC_1243,0.0
DEC_4003,-8.725
DEC_3355,0.0
DEC_1755,0.0
DEC_3353,0.0
DEC_2174,-6.456
DEC_1268,-8.709
DEC_2382,-8.145
DEC_3818,-7.949
DEC_2535,-8.286
DEC_0992,-7.413
DEC_1453,-9.154
DEC_1124,0.0
DEC_0339,-7.364
DEC_1403,-8.667
DEC_2413,0.0
DEC_2475,-8.179
DEC_2885,-13.694
DEC_2396,-8.284
DEC_0980,0.0
DEC_1213,0.0
DEC_2293,-9.657
DEC_2912,-6.919
DEC_2911,-8.536
DEC_4150,-8.766
DEC_3563,-8.214
DEC_2891,-9.338
DEC_4730,0.0
DEC_3621,0.0
DEC_0670,0.0
DEC_0651,0.0
DEC_3614,0.0
DEC_0971,0.0
DEC_4025,-7.739
DEC_0201,-8.628
DEC_3437,-7.445
DEC_0623,0.0
DEC_2673,0.0
DEC_2631,0.0
DEC_4434,-8.29
DEC_0151,-5.621
DEC_3176,-7.615
DEC_0502,0.0
ACT_016,-9.284
DEC_4062,-8.678
DEC_1276,-9.347
DEC_4014,-5.916
DEC_1296,-9.353
DEC_1258,0.0
DEC_2744,0.0
DEC_2795,-8.318
DEC_3000,-8.559
DEC_3692,-9.114
DEC_4604,-8.86
DEC_0002,-11.403
DEC_0755,-9.461
DEC_0850,-9.153
DEC_4172,0.0
DEC_1050,0.0
DEC_4742,-4.11
DEC_3978,0.0
DEC_3229,-8.931
DEC_2231,0.0
DEC_2908,-6.876
DEC_2035,-7.739
DEC_1323,-8.316
DEC_4424,0.0
DEC_1130,0.0
DEC_3536,-7.665
DEC_0419,0.0
DEC_3564,-6.534
DEC_2381,-6.569
DEC_0063,0.0
DEC_3958,-8.821
DEC_0930,0.0
DEC_2006,0.0
DEC_1178,-9.591
DEC_1526,0.0
DEC_1553,0.0
DEC_0878,0.0
DEC_4216,-9.31
DEC_4187,0.0
DEC_1932,0.0
DEC_2118,-7.947
DEC_0354,0.0
DEC_4668,-8.309
DEC_1516,-8.063
DEC_1366,-7.967
DEC_1944,0.0
DEC_0404,0.0
DEC_0797,0.0
DEC_1974,0.0
DEC_3293,0.0
DEC_3008,0.0
DEC_3898,-9.428
DEC_2938,-7.973
DEC_4361,0.0
DEC_2559,-9.173
DEC_2326,0.0
DEC_0710,-8.315
DEC_3098,-8.657
DEC_3090,-8.038
ACT_040,0.0
DEC_3319,-6.58
DEC_3716,-7.052
DEC_0313,-6.391
DEC_1559,0.0
DEC_3510,-8.771
DEC_2408,0.0
DEC_3685,-9.589
DEC_4250,0.0
DEC_1139,0.0
DEC_2545,-8.905
DEC_2947,-7.913
DEC_1893,0.0
DEC_1677,-7.984
DEC_3975,0.0
DEC_1970,0.0
DEC_0009,0.0
DEC_0787,-9.67
DEC_0775,-9.419
DEC_2265,0.0
DEC_4421,0.0
DEC_3722,-7.368
DEC_0633,0.0
DEC_2352,0.0
DEC_1708,-7.655
DEC_0370,0.0
DEC_4000,-8.684
DEC_4490,-8.51
DEC_2970,0.0
DEC_1703,-8.445
DEC_3329,0.0
DEC_4335,-7.607
DEC_3266,-7.218
DEC_4126,-9.056
DEC_4497,-8.221
DEC_2216,0.0
DEC_0165,-8.255
DEC_1599,-8.289
DEC_4654,-8.145
DEC_0346,-7.488
DEC_1353,-9.221
DEC_1272,-8.735
DEC_1858,0.0
DEC_1438,0.0
DEC_1922,0.0
DEC_1623,-7.802
DEC_2514,0.0
DEC_4652,-9.225
DEC_1039,-7.353
DEC_2821,-9.261
DEC_1770,0.0
DEC_1676,-8.291
DEC_1562,0.0
DEC_4582,-8.854
DEC_0809,0.0
DEC_2851,-8.803
DEC_0864,0.0
ACT_081,-8.972
DEC_3741,-8.565
DEC_2314,0.0
DEC_1075,-10.232
DEC_0675,0.0
DEC_3159,-8.553
DEC_1608,-9.085
DEC_3924,-7.783
DEC_2493,0.0
DEC_2192,-7.433
DEC_3557,-8.433
DEC_2878,0.0
DEC_0133,-8.74
DEC_3209,-8.357
DEC_4416,0.0
DEC_3020,0.0
DEC_1753,0.0
DEC_2315,0.0
DEC_4479,-8.72
DEC_4270,0.0
DEC_0909,0.0
DEC_1735,-6.289
DEC_2087,0.0
DEC_3397,-9.849
DEC_3983,0.0
DEC_3833,-8.656
DEC_3828,-9.472
DEC_4673,-9.403
DEC_4284,0.0
DEC_1010,0.0
DEC_2282,-8.657
DEC_2400,0.0
DEC_4009,-7.168
DEC_0280,0.0
DEC_0090,0.0
DEC_2418,0.0
DEC_4638,0.0
DEC_2106,0.0
DEC_4263,0.0
DEC_4539,-8.576
DEC_2634,0.0
DEC_0308,0.0
DEC_1609,-9.0
DEC_1098,0.0
DEC_3842,-8.483
DEC_3327,0.0
DEC_4446,-9.444
DEC_2052,-8.338
DEC_2621,0.0
DEC_1883,-10.26
DEC_1916,0.0
DEC_2722,-8.514
DEC_0830,0.0
DEC_0815,0.0
DEC_4341,-7.196
DEC_0541,-9.215
DEC_0761,-7.977
DEC_2205,0.0
DEC_1672,-8.086
DEC_4320,-5.715
DEC_3032,-9.353
DEC_3837,-7.837
DEC_1067,-9.106
DEC_4015,-9.73
DEC_4227,-9.491
DEC_0486,-8.566
DEC_0303,0.0
DEC_2435,0.0
ACT_099,-9.628
DEC_0659,0.0
DEC_1920,0.0
DEC_0189,-7.293
DEC_0577,-9.148
DEC_2901,-8.893
DEC_0454,-8.221
DEC_1680,-7.402
DEC_0320,-6.56
DEC_4212,-7.884
DEC_1056,0.0
DEC_0661,0.0
DEC_0694,0.0
DEC_4724,0.0
DEC_3712,-8.673
DEC_2378,-6.229
DEC_0522,0.0
DEC_4589,-8.181
DEC_4050,-10.013
DEC_3695,-9.501
DEC_3154,-8.281
DEC_0395,0.0
DEC_1151,-8.786
DEC_3800,-9.728
DEC_0247,-7.089
DEC_2214,0.0
DEC_3585,0.0
DEC_3899,-8.988
DEC_2406,0.0
DEC_1203,-10.366
DEC_1585,0.0
DEC_2762,-8.248
DEC_0617,0.0
DEC_1029,-7.996
DEC_0970,0.0
DEC_0803,0.0
DEC_0737,-8.303
DEC_4143,0.0
DEC_2043,-8.02
DEC_2537,-8.276
