compound_id,score
DEC_0195,0.0
DEC_1757,0.0
DEC_2667,0.0
DEC_4714,8.421
DEC_0920,0.0
DEC_2793,-9.486
DEC_1867,0.0
DEC_2142,-9.538
DEC_3242,-8.012
DEC_3696,0.0
DEC_1101,0.0
DEC_1306,0.0
DEC_1133,-9.609
DEC_3602,-8.144
DEC_2816,-8.428
DEC_1630,-8.398
DEC_2007,10.087
DEC_3827,-8.316
DEC_2749,-9.365
DEC_4536,-9.526
DEC_3787,0.0
DEC_3703,0.0
DEC_3679,0.0
DEC_2668,-8.889
DEC_1425,0.0
DEC_0452,0.0
DEC_1814,0.0
DEC_4602,0.0
DEC_1005,-9.076
DEC_3747,0.0
DEC_0885,0.0
DEC_3660,0.0
DEC_1256,0.0
DEC_3448,0.0
DEC_0494,-8.811
DEC_4330,-6.629
DEC_0018,0.0
DEC_3314,-8.737
DEC_1194,-9.595
DEC_0630,-8.771
DEC_4178,-8.583
DEC_3541,-8.116
DEC_0126,0.0
DEC_0272,0.0
DEC_2606,-8.831
DEC_3957,0.0
DEC_0323,0.0
DEC_0601,-7.986
DEC_4571,-9.189
DEC_1240,0.0
DEC_1721,0.0
DEC_4066,-8.596
DEC_1563,-9.617
DEC_3791,-50.36
DEC_0221,0.0
DEC_0020,0.0
DEC_2222,-8.584
DEC_0350,-7.592
DEC_3689,-9.636
DEC_2768,0.0
DEC_0584,0.0
DEC_1400,-9.167
DEC_1497,-9.077
DEC_2682,0.0
DEC_0483,-8.163
DEC_2695,-9.05
DEC_1200,-9.32
DEC_1091,-9.219
DEC_2424,-10.015
DEC_0558,0.0
DEC_0912,0.0
DEC_2039,0.0
ACT_041,-9.598
DEC_2850,-9.16
ACT_009,0.0
DEC_2876,0.0
DEC_1481,0.0
DEC_3940,-8.924
DEC_4169,0.0
DEC_0520,-9.636
DEC_4031,-7.972
DEC_3896,0.0
DEC_4402,-9.19
DEC_1499,-7.959
DEC_2913,0.0
DEC_0194,-7.479
ACT_079,0.0
DEC_1488,0.0
DEC_3984,0.0
DEC_3774,-10.512
DEC_3055,-8.64
DEC_4684,0.0
DEC_2706,-9.249
DEC_2218,0.0
DEC_0446,0.0
DEC_2116,0.0
DEC_2437,-8.697
DEC_0122,-9.41
DEC_4205,-10.724
DEC_3548,-7.38
DEC_2660,0.0
DEC_1589,0.0
DEC_3725,-7.561
DEC_1057,0.0
DEC_1022,0.0
DEC_0222,-7.737
DEC_0593,-9.028
DEC_2328,-9.734
DEC_2568,-67.075
DEC_4310,-9.272
DEC_3447,0.0
DEC_4527,-9.223
DEC_3906,-8.212
DEC_3431,-9.123
DEC_1479,-8.194
DEC_1471,0.0
DEC_4307,0.0
ACT_048,0.0
DEC_1601,-9.324
DEC_0434,0.0
DEC_1284,-7.751
DEC_0616,0.0
DEC_4739,0.0
DEC_2370,0.0
DEC_3860,-8.954
DEC_4524,0.0
DEC_4278,-8.696
DEC_3989,0.0
DEC_1579,0.0
DEC_0940,-10.42
DEC_0612,-7.391
DEC_4166,0.0
DEC_1144,-8.705
DEC_3062,0.0
DEC_2641,-8.191
DEC_1322,-9.12
DEC_2997,-8.381
DEC_0913,0.0
DEC_1896,0.0
ACT_045,0.0
DEC_3381,-8.686
DEC_2383,0.0
DEC_3723,0.0
DEC_1504,-7.796
DEC_0277,0.0
DEC_3436,0.0
DEC_1388,-8.629
DEC_1290,-8.052
DEC_0844,0.0
DEC_0184,-7.769
DEC_0543,-9.698
DEC_0884,-9.158
DEC_0459,-9.386
DEC_0027,0.0
DEC_0047,-10.061
DEC_0758,0.0
DEC_0725,0.0
DEC_0318,0.0
DEC_3880,0.0
DEC_3259,0.0
DEC_3954,-9.639
DEC_3776,0.0
DEC_4145,0.0
DEC_2800,0.0
DEC_2581,0.0
DEC_3657,38.488
DEC_0206,0.0
DEC_0643,-8.337
DEC_3627,-9.391
DEC_1179,0.0
DEC_0978,0.0
DEC_0238,0.0
DEC_1751,0.0
DEC_2648,-9.584
DEC_0727,-8.073
DEC_1605,-6.581
DEC_0794,-9.075
DEC_0958,0.0
DEC_4207,-7.784
DEC_2643,-9.403
DEC_1347,-9.817
DEC_4188,-9.396
DEC_1714,0.0
DEC_1038,0.0
DEC_1927,0.0
DEC_3855,0.0
DEC_1099,0.0
DEC_3498,0.0
DEC_4210,0.0
DEC_2902,-9.121
DEC_2149,-7.961
DEC_4374,0.0
DEC_3847,-9.649
DEC_0332,-82.839
DEC_0197,0.0
DEC_2630,0.0
DEC_1437,0.0
DEC_0289,0.0
DEC_1555,-8.477
DEC_1696,-7.546
DEC_0169,0.0
DEC_3318,-8.715
DEC_0550,0.0
DEC_3805,-9.84
DEC_4561,0.0
DEC_0302,0.0
DEC_1440,0.0
DEC_0962,0.0
DEC_4425,-8.53
DEC_3871,0.0
DEC_0627,0.0
DEC_3645,-10.109
DEC_4746,-9.033
DEC_1995,0.0
DEC_0068,0.0
DEC_4334,-7.284
DEC_4596,0.0
DEC_3387,-9.886
DEC_4241,0.0
DEC_0989,0.0
DEC_2162,0.0
DEC_4540,-9.656
DEC_3041,-8.709
DEC_2996,-8.52
DEC_4655,0.0
DEC_1392,0.0
DEC_3488,0.0
DEC_2971,0.0
DEC_4163,-8.891
DEC_0674,0.0
DEC_1586,-8.68
DEC_1713,0.0
DEC_3068,0.0
DEC_4468,0.0
DEC_0328,-6.935
DEC_2847,-9.103
DEC_1052,0.0
DEC_1756,0.0
DEC_2539,-7.977
DEC_0164,0.0
DEC_2484,0.0
DEC_3612,0.0
DEC_4577,-8.703
DEC_3829,-9.905
DEC_0585,-8.386
DEC_2859,0.0
DEC_1230,0.0
DEC_1968,0.0
DEC_3029,-8.061
ACT_043,-8.338
DEC_1115,0.0
DEC_0331,0.0
DEC_4502,0.0
DEC_1885,-8.116
DEC_1176,-8.843
DEC_4410,-9.488
DEC_2505,0.0
DEC_1533,-8.629
DEC_1464,0.0
DEC_2720,-8.942
DEC_4134,0.0
DEC_4650,0.0
DEC_3652,-9.347
DEC_3019,-8.627
DEC_3834,-7.484
DEC_2897,-10.33
DEC_2806,0.0
DEC_0658,0.0
DEC_0319,0.0
DEC_3649,-9.666
DEC_2030,-7.604
DEC_3850,-9.12
DEC_4718,-8.364
DEC_1082,0.0
DEC_3341,0.0
DEC_4083,-8.74
DEC_4583,-8.083
DEC_2986,-9.882
DEC_3167,0.0
ACT_008,-10.196
DEC_1847,0.0
DEC_4357,0.0
DEC_1245,-8.867
DEC_1681,0.0
DEC_0444,0.0
DEC_0097,-8.265
DEC_1501,-8.976
DEC_2994,0.0
DEC_4603,-7.425
DEC_0856,-9.888
DEC_3891,0.0
DEC_3767,-10.972
DEC_0706,0.0
DEC_0624,0.0
DEC_4747,-9.057
DEC_0896,0.0
DEC_3205,0.0
DEC_2019,-7.332
DEC_4219,0.0
DEC_0997,0.0
DEC_3848,-9.697
DEC_3430,-9.618
DEC_1191,0.0
DEC_3406,0.0
DEC_2883,-9.593
ACT_042,0.0
DEC_1413,-8.527
DEC_1550,-8.614
ACT_074,-9.719
DEC_2890,-9.687
DEC_2934,-10.015
DEC_3339,0.0
DEC_4220,-9.785
DEC_2001,-8.473
ACT_071,-8.216
DEC_2354,-10.297
