compound_id,score
ACT_005,-10.04
ACT_006,-7.911
ACT_007,-6.182
ACT_009,-8.019
ACT_011,-5.282
ACT_012,-10.101
ACT_013,-8.278
ACT_015,-9.54
ACT_019,8.918
ACT_020,-7.057
ACT_022,-7.975
ACT_024,-10.16
ACT_026,-9.494
ACT_027,-8.92
ACT_028,-10.912
ACT_029,-7.633
ACT_036,-9.118
ACT_037,-8.864
ACT_039,-8.618
ACT_042,-9.011
ACT_096,-9.206
ACT_099,-9.721
ACT_100,-10.067
DEC_0003,-7.624
DEC_0004,-9.255
DEC_0005,-3.004
DEC_0006,-8.696
DEC_0008,-9.0
DEC_0009,-10.548
DEC_0010,-8.108
DEC_0013,-9.018
DEC_0015,-9.733
DEC_0016,-105.806
DEC_0017,-9.99
DEC_0018,-10.518
DEC_0019,-8.043
DEC_0020,-9.368
DEC_0021,-11.285
DEC_0023,-8.577
DEC_0024,-8.267
DEC_0121,-8.236
DEC_0126,-9.147
DEC_0128,-8.171
DEC_0131,-9.197
DEC_0133,-8.999
DEC_0134,-7.362
DEC_0138,-8.615
DEC_0143,-8.104
DEC_0146,-7.381
DEC_0151,-5.855
DEC_0152,-8.286
DEC_0153,-5.898
DEC_0154,-5.788
DEC_0155,-6.273
DEC_0156,-102.049
DEC_0159,-92.627
DEC_0160,-6.888
DEC_0164,-37.211
DEC_0165,-8.457
DEC_0169,-6.747
DEC_0173,-7.27
DEC_0175,-7.547
DEC_0176,-7.664
DEC_0179,-7.974
DEC_0181,-6.881
DEC_0195,-7.366
DEC_0197,-8.594
DEC_0198,-8.201
DEC_0200,-8.309
DEC_0201,-6.687
DEC_0202,-3.462
DEC_0203,-7.915
DEC_0204,-9.135
DEC_0205,-7.85
DEC_0206,-8.943
DEC_0207,-7.965
DEC_0208,-6.799
DEC_0210,-8.741
DEC_0212,-9.22
DEC_0216,-7.923
DEC_0217,-9.009
DEC_0221,-10.034
DEC_0223,-9.245
DEC_0226,-9.746
DEC_0228,-10.017
DEC_0230,-9.132
DEC_0233,-10.586
DEC_0235,-8.635
DEC_0238,-181.757
DEC_0239,-119.976
DEC_0243,-9.432
DEC_0246,-8.933
DEC_0247,-7.802
DEC_0250,-6.056
DEC_0252,-10.19
DEC_0253,-7.552
DEC_0255,-7.568
DEC_0256,-7.979
DEC_0257,-8.733
DEC_0259,-10.263
DEC_0308,-6.188
DEC_0310,-5.989
DEC_0311,-7.111
DEC_0312,-5.948
DEC_0313,-6.384
DEC_0314,-7.399
DEC_0315,-7.466
DEC_0316,-7.186
DEC_0317,-7.229
DEC_0318,-7.148
DEC_0319,-6.684
DEC_0320,-6.917
DEC_0321,-7.419
DEC_0322,-6.405
DEC_0323,-6.241
DEC_0325,-6.361
DEC_0329,-6.527
DEC_0330,-7.154
DEC_0331,-6.893
DEC_0336,-6.668
DEC_0338,-6.678
DEC_0339,-7.272
DEC_0340,-7.088
DEC_0341,-7.546
DEC_0342,-8.477
DEC_0344,-6.896
DEC_0345,-8.268
DEC_0346,-7.644
DEC_0347,-7.868
DEC_0348,-6.105
DEC_0349,-7.28
DEC_0351,-7.14
DEC_0352,-9.072
DEC_0353,-8.655
DEC_0354,-8.726
DEC_0355,10.848
DEC_0356,-7.919
DEC_0357,-8.678
DEC_0358,-8.214
DEC_0359,-7.941
DEC_0360,-8.925
DEC_0361,-9.283
DEC_0362,-8.871
DEC_0363,-8.537
DEC_0364,-9.169
DEC_0365,-8.635
DEC_0366,-7.5
DEC_0367,-9.227
DEC_0368,-8.636
DEC_0369,-8.942
DEC_0370,-9.65
DEC_0371,-9.205
DEC_0372,-10.385
DEC_0375,-8.98
DEC_0377,-68.469
DEC_0379,-9.108
DEC_0381,-8.776
DEC_0383,-7.16
DEC_0384,-8.78
DEC_0385,-8.731
DEC_0449,-9.916
DEC_0451,-7.32
DEC_0452,-8.087
DEC_0453,-8.633
DEC_0455,-7.12
DEC_0458,-9.022
DEC_0462,-9.229
DEC_0463,-9.316
DEC_0464,-8.486
DEC_0468,-7.742
DEC_0469,-8.763
DEC_0471,-8.846
DEC_0472,-6.683
DEC_0473,-8.648
DEC_0477,-8.172
DEC_0479,-8.905
DEC_0480,-151.052
DEC_0486,-8.678
DEC_0487,-9.133
DEC_0492,-8.374
DEC_0540,-10.629
DEC_0546,-9.891
DEC_0547,-8.952
DEC_0548,-6.888
DEC_0550,-8.076
DEC_0551,-6.885
DEC_0552,-7.578
DEC_0553,-8.991
DEC_0554,-8.482
DEC_0555,-8.367
DEC_0556,-8.181
DEC_0558,-8.899
DEC_0559,-8.853
DEC_0560,-8.423
DEC_0563,-7.998
DEC_0565,-8.488
DEC_0566,-9.254
DEC_0567,-8.863
DEC_0568,-8.551
DEC_0569,-7.476
DEC_0570,-9.029
DEC_0571,-121.726
DEC_0573,-9.753
DEC_0574,-8.197
DEC_0575,-9.23
DEC_0576,-8.274
DEC_0578,-8.356
DEC_0583,-69.686
DEC_0584,-9.201
DEC_0586,-8.874
DEC_0590,-8.401
DEC_0592,-8.885
DEC_0596,-9.401
DEC_0599,-9.025
DEC_0600,-9.03
DEC_0603,-6.728
DEC_0605,-6.244
DEC_0606,-7.89
DEC_0607,-7.875
DEC_0608,-8.807
DEC_0614,-5.938
DEC_0615,-10.541
DEC_0616,-7.046
DEC_0617,-8.727
DEC_0618,0.739
DEC_0619,7.627
DEC_0620,-9.513
DEC_0621,-7.112
DEC_0622,-6.562
DEC_0623,-9.518
DEC_0624,-8.272
DEC_0626,-8.962
DEC_0627,-7.965
DEC_0628,-8.279
DEC_0629,-7.514
DEC_0633,-8.716
DEC_0635,-10.348
DEC_0636,-9.742
DEC_0641,-8.047
DEC_0642,-9.239
DEC_0644,26.731
DEC_0645,-6.769
DEC_0646,-6.544
DEC_0647,-6.954
