compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_001,CHEMBL2333738,COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)N2CCOCC2)cc1,5.73,IC50,409.4820000000002,3.754800000000003,0,5,7,57.230000000000004,30,0
ACT_002,CHEMBL122890,C=CCSS/C=C/C[S+]([O-])CC=C,5.47,IC50,234.41099999999997,3.002200000000002,0,3,8,23.06,13,0
ACT_003,CHEMBL491088,Clc1ccc(-c2cnsc2-c2ccc(Cl)cc2)cc1,5.4,IC50,306.217,5.783900000000003,0,2,2,12.89,19,0
ACT_004,CHEMBL17218,CCSc1nnc(-c2nc(C(C)(C)C)c(O)c(C(C)(C)C)n2)s1,5.7,IC50,352.52900000000005,4.407700000000004,1,7,3,71.79,23,0
ACT_005,CHEMBL463763,CC(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2O,7.4,IC50,360.40600000000006,1.1030999999999997,1,6,1,84.12,26,0
ACT_006,CHEMBL1917103,O=[N+]([O-])c1ccc2c(c1)S(=O)(=O)N=S2c1ccc(C(F)(F)F)cc1,5.52,IC50,376.337,3.535800000000002,0,4,2,89.64,24,0
ACT_007,CHEMBL4877659,O=C(NCCc1c[nH]c2ccccc12)c1ccccc1Nc1ccc(Br)cc1,5.25,IC50,434.3370000000001,5.646500000000003,3,2,6,56.92,28,0
ACT_008,CHEMBL5277168,CN1C/C(=C\c2ccc(F)s2)C2=NN(c3ccccc3)C(c3ccc(F)s3)C2C1,8.7,IC50,427.5450000000001,5.650300000000004,0,5,3,18.84,29,0
ACT_009,CHEMBL3809958,CC(C)[C@H](NC(=O)[C@H](C)NC(=O)CN)C(=O)O,6.7,IC50,245.27899999999994,-1.324799999999997,4,4,6,121.52,17,0
ACT_010,CHEMBL289262,CS(=O)(=O)Nc1cc2c(cc1Sc1nccs1)C(=O)CC2,7.0,IC50,340.45100000000014,2.7947000000000015,1,6,4,76.13,21,0
ACT_011,CHEMBL447148,NS(=O)(=O)c1ccc(C#Cc2ccc(=O)n(C(F)F)c2)cc1,5.22,IC50,324.308,1.2906000000000004,1,3,2,82.16,22,0
ACT_012,CHEMBL5270978,COC1CC(C2OC3CC(CCC4CC(O)CC(O)C4)CCC3OC2CO)CC(OC)C1O,5.0,IC50,472.61900000000026,1.4030000000000002,4,8,7,117.84000000000002,33,0
ACT_013,CHEMBL3342569,Cc1c(Br)c(C)c2c(c1Br)OC(C(F)(F)F)C(C(=O)O)=C2,7.16,IC50,430.01400000000007,4.619740000000002,1,2,1,46.53,21,0
ACT_014,CHEMBL3264704,Clc1ncccc1-n1cc(CSc2nc3ccccc3o2)nn1,5.3,IC50,343.79900000000004,3.749200000000002,0,6,4,69.63,23,0
