molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL297008,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,IC50,60.0,nM,7.22,CHEMBL762912,B,In vitro inhibitory activity against human prostaglandin G/H synthase 2,CHEMBL1130038,1997
CHEMBL289813,Cc1c(C=O)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,3230.0,nM,5.49,CHEMBL762912,B,In vitro inhibitory activity against human prostaglandin G/H synthase 2,CHEMBL1130038,1997
CHEMBL43736,Cc1c(COc2cccc(Cl)c2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,80.0,nM,7.1,CHEMBL762912,B,In vitro inhibitory activity against human prostaglandin G/H synthase 2,CHEMBL1130038,1997
CHEMBL140167,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,IC50,0.12,nM,9.92,CHEMBL769655,B,Tested in vitro for inhibition against Prostaglandin G/H synthase 2 in human blood (95% confidence limits),CHEMBL1133534,2000
CHEMBL44290,CC(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,IC50,1610.0,nM,5.79,CHEMBL762912,B,In vitro inhibitory activity against human prostaglandin G/H synthase 2,CHEMBL1130038,1997
CHEMBL43737,Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,40.0,nM,7.4,CHEMBL762912,B,In vitro inhibitory activity against human prostaglandin G/H synthase 2,CHEMBL1130038,1997
CHEMBL43511,NS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,IC50,14.0,nM,7.85,CHEMBL762912,B,In vitro inhibitory activity against human prostaglandin G/H synthase 2,CHEMBL1130038,1997
CHEMBL1316,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,IC50,102.0,nM,6.99,CHEMBL822751,B,Inhibitory activity against cell-free canine COX-2,CHEMBL1134352,2001
CHEMBL40245,Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,20.0,nM,7.7,CHEMBL762912,B,In vitro inhibitory activity against human prostaglandin G/H synthase 2,CHEMBL1130038,1997
CHEMBL44101,Cc1c(CO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,3880.0,nM,5.41,CHEMBL762912,B,In vitro inhibitory activity against human prostaglandin G/H synthase 2,CHEMBL1130038,1997
CHEMBL44152,Cc1c(COc2ccc(Cl)cc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,30.0,nM,7.52,CHEMBL762912,B,In vitro inhibitory activity against human prostaglandin G/H synthase 2,CHEMBL1130038,1997
