compound_id,score
DEC_2165,0.0
DEC_2166,0.0
DEC_0148,-8.601
DEC_0020,-7.042
DEC_0896,-10.222
DEC_2216,0.0
DEC_0911,-8.735
DEC_3573,-5.896
DEC_1842,0.0
DEC_4134,0.0
DEC_2304,-4.391
DEC_0694,0.0
DEC_2188,0.0
DEC_0543,0.0
DEC_0853,-10.982
DEC_3987,0.0
DEC_2666,-7.717
DEC_3548,0.0
DEC_3394,-6.521
DEC_2381,0.0
DEC_0869,-5.818
DEC_1075,-5.388
DEC_1501,-8.219
DEC_2336,-7.982
DEC_1873,-8.159
DEC_0194,-8.726
DEC_2119,0.0
DEC_0336,-5.135
DEC_3814,-4.72
DEC_4389,-6.236
DEC_2097,0.0
DEC_3209,0.0
DEC_1994,0.0
DEC_2151,0.0
DEC_2134,-10.29
ACT_040,0.858
DEC_4523,0.0
DEC_0801,-7.33
DEC_0913,-7.05
DEC_4306,-10.141
DEC_3498,-7.025
DEC_3567,-2.674
DEC_0027,-7.715
DEC_3918,-6.54
DEC_2211,0.0
DEC_3283,0.0
DEC_1453,0.0
DEC_0932,-8.203
ACT_008,-3.034
DEC_0942,-10.881
DEC_2522,0.0
DEC_3516,0.0
DEC_3487,-5.439
DEC_1179,-7.99
DEC_2156,0.0
DEC_3975,-7.539
DEC_1817,0.0
DEC_1272,0.0
DEC_1468,0.0
DEC_0830,-7.334
DEC_1865,0.0
DEC_0221,-5.145
DEC_1388,-8.169
DEC_1142,-7.49
DEC_3238,-5.955
DEC_4044,-7.018
DEC_3633,-6.018
DEC_4043,-7.193
DEC_4295,0.0
DEC_0238,-5.914
DEC_4254,0.0
DEC_0755,-8.178
DEC_3254,-6.035
DEC_3985,0.0
ACT_066,-9.694
DEC_2004,0.0
DEC_0444,-6.652
DEC_1191,-7.871
DEC_4330,-7.455
DEC_2044,-9.078
DEC_3084,-9.161
DEC_3893,0.0
DEC_3680,0.0
DEC_4358,-9.182
DEC_1867,-8.601
DEC_0601,-6.714
DEC_1875,-7.684
DEC_1997,0.0
DEC_0001,0.0
DEC_0184,-9.712
DEC_0318,-5.561
DEC_2664,-6.399
DEC_3846,-5.119
DEC_4238,-8.532
DEC_4557,0.0
DEC_2199,0.0
DEC_1367,-8.603
DEC_1951,0.0
DEC_4282,0.0
DEC_1577,-9.357
DEC_1348,-5.971
DEC_1392,-10.241
DEC_0675,-7.788
DEC_0126,-10.207
DEC_2849,-4.968
DEC_3988,0.0
DEC_0494,0.0
DEC_3069,-5.792
DEC_3733,-9.565
DEC_4400,-8.415
DEC_4477,-7.607
DEC_3007,-6.113
DEC_0174,-8.356
DEC_1916,0.0
DEC_0980,0.0
DEC_2895,0.0
DEC_0737,-9.09
DEC_3163,0.0
DEC_0655,0.0
DEC_4418,0.0
DEC_1490,-9.065
DEC_1353,-9.365
DEC_2016,-9.217
DEC_3605,0.0
DEC_0856,-8.583
DEC_1099,-6.654
DEC_0643,-6.624
DEC_3632,-7.941
DEC_3207,0.0
DEC_1063,-8.738
DEC_4451,-7.85
DEC_1285,-8.542
DEC_3181,0.0
DEC_2442,-7.869
DEC_4176,-7.233
DEC_1362,-7.873
DEC_1107,-0.915
DEC_2288,-8.348
DEC_0708,0.0
DEC_2483,0.0
DEC_3382,-5.932
DEC_3284,0.0
DEC_0831,-8.631
DEC_4120,-6.53
DEC_1504,-5.588
DEC_4399,-6.652
DEC_0530,-8.178
DEC_4304,-7.383
ACT_043,-5.267
DEC_4545,0.0
DEC_2543,0.0
DEC_0316,-9.041
DEC_0937,-4.289
DEC_0627,-1.357
DEC_3714,-0.295
DEC_1624,-6.832
DEC_4033,-6.606
DEC_0714,-5.889
DEC_2525,0.0
DEC_4172,-2.087
DEC_4443,-5.984
DEC_1245,0.0
ACT_083,-9.97
DEC_0198,-6.726
DEC_3295,0.0
DEC_1726,0.0
DEC_2300,-2.329
DEC_0861,-6.656
DEC_2374,0.0
DEC_1143,-5.559
DEC_0775,0.0
DEC_2039,-8.323
DEC_2720,0.0
DEC_1893,0.0
DEC_3380,-8.125
DEC_2437,-8.129
DEC_4034,-8.572
DEC_2706,0.0
DEC_3298,0.0
DEC_0710,0.0
DEC_1518,-2.164
DEC_3525,0.0
DEC_2915,0.0
DEC_2788,0.0
DEC_3060,-8.462
DEC_0252,0.0
DEC_4102,-9.083
DEC_3134,-6.6
DEC_2524,0.0
DEC_4056,-3.157
DEC_1675,-6.12
DEC_3852,-3.407
DEC_2375,0.0
DEC_4311,-6.484
DEC_1919,0.0
DEC_1115,0.0
DEC_0446,-8.477
DEC_3562,-8.681
ACT_037,-4.628
DEC_0018,-8.644
DEC_2812,-9.695
DEC_0739,-7.087
DEC_0197,-7.918
DEC_2314,-0.621
DEC_1521,0.0
DEC_0606,0.0
DEC_0122,-10.861
DEC_2118,0.0
DEC_2176,0.0
DEC_4347,-7.878
DEC_1831,0.0
DEC_0977,0.0
DEC_0206,-7.861
DEC_4114,-8.051
DEC_0157,-7.93
DEC_1449,0.0
DEC_2667,-5.731
DEC_4072,0.0
DEC_2140,-7.344
DEC_4606,-7.091
DEC_0063,-7.366
DEC_2610,0.0
DEC_2966,-2.079
DEC_2598,0.0
DEC_4617,-6.875
DEC_2673,-4.664
DEC_0350,-8.86
DEC_3375,-8.045
DEC_1056,-7.19
DEC_0630,-7.151
DEC_3751,-1.802
DEC_3781,-6.958
DEC_2297,-5.75
DEC_1897,0.0
ACT_079,-7.612
DEC_3851,-2.285
DEC_2577,0.0
DEC_1397,-7.175
DEC_1243,0.0
DEC_3661,0.0
DEC_4091,-9.394
DEC_0068,-7.498
DEC_4442,-3.181
DEC_0624,-1.176
DEC_1571,-8.344
DEC_2052,-4.337
DEC_1121,0.0
DEC_0617,-4.628
DEC_1178,-8.086
DEC_2475,0.0
DEC_4128,0.0
DEC_2273,-6.519
DEC_2152,0.0
DEC_4021,-9.467
DEC_3157,0.0
DEC_2477,0.0
DEC_1450,0.0
DEC_1591,-9.266
DEC_0605,-6.853
DEC_4457,-8.074
DEC_4098,-10.635
DEC_3645,0.0
DEC_3477,-8.571
DEC_4605,-8.051
DEC_4496,0.0
DEC_2466,-7.523
DEC_1366,-9.017
DEC_4256,0.0
DEC_1677,-6.742
DEC_4440,0.0
DEC_2226,0.0
DEC_1676,-4.984
DEC_0962,-7.127
DEC_0758,-9.05
DEC_1585,-7.687
ACT_072,-8.871
DEC_0788,0.0
DEC_0272,0.0
DEC_4219,-9.0
DEC_1961,-16.304
DEC_0520,-8.305
DEC_4349,-7.294
DEC_1039,0.0
DEC_3100,-11.976
DEC_0593,-6.77
DEC_0195,-5.914
DEC_4563,0.0
DEC_0326,-7.099
DEC_3155,-4.902
DEC_1660,0.0
DEC_3924,-8.743
DEC_3271,-6.311
DEC_2254,-7.13
DEC_0540,0.0
DEC_1754,-7.175
DEC_3343,0.0
DEC_2223,0.0
DEC_1331,-8.154
ACT_053,-6.514
DEC_2794,-7.181
DEC_3570,-5.189
DEC_4125,0.0
DEC_2979,0.0
DEC_2030,-9.783
DEC_1321,-7.544
DEC_1654,0.0
DEC_0567,-0.445
DEC_3834,-6.939
DEC_2149,-8.71
DEC_3451,-8.593
DEC_2684,-7.944
DEC_3058,-7.844
DEC_3874,0.0
DEC_2842,-5.08
DEC_3649,0.0
DEC_3705,-7.931
DEC_1038,0.0
DEC_4558,0.0
DEC_1562,-7.149
DEC_3697,-9.448
DEC_0633,-6.326
DEC_1734,0.0
DEC_1479,-7.418
DEC_0674,-5.185
DEC_2963,-4.074
DEC_2691,-4.993
DEC_0584,0.0
DEC_1259,0.0
DEC_0331,-8.857
DEC_2624,-9.009
DEC_3864,0.0
DEC_1731,0.0
DEC_1709,-9.517
DEC_0585,0.0
DEC_1359,-8.457
DEC_0379,-7.476
DEC_0965,-5.996
DEC_2195,0.0
DEC_0670,0.0
DEC_4269,-9.044
DEC_1853,0.0
DEC_3919,-8.272
DEC_3292,0.0
DEC_3496,-5.86
DEC_1537,0.0
DEC_0151,-7.571
DEC_3559,0.0
DEC_4321,-8.105
ACT_016,-8.016
DEC_4065,0.0
DEC_2083,-6.306
DEC_1062,-8.572
DEC_2792,0.0
DEC_2596,0.0
DEC_3310,0.0
DEC_3503,0.0
DEC_2797,-7.221
DEC_0002,0.0
DEC_2942,0.0
DEC_0313,-6.203
DEC_2897,0.0
DEC_2204,0.0
DEC_2526,0.0
DEC_4303,-10.041
DEC_3372,-7.215
DEC_4611,-7.231
DEC_4071,0.0
DEC_2528,0.0
DEC_1299,0.0
DEC_0169,-2.988
DEC_1895,0.0
DEC_2644,-5.468
DEC_0966,-6.67
DEC_2510,-8.138
DEC_3437,-8.262
DEC_2409,0.0
DEC_4493,0.0
DEC_0164,-7.649
DEC_2388,0.0
DEC_1270,0.0
DEC_1050,0.0
DEC_0332,-10.373
DEC_3442,-7.024
DEC_1322,-7.373
DEC_1936,-5.857
DEC_0295,-6.706
DEC_3250,-5.885
DEC_3566,-6.272
DEC_1258,0.0
DEC_4146,-5.818
DEC_2722,0.0
DEC_3672,0.0
DEC_2740,-3.991
DEC_1182,-8.653
DEC_1488,-9.062
DEC_3263,0.0
DEC_3754,-7.612
DEC_2441,-6.935
DEC_4456,-7.933
DEC_2825,-7.613
DEC_0496,0.0
DEC_0257,0.0
DEC_1074,-7.089
DEC_2080,-7.271
DEC_0792,0.0
DEC_1623,-8.161
DEC_0706,0.0
DEC_1788,0.0
DEC_1148,-5.928
DEC_4503,-8.013
DEC_1870,-7.471
DEC_3829,-2.548
DEC_0940,-2.322
DEC_1175,-7.93
DEC_3737,-7.022
DEC_3237,-8.474
DEC_4470,-8.358
DEC_2077,-3.323
DEC_1130,0.0
DEC_3947,-7.628
DEC_3991,0.0
DEC_1703,-4.072
DEC_4550,0.0
ACT_074,-6.828
DEC_1006,0.0
DEC_2498,-7.057
DEC_3944,-8.573
DEC_1284,-7.367
DEC_3907,-8.631
DEC_1965,-10.755
DEC_3835,-6.973
DEC_2326,0.298
DEC_1022,-7.104
DEC_0097,-7.151
DEC_3144,-9.734
DEC_0479,0.0
DEC_3982,0.0
DEC_2935,0.0
DEC_0047,-7.126
DEC_3956,-7.964
DEC_4247,0.0
DEC_2701,0.0
DEC_2269,-5.533
DEC_0550,0.0
DEC_4588,-8.202
DEC_0289,0.0
DEC_0452,-9.521
DEC_0459,-7.907
DEC_2457,-6.99
DEC_3652,0.0
DEC_3419,-8.413
DEC_3574,-6.775
DEC_1400,-9.751
DEC_4542,0.0
DEC_2837,-8.012
DEC_3591,0.0
DEC_0201,-4.749
DEC_3003,-2.223
DEC_0525,-8.628
DEC_2537,0.0
DEC_3444,-7.422
DEC_0992,0.0
DEC_2603,0.0
DEC_1005,0.0
DEC_3739,-7.904
DEC_0339,-5.092
DEC_1069,-6.521
DEC_2391,0.0
DEC_3883,0.0
DEC_2363,-7.161
DEC_0099,-7.67
DEC_0840,-8.237
DEC_0503,0.0
DEC_3183,0.0
DEC_3826,-7.071
DEC_4300,0.0
DEC_3012,-4.7
DEC_3398,-6.178
DEC_2514,0.0
DEC_0472,0.0
DEC_1889,0.0
DEC_2354,-8.47
DEC_0912,-6.438
DEC_1536,0.0
DEC_3303,0.0
DEC_3691,-7.752
DEC_3252,-8.082
ACT_041,-8.577
DEC_2572,0.0
DEC_2737,-7.348
DEC_3761,4.788
DEC_3290,0.0
DEC_4174,-8.235
DEC_1526,0.0
DEC_3594,0.0
DEC_3582,0.0
DEC_3638,-5.17
DEC_3500,0.0
DEC_1523,0.0
DEC_3875,0.0
DEC_3955,-7.955
DEC_0722,-7.397
DEC_4263,-11.287
DEC_1952,-6.279
DEC_2367,-8.651
DEC_4212,-7.597
DEC_4417,0.0
DEC_0165,-7.267
DEC_3478,-6.288
DEC_1540,-6.188
DEC_4031,-5.93
DEC_2207,0.0
DEC_1394,-8.436
DEC_1901,0.0
DEC_1962,-14.923
DEC_0388,-6.805
DEC_1438,0.0
DEC_2292,-6.998
DEC_3722,-1.293
DEC_3381,-8.175
DEC_1975,0.0
DEC_0133,-10.937
DEC_1494,-9.183
DEC_1543,-9.597
DEC_3515,0.0
DEC_2215,0.0
DEC_2748,-6.387
DEC_0733,-7.82
DEC_2785,0.0
DEC_4216,-8.857
DEC_0434,-6.5
DEC_1480,-9.367
DEC_2735,0.084
DEC_2448,-6.108
DEC_4166,-6.771
DEC_3399,-7.131
DEC_3042,-8.012
DEC_4178,-9.198
DEC_1908,0.0
