compound_id,score
DEC_2165,0.0
DEC_2166,0.0
DEC_0148,0.0
DEC_0020,-7.607
DEC_0896,-10.306
DEC_2216,0.0
DEC_0911,0.0
DEC_3573,-7.687
DEC_1842,-10.097
DEC_4134,0.0
DEC_2304,-8.165
DEC_0694,0.0
DEC_2188,0.0
DEC_0543,-8.454
DEC_0853,-10.42
DEC_3987,-8.862
DEC_2666,0.0
DEC_3548,-10.732
DEC_3394,-7.766
DEC_2381,0.0
DEC_0869,-7.184
DEC_1075,0.0
DEC_1501,0.0
DEC_2336,0.0
DEC_1873,-7.711
DEC_0194,-8.305
DEC_2119,-8.704
DEC_0336,0.0
DEC_3814,0.0
DEC_4389,0.0
DEC_2097,0.0
DEC_3209,0.0
DEC_1994,0.0
DEC_2151,0.0
DEC_2134,0.0
ACT_040,0.0
DEC_4523,-10.169
DEC_0801,-7.607
DEC_0913,-7.793
DEC_4306,-10.635
DEC_3498,-9.148
DEC_3567,0.0
DEC_0027,-7.746
DEC_3918,0.0
DEC_2211,0.0
DEC_3283,0.0
DEC_1453,-9.233
DEC_0932,0.0
ACT_008,-7.168
DEC_0942,-10.849
DEC_2522,0.0
DEC_3516,-7.374
DEC_3487,20.478
DEC_1179,0.0
DEC_2156,0.0
DEC_3975,0.0
DEC_1817,0.0
DEC_1272,0.0
DEC_1468,0.0
DEC_0830,-7.879
DEC_1865,0.0
DEC_0221,-6.679
DEC_1388,0.0
DEC_1142,0.0
DEC_3238,0.0
DEC_4044,0.0
DEC_3633,-7.442
DEC_4043,-6.446
DEC_4295,-8.792
DEC_0238,-7.093
DEC_4254,0.0
DEC_0755,0.0
DEC_3254,-7.335
DEC_3985,-9.48
ACT_066,0.0
DEC_2004,0.0
DEC_0444,0.0
DEC_1191,0.0
DEC_4330,-7.564
DEC_2044,-8.638
DEC_3084,0.0
DEC_3893,0.0
DEC_3680,-9.058
DEC_4358,-9.311
DEC_1867,-9.13
DEC_0601,0.0
DEC_1875,-7.363
DEC_1997,0.0
DEC_0001,0.0
DEC_0184,0.0
DEC_0318,-6.702
DEC_2664,-7.642
DEC_3846,0.0
DEC_4238,-9.424
DEC_4557,0.0
DEC_2199,0.0
DEC_1367,0.0
DEC_1951,0.0
DEC_4282,0.0
DEC_1577,-9.412
DEC_1348,0.0
DEC_1392,-11.395
DEC_0675,0.0
DEC_0126,-10.093
DEC_2849,0.0
DEC_3988,0.0
DEC_0494,0.0
DEC_3069,0.0
DEC_3733,-7.972
DEC_4400,-7.984
DEC_4477,0.0
DEC_3007,0.0
DEC_0174,0.0
DEC_1916,0.0
DEC_0980,0.0
DEC_2895,-8.74
DEC_0737,0.0
DEC_3163,0.0
DEC_0655,0.0
DEC_4418,0.0
DEC_1490,0.0
DEC_1353,-8.805
DEC_2016,0.0
DEC_3605,-7.346
DEC_0856,-8.777
DEC_1099,0.0
DEC_0643,0.0
DEC_3632,0.0
DEC_3207,0.0
DEC_1063,0.0
DEC_4451,0.0
DEC_1285,0.0
DEC_3181,0.0
DEC_2442,0.0
DEC_4176,-7.507
DEC_1362,-7.468
DEC_1107,0.0
DEC_2288,0.0
DEC_0708,-7.429
DEC_2483,0.0
DEC_3382,-7.728
DEC_3284,0.0
DEC_0831,-8.589
DEC_4120,-7.019
DEC_1504,0.0
DEC_4399,-7.14
DEC_0530,-8.472
DEC_4304,0.0
ACT_043,-8.255
DEC_4545,0.0
DEC_2543,-9.388
DEC_0316,-10.516
DEC_0937,-7.224
DEC_0627,-7.424
DEC_3714,0.0
DEC_1624,-6.825
DEC_4033,-7.028
DEC_0714,0.0
DEC_2525,-7.941
DEC_4172,-7.068
DEC_4443,0.0
DEC_1245,0.0
ACT_083,0.0
DEC_0198,0.0
DEC_3295,0.0
DEC_1726,-9.947
DEC_2300,0.0
DEC_0861,-8.446
DEC_2374,0.0
DEC_1143,0.0
DEC_0775,-8.47
DEC_2039,0.0
DEC_2720,-9.676
DEC_1893,0.0
DEC_3380,-8.649
DEC_2437,0.0
DEC_4034,-7.893
DEC_2706,0.0
DEC_3298,0.0
DEC_0710,-10.024
DEC_1518,-6.88
DEC_3525,0.261
DEC_2915,0.0
DEC_2788,0.0
DEC_3060,-8.963
DEC_0252,0.0
DEC_4102,0.0
DEC_3134,-6.506
DEC_2524,-10.084
DEC_4056,0.0
DEC_1675,-6.623
DEC_3852,0.0
DEC_2375,0.0
DEC_4311,0.0
DEC_1919,-7.258
DEC_1115,0.0
DEC_0446,0.0
DEC_3562,0.0
ACT_037,0.0
DEC_0018,0.0
DEC_2812,-9.236
DEC_0739,0.0
DEC_0197,-8.97
DEC_2314,-7.592
DEC_1521,-8.829
DEC_0606,0.0
DEC_0122,-177.928
DEC_2118,-7.315
DEC_2176,0.0
DEC_4347,0.0
DEC_1831,-10.323
DEC_0977,0.0
DEC_0206,0.0
DEC_4114,0.0
DEC_0157,0.0
DEC_1449,0.0
DEC_2667,0.0
DEC_4072,-8.888
DEC_2140,-7.77
DEC_4606,-6.893
DEC_0063,-7.432
DEC_2610,-7.48
DEC_2966,0.0
DEC_2598,-66.401
DEC_4617,-7.553
DEC_2673,-6.584
DEC_0350,0.0
DEC_3375,0.0
DEC_1056,0.0
DEC_0630,0.0
DEC_3751,-5.629
DEC_3781,-7.808
DEC_2297,-7.165
DEC_1897,-9.052
ACT_079,0.0
DEC_3851,0.0
DEC_2577,0.0
DEC_1397,-8.062
DEC_1243,0.0
DEC_3661,-8.03
DEC_4091,-7.544
DEC_0068,-7.365
DEC_4442,0.0
DEC_0624,0.0
DEC_1571,-8.168
DEC_2052,0.0
DEC_1121,0.0
DEC_0617,0.0
DEC_1178,0.0
DEC_2475,0.0
DEC_4128,0.0
DEC_2273,0.0
DEC_2152,0.0
DEC_4021,-8.725
DEC_3157,0.0
DEC_2477,0.0
DEC_1450,-7.265
DEC_1591,0.0
DEC_0605,0.0
DEC_4457,0.0
DEC_4098,-10.521
DEC_3645,0.0
DEC_3477,0.0
DEC_4605,-8.316
DEC_4496,0.0
DEC_2466,0.0
DEC_1366,-8.98
DEC_4256,-10.212
DEC_1677,-8.947
DEC_4440,0.0
DEC_2226,0.0
DEC_1676,0.0
DEC_0962,0.0
DEC_0758,-8.902
DEC_1585,0.0
ACT_072,0.0
DEC_0788,-7.272
DEC_0272,-6.802
DEC_4219,0.0
DEC_1961,-9.356
DEC_0520,0.0
DEC_4349,0.0
DEC_1039,0.0
DEC_3100,-11.935
DEC_0593,0.0
DEC_0195,0.0
DEC_4563,-9.508
DEC_0326,-7.504
DEC_3155,0.0
DEC_1660,-8.709
DEC_3924,-8.958
DEC_3271,0.0
DEC_2254,-6.525
DEC_0540,-7.707
DEC_1754,-6.968
DEC_3343,0.0
DEC_2223,0.0
DEC_1331,-8.192
ACT_053,0.0
DEC_2794,0.0
DEC_3570,0.0
DEC_4125,-6.806
DEC_2979,0.0
DEC_2030,0.0
DEC_1321,0.0
DEC_1654,-7.906
DEC_0567,0.0
DEC_3834,0.0
DEC_2149,0.0
DEC_3451,0.0
DEC_2684,0.0
DEC_3058,-8.102
DEC_3874,0.0
DEC_2842,0.0
DEC_3649,0.0
DEC_3705,-8.165
DEC_1038,0.0
DEC_4558,-5.138
DEC_1562,-7.305
DEC_3697,0.0
DEC_0633,0.0
DEC_1734,-8.643
DEC_1479,0.0
DEC_0674,-7.893
DEC_2963,0.0
DEC_2691,0.0
DEC_0584,0.0
DEC_1259,0.0
DEC_0331,0.0
DEC_2624,0.0
DEC_3864,0.0
DEC_1731,-7.927
DEC_1709,-9.556
DEC_0585,0.0
DEC_1359,-8.222
DEC_0379,0.0
DEC_0965,-6.732
DEC_2195,0.0
DEC_0670,-10.491
DEC_4269,0.0
DEC_1853,0.0
DEC_3919,-8.561
DEC_3292,0.0
DEC_3496,-8.008
DEC_1537,-8.309
DEC_0151,0.0
DEC_3559,0.0
DEC_4321,0.0
ACT_016,0.0
DEC_4065,0.0
DEC_2083,0.0
DEC_1062,0.0
DEC_2792,0.0
DEC_2596,1.992
DEC_3310,-15.189
DEC_3503,0.0
DEC_2797,-6.659
DEC_0002,-6.507
DEC_2942,0.0
DEC_0313,0.0
DEC_2897,-10.663
DEC_2204,0.0
DEC_2526,0.0
DEC_4303,-10.069
DEC_3372,0.0
DEC_4611,0.0
DEC_4071,0.0
DEC_2528,-11.161
DEC_1299,0.0
DEC_0169,-6.18
DEC_1895,0.0
DEC_2644,0.0
DEC_0966,-7.059
DEC_2510,-8.737
DEC_3437,0.0
DEC_2409,-8.844
DEC_4493,-8.613
DEC_0164,-7.796
DEC_2388,0.0
DEC_1270,0.0
DEC_1050,0.0
DEC_0332,-9.597
DEC_3442,-6.939
DEC_1322,-7.625
DEC_1936,0.0
DEC_0295,0.0
DEC_3250,-9.097
DEC_3566,0.0
DEC_1258,0.0
DEC_4146,-7.904
DEC_2722,0.0
DEC_3672,0.0
DEC_2740,0.0
DEC_1182,0.0
DEC_1488,-9.062
DEC_3263,0.0
DEC_3754,0.0
DEC_2441,-8.316
DEC_4456,0.0
DEC_2825,-8.692
DEC_0496,-6.689
DEC_0257,0.0
DEC_1074,0.0
DEC_2080,-6.711
DEC_0792,-6.392
DEC_1623,-8.262
DEC_0706,77.398
DEC_1788,0.0
DEC_1148,0.0
DEC_4503,-8.643
DEC_1870,0.0
DEC_3829,-7.305
DEC_0940,-7.432
DEC_1175,0.0
DEC_3737,-7.823
DEC_3237,0.0
DEC_4470,-8.548
DEC_2077,0.0
DEC_1130,0.0
DEC_3947,0.0
DEC_3991,0.0
DEC_1703,-7.457
DEC_4550,0.0
ACT_074,0.0
DEC_1006,0.0
DEC_2498,-8.566
DEC_3944,0.0
DEC_1284,0.0
DEC_3907,-8.662
DEC_1965,0.0
DEC_3835,0.0
DEC_2326,0.0
DEC_1022,0.0
DEC_0097,0.0
DEC_3144,-9.887
DEC_0479,0.0
DEC_3982,0.0
DEC_2935,0.0
DEC_0047,0.0
DEC_3956,-7.344
DEC_4247,-7.01
DEC_2701,-31.231
DEC_2269,0.0
DEC_0550,-6.953
DEC_4588,-7.935
DEC_0289,-7.395
DEC_0452,-9.164
DEC_0459,0.0
DEC_2457,0.0
DEC_3652,-7.523
DEC_3419,-8.658
DEC_3574,-8.544
DEC_1400,0.0
DEC_4542,0.0
DEC_2837,-9.736
DEC_3591,-8.945
DEC_0201,-6.453
DEC_3003,0.0
DEC_0525,0.0
DEC_2537,0.0
DEC_3444,-8.253
DEC_0992,-7.871
DEC_2603,-6.817
DEC_1005,-9.069
DEC_3739,-9.056
DEC_0339,0.0
DEC_1069,0.0
DEC_2391,0.0
DEC_3883,0.0
DEC_2363,0.0
DEC_0099,-7.771
DEC_0840,-8.465
DEC_0503,0.0
DEC_3183,0.0
DEC_3826,0.0
DEC_4300,0.0
DEC_3012,0.0
DEC_3398,-6.55
DEC_2514,-9.212
DEC_0472,-7.304
DEC_1889,0.0
DEC_2354,0.0
DEC_0912,-6.421
DEC_1536,-9.295
DEC_3303,0.0
DEC_3691,-8.329
DEC_3252,-7.237
ACT_041,0.0
DEC_2572,-4.806
DEC_2737,0.0
DEC_3761,0.0
DEC_3290,0.0
DEC_4174,-8.711
DEC_1526,0.0
DEC_3594,-8.018
DEC_3582,-51.547
DEC_3638,0.0
DEC_3500,0.0
DEC_1523,0.0
DEC_3875,0.0
DEC_3955,0.0
DEC_0722,-7.58
DEC_4263,-9.154
DEC_1952,0.0
DEC_2367,0.0
DEC_4212,0.0
DEC_4417,-7.541
DEC_0165,0.0
DEC_3478,-7.34
DEC_1540,0.0
DEC_4031,0.0
DEC_2207,0.0
DEC_1394,-8.648
DEC_1901,-8.549
DEC_1962,-8.354
DEC_0388,-6.968
DEC_1438,-9.065
DEC_2292,0.0
DEC_3722,0.0
DEC_3381,0.0
DEC_1975,0.0
DEC_0133,0.0
DEC_1494,0.0
DEC_1543,0.0
DEC_3515,0.0
DEC_2215,0.0
DEC_2748,0.0
DEC_0733,0.0
DEC_2785,0.0
DEC_4216,0.0
DEC_0434,-6.097
DEC_1480,0.0
DEC_2735,-6.123
DEC_2448,-6.496
DEC_4166,-8.383
DEC_3399,-8.825
DEC_3042,-7.82
DEC_4178,-10.266
DEC_1908,0.0
DEC_0280,0.0
DEC_2484,-9.803
DEC_2324,0.0
DEC_0864,-7.937
DEC_2056,0.0
DEC_2810,-8.092
DEC_4345,-7.244
DEC_0308,0.0
DEC_3137,-9.496
DEC_1925,-8.585
