compound_id,score
ACT_001,-8.876
ACT_002,-5.502
ACT_005,-7.872
ACT_006,-8.248
ACT_010,-8.628
ACT_011,-6.934
ACT_014,-9.151
ACT_015,-8.336
ACT_016,-7.292
ACT_017,-7.102
ACT_018,-8.191
ACT_019,-7.507
ACT_020,-8.106
ACT_021,-11.086
ACT_024,-7.471
ACT_025,-10.253
ACT_027,-9.196
ACT_028,-9.985
ACT_029,-8.761
ACT_033,-7.464
ACT_034,-7.639
ACT_036,65.424
ACT_037,-7.617
ACT_038,-7.316
ACT_039,-10.12
ACT_040,2.516
ACT_041,-8.685
ACT_042,-8.807
ACT_044,-8.759
ACT_045,-9.484
ACT_046,-9.656
ACT_047,-9.115
ACT_053,-7.645
ACT_054,-12.304
ACT_055,-8.439
ACT_057,-8.752
ACT_058,-7.145
ACT_059,-8.7
ACT_060,-8.84
ACT_061,-8.04
ACT_062,-7.312
ACT_063,-7.501
ACT_064,22.083
ACT_066,-9.78
ACT_067,-8.948
ACT_069,-7.002
ACT_070,-10.068
ACT_074,-8.351
ACT_076,-8.431
ACT_077,-8.941
ACT_080,-8.343
ACT_083,-8.421
ACT_086,-7.323
ACT_091,-6.8
ACT_092,-9.51
ACT_093,-8.039
ACT_094,-5.169
ACT_095,-6.836
ACT_097,-10.327
ACT_099,-6.395
DEC_0001,-6.399
DEC_0003,-8.6
DEC_0004,-6.937
DEC_0005,-8.292
DEC_0007,-6.811
DEC_0008,-5.553
DEC_0009,-8.881
DEC_0010,-7.141
DEC_0011,-8.758
DEC_0015,-6.035
DEC_0017,-8.311
DEC_0018,-9.089
DEC_0019,-8.754
DEC_0021,-8.266
DEC_0022,-7.348
DEC_0023,-7.287
DEC_0024,-5.941
DEC_0028,-8.814
DEC_0029,-7.468
DEC_0031,-7.154
DEC_0032,-7.841
DEC_0035,-7.731
DEC_0038,-7.379
DEC_0039,-9.505
DEC_0040,-9.49
DEC_0043,-8.155
DEC_0046,-7.696
DEC_0047,-6.652
DEC_0048,-8.729
DEC_0051,27.04
DEC_0052,58.382
DEC_0053,-6.287
DEC_0054,-7.023
DEC_0055,-6.835
DEC_0056,-8.006
DEC_0057,-8.039
DEC_0058,-6.537
DEC_0060,-6.234
DEC_0061,-6.62
DEC_0062,-7.302
DEC_0064,-8.218
DEC_0065,-6.317
DEC_0066,-6.524
DEC_0070,-8.542
DEC_0072,-7.412
DEC_0076,-7.192
DEC_0077,-7.534
DEC_0079,-7.687
DEC_0082,-6.865
DEC_0083,-7.186
DEC_0086,-7.047
DEC_0087,-7.49
DEC_0088,-7.807
DEC_0089,-7.841
DEC_0091,-7.43
DEC_0092,-6.781
DEC_0093,-9.185
DEC_0094,-8.207
DEC_0096,-6.928
DEC_0097,-7.299
DEC_0100,-8.266
DEC_0101,-6.397
DEC_0102,30.374
DEC_0103,-9.547
DEC_0104,-8.696
DEC_0106,-9.042
DEC_0108,-7.886
DEC_0109,-9.259
DEC_0110,-10.474
DEC_0111,-9.571
DEC_0113,-7.121
DEC_0114,-6.242
DEC_0123,-7.887
DEC_0124,-10.105
DEC_0127,-7.616
DEC_0129,-9.249
DEC_0131,-7.02
DEC_0132,-7.632
DEC_0133,-10.334
DEC_0135,-8.179
DEC_0136,-9.114
DEC_0140,-8.107
DEC_0141,-10.537
DEC_0147,-8.532
DEC_0148,-8.554
DEC_0149,-7.784
DEC_0151,-7.577
DEC_0154,-5.595
DEC_0157,-8.147
DEC_0159,-10.224
DEC_0160,-10.695
DEC_0162,-7.752
DEC_0165,-9.58
DEC_0166,-6.646
DEC_0171,-6.94
DEC_0172,-7.318
DEC_0174,-7.843
DEC_0175,-9.629
DEC_0178,-6.729
DEC_0182,-6.559
DEC_0183,-8.021
DEC_0184,-9.727
DEC_0187,-7.801
DEC_0188,-10.464
DEC_0189,-9.195
DEC_0190,-8.177
DEC_0193,-8.852
DEC_0195,-6.512
DEC_0198,-6.872
