compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_001,CHEMBL464093,CC(C)(CC(=O)N[C@H]1C[C@@H]1c1cccc(F)c1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,7.68,IC50,404.46100000000024,2.01868,2,4,7,85.23,29,0
ACT_002,CHEMBL3686734,CC(C)[C@H](N)C(=S)N[C@@H](C)B(O)O,7.14,IC50,204.10400000000004,-0.7128,4,4,4,78.51,13,0
ACT_003,CHEMBL37687,NCc1c(N)nc(-c2ccc(Cl)cc2)nc1-c1ccc(Cl)cc1Cl,7.28,IC50,379.6780000000001,4.811700000000002,2,4,3,77.82000000000001,24,0
ACT_004,CHEMBL5291433,NNc1nc(NN)nc(N2C(=O)CSC2=O)n1,5.2,IC50,256.251,-1.3574000000000006,4,10,3,152.14999999999998,17,0
ACT_005,CHEMBL3343900,OCc1ccc(-c2ccc(C#CC(O)CO)s2)s1,5.55,IC50,280.36999999999995,1.6736,3,5,3,60.69,18,0
ACT_006,CHEMBL592005,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,5.85,IC50,331.30000000000007,3.220500000000001,4,6,3,110.68000000000002,24,1
ACT_007,CHEMBL241674,O=C([C@@H]1C[C@H](N2CCOCC2)CN1)N1CCSC1,7.86,IC50,271.386,-0.4179999999999984,1,5,2,44.81,18,0
ACT_008,CHEMBL5275234,Cc1c(-c2c(S(=O)(=O)c3ccccc3)cnc3nnnn23)c(=O)n(-c2ccccc2)n1C,7.85,IC50,447.48000000000013,1.8169199999999994,0,7,4,117.04000000000002,32,0
ACT_009,CHEMBL4642801,N[C@@H]1CN(c2ncc(Oc3c[nH]nc3C3=CCC(F)(F)CC3)cn2)C[C@@H]1c1cc(F)c(F)cc1F,8.22,IC50,492.4520000000002,4.543000000000003,2,6,5,92.94999999999999,35,0
ACT_010,CHEMBL1236897,OCCC(CCO)C(CO)(CO)CO,5.7,IC50,208.254,-1.6692999999999998,5,5,8,101.15,14,0
ACT_011,CHEMBL4638480,O=[N+]([O-])c1cccc(/C=N/N2C(c3ccccc3)=Nc3ccc(I)cc3C2NC2NC=CS2)c1,9.12,IC50,582.4270000000001,5.3068000000000035,2,8,6,95.16,34,0
ACT_012,CHEMBL5220657,C=COC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN,9.89,IC50,269.3449999999999,0.12040000000000128,2,5,7,98.64999999999999,19,0
ACT_013,CHEMBL4752835,Cc1ccc(Nc2cc(N3CCNCC3)nc3ccnn23)c(C)c1,5.8,IC50,322.416,2.49934,2,5,3,57.489999999999995,24,0
ACT_014,CHEMBL541664,NC(=O)c1ccc(OCC2(NCC(=O)c3ccsc3)CCCC2)cc1,8.3,IC50,358.46300000000014,3.0111000000000008,2,5,8,81.42000000000002,25,0
ACT_015,CHEMBL2408642,CC(C)=CCn1c(N2CCC3CNCC32)nc2c1c(=O)n(C)c(=O)n2C,7.0,IC50,358.44600000000014,0.19800000000000106,1,5,3,77.09,26,0
ACT_016,CHEMBL504506,N[C@H](Cc1cc(F)ccc1F)c1ccc(Br)cc1,5.89,IC50,312.157,3.969800000000002,1,1,3,26.02,18,0
ACT_017,CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,5.47,IC50,180.159,1.1956,3,3,2,77.76,13,0
ACT_018,CHEMBL4632896,CCOC(=O)c1c(C(C)C)cc(C(C)C)c(C(=O)OCC)c1-c1cc2ccc(-c3ccc4c(C)cccc4c3)cc2[nH]1,8.56,IC50,561.7220000000003,9.56372,1,4,8,68.39000000000001,42,0
ACT_019,CHEMBL67679,CCCC[S+](CCCC)Cc1ccc2cc1C(=O)NCC(=O)NCC(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N2,7.7,IC50,617.8370000000001,1.808000000000005,5,6,8,162.73000000000002,43,1
ACT_020,CHEMBL203618,CCN(CC#N)C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,8.52,Ki,291.39500000000004,1.017079999999999,2,4,4,90.35000000000001,21,0
ACT_021,CHEMBL3972474,COc1ccc2ccc3c(c2c1)C[C@H](N)[C@@H](c1ccccc1Cl)O3,6.47,IC50,339.822,4.505300000000003,1,3,2,44.480000000000004,24,0
ACT_022,CHEMBL3644790,COCCc1nc2c(c(C(F)(F)F)n1)CCN(C(=O)C[C@H](N)CN1C(=O)CCC(F)(F)[C@@H]1O)C2,7.85,IC50,495.4490000000003,0.8625,2,7,7,121.88000000000001,34,0
ACT_023,CHEMBL1090,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,7.21,IC50,267.245,-1.9800000000000006,4,8,2,139.54000000000002,19,0
ACT_024,CHEMBL560985,N#C[C@@H]1CS[C@H]2C[C@](N)(C3CCCCC3)C(=O)N12,7.23,IC50,265.3819999999999,1.4615800000000003,1,4,1,70.11999999999999,18,0
ACT_025,CHEMBL401932,CC(c1nc(-c2ccc(S(=O)(=O)C(F)(F)F)cc2)no1)[C@H](N)C(F)=C1CCCC1,5.83,IC50,433.4270000000002,4.258500000000002,1,6,5,99.08,29,0
ACT_026,CHEMBL5624938,CS(=O)(=O)n1cc2c(n1)CN(CC(=O)N1C(=O)S/C(=C\c3ccc(F)c(F)c3)C1=O)C2,5.56,IC50,468.4630000000002,1.5476999999999996,0,8,4,109.65,31,0
ACT_027,CHEMBL275638,O=c1cc(-c2ccccc2)oc2ccccc12,6.77,IC50,222.243,3.4600000000000017,0,2,1,30.21,17,0
ACT_028,CHEMBL401268,N[C@H]1CN(C(=O)c2ccc(-n3cncn3)cc2)C[C@H]1C(=O)N1CCCC1,7.4,IC50,354.4140000000002,0.28899999999999904,1,5,3,97.35000000000001,26,0
ACT_029,CHEMBL3675630,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1C(=O)N(Cc1cccc3ccccc13)C1=NCCCN12,7.36,IC50,481.60400000000027,3.209200000000001,1,6,4,82.99,36,0
ACT_030,CHEMBL5402568,Nc1nc(NC2=NC(c3ccccc3)=CC(c3cccc(O)c3)O2)nc(N2CCOCC2)n1,7.66,IC50,445.48300000000035,2.5765000000000002,3,10,4,131.01,33,0
ACT_031,CHEMBL1771584,O=C1c2c(Cl)c(Cl)c(Cl)c(Cl)c2C(=O)N1c1cccc(CCc2ccccc2C(F)(F)F)c1,5.4,IC50,533.1600000000003,7.904800000000005,0,2,4,37.38,33,0
ACT_032,CHEMBL226396,Nc1nc(Cl)c2nc[nH]c2n1,8.3,IC50,169.57500000000002,0.5884999999999998,2,4,0,80.48,11,0
ACT_033,CHEMBL537586,CC(C)N(C)C(=O)n1cnc(S(=O)(=O)C2CC3CCC2C3)n1,8.05,IC50,326.4220000000001,1.5487,0,5,3,85.16000000000001,22,0
ACT_034,CHEMBL2206473,N[C@@H](CC(=O)NC1(c2cccc(-c3cnc(C4CCCCN4)s3)c2)CCS(=O)(=O)CC1)Cc1ccccc1F,6.6,IC50,570.7560000000004,4.244000000000003,3,7,8,114.18,39,0
ACT_035,CHEMBL459357,CN(C)C(=O)[C@@H](c1ccc(C2=CN3N=CNC3C=C2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,8.37,IC50,426.4960000000002,0.8414000000000007,2,6,5,94.27,31,0
ACT_036,CHEMBL3654429,N[C@H]1C[C@@H](N2Cc3cnn(-c4ccc(C(F)(F)F)cn4)c3C2)CCO[C@@H]1c1cc(F)ccc1F,8.23,IC50,479.45300000000026,4.127500000000004,1,5,3,69.2,34,0
ACT_037,CHEMBL3686742,OB(O)[C@@H]1CCCN1C(=S)CNCc1ccccc1,7.62,IC50,278.18600000000004,0.5799999999999994,3,4,5,55.730000000000004,19,0
ACT_038,CHEMBL4247480,Cc1ccc2nc(CNc3nc(C)cs3)n(/N=C/c3ccc(O)cc3)c(=O)c2c1,8.95,IC50,405.4830000000002,3.669740000000002,2,7,5,92.4,29,0
ACT_039,CHEMBL1976036,O=C(N/N=C/c1cccc2ccccc12)c1[nH]nc2c1CCCC2,5.46,IC50,318.38000000000017,3.2056000000000013,2,3,3,70.14,24,0
ACT_040,CHEMBL91933,O=Cc1ccc(-c2ccc(-c3cccs3)s2)s1,6.05,IC50,276.407,5.017600000000002,0,4,3,17.07,17,0
