molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL383705,CC(C)[C@H](N)C(=O)N1CCCC1,IC50,4000.0,nM,5.4,CHEMBL666573,B,In vitro inhibition of human Dipeptidylpeptidase IV.,CHEMBL1135386,2002
CHEMBL319514,C[C@H](N)C(=O)N1CCC[C@H]1C#N,Ki,200.0,nM,6.7,CHEMBL666574,B,Inhibition of Dipeptidyl Peptidase IV,CHEMBL1135386,2002
CHEMBL67279,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,Ki,2.0,nM,8.7,CHEMBL666574,B,Inhibition of Dipeptidyl Peptidase IV,CHEMBL1135386,2002
CHEMBL503274,CC[C@H](C)[C@H](N)C(=O)N1CCCC1,Ki,218.0,nM,6.66,CHEMBL666574,B,Inhibition of Dipeptidyl Peptidase IV,CHEMBL1135386,2002
CHEMBL318401,C[C@H](N)C(=S)N1CCSC1,Ki,7880.0,nM,5.1,CHEMBL666574,B,Inhibition of Dipeptidyl Peptidase IV,CHEMBL1135386,2002
CHEMBL503274,CC[C@H](C)[C@H](N)C(=O)N1CCCC1,IC50,4000.0,nM,5.4,CHEMBL666573,B,In vitro inhibition of human Dipeptidylpeptidase IV.,CHEMBL1135386,2002
CHEMBL98408,CC[C@H](C)[C@H](N)C(=O)N1CCSC1,Ki,126.0,nM,6.9,CHEMBL666574,B,Inhibition of Dipeptidyl Peptidase IV,CHEMBL1135386,2002
CHEMBL1790478,C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,IC50,190.0,nM,6.72,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL66032,CC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,IC50,11.0,nM,7.96,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL63726,NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,IC50,95.0,nM,7.02,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL292342,O=C([C@@H]1CCN1)N1CCC[C@H]1B(O)O,IC50,250.0,nM,6.6,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL63698,CC(C)C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,IC50,44.0,nM,7.36,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL291428,N[C@H](C(=O)N1CCC[C@H]1B(O)O)c1ccccc1,IC50,63.0,nM,7.2,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL1790483,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,IC50,25.0,nM,7.6,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL67279,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,IC50,26.0,nM,7.58,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL63860,C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,IC50,15.0,nM,7.82,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL65406,CC(C)[C@@H](N)C(=O)N1CCC[C@@H]1B(O)O,IC50,4000.0,nM,5.4,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL304007,N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1B(O)O,IC50,32.0,nM,7.5,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL63652,N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1B(O)O,IC50,70.0,nM,7.16,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL63406,CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,IC50,60.0,nM,7.22,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
CHEMBL63895,O=C([C@@H]1CCCN1)N1CCC[C@H]1B(O)O,IC50,20.0,nM,7.7,CHEMBL665783,B,In vitro for inhibition of Dipeptidylpeptidase IV.,CHEMBL1129318,1996
