compound_id,score
DEC_0722,-9.062
DEC_3179,-7.948
DEC_0458,0.0
DEC_3098,-6.243
DEC_0692,-6.308
DEC_3803,-6.777
DEC_3760,-6.486
DEC_0706,-8.072
DEC_3901,-8.768
DEC_0095,-7.796
DEC_1069,0.0
DEC_0474,0.0
DEC_3992,-10.365
DEC_3185,-7.109
DEC_3683,0.0
DEC_0272,0.0
DEC_0742,-7.635
DEC_1816,0.0
DEC_0567,0.0
DEC_0049,0.0
DEC_3788,-6.641
DEC_2698,0.0
DEC_1799,0.0
DEC_2603,-5.135
DEC_1554,-8.941
DEC_0373,0.0
DEC_4374,-7.535
DEC_2365,0.0
DEC_3705,-7.683
DEC_3906,-7.923
DEC_2269,-6.645
DEC_2573,0.0
ACT_004,-6.935
DEC_0479,0.0
DEC_2000,-7.733
DEC_0744,-7.657
DEC_3104,-8.225
DEC_4024,-7.585
DEC_3051,-8.644
DEC_1533,-5.946
DEC_4129,-8.349
DEC_1284,0.0
DEC_3897,-9.08
DEC_0289,0.0
DEC_3316,0.0
DEC_2531,0.0
DEC_2013,-6.668
DEC_2989,-8.099
DEC_3137,-8.919
DEC_2246,0.0
DEC_3641,-7.665
ACT_083,0.0
DEC_0336,0.0
DEC_0727,-7.555
DEC_0160,0.0
DEC_4117,0.0
DEC_3125,-8.515
DEC_4301,-5.997
DEC_2391,0.0
DEC_2443,-7.268
DEC_2828,0.0
DEC_2561,0.0
DEC_1798,0.0
DEC_3309,0.0
DEC_3567,-8.86
DEC_3604,-9.863
DEC_2913,-6.161
DEC_4121,0.0
DEC_0445,0.0
DEC_4065,-7.437
DEC_2250,0.0
DEC_3207,-8.109
DEC_4282,-6.648
DEC_0922,0.0
DEC_1132,-8.936
DEC_4033,-6.753
DEC_1508,0.0
ACT_074,0.0
DEC_2032,-8.038
DEC_2936,0.0
DEC_3271,0.0
DEC_1116,-9.317
DEC_0907,-7.826
DEC_4336,0.0
DEC_2691,0.0
DEC_1875,-9.327
DEC_4369,-8.578
DEC_4350,-8.519
DEC_1105,-9.673
DEC_0664,-5.157
ACT_099,0.0
DEC_2417,-7.221
DEC_2143,-8.473
DEC_0165,0.0
DEC_1830,0.0
DEC_4071,-7.489
DEC_3817,-6.962
DEC_0434,0.0
DEC_0280,0.0
DEC_3218,-6.515
DEC_3424,-5.407
DEC_0616,0.0
DEC_3825,-5.554
DEC_2050,0.0
DEC_3799,-7.044
DEC_4256,-8.411
DEC_0148,0.0
DEC_0332,0.0
DEC_2851,-7.646
DEC_0712,-6.395
DEC_1584,-7.723
DEC_0133,0.0
DEC_3453,-6.848
DEC_1863,0.0
DEC_0623,0.0
DEC_0955,0.0
DEC_3063,0.0
DEC_0624,0.0
DEC_2166,0.0
DEC_3402,0.0
DEC_3496,0.0
DEC_4321,0.0
DEC_0126,0.0
DEC_2821,0.0
DEC_0257,-9.422
DEC_0338,0.0
DEC_3240,0.0
DEC_3962,0.0
DEC_3822,-7.296
DEC_2950,0.0
ACT_055,-7.912
DEC_0662,-6.442
DEC_2091,0.0
DEC_3937,-10.286
DEC_2270,-6.724
DEC_1610,-7.637
DEC_0388,-5.874
DEC_2244,0.0
DEC_2628,0.0
DEC_2741,-7.727
DEC_4359,-7.316
DEC_0570,0.0
DEC_1538,-8.279
DEC_1668,-7.779
DEC_2019,-7.65
DEC_1051,0.0
DEC_3777,-6.556
DEC_3382,-7.009
DEC_0980,-6.215
DEC_3681,-7.126
DEC_4085,-8.602
DEC_4207,-8.199
DEC_3197,-8.226
DEC_1518,0.0
DEC_3109,-6.858
DEC_0976,-9.182
DEC_2797,0.0
DEC_0911,-8.029
DEC_0385,-5.429
DEC_1910,-8.113
DEC_0045,0.0
DEC_1653,-7.837
DEC_2972,-8.832
DEC_0067,-8.405
DEC_0253,-8.295
DEC_2406,-8.05
DEC_3220,-7.616
DEC_0238,0.0
DEC_2196,0.0
DEC_0999,-7.165
DEC_0454,0.0
DEC_0468,0.0
DEC_2065,0.0
DEC_0503,-7.673
DEC_2176,0.0
DEC_2770,-8.539
DEC_4050,-8.354
DEC_1279,0.0
DEC_2692,0.0
DEC_2884,-6.653
DEC_0812,-6.477
DEC_3205,-7.633
DEC_3232,0.0
DEC_2469,0.0
DEC_3113,-7.131
DEC_3081,-6.882
ACT_021,-8.163
DEC_2191,0.0
DEC_2641,0.0
DEC_3327,-7.353
DEC_0896,-7.183
DEC_1855,0.0
DEC_3669,-7.366
DEC_1091,0.0
DEC_1414,0.0
DEC_0540,0.0
DEC_1362,-8.474
DEC_1618,-7.934
DEC_2500,0.0
DEC_3871,-4.78
DEC_1997,-6.556
DEC_2321,0.0
DEC_4272,-10.662
DEC_2149,-9.204
DEC_3360,-9.232
DEC_2824,0.0
DEC_1187,-8.839
DEC_2077,0.0
DEC_3894,-7.418
DEC_4012,0.0
DEC_2967,-7.041
DEC_2319,0.0
DEC_4312,0.0
DEC_1038,-7.109
DEC_1337,-8.304
DEC_3650,-6.872
DEC_1415,0.0
DEC_0342,0.0
DEC_0085,-6.492
DEC_2429,-7.467
