compound_id,score
DEC_0722,-9.137
DEC_3179,0.0
DEC_0458,0.0
DEC_3098,-6.495
DEC_0692,0.0
DEC_3803,-7.48
DEC_3760,0.0
DEC_0706,0.0
DEC_3901,-9.388
DEC_0095,0.0
DEC_1069,-7.901
DEC_0474,0.0
DEC_3992,-11.063
DEC_3185,0.0
DEC_3683,0.0
DEC_0272,0.0
DEC_0742,-8.596
DEC_1816,0.0
DEC_0567,0.0
DEC_0049,0.0
DEC_3788,0.0
DEC_2698,0.0
DEC_1799,0.0
DEC_2603,0.0
DEC_1554,-9.282
DEC_0373,0.0
DEC_4374,-7.929
DEC_2365,0.0
DEC_3705,-8.324
DEC_3906,-8.431
DEC_2269,0.0
DEC_2573,0.0
ACT_004,0.0
DEC_0479,-6.635
DEC_2000,0.0
DEC_0744,0.0
DEC_3104,0.0
DEC_4024,-7.655
DEC_3051,0.0
DEC_1533,0.0
DEC_4129,-8.94
DEC_1284,-10.209
DEC_3897,-9.259
DEC_0289,0.0
DEC_3316,-9.389
DEC_2531,0.0
DEC_2013,-6.975
DEC_2989,-9.275
DEC_3137,-9.116
DEC_2246,0.0
DEC_3641,-7.949
ACT_083,-184.118
DEC_0336,0.0
DEC_0727,-8.671
DEC_0160,-7.879
DEC_4117,0.0
DEC_3125,0.0
DEC_4301,0.0
DEC_2391,0.0
DEC_2443,-7.701
DEC_2828,0.0
DEC_2561,0.0
DEC_1798,0.0
DEC_3309,0.0
DEC_3567,0.0
DEC_3604,-10.995
DEC_2913,0.0
DEC_4121,-8.064
DEC_0445,0.0
DEC_4065,-7.732
DEC_2250,0.0
DEC_3207,-8.503
DEC_4282,0.0
DEC_0922,-8.957
DEC_1132,0.0
DEC_4033,0.0
DEC_1508,-8.503
ACT_074,-6.556
DEC_2032,0.0
DEC_2936,0.0
DEC_3271,0.0
DEC_1116,0.0
DEC_0907,0.0
DEC_4336,0.0
DEC_2691,0.0
DEC_1875,0.0
DEC_4369,-8.019
DEC_4350,-8.741
DEC_1105,0.0
