compound_id,score
DEC_0058,-9.027
DEC_0059,-8.458
DEC_0060,-7.504
DEC_0061,-8.268
DEC_0062,-7.835
DEC_0063,-8.7
DEC_0065,-8.669
DEC_0066,-9.467
DEC_0067,-8.267
DEC_0068,-8.152
DEC_0069,-7.646
DEC_0070,-8.186
DEC_0071,-8.632
DEC_0072,-8.365
DEC_0074,-8.519
DEC_0075,-8.436
DEC_0076,-6.822
DEC_0077,-8.45
DEC_0079,-8.262
DEC_0080,-8.045
DEC_0081,-8.463
DEC_0082,-8.907
DEC_0083,-9.016
DEC_0084,-8.476
DEC_0085,-6.909
DEC_0086,-8.995
DEC_0087,-9.14
DEC_0088,-6.013
DEC_0090,-8.318
DEC_0091,-8.023
DEC_0092,-8.374
DEC_0093,-8.498
DEC_0094,-7.782
DEC_0095,-8.105
DEC_0096,-8.177
DEC_0097,-8.763
DEC_0098,-7.949
DEC_0099,-8.876
DEC_0100,-8.756
DEC_0101,-8.805
DEC_0146,-7.781
DEC_0147,-7.638
DEC_0150,-6.823
DEC_0153,-7.275
DEC_0154,-7.889
DEC_0156,-7.595
DEC_0157,-7.876
DEC_0158,-6.749
DEC_0159,-6.518
DEC_0164,-6.302
DEC_0165,-5.633
DEC_0167,-6.237
DEC_0168,-8.042
DEC_0169,-6.399
DEC_0170,-6.205
DEC_0171,-7.272
DEC_0173,-6.675
DEC_0174,-5.42
DEC_0175,-7.032
DEC_0176,-6.938
DEC_0177,-6.543
DEC_0178,-6.937
DEC_0179,-7.194
DEC_0181,-6.319
DEC_0184,-6.55
DEC_0185,-6.455
DEC_0186,-6.507
DEC_0187,-8.455
DEC_0188,-7.227
DEC_0189,-6.52
DEC_0190,-7.979
DEC_0191,-6.962
DEC_0194,-8.034
DEC_0195,-7.27
DEC_0196,-6.938
DEC_0197,-7.7
DEC_0199,-6.509
DEC_0200,-6.412
DEC_0201,-6.893
DEC_0204,-6.727
DEC_0239,-9.129
DEC_0242,-8.498
DEC_0243,-8.091
DEC_0244,-8.515
DEC_0245,-9.238
DEC_0246,-9.363
DEC_0247,-8.413
DEC_0252,-9.106
DEC_0254,-8.235
DEC_0255,-8.611
DEC_0256,-8.146
DEC_0257,-10.486
DEC_0258,-8.327
DEC_0259,-9.315
DEC_0260,-8.986
DEC_0262,-9.341
DEC_0264,-8.58
DEC_0265,-8.581
DEC_0266,-7.852
DEC_0267,-9.256
DEC_0268,-8.462
DEC_0269,-7.917
DEC_0270,-8.804
DEC_0271,-8.573
DEC_0272,-7.942
DEC_0273,-8.567
DEC_0274,-8.104
DEC_0275,-8.098
DEC_0276,-8.191
DEC_0277,-9.334
DEC_0278,-9.006
DEC_0279,-8.167
DEC_0280,-8.865
DEC_0281,-9.203
DEC_0282,-8.407
DEC_0284,-8.781
DEC_0286,-9.299
DEC_0289,-8.865
DEC_0290,-8.997
DEC_0291,-8.922
DEC_0293,-9.242
DEC_0294,-9.637
DEC_0295,-8.665
DEC_0296,-9.387
DEC_0297,-10.175
DEC_0298,-7.271
DEC_0299,-10.221
DEC_0300,-10.859
DEC_0303,-8.678
DEC_0304,-8.423
DEC_0305,-8.894
DEC_0306,-8.939
DEC_0307,-10.242
DEC_0308,-10.621
DEC_0310,-9.709
DEC_0311,-8.492
DEC_0312,-9.008
DEC_0313,-10.587
DEC_0314,-6.221
DEC_0316,-6.424
DEC_0317,-8.753
DEC_0318,-10.039
DEC_0319,-96.595
DEC_0320,-9.102
DEC_0321,-9.253
DEC_0322,-8.656
DEC_0323,-9.374
DEC_0324,-9.421
DEC_0325,-3.701
