compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_001,CHEMBL5289250,C=CC(=O)N1CCC(C2CCNc3c(C(N)=O)c(-c4cc(OC)c(Cl)c(OC)c4)nn32)CC1,5.75,IC50,473.96100000000024,3.100900000000002,2,6,6,111.71000000000001,33,0
ACT_002,CHEMBL334255,CCCCCCCCCCCCCCCC[n+]1ccccc1,5.46,IC50,304.5419999999999,6.455400000000006,0,0,15,3.88,22,1
ACT_003,CHEMBL4239716,CSc1ccc(N(C)c2ncnc3occ(C)c23)cc1,8.14,IC50,285.372,4.021020000000004,0,5,3,42.160000000000004,20,0
ACT_004,CHEMBL58,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,5.27,IC50,444.4880000000002,-0.13919999999999944,8,10,12,163.17999999999998,32,0
ACT_005,CHEMBL5761151,Cn1ncc2c([C@H](Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(Cc4c(F)cccc4F)NN3)cccc21,8.4,IC50,618.6960000000003,6.120660000000004,4,9,8,129.64999999999998,46,0
ACT_006,CHEMBL2205030,O=S1(=O)N=S(c2ccc(Br)cc2)c2ccncc21,5.27,IC50,343.2270000000001,2.766300000000001,0,3,1,59.39,18,0
ACT_007,CHEMBL4094471,Clc1ccccc1-c1nnc(Cc2nc3ccccc3[nH]2)o1,5.35,IC50,310.74399999999997,3.8571000000000017,1,4,3,67.6,22,0
ACT_008,CHEMBL464721,CCC(C)/C=C/C(=O)C(=O)/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H]1C[C@@H](O)[C@H](C(=O)O)O1,5.8,IC50,426.5090000000002,3.6671000000000014,2,5,12,100.9,31,0
ACT_009,CHEMBL48802,C[S+]([O-])CCCCN=C=S,5.05,IC50,177.294,1.2479,0,3,5,35.42,10,0
ACT_010,CHEMBL1830274,Cc1ccc(C(/C=C/c2ccccc2)=N\NC(N)=S)cc1,6.46,IC50,295.411,3.2457200000000004,2,2,4,50.41,21,0
ACT_011,CHEMBL4751085,CC(C)(C)c1cc(NC2=NC(=O)CS2)no1,6.82,IC50,239.29999999999995,2.0134,1,5,1,67.49000000000001,16,0
ACT_012,CHEMBL454002,N#CC(C#N)=C(C#N)c1cc(O)cc(O)c1,5.0,IC50,211.18,1.4221399999999997,2,5,1,111.83000000000001,16,0
