molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,41.0,nM,7.39,CHEMBL674637,B,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,CHEMBL1134862,2002
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,300.0,nM,6.52,CHEMBL621151,F,Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells,CHEMBL1134862,2002
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,7820.0,nM,5.11,CHEMBL615325,F,Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells,CHEMBL1134862,2002
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,170.0,nM,6.77,CHEMBL674637,B,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,CHEMBL1134862,2002
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,40.0,nM,7.4,CHEMBL621151,F,Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells,CHEMBL1134862,2002
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,440.0,nM,6.36,CHEMBL615325,F,Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells,CHEMBL1134862,2002
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,IC50,9300.0,nM,5.03,CHEMBL677833,B,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,CHEMBL1145114,2003
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,5310.0,nM,5.28,CHEMBL674637,B,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,CHEMBL1134862,2002
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,IC50,125.0,nM,6.9,CHEMBL674643,B,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,CHEMBL1124610,1989
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,0.45,nM,9.35,CHEMBL674637,B,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,CHEMBL1134862,2002
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,IC50,10000.0,nM,5.0,CHEMBL674643,B,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,CHEMBL1124610,1989
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,Ki,3500.0,nM,5.46,CHEMBL675636,B,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,CHEMBL1124610,1989
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,IC50,3000.0,nM,5.52,CHEMBL674643,B,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,CHEMBL1124610,1989
