compound_id,score
DEC_3638,-8.62
DEC_4010,0.0
DEC_0001,0.0
DEC_4538,0.0
DEC_2726,0.0
DEC_1496,0.0
DEC_4505,-9.691
DEC_2531,-5.624
DEC_2910,-6.64
ACT_072,-9.098
DEC_1387,0.0
DEC_3427,0.0
DEC_0809,-7.879
DEC_3965,0.0
DEC_1362,-8.199
DEC_3250,-8.759
DEC_4139,-8.875
DEC_1022,0.0
DEC_1993,-8.127
DEC_3388,-8.834
DEC_4549,0.0
DEC_4191,0.0
DEC_0871,0.0
DEC_1975,0.0
DEC_2722,-8.838
DEC_0013,0.0
DEC_0238,-8.422
ACT_040,-9.745
DEC_3539,-9.442
DEC_4364,0.0
DEC_3372,0.0
DEC_2030,-8.301
DEC_4241,-9.91
DEC_3052,-8.912
DEC_0633,-6.3
DEC_0272,0.0
DEC_1099,-7.881
ACT_083,-8.627
DEC_1223,0.0
DEC_0627,0.0
DEC_3428,-8.816
DEC_2197,-7.54
DEC_1608,-8.08
DEC_1799,0.0
DEC_4334,-6.471
DEC_1240,0.0
DEC_0909,0.0
DEC_0788,0.0
DEC_4258,-8.731
DEC_3463,0.0
DEC_3030,-7.978
DEC_3290,-9.955
DEC_1130,-7.955
DEC_2207,-8.566
DEC_1952,0.0
DEC_2758,-8.753
DEC_4175,-8.329
DEC_2731,-8.563
DEC_0537,0.0
DEC_3563,-8.14
DEC_1798,0.0
DEC_2873,0.0
DEC_0850,-8.9
DEC_0326,0.0
DEC_2130,0.0
DEC_3114,-8.603
DEC_3454,-7.577
DEC_2344,0.0
DEC_0978,-8.45
DEC_3573,-7.887
DEC_4439,-7.737
DEC_3955,0.0
DEC_3348,-9.528
DEC_1609,-9.141
DEC_2222,0.0
DEC_3225,0.0
DEC_0197,0.0
DEC_2532,-7.368
DEC_3066,-10.532
DEC_4064,-9.703
DEC_1504,-8.05
DEC_4282,-9.341
DEC_0760,-6.26
DEC_0911,0.0
DEC_3064,-8.875
DEC_3003,-9.455
DEC_0503,-10.897
DEC_1282,0.0
DEC_1473,-8.265
DEC_2386,-8.854
DEC_3356,-7.755
DEC_3862,0.0
ACT_043,-6.788
DEC_2417,0.0
DEC_2412,-7.954
ACT_024,-9.868
DEC_0494,0.0
DEC_4207,-7.338
DEC_1648,-8.116
DEC_4386,-8.497
DEC_2655,-7.814
DEC_1435,-7.995
DEC_2949,-7.713
DEC_4198,0.0
DEC_1400,-7.887
DEC_1703,-9.139
DEC_2837,-8.292
DEC_1512,-8.579
DEC_3797,0.0
DEC_0907,0.0
DEC_2600,-7.067
DEC_2930,-9.174
DEC_0912,0.0
DEC_0444,-6.997
DEC_2624,-7.523
DEC_3730,-10.018
DEC_1148,0.0
DEC_0027,0.0
DEC_4169,-8.488
DEC_0567,-7.738
DEC_2282,-8.344
DEC_2254,-7.005
DEC_2291,-7.685
DEC_4508,-8.848
DEC_3929,0.0
DEC_3575,-8.259
DEC_0496,-10.112
DEC_2169,-8.521
DEC_3247,-8.42
DEC_1101,-7.349
DEC_0853,0.0
DEC_0133,0.0
DEC_1261,0.0
DEC_0063,-6.918
DEC_3083,-8.192
DEC_2018,-7.649
DEC_3267,-9.366
DEC_3049,-8.277
DEC_3764,0.0
DEC_3737,-7.91
DEC_4185,0.0
DEC_4309,-9.468
DEC_3649,-7.879
DEC_4356,-9.939
DEC_0863,0.0
DEC_2568,-6.424
DEC_0446,-7.705
DEC_3298,0.0
DEC_0675,-5.708
DEC_0530,0.0
DEC_2912,-11.001
DEC_1268,0.0
DEC_4338,-9.445
DEC_0708,0.0
DEC_3328,-7.687
DEC_3925,0.0
DEC_1366,-9.033
DEC_3081,-8.45
DEC_0761,-8.086
DEC_4559,0.0
DEC_1050,-7.828
DEC_3353,0.0
DEC_3785,0.0
DEC_3987,0.0
DEC_2497,-8.484
DEC_0339,0.0
DEC_2184,-8.376
DEC_2839,-8.624
DEC_1433,0.0
DEC_1614,-8.362
DEC_4445,-8.312
DEC_3598,-8.057
DEC_0308,-7.893
DEC_0558,-8.682
DEC_0157,0.0
DEC_2979,-8.457
DEC_4050,0.0
DEC_0195,0.0
DEC_2819,0.0
DEC_0902,0.0
DEC_1503,-9.588
DEC_2428,0.0
DEC_2465,0.0
DEC_0525,0.0
DEC_1088,-6.507
DEC_0661,-7.501
DEC_0313,-7.566
DEC_3911,-6.603
DEC_0714,0.0
DEC_2970,0.0
DEC_3985,0.0
DEC_4393,0.0
DEC_2747,0.0
DEC_3097,-8.552
DEC_4168,-7.099
DEC_0479,0.0
DEC_0350,-7.558
DEC_1810,0.0
DEC_3809,-6.371
DEC_2993,-7.846
DEC_4358,0.0
DEC_3513,0.0
DEC_0174,0.0
DEC_0316,-7.638
DEC_2512,-8.073
DEC_3956,-8.619
DEC_1272,0.0
DEC_0020,-9.142
DEC_4437,-8.85
DEC_1259,0.0
DEC_3881,-8.275
DEC_3530,0.0
DEC_2982,-9.198
DEC_0198,0.0
DEC_3045,-9.837
DEC_3562,-7.015
DEC_2022,-7.109
DEC_1003,-10.257
DEC_3856,0.0
DEC_4278,-8.372
DEC_0928,0.0
DEC_4115,-8.998
DEC_1932,-7.535
DEC_1688,-7.25
DEC_4474,-8.93
DEC_3253,-8.336
DEC_2641,0.0
DEC_1305,-8.866
DEC_3876,-8.459
DEC_1628,-7.423
DEC_3464,0.0
DEC_3487,-9.378
DEC_3556,-9.861
DEC_0758,-6.325
DEC_0122,0.0
DEC_1069,-7.542
DEC_3972,0.0
DEC_3790,-5.703
DEC_2799,-8.346
DEC_2352,-10.385
ACT_053,-8.513
DEC_2945,-8.134
DEC_1062,-7.751
DEC_1591,-8.19
DEC_0840,-8.232
DEC_4126,0.0
DEC_1082,-5.95
DEC_2603,0.0
DEC_1322,-9.126
DEC_2883,0.0
DEC_1154,0.0
DEC_0806,-9.385
DEC_3137,0.0
DEC_1927,-8.123
ACT_073,-5.545
DEC_2240,0.0
DEC_1598,-6.769
DEC_2543,-9.497
DEC_4058,0.0
DEC_2196,-9.009
DEC_4459,-8.649
DEC_0452,-7.128
DEC_0332,0.0
DEC_3043,0.0
DEC_2435,0.0
DEC_0674,0.0
DEC_3444,-9.579
DEC_0631,-7.22
DEC_0596,0.0
DEC_2515,-8.628
DEC_2119,0.0
DEC_4550,0.0
DEC_3597,-8.733
DEC_0002,-6.986
DEC_2870,0.0
DEC_0776,0.0
DEC_3607,0.0
DEC_4027,-7.865
DEC_2448,0.0
DEC_4240,-8.669
DEC_4489,-7.495
DEC_0280,0.0
DEC_1392,-7.417
ACT_015,-10.157
DEC_0169,0.0
DEC_0445,-7.101
DEC_0454,-9.281
DEC_1092,-7.845
DEC_0520,0.0
DEC_3470,0.0
DEC_0937,0.0
DEC_0164,0.0
DEC_0523,0.0
DEC_2517,-7.576
DEC_1755,-9.426
DEC_3008,-7.486
DEC_4154,-7.343
DEC_2441,0.0
DEC_3316,-7.976
DEC_2720,-8.54
DEC_1691,-10.376
DEC_2638,0.0
DEC_3721,0.0
DEC_2362,-7.382
DEC_1035,0.0
DEC_2217,0.0
DEC_1887,-7.769
DEC_3438,-7.786
DEC_1085,-6.8
DEC_4043,0.0
DEC_4249,-9.053
DEC_2781,-8.626
DEC_2120,0.0
DEC_0605,0.0
DEC_2029,-7.816
DEC_1579,-7.359
DEC_1770,-8.671
DEC_2212,-7.263
DEC_1343,-8.013
DEC_0379,-6.21
DEC_1538,-7.982
DEC_0295,-7.943
DEC_3666,-9.414
DEC_3201,-8.598
DEC_1540,-9.108
DEC_2635,0.0
ACT_074,-9.339
DEC_0977,-6.908
DEC_3636,0.0
DEC_2514,-7.944
DEC_2745,-10.667
DEC_2165,-8.532
DEC_1632,-7.484
DEC_0289,0.0
DEC_1142,-6.854
DEC_0097,-7.943
DEC_1337,-9.535
DEC_4228,-8.595
DEC_0642,0.0
DEC_0694,0.0
DEC_0047,-8.347
DEC_2978,0.0
DEC_4561,0.0
DEC_2034,-9.321
DEC_0955,0.0
DEC_1238,-8.727
DEC_3163,-7.047
DEC_1284,0.0
DEC_3398,-8.371
DEC_1582,-8.949
DEC_3642,0.0
DEC_3482,-8.883
DEC_0706,0.0
DEC_2322,-8.919
DEC_0201,0.0
DEC_1994,0.0
DEC_2146,0.0
DEC_4400,0.0
DEC_0733,-7.404
DEC_1357,-7.288
DEC_4063,-9.384
DEC_1250,0.0
DEC_0701,0.0
DEC_2715,-9.001
DEC_3581,-8.739
DEC_3105,-8.828
DEC_3063,-9.081
DEC_3075,-6.911
DEC_2436,0.0
DEC_2493,-8.258
DEC_0966,-8.373
DEC_0676,-8.005
DEC_4150,-7.495
DEC_0623,0.0
DEC_3023,-8.545
DEC_0896,0.0
DEC_1311,-8.796
DEC_1310,-8.612
DEC_3606,-8.786
ACT_099,0.0
DEC_1953,0.0
DEC_2580,-8.382
DEC_1494,-9.63
DEC_3668,-7.631
DEC_0725,0.0
DEC_2823,-8.242
DEC_1627,-8.864
DEC_1675,-5.888
DEC_1781,-8.916
DEC_0165,0.0
DEC_4268,-7.843
DEC_2572,-7.758
DEC_1107,-6.697
DEC_3439,-10.21
DEC_3845,0.0
ACT_041,-11.025
DEC_1334,-8.466
DEC_4302,-9.39
DEC_4534,0.0
DEC_4377,-8.64
DEC_1660,-8.517
DEC_0252,-5.946
DEC_1203,-6.99
DEC_0536,0.0
DEC_3109,0.0
DEC_1672,-5.484
DEC_2142,-9.202
DEC_0388,-8.106
DEC_4349,-8.727
DEC_3569,-7.402
DEC_2509,-6.593
DEC_1184,-7.518
DEC_3245,0.0
DEC_0314,-7.752
DEC_4243,-10.267
DEC_1243,0.0
DEC_3885,-9.089
DEC_2650,0.0
DEC_1414,-7.137
DEC_1200,-8.073
DEC_0735,-8.398
DEC_3536,-10.332
DEC_0643,-6.288
DEC_0189,-9.557
DEC_1270,0.0
DEC_2636,0.0
DEC_0851,-8.315
DEC_3070,0.0
DEC_0126,0.0
DEC_3176,-7.105
DEC_1245,-9.06
DEC_4157,-8.068
DEC_1696,-8.655
DEC_0336,0.0
DEC_3282,-10.185
DEC_2940,-9.525
DEC_4478,-8.702
DEC_0099,-7.203
DEC_4042,0.0
DEC_2769,-11.129
DEC_2324,-9.6
DEC_3332,-8.506
DEC_1306,-9.398
DEC_4232,-6.944
DEC_1201,-7.851
DEC_1048,-6.177
DEC_2751,-9.299
DEC_2922,-8.597
DEC_2657,-8.297
DEC_3558,-8.626
DEC_2004,0.0
DEC_2848,-9.111
DEC_1970,0.0
DEC_4457,-8.506
DEC_3945,0.0
DEC_0584,-10.839
DEC_2483,-8.703
DEC_1584,0.0
DEC_0540,0.0
DEC_2299,0.0
DEC_3724,0.0
DEC_0221,-7.619
DEC_3529,0.0
DEC_1403,-7.09
DEC_2415,0.0
DEC_2405,-7.148
DEC_2270,-8.535
DEC_2881,0.0
DEC_2735,-8.812
DEC_3818,-7.913
DEC_3819,-6.084
DEC_0585,-7.892
DEC_0331,0.0
DEC_0593,0.0
DEC_3749,-10.034
DEC_3830,-6.557
DEC_2375,-8.714
DEC_1740,-9.378
DEC_2561,-6.512
DEC_3207,0.0
DEC_0459,-9.187
DEC_1029,0.0
DEC_0036,-9.308
DEC_2015,-7.157
DEC_3184,-8.182
DEC_3456,-8.657
DEC_3689,-8.413
DEC_0184,-10.093
DEC_0257,-5.995
DEC_4000,0.0
DEC_0710,0.0
DEC_0831,-7.413
DEC_2016,-8.24
DEC_1830,-9.97
DEC_2031,-8.307
DEC_2294,-7.997
DEC_3567,-7.258
DEC_3182,-8.154
DEC_1797,0.0
DEC_3626,0.0
DEC_2495,-9.807
DEC_2413,0.0
DEC_3314,-7.79
ACT_016,-6.285
DEC_3747,-7.791
DEC_0148,0.0
DEC_4023,-8.741
DEC_1396,-7.825
DEC_0434,-7.371
DEC_3623,0.0
DEC_3459,-9.294
DEC_2830,-8.522
DEC_2692,-7.834
DEC_3744,-8.525
DEC_0431,-7.645
DEC_3041,-9.207
DEC_2915,-8.036
DEC_4391,0.0
DEC_3054,-9.903
DEC_2507,-8.366
DEC_2923,0.0
DEC_2280,0.0
DEC_1996,-8.835
DEC_0942,-7.799
DEC_4528,0.0
DEC_0670,0.0
DEC_4438,-7.608
DEC_1075,-7.471
DEC_0864,0.0
DEC_1968,0.0
DEC_0285,0.0
DEC_2748,-8.974
DEC_0472,-9.592
DEC_2664,0.0
DEC_4028,-9.63
DEC_3989,0.0
DEC_0573,0.0
DEC_4015,-9.199
DEC_3020,-9.711
ACT_050,-8.645
DEC_0773,0.0
DEC_0011,-7.116
DEC_4487,-8.941
DEC_4335,-9.367
DEC_3379,0.0
DEC_1509,0.0
DEC_2214,-7.022
DEC_4343,-8.9
DEC_0878,0.0
DEC_0358,-6.952
DEC_0739,-8.148
DEC_1481,-10.191
DEC_3155,0.0
DEC_0797,-7.936
DEC_2156,-8.999
DEC_2410,-8.736
DEC_0794,-5.867
DEC_0502,-9.225
DEC_0045,0.0
DEC_0601,0.0
DEC_1585,-7.774
DEC_2348,-8.759
DEC_1143,0.0
DEC_1023,0.0
DEC_1440,0.0
DEC_1144,0.0
DEC_3393,-7.766
DEC_1751,0.0
DEC_0031,-9.34
DEC_2938,-7.841
DEC_1782,0.0
DEC_4172,-8.996
DEC_3107,-8.533
DEC_2706,-9.113
DEC_4353,-8.99
DEC_3871,-7.605
DEC_4398,0.0
DEC_2592,-6.771
DEC_1596,-7.415
DEC_2304,-8.098
DEC_4475,-8.692
DEC_2277,-8.601
DEC_3906,-6.966
DEC_4019,-10.731
DEC_1768,-9.3
DEC_0004,0.0
DEC_1264,0.0
DEC_1735,-8.476
DEC_2696,-8.026
DEC_3024,0.0
DEC_0570,-7.954
DEC_0014,-8.732
DEC_1182,-7.701
DEC_0655,-8.215
DEC_0617,0.0
DEC_1508,-9.698
DEC_0232,-6.955
DEC_2525,-9.516
DEC_3742,-8.911
DEC_0999,-9.712
DEC_1889,-8.705
DEC_2144,-9.058
ACT_001,-8.59
DEC_3814,-7.492
DEC_3119,-8.165
ACT_021,-8.521
DEC_2992,-9.169
DEC_1230,0.0
DEC_0587,-8.564
DEC_4442,-8.784
DEC_3352,-7.893
DEC_2404,-7.287
DEC_0884,0.0
DEC_1290,0.0
DEC_2861,0.0
DEC_1488,-9.789
DEC_0093,-7.455
DEC_3251,-8.39
DEC_1498,-8.334
DEC_3709,-8.637
DEC_0962,-7.701
DEC_4108,-7.357
DEC_0940,-7.723
DEC_3409,0.0
DEC_3130,-7.817
DEC_3222,0.0
DEC_3612,0.0
DEC_1477,-9.898
DEC_0081,-7.124
DEC_2087,-8.54
DEC_2695,-7.406
DEC_4111,-6.864
DEC_0490,-9.723
DEC_0913,0.0
DEC_3402,0.0
DEC_2526,-7.609
DEC_2337,-9.191
DEC_3822,-7.242
DEC_2762,-7.931
DEC_3220,0.0
DEC_3641,-8.569
DEC_4374,-8.653
DEC_2499,-8.646
DEC_2768,0.0
DEC_1990,-8.645
DEC_3548,-9.401
DEC_3515,0.0
DEC_3971,0.0
DEC_0600,0.0
DEC_2901,-7.804
DEC_3645,-9.012
DEC_4221,-8.314
DEC_4440,-7.91
DEC_0085,-7.097
DEC_2975,0.0
DEC_3288,-10.725
DEC_0801,-9.252
DEC_3306,0.0
DEC_2659,0.0
DEC_0253,-8.344
DEC_2550,-7.757
DEC_0458,-7.741
