compound_id,score
DEC_3638,0.0
DEC_4010,0.0
DEC_0001,0.0
DEC_4538,0.0
DEC_2726,0.0
DEC_1496,0.0
DEC_4505,0.0
DEC_2531,0.0
DEC_2910,0.0
ACT_072,-10.521
DEC_1387,-7.361
DEC_3427,0.0
DEC_0809,0.0
DEC_3965,0.0
DEC_1362,-8.647
DEC_3250,0.0
DEC_4139,-9.049
DEC_1022,0.0
DEC_1993,-8.628
DEC_3388,-8.35
DEC_4549,0.0
DEC_4191,-7.186
DEC_0871,0.0
DEC_1975,0.0
DEC_2722,-8.379
DEC_0013,0.0
DEC_0238,-7.822
ACT_040,0.0
DEC_3539,-9.403
DEC_4364,-8.625
DEC_3372,0.0
DEC_2030,0.0
DEC_4241,0.0
DEC_3052,-8.396
DEC_0633,0.0
DEC_0272,-7.625
DEC_1099,-7.248
ACT_083,0.0
DEC_1223,0.0
DEC_0627,0.0
DEC_3428,0.0
DEC_2197,-7.422
DEC_1608,-8.092
DEC_1799,0.0
DEC_4334,0.0
DEC_1240,0.0
DEC_0909,0.0
DEC_0788,-8.935
DEC_4258,-7.837
DEC_3463,-8.314
DEC_3030,0.0
DEC_3290,0.0
DEC_1130,0.0
DEC_2207,0.0
DEC_1952,-6.155
DEC_2758,-8.133
DEC_4175,-8.04
DEC_2731,-8.518
DEC_0537,0.0
DEC_3563,0.0
DEC_1798,0.0
DEC_2873,0.0
DEC_0850,0.0
DEC_0326,-7.914
DEC_2130,0.0
DEC_3114,-8.582
DEC_3454,0.0
DEC_2344,0.0
DEC_0978,0.0
DEC_3573,0.0
DEC_4439,0.0
DEC_3955,0.0
DEC_3348,-9.123
DEC_1609,-8.594
DEC_2222,0.0
DEC_3225,0.0
DEC_0197,0.0
DEC_2532,-7.432
DEC_3066,2.285
DEC_4064,-9.112
DEC_1504,0.0
DEC_4282,0.0
DEC_0760,0.0
DEC_0911,0.0
DEC_3064,-185.807
DEC_3003,0.0
DEC_0503,-9.336
DEC_1282,0.0
DEC_1473,-7.921
DEC_2386,-8.806
DEC_3356,-7.173
DEC_3862,-9.7
ACT_043,-7.356
DEC_2417,0.0
DEC_2412,0.0
ACT_024,-9.822
DEC_0494,55.206
DEC_4207,0.0
DEC_1648,-7.443
DEC_4386,0.0
DEC_2655,0.0
DEC_1435,0.0
DEC_2949,0.0
DEC_4198,-7.085
DEC_1400,-7.699
DEC_1703,-9.084
DEC_2837,0.0
DEC_1512,-8.164
DEC_3797,0.0
DEC_0907,0.0
DEC_2600,0.0
DEC_2930,0.0
DEC_0912,0.0
DEC_0444,-6.738
DEC_2624,-7.353
DEC_3730,0.0
DEC_1148,0.0
DEC_0027,0.0
DEC_4169,-8.105
DEC_0567,0.0
DEC_2282,-7.96
DEC_2254,0.0
DEC_2291,-8.105
DEC_4508,-8.453
DEC_3929,-7.468
DEC_3575,-7.607
DEC_0496,-9.444
DEC_2169,0.0
DEC_3247,0.0
DEC_1101,0.0
DEC_0853,0.0
DEC_0133,-9.0
DEC_1261,0.0
DEC_0063,-6.216
DEC_3083,0.0
DEC_2018,0.0
DEC_3267,0.0
DEC_3049,-7.344
DEC_3764,-9.822
DEC_3737,-7.686
DEC_4185,0.0
DEC_4309,-8.852
DEC_3649,0.0
DEC_4356,0.0
DEC_0863,0.0
DEC_2568,0.0
DEC_0446,-7.468
DEC_3298,-8.231
DEC_0675,0.0
DEC_0530,0.0
DEC_2912,-9.357
DEC_1268,0.0
DEC_4338,0.0
DEC_0708,-10.499
DEC_3328,0.0
DEC_3925,-7.611
DEC_1366,-8.837
DEC_3081,-7.897
DEC_0761,0.0
DEC_4559,0.0
DEC_1050,0.0
DEC_3353,-8.062
DEC_3785,-7.694
DEC_3987,0.0
DEC_2497,-8.691
DEC_0339,-6.42
DEC_2184,0.0
DEC_2839,0.0
DEC_1433,-7.85
DEC_1614,0.0
DEC_4445,0.0
DEC_3598,0.0
DEC_0308,-8.301
DEC_0558,0.0
DEC_0157,0.0
DEC_2979,0.0
DEC_4050,-9.487
DEC_0195,0.0
DEC_2819,0.0
DEC_0902,0.0
DEC_1503,-9.524
DEC_2428,0.0
DEC_2465,0.0
DEC_0525,0.0
DEC_1088,-6.535
DEC_0661,-7.078
DEC_0313,-7.285
DEC_3911,-6.614
DEC_0714,0.0
DEC_2970,0.0
DEC_3985,-9.43
DEC_4393,0.0
DEC_2747,0.0
DEC_3097,0.0
DEC_4168,-6.817
DEC_0479,75.253
DEC_0350,0.0
DEC_1810,0.0
DEC_3809,-6.442
DEC_2993,-7.168
DEC_4358,-8.569
DEC_3513,-10.423
DEC_0174,0.0
DEC_0316,0.0
DEC_2512,0.0
DEC_3956,0.0
DEC_1272,0.0
DEC_0020,-8.451
DEC_4437,0.0
DEC_1259,0.0
DEC_3881,-7.348
DEC_3530,-106.159
DEC_2982,0.0
DEC_0198,0.0
DEC_3045,0.0
DEC_3562,0.0
DEC_2022,0.0
DEC_1003,-10.643
DEC_3856,-9.68
DEC_4278,0.0
DEC_0928,4.681
DEC_4115,0.0
DEC_1932,0.0
DEC_1688,0.0
DEC_4474,0.0
DEC_3253,-7.717
DEC_2641,0.0
DEC_1305,0.0
DEC_3876,0.0
DEC_1628,-6.974
DEC_3464,-9.336
DEC_3487,0.0
DEC_3556,-8.945
DEC_0758,0.0
DEC_0122,0.0
DEC_1069,-7.551
DEC_3972,0.0
DEC_3790,0.0
DEC_2799,-7.986
DEC_2352,-9.392
ACT_053,-8.661
DEC_2945,0.0
DEC_1062,-7.329
DEC_1591,0.0
DEC_0840,0.0
DEC_4126,-7.582
DEC_1082,0.0
DEC_2603,0.0
DEC_1322,0.0
DEC_2883,-8.276
DEC_1154,0.0
DEC_0806,0.0
DEC_3137,-10.028
DEC_1927,-7.559
ACT_073,-5.415
DEC_2240,0.0
DEC_1598,0.0
DEC_2543,-8.697
DEC_4058,0.0
DEC_2196,0.0
DEC_4459,0.0
DEC_0452,-7.31
DEC_0332,-7.388
DEC_3043,19.55
DEC_2435,0.0
DEC_0674,0.0
DEC_3444,0.0
DEC_0631,0.0
DEC_0596,0.0
DEC_2515,-7.873
DEC_2119,-10.026
DEC_4550,-8.584
DEC_3597,0.0
DEC_0002,-7.248
DEC_2870,0.0
DEC_0776,0.0
DEC_3607,0.0
DEC_4027,-7.478
DEC_2448,0.0
DEC_4240,-8.179
DEC_4489,0.0
DEC_0280,0.0
DEC_1392,-7.125
ACT_015,0.0
DEC_0169,0.0
DEC_0445,-6.75
DEC_0454,0.0
DEC_1092,-6.969
DEC_0520,-7.129
DEC_3470,-9.279
DEC_0937,0.0
DEC_0164,0.0
DEC_0523,0.0
DEC_2517,0.0
DEC_1755,-9.316
DEC_3008,0.0
DEC_4154,-7.272
DEC_2441,0.0
DEC_3316,0.0
DEC_2720,0.0
DEC_1691,0.0
DEC_2638,0.0
DEC_3721,0.0
DEC_2362,-8.217
DEC_1035,0.0
DEC_2217,0.0
DEC_1887,-7.63
DEC_3438,0.0
DEC_1085,-6.493
DEC_4043,-9.243
DEC_4249,-9.615
DEC_2781,0.0
DEC_2120,-10.08
DEC_0605,0.0
DEC_2029,0.0
DEC_1579,0.0
DEC_1770,0.0
DEC_2212,0.0
DEC_1343,0.0
DEC_0379,0.0
DEC_1538,0.0
DEC_0295,0.0
DEC_3666,0.0
DEC_3201,0.0
DEC_1540,0.0
DEC_2635,-7.408
ACT_074,-8.834
DEC_0977,0.0
DEC_3636,0.0
DEC_2514,-7.12
DEC_2745,-10.367
DEC_2165,0.0
DEC_1632,-7.274
DEC_0289,0.0
DEC_1142,0.0
DEC_0097,-132.269
DEC_1337,-8.551
DEC_4228,-9.272
DEC_0642,0.0
DEC_0694,0.0
DEC_0047,-8.259
DEC_2978,0.0
DEC_4561,0.0
DEC_2034,0.0
DEC_0955,-8.264
DEC_1238,0.0
DEC_3163,0.0
DEC_1284,0.0
DEC_3398,-7.68
DEC_1582,-8.829
DEC_3642,0.0
DEC_3482,-8.531
DEC_0706,0.0
DEC_2322,-2.736
DEC_0201,0.0
DEC_1994,0.0
DEC_2146,0.0
DEC_4400,-9.547
DEC_0733,0.0
DEC_1357,-7.868
DEC_4063,-9.376
DEC_1250,0.0
DEC_0701,0.0
DEC_2715,0.0
DEC_3581,-8.621
DEC_3105,-8.096
DEC_3063,0.0
DEC_3075,0.0
DEC_2436,0.0
DEC_2493,-8.589
DEC_0966,-8.22
DEC_0676,-7.25
DEC_4150,-7.697
DEC_0623,0.0
DEC_3023,0.0
DEC_0896,0.0
DEC_1311,0.0
DEC_1310,0.0
DEC_3606,0.0
ACT_099,0.0
DEC_1953,0.0
DEC_2580,-7.901
DEC_1494,0.0
DEC_3668,0.0
DEC_0725,-8.97
DEC_2823,-8.377
DEC_1627,0.0
DEC_1675,0.0
DEC_1781,-8.929
DEC_0165,0.0
DEC_4268,0.0
DEC_2572,-7.351
DEC_1107,-6.734
DEC_3439,-10.184
DEC_3845,-8.593
ACT_041,-10.494
DEC_1334,-8.551
DEC_4302,-9.092
DEC_4534,0.0
DEC_4377,0.0
DEC_1660,0.0
DEC_0252,0.0
DEC_1203,-6.971
DEC_0536,0.0
DEC_3109,-7.699
DEC_1672,0.0
DEC_2142,-8.56
DEC_0388,-7.686
DEC_4349,-8.197
DEC_3569,0.0
DEC_2509,-6.096
