compound_id,score
ACT_001,-7.735
ACT_002,-5.715
ACT_004,-7.301
ACT_008,-7.19
ACT_009,-4.005
ACT_010,-7.845
ACT_012,-6.808
ACT_013,-8.373
ACT_015,-10.468
ACT_016,-6.586
ACT_019,-7.643
ACT_020,-8.678
ACT_025,-7.657
ACT_026,-6.08
ACT_027,-7.126
ACT_028,-6.693
ACT_029,-6.823
ACT_030,-8.201
ACT_031,-8.358
ACT_033,-7.234
ACT_037,-7.576
ACT_039,-7.648
ACT_040,-9.142
ACT_044,-6.357
ACT_048,-9.556
ACT_050,-8.202
ACT_051,-8.078
ACT_052,-9.828
ACT_056,-8.907
ACT_057,-6.6
ACT_058,-7.925
ACT_059,-8.523
ACT_062,-7.896
ACT_064,-8.457
ACT_065,-7.614
ACT_067,-8.98
ACT_068,-7.934
ACT_070,-7.26
ACT_071,-8.818
ACT_078,-10.651
ACT_079,-8.178
ACT_082,-8.213
ACT_083,-8.324
ACT_084,-6.771
ACT_086,-7.66
ACT_087,-7.981
ACT_088,-9.311
ACT_089,-8.385
ACT_093,-6.157
ACT_095,-9.86
ACT_097,-8.923
ACT_098,-9.2
ACT_099,-8.51
ACT_100,-7.43
DEC_0001,-8.126
DEC_0003,-7.805
DEC_0007,-8.372
DEC_0008,-7.897
DEC_0009,-7.733
DEC_0010,-8.405
DEC_0011,-6.861
DEC_0012,-8.005
DEC_0013,-9.501
DEC_0015,-7.774
DEC_0016,-7.613
DEC_0017,-8.396
DEC_0018,-96.711
DEC_0021,-8.599
DEC_0022,-8.667
DEC_0023,-7.459
DEC_0025,-8.375
DEC_0027,-8.823
DEC_0029,-21.029
DEC_0034,-8.594
DEC_0036,-8.612
DEC_0039,-7.566
DEC_0041,-8.357
DEC_0050,-8.308
DEC_0051,-7.04
DEC_0052,-6.233
DEC_0053,-6.369
DEC_0055,-7.446
DEC_0060,-7.379
DEC_0065,-6.166
DEC_0067,-7.722
DEC_0069,-7.019
DEC_0074,2.246
DEC_0076,-0.842
DEC_0081,-6.854
DEC_0082,-6.962
DEC_0084,-7.059
DEC_0087,-7.168
DEC_0088,-6.801
DEC_0089,-6.53
DEC_0090,-8.05
DEC_0094,-7.449
DEC_0096,-7.713
DEC_0098,-7.482
DEC_0103,-7.594
DEC_0104,-7.931
DEC_0138,-9.237
DEC_0139,-8.197
DEC_0143,-8.998
DEC_0144,-9.44
DEC_0146,-10.03
DEC_0147,-10.137
DEC_0148,-9.355
DEC_0150,-8.281
DEC_0152,-9.078
DEC_0154,-8.466
DEC_0157,-8.135
DEC_0160,-8.903
DEC_0162,-5.575
DEC_0163,-8.319
DEC_0164,-7.681
DEC_0165,-15.812
DEC_0166,-8.36
DEC_0167,-6.857
DEC_0170,-5.661
DEC_0173,-7.857
DEC_0175,-99.814
DEC_0176,-63.19
DEC_0179,-7.556
DEC_0182,-7.535
DEC_0186,-7.333
DEC_0195,-8.229
DEC_0196,-7.401
DEC_0197,-8.724
DEC_0199,-9.166
DEC_0200,-9.194
DEC_0201,-9.125
DEC_0203,-8.305
DEC_0206,-27.862
DEC_0207,-6.981
DEC_0211,-7.604
DEC_0212,-9.091
DEC_0214,39.131
DEC_0215,5.979
DEC_0216,52.827
DEC_0218,-7.388
DEC_0219,-8.133
DEC_0220,-8.216
DEC_0221,-7.854
DEC_0223,-8.233
DEC_0225,-9.159
DEC_0227,-7.041
DEC_0234,-7.629
DEC_0235,-7.378
DEC_0236,-7.691
DEC_0240,-6.131
DEC_0241,-6.173
DEC_0242,-7.246
DEC_0245,-8.571
DEC_0246,-8.787
DEC_0247,-7.299
DEC_0251,-8.193
DEC_0252,-5.706
DEC_0253,-7.625
DEC_0254,-5.545
DEC_0255,-7.508
DEC_0420,-5.276
DEC_0421,-4.99
DEC_0423,-7.388
DEC_0424,-7.506
DEC_0435,-6.606
DEC_0436,-90.284
DEC_0437,-6.669
DEC_0440,-5.926
DEC_0453,-6.21
DEC_0454,-9.597
DEC_0455,-9.899
DEC_0457,-8.585
DEC_0458,-7.48
DEC_0459,-8.729
DEC_0460,-8.76
DEC_0461,-7.613
DEC_0462,-7.822
DEC_0464,-8.929
DEC_0465,-10.054
DEC_0469,-10.143
DEC_0568,-8.342
DEC_0570,-7.904
DEC_0572,-9.504
DEC_0573,-5.803
DEC_0574,1.52
DEC_0575,-7.612
DEC_0576,-8.002
DEC_0577,-7.767
