compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_001,CHEMBL267431,COC[C@]1(OC)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(/C=N/O)cc3)C[C@@]21C,5.72,IC50,449.5910000000002,5.425800000000006,1,5,5,68.12,33,0
ACT_002,CHEMBL1613068,Brc1ccc(-c2nnc(-c3cccnc3)c3conc23)cc1,5.18,IC50,353.1790000000001,4.109300000000002,0,5,2,64.7,22,0
ACT_003,CHEMBL1407483,CC1=C(SCCC#N)S/C(=C2\SC(C)=C(SCCC#N)S2)S1,5.29,IC50,402.68200000000013,6.744760000000003,0,8,6,47.58,22,0
ACT_004,CHEMBL290106,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,5.4,IC50,356.057,5.862600000000001,2,3,2,40.46,19,0
ACT_005,CHEMBL4754652,C[C@@H]1Cc2c(ccc3[nH]nc(F)c23)[C@@H](c2ncc(NC3CN(CCCF)C3)cc2F)N1CC(F)(F)F,10.0,IC50,512.5020000000003,4.590100000000004,2,5,7,60.080000000000005,36,0
ACT_006,CHEMBL1581690,CC1(C)Cc2c(sc3c4nnnn4c4nnnn4c23)CO1,5.39,IC50,302.3230000000001,0.6279999999999999,0,8,0,95.39,21,0
ACT_007,CHEMBL1417890,O=C(Nc1ccc(N2CCCC2)cc1)C(c1ccccc1)c1ccccc1,5.15,IC50,356.46900000000005,5.057400000000005,1,2,5,32.34,27,0
ACT_008,CHEMBL5435203,CCC(Cc1ccc(OC)cc1)=C(c1ccc(O)cc1)c1ccc(OCCCN(C)C)cc1,6.29,IC50,445.60300000000024,6.185900000000007,1,4,11,41.93,33,0
ACT_009,CHEMBL347927,CC(C)CCc1cc(NCC(C)C)nc(NCC(C)C)n1,5.55,Ki,292.471,4.201000000000003,2,4,9,49.84,21,0
ACT_010,CHEMBL363963,C=Cc1cc(O)cc2nc(-c3ccc(O)c(F)c3F)oc12,6.32,IC50,289.237,3.8272,2,4,2,66.49000000000001,21,0
ACT_011,CHEMBL1584646,N#CC1=C(N)OC2=C(CCC/C2=C/c2ccoc2)C1c1ccoc1,5.0,IC50,320.348,4.201880000000003,1,5,2,85.32000000000001,24,0
ACT_012,CHEMBL4171721,BrC1=CN2NC(c3cc4ccccc4n3Cc3ccccc3)=NC2N=C1,6.27,IC50,406.2870000000001,3.8607000000000022,1,4,3,44.92,26,0
ACT_013,CHEMBL226003,CCCCCCCCCCCCNc1c(Cc2ccccc2C)c(=O)oc2ccccc12,7.0,EC50,433.63600000000014,8.025020000000008,1,3,14,42.24,32,0
ACT_014,CHEMBL4455921,O=C(O)/C=C/c1ccc(/C(=C(\c2ncc(C(F)(F)F)cc2Cl)C2CCC2)c2ccc3scnc3c2)cc1,8.96,EC50,540.9940000000003,8.220500000000003,1,4,6,63.08,37,0
ACT_015,CHEMBL1326210,Cn1nc([N+](=O)[O-])c2c(-c3nc4ccccc4s3)c(N)n(C3CCCCC3)c2c1=O,5.3,IC50,424.48600000000033,4.0073000000000025,1,7,3,121.86999999999998,30,0
ACT_016,CHEMBL2031534,Cc1cc(C2=C(c3ccc(O)c(C)c3)[C@H]3[C@@H](S(=O)(=O)Oc4ccccc4Br)C[C@@H]2[S+]3[O-])ccc1O,5.92,EC50,575.5020000000002,5.068540000000004,2,6,5,106.89,35,0
ACT_017,CHEMBL393278,C[C@]12CC[C@H]3[C@@H](CC[C@H]4[C@H]5CCC[C@]43CC[C@@H]5O)[C@@H]1CC[C@@H]2O,5.89,EC50,318.50100000000003,4.1410000000000045,2,2,0,40.46,23,0
ACT_018,CHEMBL1452952,Cc1oc(-c2ccc(Cl)cc2)cc1-c1nn2c(-c3ccoc3C)nnc2s1,5.56,IC50,396.8590000000001,5.643040000000004,0,6,3,69.36,27,0
ACT_019,CHEMBL378883,CCCC1=C2c3ccc4[nH]nnc4c3CC2(CC)CCC1=O,6.45,IC50,295.386,3.8270000000000017,1,3,3,58.64,22,0
ACT_020,CHEMBL4444074,CC(C)(C#N)c1cc(CSc2ccc(OS(N)(=O)=O)cc2)cc(Cn2cncn2)c1,8.46,IC50,443.55400000000014,3.002180000000002,1,7,8,123.88999999999999,30,0
ACT_021,CHEMBL4855559,CN(Cc1cccc(O)c1Cl)CC1(c2ccccc2F)CCCC1,8.14,IC50,347.86100000000016,5.128500000000003,1,2,5,23.47,24,0
ACT_022,CHEMBL5992161,N#Cc1cc(O)cc2c(Br)cn(-c3ccc(O)cc3)c(=O)c12,7.12,Ki,357.16300000000007,3.036080000000001,2,4,1,86.25,22,0
ACT_023,CHEMBL490350,COc1cc([C@H]2O[C@@H](c3cc(OC)c4c(c3)OCO4)[C@@H](CO)[C@@H]2COC(C)=O)cc2c1OCO2,5.51,EC50,474.46200000000033,2.7616000000000005,1,10,7,111.14000000000001,34,0
ACT_024,CHEMBL112355,Oc1ccc([C@H]2N=CN[C@H]2c2ccc(O)cc2I)c(I)c1,5.75,EC50,506.0810000000001,3.720900000000001,3,4,2,64.85000000000001,21,0
ACT_025,CHEMBL1253498,C#CCN(c1ccc(C(=O)N[C@@H](CCC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)cc1)C1CCc2cc3nc(CO)[nH]c(=O)c3cc21,9.0,IC50,647.6410000000002,0.939900000000002,7,9,15,239.31999999999994,47,0
ACT_026,CHEMBL372840,C[C@H]1CCC[C@@H](O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1,5.04,EC50,320.38500000000005,3.3714000000000026,3,5,0,86.99,23,0
ACT_027,CHEMBL2407651,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccc(F)cc2)(C(=O)NCc2ccc(Cl)c(Cl)c2)C1=O,5.14,IC50,533.3580000000002,5.609300000000004,1,4,7,75.71000000000001,36,0
ACT_028,CHEMBL4553545,O=S(=O)(Nc1ccc2cc[nH]c2c1)c1ccc(Cl)cc1,7.35,IC50,306.774,3.6221000000000014,2,2,3,61.96,20,0
ACT_029,CHEMBL200719,c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,5.16,IC50,269.347,5.501900000000004,1,0,2,15.79,21,0
ACT_030,CHEMBL1305485,CCOC(=O)CSc1nn(C)c(=S)s1,5.1,IC50,250.37,1.86629,0,6,4,44.12,14,0
ACT_031,CHEMBL2382122,C=C(C)[C@@H]1[C@@H]2O[C@@H]2[C@@H]2[C@]3(CC[C@]4(C)[C@@H]([C@H](C)CC/C=C(\C)C(=O)O)CC[C@@]24C)C[C@]13CCC(=O)O,5.59,EC50,484.67700000000036,6.4808000000000066,2,3,9,87.13000000000001,35,0
ACT_032,CHEMBL5201138,Nc1ccc(CNc2nc(Cl)nc3scc(-c4ccccc4)c23)cc1,6.62,EC50,366.8770000000001,5.206000000000003,2,5,4,63.83,25,0
ACT_033,CHEMBL391046,COC(=O)C(=CC1(C)CC2C=CC1CC2C(C)(C)CCNC(=O)CCC(C)C)C(=O)OC,5.1,Ki,447.6160000000003,4.446000000000003,1,5,10,81.7,32,0
ACT_034,CHEMBL448651,N=C(N)N/N=C/C1=C(Cl)c2ccccc2CC1,5.26,IC50,248.71699999999998,2.05157,3,2,2,74.26,17,0
ACT_035,CHEMBL5798074,CCCc1nnc(/C=C/c2ccc(Oc3c(-c4ccccc4C(C)C)sc4cc(O)ccc34)cc2)o1,8.48,IC50,496.6320000000002,8.695500000000001,1,6,8,68.38000000000001,36,0
ACT_036,CHEMBL5198631,CN1C(=O)N(CCN(CCO)CCO)C(c2ccc(C(F)(F)F)cc2)C2=C1c1ccccc1C2=O,8.4,IC50,489.4940000000002,3.0081000000000024,2,5,8,84.32000000000002,35,0
ACT_037,CHEMBL1331084,O=C(Nc1cnn(C23CC4CC(CC(C4)C2)C3)c1)c1cnn2c(C(F)(F)F)cc(-c3ccco3)nc12,5.44,IC50,496.4930000000001,5.3822000000000045,1,5,4,90.25,36,0
ACT_038,CHEMBL511492,Fc1ccc(C2=C(c3ccc(OCCN4CCCC4)cc3)c3ccc(F)cc3OCC2)cc1,6.9,IC50,447.52500000000015,6.181000000000005,0,3,6,21.700000000000003,33,0
ACT_039,CHEMBL360572,CC1=CC[C@@]2(CO)CO[C@@H](c3ccc(O)cc3)[C@]1(C)C2,6.69,EC50,274.36000000000007,3.188600000000002,2,3,2,49.69,20,0
ACT_040,CHEMBL3190827,Oc1c(/C=N/c2cccc3cccnc23)sc2ccccc12,5.29,IC50,304.374,4.905700000000002,1,4,2,45.480000000000004,22,0
ACT_041,CHEMBL1577661,CC(C)CN(C(=O)COC(=O)c1cc2c(s1)CCC2)C1CCS(=O)(=O)C1,5.53,IC50,399.5340000000002,2.0653,0,6,6,80.75,26,0
ACT_042,CHEMBL5191405,CC(CN1CCCC2CCCNC21)OCC(=O)N1Nc2cc(O)ccc2C2COc3cc(O)ccc3C21,9.17,IC50,508.6190000000002,3.3108000000000013,4,8,5,106.53000000000002,37,0
ACT_043,CHEMBL5400213,Cc1cn(C2=CCC3C4CC=C5C[C@@H](NC(=O)c6ccc(F)cc6)CC[C@]5(C)C4CC[C@]23C)cn1,6.99,IC50,473.63600000000025,6.542820000000007,1,2,3,46.92,35,0
ACT_044,CHEMBL1388431,CS(=O)(=O)c1ccc2nc(NC(=O)CCC(=O)c3cccs3)sc2c1,5.15,IC50,394.499,3.3629000000000016,1,7,6,93.19999999999999,25,0
ACT_045,CHEMBL1506716,O=C1Nc2ccccc2SC(c2ccccc2)C1O,5.52,IC50,271.341,2.8330000000000015,2,3,1,49.33,19,0
ACT_046,CHEMBL1671971,COc1cc(/C=C2\SC(=O)NC2=O)ccc1Oc1ccc(C#N)cc1C(F)(F)F,7.27,EC50,420.3680000000001,4.701880000000002,1,6,4,88.41999999999999,29,0
ACT_047,CHEMBL5947384,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@H]4O[C@@H](c5ccc(Cc6cccc(N)c6)cc5)O[C@@]4(C(=O)SCF)[C@@]3(C)C[C@H](O)[C@@]12F,5.19,IC50,639.7360000000002,6.127900000000006,2,7,5,98.85000000000001,45,0
