molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL431611,Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,2.5,nM,8.6,CHEMBL679321,B,Binding affinity towards human estrogen receptor alpha,CHEMBL1146734,2004
CHEMBL316132,Oc1ccc2c(c1)S[C@H](C1CCCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,7.5,nM,8.12,CHEMBL679321,B,Binding affinity towards human estrogen receptor alpha,CHEMBL1146734,2004
CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,IC50,3.1,nM,8.51,CHEMBL679321,B,Binding affinity towards human estrogen receptor alpha,CHEMBL1146734,2004
CHEMBL85881,Oc1ccc2c(c1)S[C@H](CC1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,3.9,nM,8.41,CHEMBL679321,B,Binding affinity towards human estrogen receptor alpha,CHEMBL1146734,2004
CHEMBL85536,Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,7.4,nM,8.13,CHEMBL679321,B,Binding affinity towards human estrogen receptor alpha,CHEMBL1146734,2004
CHEMBL83451,Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,490.0,nM,6.31,CHEMBL679321,B,Binding affinity towards human estrogen receptor alpha,CHEMBL1146734,2004
CHEMBL267385,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccc(OCCN4CCCCC4)cc2C3)cc1,IC50,1.0,nM,9.0,CHEMBL679322,B,Binding affinity for estrogen receptor alpha,CHEMBL1147609,2004
CHEMBL315761,Oc1ccc2c(c1)S[C@H](c1ccco1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,35.0,nM,7.46,CHEMBL679321,B,Binding affinity towards human estrogen receptor alpha,CHEMBL1146734,2004
CHEMBL281499,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)cc1,IC50,4.3,nM,8.37,CHEMBL679322,B,Binding affinity for estrogen receptor alpha,CHEMBL1147609,2004
CHEMBL25228,O=C1c2ccccc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,IC50,91.0,nM,7.04,CHEMBL679322,B,Binding affinity for estrogen receptor alpha,CHEMBL1147609,2004
