compound_id,score
DEC_0913,-9.429
DEC_1250,0.0
DEC_1644,0.0
DEC_3967,-8.054
DEC_1453,-7.698
DEC_0596,-6.503
DEC_2029,-5.354
DEC_0027,-8.606
DEC_2713,0.0
DEC_3485,-7.961
DEC_4440,-9.759
DEC_3021,-7.005
DEC_4363,0.0
ACT_045,-8.473
DEC_0018,-6.392
DEC_2146,0.0
DEC_2362,-7.051
DEC_4377,0.0
DEC_3813,0.0
DEC_3634,-8.803
DEC_3486,-8.293
DEC_2339,-7.956
DEC_2212,-9.257
DEC_3605,0.0
DEC_2673,-7.104
DEC_1495,-9.31
DEC_0942,0.0
DEC_2436,0.0
DEC_2791,-7.052
DEC_2328,-7.003
DEC_4021,0.0
DEC_0047,-5.607
DEC_3527,-8.426
DEC_2511,0.0
DEC_4629,-7.99
DEC_1366,-6.954
DEC_1788,0.0
DEC_0063,-8.68
DEC_0869,-5.089
DEC_1176,0.0
DEC_0272,-5.888
DEC_1887,-6.346
DEC_1562,-8.384
DEC_1973,0.0
DEC_4471,-8.866
DEC_0525,-7.973
DEC_2635,-7.942
DEC_1944,0.0
DEC_2115,-7.755
ACT_009,-7.268
DEC_4013,0.0
DEC_3761,-9.037
DEC_2620,-7.489
DEC_0097,-6.822
DEC_2433,0.0
DEC_3397,0.0
DEC_3757,-8.845
DEC_1927,0.0
DEC_2510,0.0
DEC_3282,0.0
DEC_0585,-8.047
DEC_4432,-6.396
DEC_2749,-7.895
DEC_2207,-7.253
DEC_2649,-7.038
DEC_1816,0.0
DEC_0472,0.0
ACT_008,-8.01
DEC_4604,-8.333
DEC_0122,0.0
DEC_4542,-8.975
DEC_0452,-7.317
DEC_1148,0.0
DEC_4310,-9.803
DEC_2722,0.0
DEC_1191,0.0
DEC_4143,-7.133
DEC_1703,-9.32
DEC_4077,0.0
DEC_3850,-7.996
DEC_3811,-8.004
ACT_048,-4.602
DEC_0020,-7.689
DEC_4266,-7.982
DEC_2221,-7.57
DEC_4512,-8.45
DEC_3305,0.0
DEC_2043,0.0
DEC_3281,0.0
DEC_3764,-6.778
DEC_0818,0.0
DEC_2490,-6.683
DEC_1952,0.0
DEC_3992,0.0
DEC_1240,0.0
DEC_1609,-6.313
DEC_4704,-8.224
DEC_1121,0.0
ACT_041,-7.7
DEC_2872,-8.057
DEC_0319,0.0
DEC_2659,-9.812
DEC_3623,-7.392
DEC_1680,0.0
DEC_3760,-8.717
DEC_4307,-7.264
DEC_0739,-6.661
DEC_2223,0.0
DEC_2437,0.0
DEC_0316,0.0
DEC_4533,0.0
DEC_0593,-7.639
DEC_1348,-6.712
DEC_1144,0.0
DEC_3890,0.0
DEC_1963,0.0
DEC_0221,-8.638
DEC_2469,-6.387
DEC_1889,-8.439
DEC_4695,-8.542
DEC_1885,-9.387
DEC_4386,0.0
DEC_1563,-6.963
DEC_1236,0.0
DEC_3791,-8.316
DEC_3353,-8.037
DEC_1139,0.0
DEC_1696,0.0
DEC_3851,-6.959
DEC_0922,-8.543
DEC_3932,-7.892
DEC_3865,-7.685
DEC_3688,-8.349
DEC_3107,0.0
DEC_0318,0.0
DEC_4047,-8.306
DEC_4296,-7.281
DEC_3456,-8.941
DEC_4303,-9.001
DEC_3975,0.0
DEC_1498,-8.673
DEC_2108,-7.846
DEC_0295,-7.628
DEC_2145,0.0
DEC_4162,-9.005
DEC_1322,-7.875
DEC_1009,-5.919
DEC_0520,-8.271
DEC_3125,-6.945
DEC_1993,-7.421
DEC_0633,0.0
DEC_0126,-8.566
DEC_1668,-7.342
DEC_3831,0.0
DEC_3249,-7.112
DEC_1624,0.0
DEC_3696,-6.195
DEC_1350,-6.024
DEC_0326,0.0
DEC_1839,-8.434
DEC_2479,-9.013
DEC_1298,-7.987
DEC_1252,0.0
DEC_2033,-6.782
DEC_1452,-6.87
DEC_3140,-7.526
DEC_3668,-8.66
DEC_0206,-5.986
DEC_1387,-9.945
DEC_4321,-6.647
DEC_3589,-7.469
DEC_4605,-7.544
DEC_0068,0.0
DEC_0184,-8.138
DEC_1533,0.0
DEC_1805,0.0
DEC_2091,0.0
DEC_0446,-7.938
DEC_4574,-7.541
DEC_1230,0.0
DEC_0459,-8.062
DEC_0238,-5.848
DEC_0658,0.0
DEC_4519,0.0
DEC_3073,-7.975
DEC_3968,-8.34
DEC_1035,-4.073
DEC_2300,0.0
DEC_1184,0.0
DEC_1426,-10.014
DEC_2457,-7.803
DEC_1006,-8.646
DEC_2756,0.0
DEC_2929,0.0
DEC_1848,-8.866
DEC_0195,-10.141
DEC_3483,-7.667
DEC_4527,0.0
DEC_0197,-9.754
DEC_2755,0.0
DEC_3786,-7.791
DEC_3936,0.0
DEC_2018,-6.43
DEC_1740,-9.008
DEC_3923,-9.128
DEC_4336,-10.703
DEC_2103,-8.273
DEC_1334,-7.461
DEC_3388,0.0
DEC_1323,-8.893
DEC_3384,0.0
DEC_1648,0.0
DEC_0252,-8.06
DEC_1403,0.0
DEC_2466,-7.414
DEC_1538,-6.232
DEC_0605,-6.593
DEC_1088,0.0
DEC_3651,-7.161
DEC_0350,-7.846
ACT_043,-4.309
ACT_079,-11.455
DEC_0198,-8.328
DEC_1756,-6.214
DEC_2340,-6.322
DEC_1451,-7.041
DEC_0725,-8.54
DEC_0878,-8.698
DEC_3408,-7.056
DEC_1124,0.0
DEC_4193,-7.585
DEC_2188,-10.849
DEC_1455,-7.712
DEC_2963,-6.557
DEC_2787,-7.73
DEC_0617,0.0
DEC_4016,0.0
DEC_4610,-8.901
DEC_2840,-7.204
DEC_1056,0.0
DEC_1095,0.0
DEC_4327,-4.605
ACT_083,-6.698
DEC_0444,-9.138
DEC_0932,0.0
DEC_3749,-6.091
DEC_3137,-7.85
DEC_1679,-5.937
DEC_0809,-7.637
DEC_3497,-6.688
DEC_2537,-7.983
DEC_4261,-9.968
DEC_0502,-7.982
DEC_2194,-8.001
DEC_0148,0.0
DEC_4108,-7.258
DEC_1178,0.0
DEC_3373,0.0
DEC_3804,-7.74
DEC_2260,-6.076
DEC_4606,-8.068
DEC_2660,0.0
DEC_3061,-8.164
DEC_0830,0.0
DEC_4455,-8.615
DEC_4334,-9.586
DEC_0496,-7.056
DEC_4552,-10.735
DEC_1509,-7.019
DEC_1731,-11.774
DEC_1779,-7.169
DEC_0590,-8.295
DEC_4151,-6.185
DEC_3767,-9.228
DEC_1175,0.0
DEC_0918,-9.135
ACT_074,-11.162
DEC_2901,-5.893
DEC_0975,-5.975
DEC_2296,0.0
DEC_0354,-8.575
ACT_071,-8.25
DEC_3719,0.0
DEC_0194,-7.503
DEC_1543,-7.487
DEC_2522,0.0
DEC_2851,-7.718
DEC_3818,0.0
ACT_062,-10.012
DEC_0157,0.0
DEC_3198,-7.105
DEC_4205,-6.929
ACT_037,-9.985
DEC_4068,-8.195
DEC_1282,0.0
DEC_0674,0.0
DEC_4273,-8.711
DEC_2097,0.0
DEC_0577,-7.51
DEC_4529,0.0
DEC_1320,-9.24
DEC_4177,-7.438
DEC_3393,0.0
DEC_3234,-6.013
DEC_4619,-9.275
DEC_3569,-6.655
DEC_1995,-10.817
DEC_1627,0.0
DEC_2363,-9.051
DEC_0856,-9.127
DEC_2778,-7.201
ACT_066,-8.036
DEC_0494,-6.696
DEC_0863,-9.179
DEC_2233,0.0
DEC_4125,-7.939
DEC_1272,0.0
DEC_1501,-8.836
DEC_1438,-6.158
DEC_3291,0.0
DEC_1660,-11.707
DEC_3311,0.0
DEC_4173,-7.817
DEC_2222,0.0
DEC_4009,0.0
ACT_098,-6.629
DEC_2954,-6.216
DEC_1237,0.0
DEC_2460,-7.285
DEC_0099,-6.675
DEC_3079,0.0
DEC_0601,-5.992
DEC_1972,0.0
DEC_1308,-7.433
DEC_2370,-8.776
DEC_0959,-6.992
ACT_072,-8.329
DEC_2141,0.0
DEC_4191,-8.39
DEC_2254,-7.154
DEC_1526,-8.356
DEC_2762,0.0
DEC_1577,-7.385
DEC_2502,-7.487
DEC_2382,-9.053
DEC_4080,0.0
DEC_3529,-7.533
DEC_3549,-7.559
DEC_2134,-7.252
DEC_1355,-6.344
DEC_1433,-7.723
DEC_2506,0.0
DEC_0978,-7.919
DEC_3028,-7.389
DEC_3364,0.0
DEC_3951,0.0
DEC_3435,-8.485
DEC_1896,-7.036
DEC_4489,0.0
DEC_0616,0.0
DEC_2365,-8.128
DEC_0331,-7.555
DEC_1893,-8.181
DEC_2031,-7.414
DEC_3574,-5.957
DEC_4600,-6.605
DEC_2089,0.0
DEC_2644,-7.743
ACT_053,-8.125
DEC_2885,-8.453
DEC_0339,-6.498
DEC_2124,-7.599
DEC_0861,-5.841
DEC_1900,-3.768
DEC_2013,-8.271
DEC_4469,-7.906
DEC_3115,-7.695
DEC_0379,-6.713
DEC_3705,-7.904
DEC_2686,-8.256
DEC_3349,-10.048
DEC_4105,-7.502
DEC_2293,0.0
DEC_2297,0.0
DEC_0737,-6.76
DEC_1490,-9.003
DEC_2774,-6.532
DEC_1968,0.0
DEC_0787,-8.68
DEC_4121,-9.001
DEC_4174,-8.361
DEC_1854,-9.416
DEC_1908,0.0
DEC_4096,-8.203
DEC_4659,0.0
DEC_0328,-7.248
DEC_3810,-8.05
DEC_3222,-7.996
DEC_3111,0.0
DEC_4491,0.0
DEC_3883,0.0
DEC_3592,-6.226
DEC_3823,0.0
DEC_2559,-6.514
DEC_3242,-6.458
DEC_3324,-6.109
DEC_0831,0.0
DEC_3254,-5.589
DEC_0675,0.0
DEC_2726,0.0
DEC_3158,-7.701
DEC_3340,-9.197
DEC_3144,-8.822
DEC_0558,0.0
DEC_1299,-9.529
DEC_1306,-8.768
DEC_4634,-7.827
DEC_1235,0.0
DEC_4335,-9.967
DEC_1477,-8.031
DEC_2827,-8.653
DEC_3290,0.0
DEC_2830,-8.009
DEC_2193,-9.421
DEC_3479,-7.96
DEC_4196,-8.655
DEC_0201,-7.782
DEC_1558,-7.723
DEC_3648,-7.483
DEC_2847,-6.945
DEC_0541,-7.487
DEC_0151,0.0
DEC_3577,-6.978
DEC_2197,-9.18
ACT_016,-6.315
DEC_1934,0.0
DEC_1259,0.0
DEC_0623,0.0
DEC_3758,-10.149
DEC_2684,-8.575
DEC_1048,-7.627
DEC_3533,-8.36
DEC_3608,0.0
DEC_3957,-9.219
DEC_0002,-7.204
DEC_1107,0.0
DEC_3232,-6.862
DEC_4474,0.0
DEC_2404,0.0
DEC_0971,-6.858
DEC_0930,-8.979
DEC_4376,0.0
DEC_2435,0.0
DEC_0977,-8.633
DEC_4142,-7.079
DEC_1536,-6.862
DEC_3886,0.0
ACT_089,-6.726
DEC_2065,-7.742
DEC_1007,-5.629
DEC_1817,0.0
DEC_0169,-7.454
DEC_0336,-7.026
DEC_2899,-8.841
DEC_2314,-7.205
DEC_2648,-8.264
DEC_1435,-10.967
DEC_2218,-7.296
DEC_2845,-9.411
DEC_1831,-8.992
DEC_2577,-7.716
DEC_2068,-8.152
DEC_0164,-6.295
DEC_0706,0.0
DEC_0434,-8.36
DEC_0503,-8.721
DEC_1045,0.0
DEC_2934,-5.889
DEC_0289,-7.067
DEC_4379,0.0
DEC_4616,-9.111
DEC_2897,-8.154
DEC_3244,-7.779
DEC_2109,-8.209
DEC_2078,-6.976
DEC_0755,-6.645
DEC_0850,-7.135
DEC_4678,-6.963
DEC_0710,0.0
DEC_2169,0.0
DEC_2812,-6.423
DEC_2653,-6.997
DEC_1450,-7.456
