compound_id,score
DEC_0913,-9.358
DEC_1250,-7.59
DEC_1644,-8.997
DEC_3967,0.0
DEC_1453,-7.866
DEC_0596,0.0
DEC_2029,-6.955
DEC_0027,0.0
DEC_2713,0.0
DEC_3485,0.0
DEC_4440,0.0
DEC_3021,0.0
DEC_4363,-8.594
ACT_045,-16.767
DEC_0018,-6.72
DEC_2146,-8.014
DEC_2362,-7.48
DEC_4377,-7.463
DEC_3813,-10.063
DEC_3634,-112.14
DEC_3486,0.0
DEC_2339,-7.263
DEC_2212,-9.029
DEC_3605,-6.695
DEC_2673,-8.286
DEC_1495,0.0
DEC_0942,0.0
DEC_2436,-6.75
DEC_2791,-7.641
DEC_2328,-7.602
DEC_4021,0.0
DEC_0047,-7.402
DEC_3527,0.0
DEC_2511,0.0
DEC_4629,0.0
DEC_1366,0.0
DEC_1788,-7.451
DEC_0063,0.0
DEC_0869,-5.784
DEC_1176,29.17
DEC_0272,-6.247
DEC_1887,0.0
DEC_1562,0.0
DEC_1973,0.0
DEC_4471,-8.945
DEC_0525,0.0
DEC_2635,0.0
DEC_1944,-100.604
DEC_2115,0.0
ACT_009,-7.235
DEC_4013,0.0
DEC_3761,-9.16
DEC_2620,-7.493
DEC_0097,0.0
DEC_2433,0.0
DEC_3397,-7.369
DEC_3757,-9.24
DEC_1927,-43.159
DEC_2510,-8.233
DEC_3282,-9.285
DEC_0585,10.639
DEC_4432,-7.075
DEC_2749,0.0
DEC_2207,-7.283
DEC_2649,0.0
DEC_1816,-8.865
DEC_0472,0.0
ACT_008,0.0
DEC_4604,-9.288
DEC_0122,-7.695
DEC_4542,0.0
DEC_0452,-8.033
DEC_1148,-7.464
DEC_4310,-8.534
DEC_2722,-7.27
DEC_1191,-10.245
DEC_4143,0.0
DEC_1703,0.0
DEC_4077,0.0
DEC_3850,0.0
DEC_3811,0.0
ACT_048,0.0
DEC_0020,-7.238
DEC_4266,-8.258
DEC_2221,-8.108
DEC_4512,0.0
DEC_3305,0.0
DEC_2043,-6.202
DEC_3281,-8.247
DEC_3764,0.0
DEC_0818,-7.624
DEC_2490,-7.395
DEC_1952,0.0
DEC_3992,0.0
DEC_1240,0.0
DEC_1609,0.0
DEC_4704,-8.342
DEC_1121,0.0
ACT_041,-8.186
DEC_2872,0.0
DEC_0319,0.0
DEC_2659,0.0
DEC_3623,0.0
DEC_1680,0.0
DEC_3760,-12.145
DEC_4307,-7.508
DEC_0739,0.0
DEC_2223,0.0
DEC_2437,0.0
DEC_0316,0.0
DEC_4533,0.0
DEC_0593,-7.919
DEC_1348,0.0
DEC_1144,-7.322
DEC_3890,-8.263
DEC_1963,-9.156
DEC_0221,93.98
DEC_2469,0.0
DEC_1889,0.0
DEC_4695,-8.01
DEC_1885,0.0
DEC_4386,-7.563
DEC_1563,-7.203
DEC_1236,-8.586
DEC_3791,0.0
DEC_3353,-8.765
DEC_1139,-7.893
DEC_1696,0.0
DEC_3851,-6.905
DEC_0922,-8.574
DEC_3932,0.0
DEC_3865,-7.863
DEC_3688,-135.617
DEC_3107,-8.356
DEC_0318,0.0
DEC_4047,-8.656
DEC_4296,-7.308
DEC_3456,-9.116
DEC_4303,0.0
DEC_3975,0.0
DEC_1498,0.0
DEC_2108,-8.156
DEC_0295,0.0
DEC_2145,-10.272
DEC_4162,-9.212
DEC_1322,-7.683
DEC_1009,0.0
DEC_0520,0.0
DEC_3125,-7.02
DEC_1993,-8.351
DEC_0633,-7.164
DEC_0126,-8.833
DEC_1668,-8.049
DEC_3831,0.0
DEC_3249,-7.023
DEC_1624,-8.543
DEC_3696,0.0
DEC_1350,-7.231
DEC_0326,0.0
DEC_1839,-8.439
DEC_2479,-8.53
DEC_1298,-7.909
DEC_1252,0.0
DEC_2033,-6.784
DEC_1452,0.0
DEC_3140,-7.006
DEC_3668,0.0
DEC_0206,0.0
DEC_1387,-38.015
DEC_4321,0.0
DEC_3589,-7.494
DEC_4605,0.0
DEC_0068,0.0
DEC_0184,24.598
DEC_1533,0.0
DEC_1805,0.0
DEC_2091,-7.609
DEC_0446,-7.522
DEC_4574,0.0
DEC_1230,-8.457
DEC_0459,0.0
DEC_0238,-6.53
DEC_0658,0.0
DEC_4519,0.0
DEC_3073,-7.695
DEC_3968,0.0
DEC_1035,0.0
DEC_2300,-9.286
DEC_1184,0.0
DEC_1426,17.095
DEC_2457,-9.163
DEC_1006,-8.428
DEC_2756,-7.972
DEC_2929,0.0
DEC_1848,-8.367
DEC_0195,-10.09
DEC_3483,-7.836
DEC_4527,0.0
DEC_0197,0.0
DEC_2755,-185.519
DEC_3786,-7.817
DEC_3936,0.0
DEC_2018,-7.014
DEC_1740,-9.446
DEC_3923,0.0
DEC_4336,-10.252
DEC_2103,0.0
DEC_1334,-7.511
DEC_3388,0.0
DEC_1323,0.0
DEC_3384,-7.843
DEC_1648,0.0
DEC_0252,0.0
DEC_1403,-7.912
DEC_2466,-7.262
DEC_1538,0.0
DEC_0605,0.0
DEC_1088,0.0
DEC_3651,-6.952
DEC_0350,-7.739
ACT_043,0.0
ACT_079,0.0
DEC_0198,-7.871
DEC_1756,0.0
DEC_2340,-6.855
DEC_1451,0.0
DEC_0725,0.0
DEC_0878,0.0
DEC_3408,0.0
DEC_1124,-6.859
DEC_4193,-7.534
DEC_2188,-8.89
DEC_1455,-7.339
DEC_2963,0.0
DEC_2787,0.0
DEC_0617,0.0
DEC_4016,0.0
DEC_4610,-8.621
DEC_2840,-8.311
DEC_1056,-7.903
DEC_1095,0.0
DEC_4327,-8.283
ACT_083,-7.849
DEC_0444,-8.518
DEC_0932,-9.181
DEC_3749,-6.144
DEC_3137,0.0
DEC_1679,0.0
DEC_0809,-7.532
DEC_3497,0.0
DEC_2537,-8.089
DEC_4261,-9.805
DEC_0502,0.0
DEC_2194,-9.63
DEC_0148,0.0
DEC_4108,-7.134
DEC_1178,-6.337
DEC_3373,0.0
DEC_3804,0.0
DEC_2260,0.0
DEC_4606,0.0
DEC_2660,0.0
DEC_3061,0.0
DEC_0830,-71.209
DEC_4455,0.0
DEC_4334,-9.129
DEC_0496,0.0
DEC_4552,-278.185
DEC_1509,-8.095
DEC_1731,-11.42
DEC_1779,-7.532
DEC_0590,-7.888
DEC_4151,-6.196
DEC_3767,0.0
DEC_1175,-9.565
DEC_0918,-9.482
ACT_074,0.0
DEC_2901,0.0
DEC_0975,-6.885
DEC_2296,29.317
DEC_0354,0.0
ACT_071,0.0
DEC_3719,-8.447
DEC_0194,0.0
DEC_1543,-7.419
DEC_2522,-8.46
DEC_2851,-10.445
DEC_3818,-7.325
ACT_062,-8.859
DEC_0157,41.249
DEC_3198,0.0
DEC_4205,0.0
ACT_037,-10.312
DEC_4068,0.0
DEC_1282,0.0
DEC_0674,0.0
DEC_4273,0.0
DEC_2097,-8.929
DEC_0577,-7.418
DEC_4529,-9.538
DEC_1320,-8.758
DEC_4177,-8.512
DEC_3393,-8.582
DEC_3234,-7.35
DEC_4619,0.0
DEC_3569,-7.202
DEC_1995,-11.564
DEC_1627,0.0
DEC_2363,-8.365
DEC_0856,0.0
DEC_2778,-7.3
ACT_066,0.0
DEC_0494,0.0
DEC_0863,0.0
DEC_2233,0.0
DEC_4125,-7.953
DEC_1272,-9.166
DEC_1501,0.0
DEC_1438,0.0
DEC_3291,0.0
DEC_1660,0.0
DEC_3311,-8.839
DEC_4173,-7.611
DEC_2222,-7.016
DEC_4009,0.0
ACT_098,-7.827
DEC_2954,-7.72
DEC_1237,-8.058
DEC_2460,-7.082
DEC_0099,0.0
DEC_3079,0.0
DEC_0601,-6.708
DEC_1972,-10.954
DEC_1308,-7.829
DEC_2370,-8.266
DEC_0959,0.0
ACT_072,-8.436
DEC_2141,-10.141
DEC_4191,-8.439
DEC_2254,0.0
DEC_1526,0.0
DEC_2762,-10.279
DEC_1577,0.0
DEC_2502,-8.755
DEC_2382,-8.883
DEC_4080,0.0
DEC_3529,-7.61
DEC_3549,-7.951
DEC_2134,-62.639
DEC_1355,-6.412
DEC_1433,0.0
DEC_2506,0.0
DEC_0978,0.0
DEC_3028,-6.996
DEC_3364,-8.504
DEC_3951,0.0
DEC_3435,-7.444
DEC_1896,-6.725
DEC_4489,-8.172
DEC_0616,-8.699
DEC_2365,-8.045
DEC_0331,0.0
DEC_1893,0.0
DEC_2031,-7.871
DEC_3574,0.0
DEC_4600,-8.028
DEC_2089,0.0
DEC_2644,0.0
ACT_053,-8.755
DEC_2885,-8.525
DEC_0339,0.0
DEC_2124,109.349
DEC_0861,-7.017
DEC_1900,0.0
DEC_2013,0.0
DEC_4469,0.0
DEC_3115,-7.551
DEC_0379,0.0
DEC_3705,-7.669
DEC_2686,0.0
DEC_3349,-10.009
DEC_4105,-7.468
DEC_2293,0.0
DEC_2297,-8.895
DEC_0737,0.0
DEC_1490,0.0
DEC_2774,-8.253
DEC_1968,0.0
DEC_0787,50.351
DEC_4121,-8.507
DEC_4174,-8.382
DEC_1854,0.0
DEC_1908,-7.62
DEC_4096,-7.909
DEC_4659,-8.52
DEC_0328,-7.317
DEC_3810,0.0
DEC_3222,-8.295
DEC_3111,-8.686
DEC_4491,-7.431
DEC_3883,0.0
DEC_3592,0.0
DEC_3823,0.0
DEC_2559,0.0
DEC_3242,0.0
DEC_3324,-6.742
DEC_0831,-6.623
DEC_3254,-6.069
DEC_0675,0.0
DEC_2726,-7.587
DEC_3158,-7.568
DEC_3340,-9.316
DEC_3144,0.0
DEC_0558,-10.568
DEC_1299,0.0
DEC_1306,0.0
DEC_4634,0.0
DEC_1235,-6.655
DEC_4335,-9.998
DEC_1477,-9.04
DEC_2827,0.0
DEC_3290,-9.579
DEC_2830,0.0
DEC_2193,0.0
DEC_3479,0.0
DEC_4196,-8.504
DEC_0201,-7.465
DEC_1558,0.0
DEC_3648,0.0
DEC_2847,0.0
DEC_0541,0.0
DEC_0151,0.0
DEC_3577,0.0
DEC_2197,-9.109
ACT_016,0.0
DEC_1934,-6.718
DEC_1259,-7.973
DEC_0623,-6.573
DEC_3758,0.0
DEC_2684,-9.03
DEC_1048,0.0
DEC_3533,-8.551
DEC_3608,0.0
DEC_3957,0.0
DEC_0002,0.0
DEC_1107,0.0
DEC_3232,-7.019
DEC_4474,0.0
DEC_2404,0.0
DEC_0971,-6.666
DEC_0930,0.0
DEC_4376,-8.453
DEC_2435,0.0
DEC_0977,0.0
DEC_4142,-8.238
DEC_1536,0.0
DEC_3886,-7.814
ACT_089,-6.942
DEC_2065,0.0
DEC_1007,0.0
DEC_1817,-8.923
DEC_0169,0.0
DEC_0336,0.0
DEC_2899,-8.924
DEC_2314,0.0
DEC_2648,-8.162
DEC_1435,-10.923
DEC_2218,-7.57
DEC_2845,0.0
DEC_1831,-9.164
DEC_2577,-7.499
DEC_2068,0.0
DEC_0164,-7.392
DEC_0706,-8.892
DEC_0434,0.0
DEC_0503,0.0
DEC_1045,0.0
DEC_2934,0.0
DEC_0289,-7.344
DEC_4379,-7.405
DEC_4616,-8.018
DEC_2897,-7.434
DEC_3244,-7.963
DEC_2109,-8.28
DEC_2078,0.0
DEC_0755,0.0
DEC_0850,0.0
DEC_4678,-6.83
DEC_0710,0.0
DEC_2169,0.0
DEC_2812,-6.891
DEC_2653,0.0
DEC_1450,-7.676
DEC_1488,0.0
DEC_0323,0.0
DEC_3909,-57.333
DEC_1243,-8.029
DEC_1354,-7.205
DEC_3411,-8.673
DEC_2105,0.0
DEC_3114,-7.756
DEC_2700,-9.261
DEC_2415,0.0
DEC_1115,-8.791
DEC_0419,-15.065
DEC_1400,-8.098
DEC_0257,-8.063
DEC_3534,0.0
DEC_3498,0.0
DEC_0332,0.0
DEC_4314,0.0
DEC_1203,0.0
DEC_1133,-6.366
DEC_3395,-8.193
DEC_2538,-9.244
DEC_3189,0.0
DEC_4418,0.0
DEC_0976,-7.036
DEC_4164,0.0
DEC_0540,0.0
DEC_2734,0.0
DEC_0661,0.0
ACT_040,0.0
DEC_1589,0.0
DEC_4246,-7.493
DEC_0313,0.0
DEC_0630,0.0
DEC_0797,-7.551
DEC_4653,0.0
DEC_0624,-6.702
DEC_1643,-9.237
DEC_0775,0.0
DEC_1550,0.0
DEC_1062,-6.898
DEC_2445,-7.786
DEC_4539,0.0
DEC_0550,-11.996
DEC_2623,0.0
DEC_3145,0.0
DEC_2149,-16.877
DEC_4553,-7.658
DEC_2264,0.0
DEC_2781,-7.195
DEC_2484,0.0
DEC_0627,-7.298
DEC_3338,-7.25
DEC_0370,0.0
DEC_3215,-6.93
DEC_1688,0.0
DEC_2903,-6.691
DEC_3253,-6.928
DEC_3104,0.0
DEC_3595,0.0
DEC_3654,-9.295
DEC_3156,-7.249
DEC_0165,0.0
DEC_2952,-6.586
DEC_2819,0.0
DEC_0346,-7.565
DEC_3358,0.0
DEC_3809,0.0
DEC_1676,0.0
DEC_4482,-8.214
DEC_2007,-8.886
DEC_1497,-8.705
DEC_0955,0.0
DEC_1901,0.0
DEC_2514,-7.727
DEC_1353,-7.661
DEC_2843,0.0
DEC_1494,-6.831
DEC_0919,-7.672
DEC_4200,-8.108
DEC_0803,0.0
ACT_081,0.0
DEC_3695,0.0
DEC_1565,-6.827
DEC_1029,-7.702
DEC_2643,-6.909
DEC_0896,-8.109
DEC_3836,-7.906
DEC_2440,-65.45
DEC_3271,0.0
DEC_2838,-9.449
DEC_2814,-7.65
DEC_0133,-7.298
DEC_3858,0.0
DEC_2335,0.0
DEC_0754,0.0
DEC_3532,-8.897
DEC_4284,-7.737
DEC_4650,-7.957
DEC_3029,-7.095
DEC_3287,0.0
DEC_4373,0.0
DEC_4258,-6.722
DEC_3871,0.0
DEC_3330,-7.321
DEC_3563,0.0
DEC_2531,0.0
DEC_4238,-6.667
DEC_1857,-7.649
DEC_0794,-8.026
DEC_3020,-8.724
DEC_2539,0.0
DEC_0280,0.0
DEC_0090,0.0
DEC_4643,0.0
DEC_1757,0.0
DEC_4192,0.0
DEC_0543,0.0
DEC_1003,-8.531
DEC_2575,0.0
DEC_0308,0.0
DEC_3977,0.0
DEC_1052,-8.276
DEC_1074,-8.463
DEC_3226,-6.634
DEC_1631,0.0
DEC_1499,0.0
DEC_4133,-7.763
DEC_2831,-22.886
DEC_1200,-7.915
DEC_3192,0.0
DEC_0758,-8.748
DEC_1449,0.0
DEC_3632,-9.431
DEC_3819,0.0
DEC_4185,0.0
DEC_4274,-6.974
DEC_2965,0.0
DEC_3049,0.0
DEC_2806,-7.522
DEC_1223,0.0
DEC_2737,-9.175
DEC_0486,0.0
DEC_4289,0.0
DEC_0864,0.0
ACT_099,0.0
DEC_1735,0.0
DEC_3689,0.0
DEC_0189,-7.519
DEC_2480,0.0
DEC_0454,0.0
DEC_4194,-7.82
DEC_0320,0.0
DEC_3985,0.0
DEC_1010,0.0
DEC_4639,0.0
DEC_2629,-8.379
DEC_4454,0.0
DEC_1734,0.0
DEC_1130,0.0
DEC_0522,0.0
DEC_0902,-9.188
DEC_2525,0.0
DEC_4505,-8.815
DEC_0395,-7.449
DEC_0643,0.0
DEC_3714,0.0
DEC_1910,0.0
DEC_2683,-8.354
DEC_3506,-9.914
DEC_2234,-10.715
DEC_3094,0.0
DEC_0584,-10.611
DEC_1516,0.0
DEC_1799,-7.671
DEC_1936,0.0
DEC_3116,-8.731
DEC_0928,0.0
DEC_2283,-8.495
DEC_4248,-7.239
DEC_3734,0.0
DEC_4640,0.0
DEC_1523,-10.093
DEC_3981,0.0
DEC_4134,0.0
DEC_1101,-8.996
DEC_0567,0.0
DEC_2016,0.0
DEC_3680,-8.413
DEC_0659,0.0
DEC_0285,0.0
DEC_3974,0.0
DEC_4618,0.0
DEC_1521,0.0
DEC_1413,0.0
DEC_1270,-7.341
DEC_0071,0.0
DEC_2403,-8.725
DEC_4027,0.0
DEC_3219,-7.278
ACT_050,0.0
DEC_4370,0.0
DEC_0011,-9.931
DEC_4632,-8.099
DEC_0259,-8.232
DEC_1897,0.0
DEC_0816,0.0
DEC_2162,0.0
DEC_2280,0.0
DEC_3507,0.0
DEC_2411,-10.281
DEC_4504,-9.086
DEC_2337,-7.912
DEC_3476,-7.915
DEC_1005,0.0
DEC_0552,0.0
DEC_1091,-6.494
DEC_2079,-7.839
DEC_4049,0.0
DEC_0144,0.0
DEC_4369,0.0
DEC_3552,0.0
DEC_0045,0.0
DEC_4126,-7.936
DEC_3752,0.0
DEC_1871,0.0
DEC_0651,0.0
DEC_3517,0.0
DEC_2505,0.0
DEC_1997,0.0
DEC_2277,0.0
DEC_3203,0.0
DEC_2988,-6.989
DEC_3897,-7.236
DEC_0962,0.0
DEC_1075,0.0
DEC_4147,0.0
DEC_4298,0.0
DEC_0676,0.0
DEC_1023,-6.553
DEC_2374,-8.405
DEC_0606,0.0
DEC_2701,0.0
DEC_2914,0.0
DEC_0694,-8.319
DEC_4352,-9.179
DEC_3613,0.0
DEC_0129,0.0
DEC_0266,-10.421
DEC_2336,-7.975
DEC_1347,0.0
DEC_2351,-7.501
DEC_2733,-8.251
DEC_2833,-8.865
DEC_3543,0.0
DEC_4197,0.0
DEC_2769,-6.943
DEC_4408,-8.415
DEC_4514,-9.012
DEC_1913,-7.818
DEC_0884,0.0
DEC_0909,0.0
DEC_3274,0.0
DEC_1920,-7.595
DEC_2406,0.0
DEC_4102,-8.171
DEC_2248,0.0
DEC_2786,-7.461
DEC_2823,-7.913
DEC_0670,-7.938
DEC_1402,0.0
DEC_2873,0.0
DEC_3995,0.0
DEC_3361,0.0
DEC_3889,-7.745
DEC_0840,0.0
DEC_1654,-8.166
DEC_2908,-8.979
DEC_2921,-8.811
DEC_1800,0.0
DEC_3678,0.0
DEC_0232,0.0
DEC_4313,0.0
DEC_0635,0.0
DEC_3991,0.0
DEC_1919,-8.443
DEC_0107,0.0
DEC_0788,-9.23
DEC_2655,0.0
ACT_001,0.0
DEC_0390,0.0
DEC_3323,-7.185
ACT_021,-9.402
DEC_3248,0.0
DEC_4219,-7.265
DEC_1845,-9.498
DEC_3089,0.0
DEC_0885,-8.048
DEC_3573,-6.928
DEC_3542,0.0
DEC_2942,0.0
DEC_2862,-8.765
DEC_3911,0.0
DEC_4015,0.0
DEC_4071,0.0
DEC_3464,0.0
DEC_1098,-8.094
DEC_2428,0.0
DEC_4116,0.0
DEC_3041,-8.286
DEC_0920,0.0
DEC_3722,-9.911
DEC_1082,-7.312
DEC_1479,0.0
DEC_2217,-8.962
DEC_3327,0.0
DEC_0970,-7.56
DEC_3343,0.0
DEC_3999,0.0
DEC_2215,-9.193
DEC_0081,0.0
DEC_3429,-7.737
DEC_1586,-8.0
DEC_0815,-8.468
DEC_0770,0.0
DEC_0490,-8.052
DEC_1790,-7.442
DEC_2667,0.0
DEC_3328,-7.915
DEC_1614,-9.315
DEC_2809,0.0
DEC_4103,-8.206
DEC_3997,0.0
DEC_3586,-5.692
DEC_0573,-9.838
DEC_2946,0.0
DEC_3430,-6.963
DEC_4556,-9.227
DEC_0139,0.0
DEC_1579,-7.566
DEC_4550,0.0
DEC_1996,-8.814
DEC_4628,0.0
DEC_0384,-7.553
DEC_4588,0.0
DEC_1990,0.0
DEC_4093,0.0
DEC_1683,0.0
