compound_id,score
ACT_001,-9.095
ACT_003,-5.526
ACT_007,-9.635
ACT_008,-8.486
ACT_011,-7.879
ACT_013,-9.37
ACT_014,-7.531
ACT_015,-6.94
ACT_024,-7.324
ACT_025,-9.101
ACT_027,-8.374
ACT_030,-5.094
ACT_031,-7.598
ACT_032,-9.178
ACT_033,-7.319
ACT_034,-8.724
ACT_038,-36.106
ACT_039,-9.498
ACT_040,-6.999
ACT_043,-8.104
DEC_0027,-9.052
DEC_0033,-8.239
DEC_0034,-7.137
DEC_0040,-11.113
DEC_0043,-10.571
DEC_0045,-8.204
DEC_0046,-10.203
DEC_0050,-9.73
DEC_0051,-6.458
DEC_0052,-6.294
DEC_0053,-7.117
DEC_0057,-8.614
DEC_0059,-5.764
DEC_0060,-5.98
DEC_0061,-6.949
DEC_0062,-7.11
DEC_0064,-7.965
DEC_0071,-7.067
DEC_0072,-5.974
DEC_0073,-6.045
DEC_0076,-6.561
DEC_0077,-7.729
DEC_0080,-7.262
DEC_0082,-6.704
DEC_0083,-6.954
DEC_0084,-7.197
DEC_0085,-7.952
DEC_0086,-7.788
DEC_0088,-8.837
DEC_0091,-8.763
DEC_0095,-7.769
DEC_0097,-6.757
DEC_0098,-7.172
DEC_0099,-6.993
DEC_0100,-7.32
DEC_0102,-7.958
DEC_0103,-8.241
DEC_0104,-8.73
DEC_0106,-8.278
DEC_0107,-7.226
DEC_0110,-89.581
DEC_0112,-8.442
DEC_0113,-8.432
DEC_0116,-9.073
DEC_0118,-7.622
DEC_0119,-7.151
DEC_0120,-7.072
DEC_0123,-7.689
DEC_0124,-9.299
DEC_0125,-8.375
DEC_0129,-8.879
DEC_0139,-7.958
DEC_0140,-7.813
DEC_0142,-7.182
DEC_0144,-9.235
DEC_0147,-6.872
DEC_0148,-8.364
DEC_0151,-8.128
DEC_0153,-6.023
DEC_0156,55.726
DEC_0158,-8.295
DEC_0159,-6.389
DEC_0160,-9.477
DEC_0162,-8.785
DEC_0165,-8.716
DEC_0166,-8.66
DEC_0167,-7.844
DEC_0169,-7.56
DEC_0170,-8.458
DEC_0171,-8.783
DEC_0172,-8.177
DEC_0173,-9.296
DEC_0174,-7.31
DEC_0176,-9.313
DEC_0177,-6.953
DEC_0178,-7.438
DEC_0179,-8.476
DEC_0180,-8.107
DEC_0182,-8.561
DEC_0183,-8.943
DEC_0185,-8.901
DEC_0186,-7.979
DEC_0190,-8.033
DEC_0191,-8.243
DEC_0194,-7.852
DEC_0196,-7.312
DEC_0197,-8.003
DEC_0202,-7.273
DEC_0203,-7.852
DEC_0204,-7.742
DEC_0205,-6.873
DEC_0206,-6.282
DEC_0207,-6.205
DEC_0211,-7.337
DEC_0213,-8.819
DEC_0214,-7.311
DEC_0215,-8.958
DEC_0217,-7.781
DEC_0228,-7.604
DEC_0232,-8.517
DEC_0233,-8.45
DEC_0236,-8.833
DEC_0237,-8.855
DEC_0241,-8.854
DEC_0244,-7.996
DEC_0245,-8.989
DEC_0248,-7.253
DEC_0249,-8.003
DEC_0250,-8.399
DEC_0252,-8.09
DEC_0254,-8.58
DEC_0261,-8.477
DEC_0270,36.852
DEC_0271,12.393
DEC_0273,-8.138
DEC_0276,-8.876
DEC_0277,-9.369
DEC_0278,-8.615
DEC_0279,-8.699
DEC_0280,-8.663
DEC_0282,-8.524
DEC_0283,-9.045
DEC_0284,-9.048
DEC_0285,-6.795
DEC_0286,-8.919
DEC_0287,-8.352
DEC_0288,-8.461
DEC_0290,-9.564
DEC_0291,-9.234
DEC_0292,-8.21
DEC_0293,-6.605
DEC_0295,-7.555
DEC_0296,-8.574
DEC_0297,-9.249
DEC_0298,-9.002
DEC_0299,-9.216
DEC_0300,-8.634
DEC_0301,-8.138
DEC_0302,-7.202
DEC_0303,-8.141
DEC_0304,-7.903
DEC_0305,-9.572
DEC_0306,-9.062
DEC_0308,-10.671
DEC_0309,-8.895
DEC_0310,-8.228
DEC_0311,-8.885
DEC_0312,-9.914
DEC_0313,-6.857
DEC_0316,-9.043
DEC_0317,-9.576
DEC_0318,-8.508
DEC_0319,-9.148
DEC_0320,-5.759
DEC_0321,-5.765
DEC_0322,-5.671
DEC_0323,-5.856
DEC_0324,-7.101
DEC_0325,-7.398
DEC_0326,-6.772
DEC_0329,-6.517
DEC_0330,-7.692
DEC_0331,-7.38
DEC_0332,-6.593
DEC_0333,-6.785
DEC_0334,-6.762
DEC_0335,-7.141
DEC_0336,-7.099
DEC_0337,-6.787
DEC_0338,-6.85
DEC_0339,-6.579
DEC_0341,-6.956
DEC_0345,-6.481
DEC_0347,-7.143
DEC_0348,-8.308
DEC_0349,-7.217
DEC_0351,-7.909
DEC_0352,-7.519
DEC_0354,-8.502
DEC_0355,-8.486
DEC_0356,-7.146
DEC_0357,-7.21
DEC_0358,-7.514
DEC_0359,-7.243
DEC_0360,-7.241
DEC_0361,-7.249
DEC_0362,-7.458
