compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_001,CHEMBL3986275,COC(c1ccc(Cl)cc1)C1CCN(S(=O)(=O)c2c(C)n[nH]c2C)CC1,7.1,IC50,397.9280000000002,3.468340000000002,1,4,5,75.28999999999999,26,0
ACT_002,CHEMBL3407845,CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CO)C(=O)O,5.12,EC50,633.7440000000001,-3.9796000000000022,11,11,22,295.53000000000003,44,0
ACT_003,CHEMBL4559340,OCCN(CCO)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,5.5,IC50,412.4770000000001,3.9848000000000026,2,5,8,46.940000000000005,28,0
ACT_004,CHEMBL5187655,Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1CNC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,5.96,IC50,505.4920000000002,-3.402899999999995,7,14,7,241.94,36,0
ACT_005,CHEMBL4762222,O=C(CNC(=O)Nc1ccc(Br)cc1)Nc1cccnc1,6.14,EC50,349.18800000000005,2.604300000000001,3,3,4,83.12,21,0
ACT_006,CHEMBL6049888,CCCOc1c(OC)ccc(-c2cccc(C3=CB(O)OC3)c2)c1C#N,8.09,IC50,349.1950000000001,3.455980000000001,1,5,6,71.71000000000001,26,0
ACT_007,CHEMBL3939988,C[C@H](Oc1cc(C(N)=O)nc(-c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)n1)C(N)=O,6.8,IC50,462.3840000000001,3.186000000000001,2,7,8,139.65,33,0
ACT_008,CHEMBL3727975,O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCCC2=CCCCC2)[C@@H]2C=C[C@H]1C21CC1,5.76,EC50,439.64400000000035,3.8137000000000025,2,3,10,61.440000000000005,32,0
ACT_009,CHEMBL5286263,C[C@H]1CN(C)CCN1c1cc(NC(=O)Cn2cc(-c3cc(C(N)=O)c(O)c(Cl)c3F)c3c(=O)n(C)cnc32)c(Cl)cn1,6.33,Kd,617.469,2.8264000000000005,3,8,6,151.61,42,0
ACT_010,CHEMBL4436717,CCC[C@H](O)c1c(/C=C/[C@@H](O)[C@@H](O)CCCC(=O)OC)nc(C)n1C,9.05,IC50,354.44700000000006,1.64032,3,6,10,104.81,25,0
ACT_011,CHEMBL3671835,Cc1ncc(C(=O)NC23CCCC(NC(=O)c4cccc(Cl)c4)(CC2)C3)s1,7.58,IC50,403.9350000000002,4.110120000000003,2,4,4,71.09,27,0
ACT_012,CHEMBL1331148,NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,6.33,IC50,396.9840000000001,4.851000000000004,2,3,12,72.19,26,0
ACT_013,CHEMBL5850741,COc1cc(F)c([C@@H]2CC(=O)NC[C@H]2NC(=O)Nc2cc(C)ns2)c(F)c1,6.3,EC50,396.4190000000001,2.532120000000001,3,5,4,92.35000000000001,27,0
ACT_014,CHEMBL249338,CCc1nc2ccccc2n1[C@@H]1CCN(C(=O)c2cc3cc(F)ccc3[nH]2)C1,5.83,EC50,376.43500000000006,4.306300000000004,1,2,3,53.92,28,0
ACT_015,CHEMBL4755656,CC(=O)c1coc(Cn2ccc(NC(=O)c3ncoc3-c3ccccc3)n2)n1,8.0,EC50,377.3600000000001,3.0293,1,7,6,116.05000000000001,28,0
ACT_016,CHEMBL6032931,Nc1nc(N)c(CC(=O)Nc2cnc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(C(F)(F)F)c2)c(=O)[nH]1,5.96,IC50,501.37800000000027,-0.42290000000000066,7,9,9,243.47999999999996,35,0
ACT_017,CHEMBL6024012,O=C(Nc1ccc(C(F)(F)F)cn1)N[C@@H]1CCCN(c2ccc(C3(CN4CCOCC4)CCCC3)cc2)C1=O,6.17,EC50,545.6060000000006,4.561500000000004,2,5,6,86.80000000000001,39,0
ACT_018,CHEMBL5915366,CSc1ccc(-c2cncc(C3COB(O)C3)c2)cc1OC1CCCC1,8.86,IC50,369.2950000000002,4.386200000000003,1,5,5,51.58,26,0
ACT_019,CHEMBL3590215,CCCCOc1ccc(C(=O)NN2Cc3ccccc3NC2c2ccc(O)cc2)cc1,5.18,IC50,417.50900000000007,4.842400000000005,3,5,7,73.83,31,0
ACT_020,CHEMBL6060099,CC1(CCc2ccccc2)NC(=O)N(NC(=O)Nc2ccccc2F)C1=O,6.59,EC50,370.3840000000001,2.8055000000000003,3,3,5,90.53999999999999,27,0
ACT_021,CHEMBL5876324,C[S+]([O-])c1ccc(NC(=O)Nc2ccc3c(c2)C(=O)N(CCCNC(=O)OC(C)(C)C)C(c2ccc(C#N)cc2)C3)cc1,6.99,EC50,601.7290000000003,5.594080000000005,3,6,8,146.62,43,0
ACT_022,CHEMBL5960931,CC1(C)C2CCC1C(C(=O)Nc1ccc(I)cc1)C2C(N)=O,8.59,EC50,412.27100000000013,3.0134000000000007,2,2,3,72.19,22,0
ACT_023,CHEMBL5564062,CC/C=C\C[C@@H](O)/C=C/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCC(=O)O,8.92,EC50,376.49300000000017,3.4613000000000014,4,4,14,97.99,27,0
ACT_024,CHEMBL377163,CSc1ccc(NC(=O)Nc2c(C(C)C)n(C)n(C3=NCCS3)c2=O)cc1,5.29,EC50,405.54900000000015,3.6270000000000024,2,5,4,80.42,27,0
ACT_025,CHEMBL1707,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,5.94,EC50,477.0480000000002,5.088000000000005,1,3,7,43.78,34,0
ACT_026,CHEMBL3590070,COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccccc3)CCCCC2)cc1,6.58,EC50,524.6650000000004,5.927600000000005,4,3,9,95.25,39,0
ACT_027,CHEMBL5288663,O=C(Nc1ccc(F)cc1)N[C@@H]1c2nnnn2C[C@H]1c1cc2c(cc1F)OCC2,8.6,EC50,398.3730000000002,2.5464,2,5,3,93.96,29,0
ACT_028,CHEMBL5089005,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1OCCN(C)C,5.29,IC50,486.57200000000034,5.221740000000004,1,7,9,89.72,36,0
ACT_029,CHEMBL556485,COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc4c(c3)OCO4)c2=O)c1,5.35,EC50,407.4260000000002,2.5185200000000005,1,6,6,91.68,30,0
ACT_030,CHEMBL5204580,COc1ccc([C@@H]2CNC(=O)[C@H]2Nc2nnc(-c3ccc(Cl)cc3)o2)cc1,6.8,EC50,384.8230000000001,3.0927000000000007,2,6,5,89.28,27,0
ACT_031,CHEMBL5813829,CC1C[C@@H](NC(=O)Nc2ccc(Cl)cc2F)C(=O)N1c1ccc(-c2cccnc2P(C)(C)=O)c(F)c1F,9.52,EC50,550.9050000000002,5.382800000000004,2,4,5,91.4,37,0
ACT_032,CHEMBL5560412,COC(=O)c1cccc(-n2c(=O)c(NC(=O)c3ccc(OC(F)F)cc3)c(-c3c(F)cc(OC)cc3F)n2C)c1,8.7,EC50,559.4720000000001,4.770100000000004,1,6,8,100.79000000000002,40,0
ACT_033,CHEMBL5270974,CCc1ccc(C[C@H](NC(=O)Nc2ccc(Cl)cc2)c2noc(N(C)CCO)n2)cc1,9.2,EC50,443.93500000000023,3.8194000000000017,3,6,9,103.52,31,0
ACT_034,CHEMBL5557151,O=C(NCc1ccc(Br)cc1F)[C@@H]1C2CCC([C@H]1C(=O)NC1CCNCC1F)C21CC1,8.7,EC50,496.3960000000003,3.0730000000000013,3,3,5,70.23,31,0
ACT_035,CHEMBL3590213,CCOc1ccc2[nH]c(SCC(=O)Nc3ccccc3SC)nc2c1,5.1,EC50,373.50300000000004,4.4143000000000026,2,5,7,67.01,25,0
ACT_036,CHEMBL5899563,O=C(Nc1ccc(Cl)cc1)N[C@H]1CNCC[C@@H]1c1ccccc1,6.3,EC50,329.831,3.6072000000000024,3,2,3,53.160000000000004,23,0
ACT_037,CHEMBL5763552,C[C@H](Nc1cc(C(N)=O)nc(N2CCC(C3Cc4ccccc4C3)CC2)n1)C(N)=O,5.75,IC50,408.5060000000002,1.4926000000000004,3,6,6,127.22999999999999,30,0
ACT_038,CHEMBL5803882,CC(C)[C@H](NC(=O)Nc1ccc(C(F)(F)F)cc1)c1ncc[nH]1,8.4,EC50,326.322,3.947300000000001,3,2,4,69.81,23,0
ACT_039,CHEMBL5613021,COc1cccc(C(=O)N[C@@H]2CCCN(c3ccc(-c4ccccc4S(C)(=O)=O)cc3F)C2=O)c1,6.51,EC50,496.5600000000002,3.830200000000003,1,5,6,92.78,35,0
ACT_040,CHEMBL5770353,CCC[C@H](NC(=O)Nc1ccc(Br)cc1F)C(=O)NCC(N)=O,8.28,EC50,389.22500000000014,1.4799,4,3,7,113.32,23,0
ACT_041,CHEMBL5087410,CC(C)(C)OC(=O)N1CCC[C@H](N2CCC(NC(=O)Nc3ccc(Br)cc3)C2=O)C1,7.22,EC50,481.39100000000013,3.5710000000000024,2,4,3,90.97999999999999,30,0
