molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL210475,CC(C)c1c(NC(=O)Nc2ccc(C(F)(F)F)cc2)c(=O)n(C2=NCCS2)n1C,EC50,1470.0,nM,5.83,CHEMBL867962,F,Activity at human FPRL1-mediated calcium mobilization in CHO cells,CHEMBL1138936,2006
CHEMBL380389,CC(C)c1c(NC(=O)Nc2ccc(C(F)(F)F)cc2)c(=O)n(-c2cnc3ccccc3c2)n1C,EC50,44.0,nM,7.36,CHEMBL867962,F,Activity at human FPRL1-mediated calcium mobilization in CHO cells,CHEMBL1138936,2006
CHEMBL211555,CC(C)c1c(NC(=O)Nc2ccc(C(F)(F)F)cc2)c(=O)n(-c2cncnc2)n1C,EC50,150.0,nM,6.82,CHEMBL867962,F,Activity at human FPRL1-mediated calcium mobilization in CHO cells,CHEMBL1138936,2006
CHEMBL377163,CSc1ccc(NC(=O)Nc2c(C(C)C)n(C)n(C3=NCCS3)c2=O)cc1,EC50,5130.0,nM,5.29,CHEMBL867962,F,Activity at human FPRL1-mediated calcium mobilization in CHO cells,CHEMBL1138936,2006
CHEMBL379762,CSc1ccc(NC(=O)Nc2c(C(C)C)n(C)n(-c3cnc4ccccc4c3)c2=O)cc1,EC50,30.0,nM,7.52,CHEMBL867962,F,Activity at human FPRL1-mediated calcium mobilization in CHO cells,CHEMBL1138936,2006
CHEMBL211220,CSc1ccc(NC(=O)Nc2c(C(C)C)n(C)n(-c3cncnc3)c2=O)cc1,EC50,43.0,nM,7.37,CHEMBL867962,F,Activity at human FPRL1-mediated calcium mobilization in CHO cells,CHEMBL1138936,2006
CHEMBL377130,CC(C)c1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(C2=NCCS2)n1C,EC50,540.0,nM,6.27,CHEMBL867962,F,Activity at human FPRL1-mediated calcium mobilization in CHO cells,CHEMBL1138936,2006
CHEMBL210303,CC(C)c1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2cnc3ccccc3c2)n1C,EC50,80.0,nM,7.1,CHEMBL867962,F,Activity at human FPRL1-mediated calcium mobilization in CHO cells,CHEMBL1138936,2006
CHEMBL379853,CC(C)c1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2cncnc2)n1C,EC50,250.0,nM,6.6,CHEMBL867962,F,Activity at human FPRL1-mediated calcium mobilization in CHO cells,CHEMBL1138936,2006
CHEMBL378064,CCn1c(C(C)C)c(NC(=O)Nc2ccc(C)c(F)c2)c(=O)n1-c1ccccc1,EC50,100.0,nM,7.0,CHEMBL867962,F,Activity at human FPRL1-mediated calcium mobilization in CHO cells,CHEMBL1138936,2006
CHEMBL211595,Cc1ccc(NC(=O)Nc2c(C(C)(C)C)n(C)n(-c3ccccc3)c2=O)cc1F,EC50,83.0,nM,7.08,CHEMBL867962,F,Activity at human FPRL1-mediated calcium mobilization in CHO cells,CHEMBL1138936,2006
