compound_id,score
DEC_4391,-7.87
DEC_1747,-9.579
DEC_2029,-8.146
DEC_3885,-5.497
DEC_1554,-6.645
DEC_0623,-6.599
DEC_0374,-6.785
DEC_1830,-7.077
DEC_1282,-7.589
DEC_3778,-8.174
DEC_2770,-9.619
DEC_0788,-7.996
DEC_3248,-6.731
ACT_043,-9.842
DEC_2792,-6.553
DEC_3928,-7.882
DEC_3485,-8.163
DEC_2499,-8.897
DEC_0922,-8.048
DEC_3820,-7.893
DEC_1455,-8.677
DEC_4071,-7.783
DEC_2795,-8.495
DEC_2218,-8.876
DEC_0850,-9.369
DEC_2293,-7.953
DEC_4372,-7.071
DEC_0336,-9.329
DEC_3578,-8.617
DEC_2460,-7.842
DEC_0676,-8.88
DEC_3757,-7.623
DEC_3545,-8.835
DEC_3830,-8.625
DEC_4543,-9.077
DEC_2352,-8.708
DEC_1007,-8.893
DEC_2813,0.0
DEC_2085,-8.48
ACT_048,0.0
DEC_2994,-8.28
DEC_4474,-8.827
DEC_0319,-8.236
DEC_0920,0.0
DEC_3713,-9.074
DEC_1178,-7.296
DEC_2682,-8.207
DEC_1657,-8.329
DEC_3589,-10.363
DEC_0126,-7.824
DEC_0318,0.0
DEC_2168,-7.091
DEC_1513,-9.507
DEC_2919,-8.471
DEC_2737,-6.701
DEC_2786,-7.606
DEC_4176,-9.343
DEC_1499,-9.984
DEC_2482,-9.198
DEC_0169,-7.702
DEC_1323,-7.053
DEC_0651,-8.635
DEC_3705,-7.503
DEC_1601,-5.478
DEC_4494,-5.103
DEC_0864,-8.272
DEC_4715,-6.357
DEC_3488,-8.224
DEC_4454,-8.63
DEC_1151,-7.413
DEC_3220,-5.488
DEC_4763,-7.567
DEC_4168,-8.378
DEC_2004,-8.441
DEC_1563,-6.752
DEC_1336,-7.893
DEC_0434,-7.647
DEC_4684,-4.896
DEC_0002,-6.994
DEC_2864,-8.586
DEC_1660,-7.882
DEC_1437,-8.642
ACT_041,-9.509
DEC_3561,-8.816
ACT_009,-9.043
DEC_2736,-6.444
DEC_1853,-10.171
DEC_3907,-6.809
DEC_3070,-7.172
DEC_4482,0.0
DEC_2966,-7.894
DEC_2842,-9.839
DEC_2555,-9.617
DEC_4064,-7.589
DEC_1781,-8.488
DEC_3288,-8.136
DEC_1016,-7.652
ACT_079,-8.848
DEC_3495,-6.709
DEC_3886,-7.926
DEC_2197,-6.902
DEC_4006,-8.275
DEC_1069,-8.955
DEC_0020,-6.849
DEC_1088,-9.546
DEC_0018,-7.654
DEC_1944,-10.406
DEC_0844,-8.194
DEC_0444,-7.602
DEC_2229,-7.654
DEC_1981,-8.502
DEC_2870,-8.476
DEC_0643,-8.88
DEC_3612,-8.101
DEC_1425,-10.365
DEC_2558,-10.205
DEC_0815,-8.192
DEC_1394,-8.827
DEC_1350,0.0
DEC_1688,-7.932
DEC_1833,-7.432
DEC_4428,-8.517
DEC_2878,-8.914
DEC_4225,-9.591
DEC_2816,-10.216
DEC_4594,-8.161
DEC_0674,-7.677
DEC_1494,-8.454
DEC_1451,-8.499
DEC_0044,-8.623
DEC_2675,-8.291
DEC_3341,-8.023
DEC_0694,-7.168
DEC_0932,-6.368
DEC_0164,-7.389
DEC_1995,-10.415
DEC_1098,-8.67
DEC_2056,-8.105
DEC_3107,0.0
DEC_2797,-7.886
DEC_4673,-7.039
DEC_3135,-8.394
DEC_2780,-8.128
DEC_3718,-7.659
DEC_1250,-7.898
DEC_3089,-6.938
DEC_1953,-8.036
DEC_0913,-9.044
DEC_0221,-7.239
ACT_045,-9.468
DEC_3702,-7.936
DEC_1997,-7.922
DEC_1488,-9.24
DEC_1099,-9.076
DEC_1614,-6.854
DEC_2122,-9.502
DEC_4497,-10.037
DEC_3409,-7.683
DEC_3368,-8.091
DEC_4528,-7.403
DEC_3933,-7.866
DEC_1670,-8.645
DEC_1497,-8.998
DEC_4076,-7.117
DEC_0047,-6.015
DEC_2969,-7.058
DEC_4649,-8.025
DEC_0331,-9.043
DEC_0754,-8.606
DEC_2141,-8.421
DEC_2982,-9.565
DEC_1643,-8.33
DEC_3984,-8.002
DEC_1440,-8.714
DEC_2514,-8.828
DEC_2750,-8.38
DEC_1753,-7.284
DEC_4394,-8.134
DEC_0005,-8.445
DEC_4655,-8.755
DEC_3403,-6.96
DEC_1586,-8.187
DEC_2248,-6.317
DEC_2416,-8.239
DEC_1175,-8.04
DEC_1194,-8.407
DEC_2977,-8.186
DEC_2165,-8.246
DEC_0122,-8.063
DEC_1679,-8.986
DEC_3733,-8.944
DEC_4203,-8.397
DEC_0902,-9.205
DEC_2621,-7.802
DEC_3019,-8.341
DEC_2970,-9.352
DEC_0659,-8.42
DEC_2894,-8.548
DEC_2791,-8.185
DEC_2524,-8.364
DEC_0658,-7.815
DEC_3297,-7.849
DEC_4317,-8.043
DEC_0472,-6.767
DEC_1062,-8.782
DEC_0206,-6.602
DEC_4069,-7.87
DEC_0794,-7.972
DEC_1504,-7.419
DEC_2739,-1.14
DEC_2983,-9.484
DEC_0975,-8.87
DEC_4165,-8.183
DEC_4111,-8.02
DEC_1334,-9.468
DEC_1916,-10.277
DEC_1994,-9.105
DEC_0195,-6.87
DEC_1736,-7.855
DEC_0755,-8.359
DEC_4375,-7.327
DEC_0725,-9.399
DEC_3537,-8.017
DEC_3715,-6.161
DEC_0930,-7.101
DEC_0289,-8.551
DEC_0068,-8.404
DEC_1237,-9.78
DEC_1845,-8.033
DEC_4309,-7.838
DEC_2697,-7.521
DEC_4421,-8.124
DEC_0970,-7.801
DEC_3600,-10.471
DEC_1367,-9.405
DEC_0776,-7.4
DEC_3385,-7.676
DEC_0758,-8.087
DEC_2822,-9.549
DEC_2388,-7.653
DEC_0909,-9.592
DEC_2576,-9.349
DEC_2872,-8.478
DEC_4265,-6.563
DEC_3967,0.0
DEC_0617,-6.671
DEC_2222,-7.081
DEC_4493,-8.099
DEC_3223,-7.289
DEC_3408,-7.99
DEC_1565,-8.948
DEC_4672,-7.287
DEC_1677,-8.465
DEC_2340,-8.146
DEC_0980,-8.074
DEC_3105,-7.407
DEC_0184,-9.503
DEC_0197,-7.415
DEC_3981,-8.076
DEC_1259,-7.558
DEC_3732,-8.597
DEC_4530,-7.292
DEC_0222,-7.464
DEC_3093,-8.873
DEC_0238,-8.948
DEC_4172,-8.655
DEC_2359,-8.707
DEC_1290,-6.001
DEC_2269,-8.55
DEC_1268,-7.077
DEC_4108,-9.623
DEC_4667,-9.012
DEC_2852,-9.599
DEC_3987,-7.994
DEC_2824,-8.546
DEC_0194,0.0
DEC_0332,0.0
DEC_1306,-8.222
DEC_4555,0.0
DEC_4369,-7.121
DEC_2596,-9.205
DEC_2539,-6.981
DEC_1213,-7.85
DEC_1501,-8.399
DEC_2363,-7.53
DEC_0446,-7.736
DEC_4452,-8.267
ACT_008,-8.417
DEC_0328,-10.323
DEC_4619,-9.892
DEC_2114,-9.898
DEC_1276,-7.119
DEC_4155,-7.116
DEC_0097,-9.352
DEC_4019,-8.36
DEC_2140,-7.813
DEC_3201,-7.428
DEC_0878,-7.818
DEC_3918,-7.989
DEC_2703,-6.282
DEC_4641,-7.591
DEC_3956,-8.65
DEC_1144,-9.593
DEC_4358,-7.234
DEC_0918,-11.402
DEC_0627,-8.133
DEC_2641,-8.641
DEC_4028,-8.072
DEC_4007,-9.597
DEC_0302,-7.536
DEC_2636,-8.443
DEC_0452,-6.335
DEC_2519,-7.686
DEC_3112,-7.061
ACT_042,-8.019
DEC_3351,-7.629
DEC_2322,-7.793
ACT_074,-8.974
DEC_4163,-8.048
DEC_4119,-11.204
DEC_1889,-9.57
DEC_3132,-8.046
DEC_0483,-7.285
DEC_1952,-7.941
DEC_2424,0.0
DEC_1589,-8.417
DEC_2175,-8.312
DEC_4274,-6.585
DEC_2598,-9.422
DEC_0990,-7.189
ACT_062,-8.211
DEC_0157,-7.317
DEC_1223,-8.519
DEC_4441,-8.696
ACT_037,-9.459
DEC_4398,-7.195
DEC_0198,-9.239
DEC_3117,-9.081
DEC_1295,-7.57
DEC_3786,-8.308
DEC_3419,-8.485
DEC_3280,-8.638
DEC_2946,-9.093
DEC_0350,0.0
DEC_1888,-8.952
DEC_0496,-7.31
DEC_1516,-8.648
DEC_3995,-9.886
DEC_3541,-6.894
DEC_4222,-10.254
DEC_1139,-8.19
DEC_1674,-7.249
DEC_0277,-8.155
DEC_1009,-7.443
