compound_id,score
DEC_4391,-8.778
DEC_1747,-9.67
DEC_2029,-8.225
DEC_3885,-5.625
DEC_1554,-6.744
DEC_0623,-6.514
DEC_0374,-6.992
DEC_1830,-7.213
DEC_1282,-8.285
DEC_3778,-9.478
DEC_2770,-9.584
DEC_0788,-8.034
DEC_3248,0.0
ACT_043,-10.683
DEC_2792,-6.637
DEC_3928,-9.048
DEC_3485,-7.873
DEC_2499,-8.777
DEC_0922,-8.635
DEC_3820,-7.895
DEC_1455,-9.111
DEC_4071,-7.952
DEC_2795,-9.359
DEC_2218,-8.784
DEC_0850,-9.24
DEC_2293,0.0
DEC_4372,-7.151
DEC_0336,-10.741
DEC_3578,-10.587
DEC_2460,-7.719
DEC_0676,-9.336
DEC_3757,-7.771
DEC_3545,-9.504
DEC_3830,-9.037
DEC_4543,-10.661
DEC_2352,0.0
DEC_1007,-9.989
DEC_2813,-10.554
DEC_2085,-8.451
ACT_048,0.0
DEC_2994,-8.365
DEC_4474,41.279
DEC_0319,-9.156
DEC_0920,-8.674
DEC_3713,-10.358
DEC_1178,-7.151
DEC_2682,-41.924
DEC_1657,-8.249
DEC_3589,-10.71
DEC_0126,-7.209
DEC_0318,80.701
DEC_2168,0.0
DEC_1513,-8.702
DEC_2919,0.0
DEC_2737,-6.765
DEC_2786,-7.706
DEC_4176,-10.277
DEC_1499,-9.953
DEC_2482,-9.979
DEC_0169,-8.072
DEC_1323,-7.136
DEC_0651,-8.862
DEC_3705,-7.787
DEC_1601,-5.507
DEC_4494,-5.165
DEC_0864,-9.096
DEC_4715,-6.398
DEC_3488,-8.971
DEC_4454,-8.021
DEC_1151,-7.3
DEC_3220,0.0
DEC_4763,-7.749
DEC_4168,-8.221
DEC_2004,0.0
DEC_1563,-6.796
DEC_1336,-8.512
DEC_0434,-8.353
DEC_4684,-5.665
DEC_0002,-8.019
DEC_2864,-8.078
DEC_1660,-8.097
DEC_1437,-9.328
ACT_041,-9.132
DEC_3561,-9.308
ACT_009,-9.892
DEC_2736,-6.883
DEC_1853,-9.984
DEC_3907,-6.931
DEC_3070,-7.377
DEC_4482,-8.669
DEC_2966,-8.242
DEC_2842,-9.358
DEC_2555,-39.098
DEC_4064,-7.488
DEC_1781,0.0
DEC_3288,-8.367
DEC_1016,-7.404
ACT_079,-9.146
DEC_3495,-7.028
DEC_3886,-6.662
DEC_2197,0.0
DEC_4006,-8.464
DEC_1069,-10.312
DEC_0020,-7.228
DEC_1088,-9.467
DEC_0018,-7.94
DEC_1944,0.0
DEC_0844,-7.498
DEC_0444,-8.051
DEC_2229,-7.402
DEC_1981,0.0
DEC_2870,-8.757
DEC_0643,-9.519
DEC_3612,-7.727
DEC_1425,-10.901
DEC_2558,-10.479
DEC_0815,-8.244
DEC_1394,16.536
DEC_1350,-9.712
DEC_1688,-8.371
DEC_1833,-8.261
DEC_4428,-8.645
DEC_2878,-9.883
DEC_4225,-9.716
DEC_2816,-107.32
DEC_4594,-10.196
DEC_0674,-7.956
DEC_1494,-9.109
DEC_1451,-8.742
DEC_0044,-8.767
DEC_2675,-9.851
DEC_3341,0.0
DEC_0694,-8.699
DEC_0932,-6.621
DEC_0164,-7.416
DEC_1995,0.0
DEC_1098,-8.594
DEC_2056,-8.677
DEC_3107,-8.207
DEC_2797,-7.577
DEC_4673,-7.496
DEC_3135,0.0
DEC_2780,-8.109
DEC_3718,-7.961
DEC_1250,-8.64
DEC_3089,-7.065
DEC_1953,0.0
DEC_0913,-8.793
DEC_0221,-7.523
ACT_045,-9.123
DEC_3702,-8.481
DEC_1997,-8.225
DEC_1488,-10.029
DEC_1099,-9.57
DEC_1614,-7.188
DEC_2122,-10.034
DEC_4497,-9.99
DEC_3409,0.0
DEC_3368,-8.724
DEC_4528,-8.045
DEC_3933,-7.744
DEC_1670,0.0
DEC_1497,-8.505
