compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_001,CHEMBL4593194,C/C(=C\CC12OCC3CC(C=C4C(=O)c5c(O)cccc5OC431)C2=O)CO,5.43,IC50,368.38500000000016,1.9489999999999994,2,6,3,93.06000000000002,27,0
ACT_002,CHEMBL112953,C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21,6.77,EC50,433.8710000000001,3.2310000000000008,1,7,8,97.31,30,0
ACT_003,CHEMBL1567471,O=C(O)c1cccc(NC(S)=NC(NC(=O)c2cccc([N+](=O)[O-])c2)C(Cl)(Cl)Cl)c1,5.01,IC50,491.7400000000001,4.117000000000001,4,5,6,133.93,30,0
ACT_004,CHEMBL3661105,CC(C)c1nn(-c2ccc(C(N)=O)c(N(O)C3CCCCC3)c2)c2nccc(-n3cnc(-c4cnn(C)c4)c3)c12,7.16,IC50,539.6440000000003,4.757300000000004,2,7,7,132.91000000000003,40,0
ACT_005,CHEMBL441019,Oc1ccc2c(c1)CCc1c[nH]nc1-2,6.12,Kd,186.21400000000003,1.8808999999999994,2,2,0,48.91,14,0
ACT_006,CHEMBL2332356,O[C@H]1[C@@H]2CCO[C@@H]3OC[C@@](O)([C@@H]32)[C@@H]1O,5.62,Kd,202.206,-1.5381000000000002,3,5,0,79.15,14,0
ACT_007,CHEMBL4455666,CC1=C2C[C@@]3(C)O[C@@](C)([C@@H]2CC1=O)[C@H]1CC(=O)[C@@](C(C)C)(CC3=O)O1,6.92,Kd,346.4230000000001,2.555200000000001,0,5,1,69.67,25,0
ACT_008,CHEMBL3189714,Cc1ccccc1NC1=C/C(=N\S(=O)(=O)c2cccs2)c2ccccc2C1=O,6.36,IC50,408.50400000000013,4.426820000000004,1,5,4,75.6,28,0
ACT_009,CHEMBL1308342,CN(C)c1ccc(C2Nc3cccc4cccc(c34)N2)cc1,5.2,IC50,289.38199999999995,4.442000000000003,2,3,2,27.299999999999997,22,0
ACT_010,CHEMBL1834390,CCSc1nc(C)nc(N)n1,7.38,Kd,170.24099999999999,0.87422,1,5,2,64.69,11,0
ACT_011,CHEMBL433670,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(N3CCC3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,5.85,Kd,585.6980000000002,2.4677,3,9,4,157.49,42,0
ACT_012,CHEMBL1376094,COC(=O)c1ccc(COc2ccc3c(C)c(C)c(=O)oc3c2)o1,5.97,IC50,328.32000000000005,3.3684400000000023,0,6,4,78.88000000000001,24,0
ACT_013,CHEMBL1236930,Cc1n[nH]c(-c2ccco2)c1CCCCN(C)c1ncnc2nc[nH]c12,5.82,IC50,351.41399999999993,3.1035200000000014,2,6,7,99.52000000000001,26,0
ACT_014,CHEMBL1506658,C#CCn1cc(/C=C2\NC(=O)NC2=O)c2ccccc21,5.88,IC50,265.272,1.4547999999999999,2,2,2,63.13,20,0
ACT_015,CHEMBL4782784,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)NC2CC2(F)F)[C@@H](O)[C@H]1O,6.0,Ki,356.289,-1.4485000000000001,4,8,3,148.41,25,0
ACT_016,CHEMBL1592829,CCc1ccc(Nc2n[n+](-c3ccccc3)c(-c3ccc(N(CC)CC)cc3)s2)cc1,5.26,IC50,429.61300000000017,6.239000000000005,1,4,8,32.04,31,1
ACT_017,CHEMBL3235357,CCCCc1cc(-n2cc(C)c3c2CC(C)(C)CC3=O)cc2c1C(=O)NCC2,7.25,Ki,378.51600000000013,4.569320000000004,1,2,4,51.1,28,0
