molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL414883,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,Kd,19.0,nM,7.72,CHEMBL693504,B,The compound was tested for binding affinity against yeast Heat shock protein HSP 90,CHEMBL1132416,1999
CHEMBL414883,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,Kd,2.7,nM,8.57,CHEMBL693503,B,The compound was tested for binding affinity against isolated N-domain of Heat shock protein HSP 90,CHEMBL1132416,1999
CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,Kd,1215.0,nM,5.92,CHEMBL693502,B,The compound was tested for binding affinity against yeast Heat shock protein HSP 90,CHEMBL1132416,1999
CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,Kd,775.0,nM,6.11,CHEMBL693501,B,The compound was tested for binding affinity against isolated N-domain of Heat shock protein HSP 90,CHEMBL1132416,1999
CHEMBL262054,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCCCCOc3ccc4c(=O)cc(N5CCOCC5)oc4c3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,EC50,2500.0,nM,5.6,CHEMBL693505,B,Competitive binding towards Heat shock protein HSP 90-alpha,CHEMBL1134011,2001
CHEMBL109480,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,EC50,1000.0,nM,6.0,CHEMBL693505,B,Competitive binding towards Heat shock protein HSP 90-alpha,CHEMBL1134011,2001
CHEMBL355195,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCCCCCOc3ccc4c(=O)cc(N5CCOCC5)oc4c3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,EC50,4000.0,nM,5.4,CHEMBL693505,B,Competitive binding towards Heat shock protein HSP 90-alpha,CHEMBL1134011,2001
CHEMBL366754,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCC#Cc3cccc4c(=O)cc(N5CCOCC5)oc34)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,EC50,7000.0,nM,5.16,CHEMBL693505,B,Competitive binding towards Heat shock protein HSP 90-alpha,CHEMBL1134011,2001
CHEMBL366637,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCCCOc3ccc4c(=O)cc(N5CCOCC5)oc4c3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,EC50,10000.0,nM,5.0,CHEMBL693505,B,Competitive binding towards Heat shock protein HSP 90-alpha,CHEMBL1134011,2001
CHEMBL178130,CCc1cc(-c2n[nH]c(C(=O)O)c2-c2ccc3c(c2)OCO3)c(O)cc1O,Kd,680.0,nM,6.17,CHEMBL826997,B,In vitro dissociation constant for heat shock 90 kDa protein alpha,CHEMBL1144366,2005
CHEMBL360563,CCc1cc(-c2n[nH]cc2-c2c[nH]cn2)c(O)cc1O,Kd,280.0,nM,6.55,CHEMBL826997,B,In vitro dissociation constant for heat shock 90 kDa protein alpha,CHEMBL1144366,2005
CHEMBL109480,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,1270.0,nM,5.9,CHEMBL832973,B,Inhibitory concentration against activity of Hsp90 was determined by fluorescence polarization (FP) assay,CHEMBL1140283,2005
CHEMBL414883,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,IC50,150.0,nM,6.82,CHEMBL830071,B,Inhibitory concentration against activity of Hsp90 was determined by fluorescence polarization (FP) assay(n=2),CHEMBL1140283,2005
CHEMBL399530,CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,IC50,280.0,nM,6.55,CHEMBL832973,B,Inhibitory concentration against activity of Hsp90 was determined by fluorescence polarization (FP) assay,CHEMBL1140283,2005
CHEMBL188965,Cc1n[nH]c(-c2ccc(O)cc2O)c1-c1ccc2c(c1)OCCO2,IC50,4730.0,nM,5.33,CHEMBL832973,B,Inhibitory concentration against activity of Hsp90 was determined by fluorescence polarization (FP) assay,CHEMBL1140283,2005
CHEMBL191074,Cc1[nH]nc(-c2cc(Cl)c(O)cc2O)c1-c1ccc2c(c1)OCCO2,IC50,210.0,nM,6.68,CHEMBL832973,B,Inhibitory concentration against activity of Hsp90 was determined by fluorescence polarization (FP) assay,CHEMBL1140283,2005
