compound_id,score
DEC_3911,-8.723
DEC_4007,0.0
DEC_0001,-8.382
DEC_2685,0.0
DEC_2587,0.0
DEC_1496,0.0
DEC_4499,0.0
DEC_2528,-8.797
DEC_2328,-9.188
ACT_072,0.0
DEC_1387,-9.131
DEC_4422,-6.623
DEC_0809,0.0
DEC_3961,-9.083
DEC_1362,0.0
DEC_2987,-8.629
DEC_4135,-8.859
DEC_1022,-8.66
DEC_1993,0.0
DEC_3384,-8.657
DEC_4543,0.0
DEC_4186,-9.838
DEC_0871,0.0
DEC_1975,-6.559
DEC_2719,0.0
DEC_0013,0.0
DEC_0238,0.0
ACT_040,-5.694
DEC_3535,-7.791
DEC_3428,0.0
DEC_4280,-7.888
DEC_2030,0.0
DEC_4236,0.0
DEC_3049,-7.979
DEC_0633,-9.588
DEC_0272,-7.111
DEC_1099,-7.407
ACT_083,-6.004
DEC_1223,0.0
DEC_0627,-9.287
DEC_3720,-7.957
DEC_2196,-10.112
DEC_1608,0.0
DEC_1799,0.0
DEC_4333,0.0
DEC_1240,0.0
DEC_0909,0.0
DEC_0788,-7.611
DEC_4253,0.0
DEC_3403,0.0
DEC_4449,-7.872
DEC_3663,-6.626
DEC_1130,0.0
DEC_3740,-7.789
DEC_1952,-8.914
DEC_2755,0.0
DEC_4170,0.0
DEC_2212,-8.868
DEC_0537,-8.335
DEC_2448,-9.297
DEC_1798,0.0
DEC_2870,-9.176
DEC_0850,0.0
DEC_0326,-8.886
DEC_2826,-8.64
DEC_3111,0.0
DEC_3450,0.0
DEC_3492,0.0
DEC_0978,0.0
DEC_3569,-9.476
DEC_4445,-10.107
DEC_3951,-7.963
DEC_2429,-8.937
DEC_1609,0.0
DEC_2221,-9.706
DEC_3221,0.0
DEC_0197,0.0
DEC_3149,-8.342
DEC_2455,-9.988
DEC_4442,-9.377
DEC_1504,0.0
DEC_3634,-8.977
DEC_0760,0.0
DEC_0911,0.0
DEC_2297,-9.359
DEC_3000,0.0
DEC_0503,-7.478
DEC_1282,-7.309
DEC_1473,-9.128
DEC_4148,-10.787
DEC_3352,0.0
DEC_3858,0.0
ACT_043,-9.901
DEC_4516,-7.815
DEC_2409,-8.062
ACT_024,-10.3
DEC_0494,-8.54
DEC_2717,0.0
DEC_1648,-8.349
DEC_4381,0.0
DEC_4069,0.0
DEC_1435,0.0
DEC_2946,-7.911
DEC_4193,-9.613
DEC_1400,-9.553
DEC_1703,-8.505
DEC_2834,-8.386
DEC_1512,-8.176
DEC_4110,0.0
DEC_0907,0.0
DEC_3316,0.0
DEC_3212,0.0
DEC_0912,0.0
DEC_0444,0.0
DEC_2621,0.0
DEC_4355,-8.68
DEC_1148,-8.676
DEC_0027,-8.016
DEC_3522,-8.14
DEC_0567,-8.129
DEC_2281,-6.96
DEC_2253,0.0
DEC_2290,-9.35
DEC_3860,0.0
DEC_3619,-8.818
DEC_3571,-7.156
DEC_0496,-5.224
DEC_3828,-9.137
DEC_2864,-9.529
DEC_1101,-7.917
DEC_0853,0.0
DEC_0133,0.0
DEC_1261,-7.597
DEC_0063,-9.134
DEC_3080,-8.255
DEC_2018,0.0
DEC_2109,-7.952
DEC_2579,0.0
DEC_3760,-7.521
DEC_3733,-9.648
DEC_3171,0.0
DEC_3802,-7.129
DEC_3645,0.0
DEC_3251,-9.186
DEC_0863,0.0
DEC_3908,-7.575
DEC_0446,0.0
DEC_2441,-10.009
DEC_0675,0.0
DEC_0530,-6.616
DEC_3674,-5.435
DEC_1268,-9.368
DEC_2938,-8.989
DEC_0708,0.0
DEC_4277,-9.557
DEC_2617,0.0
DEC_1366,0.0
DEC_3891,-7.283
DEC_0761,0.0
DEC_4553,0.0
DEC_1050,-9.535
DEC_2629,0.0
DEC_3781,-8.251
DEC_3983,0.0
DEC_2833,-9.523
DEC_0339,-9.352
DEC_3239,-8.515
DEC_4128,-8.564
DEC_1433,0.0
DEC_1614,0.0
DEC_4439,-8.305
DEC_3594,-10.409
