compound_id,score
DEC_3911,0.0
DEC_4007,0.0
DEC_0001,0.0
DEC_2685,-8.557
DEC_2587,-10.64
DEC_1496,0.0
DEC_4499,-9.182
DEC_2528,-10.049
DEC_2328,-8.504
ACT_072,-9.017
DEC_1387,-8.855
DEC_4422,0.0
DEC_0809,0.0
DEC_3961,-9.486
DEC_1362,0.0
DEC_2987,-9.02
DEC_4135,-9.1
DEC_1022,0.0
DEC_1993,0.0
DEC_3384,0.0
DEC_4543,0.0
DEC_4186,-9.662
DEC_0871,0.0
DEC_1975,0.0
DEC_2719,-9.799
DEC_0013,0.0
DEC_0238,-9.597
ACT_040,0.0
DEC_3535,-7.187
DEC_3428,0.0
DEC_4280,0.0
DEC_2030,-8.214
DEC_4236,0.0
DEC_3049,-8.532
DEC_0633,0.0
DEC_0272,-7.564
DEC_1099,-173.035
ACT_083,-6.303
DEC_1223,-10.007
DEC_0627,-9.572
DEC_3720,-7.768
DEC_2196,-9.696
DEC_1608,-10.879
DEC_1799,-7.744
DEC_4333,-9.421
DEC_1240,0.0
DEC_0909,0.0
DEC_0788,0.0
DEC_4253,0.0
DEC_3403,0.0
DEC_4449,-8.082
DEC_3663,-6.631
DEC_1130,0.0
DEC_3740,0.0
DEC_1952,-9.542
DEC_2755,0.0
DEC_4170,0.0
DEC_2212,0.0
DEC_0537,-8.645
DEC_2448,0.0
DEC_1798,0.0
DEC_2870,-9.997
DEC_0850,0.0
DEC_0326,-8.847
DEC_2826,-9.14
DEC_3111,0.0
DEC_3450,0.0
DEC_3492,0.0
DEC_0978,0.0
DEC_3569,-9.483
DEC_4445,-10.445
DEC_3951,-8.121
DEC_2429,0.0
DEC_1609,0.0
DEC_2221,0.0
DEC_3221,-7.41
DEC_0197,0.0
DEC_3149,-8.497
DEC_2455,-58.023
DEC_4442,0.0
DEC_1504,-11.491
DEC_3634,-8.908
DEC_0760,0.0
DEC_0911,0.0
DEC_2297,2.671
DEC_3000,0.0
DEC_0503,0.0
DEC_1282,-6.965
DEC_1473,0.0
DEC_4148,-10.326
DEC_3352,0.0
DEC_3858,0.0
ACT_043,-11.27
DEC_4516,0.0
DEC_2409,-7.97
ACT_024,0.0
DEC_0494,-8.784
DEC_2717,-8.257
DEC_1648,-9.45
DEC_4381,-9.034
DEC_4069,-9.487
DEC_1435,0.0
DEC_2946,0.0
DEC_4193,0.0
DEC_1400,-9.472
DEC_1703,0.0
DEC_2834,0.0
DEC_1512,-9.014
DEC_4110,0.0
DEC_0907,0.0
DEC_3316,0.0
DEC_3212,0.0
DEC_0912,0.0
DEC_0444,-8.629
DEC_2621,0.0
DEC_4355,0.0
DEC_1148,-8.367
DEC_0027,-8.725
DEC_3522,-8.679
DEC_0567,-8.772
DEC_2281,0.0
DEC_2253,0.0
DEC_2290,-8.811
DEC_3860,0.0
DEC_3619,-9.483
DEC_3571,0.0
DEC_0496,0.0
DEC_3828,-10.032
DEC_2864,-9.656
DEC_1101,0.0
DEC_0853,0.0
DEC_0133,0.0
DEC_1261,0.0
DEC_0063,-9.469
DEC_3080,-7.957
DEC_2018,-8.782
DEC_2109,0.0
DEC_2579,-9.21
DEC_3760,-9.15
DEC_3733,-9.303
DEC_3171,-10.99
DEC_3802,-8.501
DEC_3645,-9.546
DEC_3251,-9.461
DEC_0863,0.0
DEC_3908,-6.787
DEC_0446,31.116
DEC_2441,-10.342
DEC_0675,0.0
DEC_0530,-6.105
DEC_3674,0.0
DEC_1268,-10.277
DEC_2938,-8.652
DEC_0708,-9.11
DEC_4277,0.0
DEC_2617,0.0
DEC_1366,-8.111
DEC_3891,-7.658
DEC_0761,-8.688
DEC_4553,0.0
DEC_1050,-148.819
DEC_2629,0.0
DEC_3781,0.0
DEC_3983,0.0
DEC_2833,-10.018
DEC_0339,-9.354
DEC_3239,-8.324
DEC_4128,0.0
DEC_1433,-8.328
DEC_1614,0.0
DEC_4439,-8.764
DEC_3594,0.0
DEC_0308,-6.827
DEC_0558,0.0
DEC_0157,0.0
DEC_2197,-8.907
DEC_4047,0.0
DEC_0195,0.0
DEC_4105,0.0
DEC_0902,0.0
DEC_1503,-8.509
DEC_2250,0.0
DEC_2367,-5.773
DEC_0525,0.0
DEC_1088,-9.162
DEC_0661,5.63
DEC_0313,0.0
DEC_3907,0.0
DEC_0714,0.0
DEC_3419,-1.141
DEC_2386,0.0
DEC_4388,0.0
DEC_2744,0.0
DEC_2907,0.0
DEC_4163,0.0
DEC_0479,-8.458
DEC_0350,-7.933
DEC_1810,0.0
DEC_3694,-7.964
DEC_4146,0.0
DEC_4353,0.0
DEC_4311,0.0
DEC_0174,0.0
DEC_0316,0.0
DEC_2509,-8.808
DEC_3952,-6.825
DEC_1272,-9.531
DEC_0020,0.0
DEC_4431,-9.543
DEC_1259,-10.499
DEC_4370,0.0
DEC_4087,0.0
DEC_2425,0.0
DEC_0198,0.0
DEC_3985,0.0
DEC_4278,0.0
DEC_2022,0.0
DEC_1003,-9.293
DEC_3973,0.0
DEC_3651,-9.371
DEC_0928,0.0
DEC_4373,-10.763
DEC_1932,-8.811
DEC_1688,-9.545
DEC_4468,0.0
DEC_3249,-8.066
DEC_3719,-7.259
DEC_1305,-8.72
DEC_3872,-8.725
DEC_1628,-7.884
DEC_4168,0.0
DEC_2304,0.0
DEC_3918,-9.096
DEC_0758,0.0
DEC_0122,0.0
DEC_1069,-6.692
DEC_3701,-7.377
DEC_3786,0.0
DEC_4489,0.0
DEC_3638,-151.891
ACT_053,-12.169
DEC_2942,0.0
DEC_1062,0.0
DEC_1591,0.0
DEC_0840,0.0
DEC_4122,0.0
DEC_1082,0.0
DEC_2600,0.0
DEC_1322,-7.443
DEC_2880,0.0
DEC_1154,-63.308
DEC_0806,0.0
DEC_2301,0.0
DEC_1927,-8.983
ACT_073,-9.368
DEC_2239,0.0
DEC_1598,0.0
DEC_4130,-8.997
DEC_3075,-8.169
DEC_2195,-9.158
DEC_4453,0.0
DEC_0452,0.0
DEC_0332,0.0
DEC_3040,0.0
DEC_2638,-9.726
DEC_0674,0.0
DEC_3500,0.0
DEC_0631,-9.912
DEC_0596,0.0
DEC_2512,-10.207
DEC_2118,-8.042
DEC_3382,0.0
DEC_4464,0.0
DEC_0002,0.0
DEC_2258,-10.377
DEC_0776,-9.783
DEC_3232,-8.884
DEC_4024,-9.21
DEC_2445,0.0
DEC_4447,-8.097
DEC_4483,0.0
DEC_0280,-8.919
DEC_1392,-8.839
ACT_015,-8.242
DEC_0169,0.0
DEC_0445,0.0
DEC_0454,0.0
DEC_1092,0.0
DEC_0520,0.0
DEC_3074,-9.014
DEC_0937,0.0
DEC_0164,0.0
DEC_0523,-8.355
DEC_2514,0.0
DEC_1755,0.0
DEC_4321,-9.706
DEC_4150,0.0
DEC_3215,-10.27
DEC_2218,0.0
DEC_2616,0.0
DEC_1691,0.0
DEC_2635,0.0
DEC_4056,-8.389
DEC_2996,0.0
DEC_1035,0.0
DEC_2216,0.0
DEC_1887,0.0
DEC_4154,-9.044
DEC_1085,-8.261
DEC_4544,0.0
DEC_4244,0.0
DEC_2538,0.0
DEC_2119,-8.97
DEC_0605,0.0
DEC_2029,0.0
DEC_1579,0.0
DEC_1770,0.0
DEC_3991,0.0
DEC_1343,0.0
DEC_0379,0.0
DEC_1538,0.0
DEC_0295,0.0
DEC_3662,0.0
DEC_4144,0.0
DEC_1540,0.0
DEC_3349,0.0
ACT_074,-10.175
DEC_0977,0.0
DEC_2371,0.0
DEC_2511,-8.498
DEC_3589,0.0
DEC_2164,-8.931
DEC_1632,-7.523
DEC_0289,0.0
DEC_1142,-74.387
DEC_0097,0.0
DEC_1337,-7.712
DEC_2922,-9.498
DEC_0642,-9.075
DEC_0694,-9.159
DEC_0047,0.0
DEC_3294,0.0
DEC_4555,0.0
DEC_2034,-9.401
