compound_id,score
ACT_001,-8.957
ACT_002,-8.15
ACT_003,-8.881
ACT_004,-10.936
ACT_008,-11.306
ACT_009,-10.16
ACT_011,2.576
ACT_012,-9.676
ACT_013,-9.464
ACT_014,-9.597
ACT_016,-10.028
ACT_018,-7.926
ACT_020,-8.993
ACT_021,-10.738
ACT_023,-48.979
ACT_024,-10.248
ACT_028,-9.384
ACT_029,-8.023
ACT_030,-9.122
ACT_032,-9.52
ACT_036,-9.93
ACT_037,-0.463
ACT_038,-8.18
ACT_039,-9.03
ACT_040,-6.247
ACT_041,-8.908
ACT_045,-8.051
ACT_046,-9.441
ACT_048,-8.187
ACT_049,-8.515
ACT_055,-10.334
ACT_056,-8.484
ACT_057,-8.786
ACT_058,-127.307
ACT_059,-10.166
ACT_064,-9.794
ACT_067,-9.168
ACT_070,-8.787
ACT_071,-10.129
ACT_076,-9.144
ACT_078,-9.452
ACT_079,-8.317
ACT_082,-9.585
ACT_084,-9.163
ACT_087,-8.928
ACT_090,-8.259
ACT_091,-10.631
ACT_093,-9.291
ACT_094,-9.127
ACT_098,-9.343
ACT_100,-8.314
DEC_0001,-8.591
DEC_0002,-9.131
DEC_0003,-8.882
DEC_0005,-7.889
DEC_0006,-8.618
DEC_0007,-7.43
DEC_0008,-7.278
DEC_0009,-7.873
DEC_0011,-9.363
DEC_0056,-9.417
DEC_0057,-9.242
DEC_0058,-9.361
DEC_0060,-10.232
DEC_0066,-7.464
DEC_0068,-9.722
DEC_0069,-9.197
DEC_0070,-9.705
DEC_0072,-72.886
DEC_0073,-8.77
DEC_0076,-8.786
DEC_0077,-8.436
DEC_0078,-9.609
DEC_0079,-98.147
DEC_0081,-7.862
DEC_0083,-10.26
DEC_0084,-9.494
DEC_0085,-9.203
DEC_0087,-9.165
DEC_0090,-7.536
DEC_0164,-7.349
DEC_0165,6.535
DEC_0166,-11.993
DEC_0167,-7.437
DEC_0168,-8.019
DEC_0169,-145.361
DEC_0170,-66.155
DEC_0171,-49.865
DEC_0172,-96.752
DEC_0173,-9.78
DEC_0174,-9.781
DEC_0175,-8.314
DEC_0177,-8.275
DEC_0178,-7.208
DEC_0179,-7.678
DEC_0183,-8.685
DEC_0184,-13.332
DEC_0186,-7.719
DEC_0187,-7.779
DEC_0188,-8.514
DEC_0248,-9.946
DEC_0249,-9.57
DEC_0251,-8.249
DEC_0252,-7.254
DEC_0253,-7.502
DEC_0254,-3.537
DEC_0256,-7.885
DEC_0261,9.278
DEC_0263,-6.723
DEC_0265,-10.583
DEC_0268,-8.325
DEC_0274,-8.733
DEC_0275,-9.343
DEC_0277,-9.6
DEC_0278,-9.387
DEC_0279,-8.973
DEC_0283,-10.193
DEC_0284,-6.419
DEC_0286,-9.516
DEC_0289,-8.405
DEC_0290,-8.343
DEC_0293,-8.009
DEC_0294,-9.7
DEC_0295,-6.558
DEC_0297,-9.896
DEC_0303,-6.971
DEC_0304,15.189
DEC_0305,-8.422
DEC_0306,-8.59
DEC_0309,-8.751
DEC_0310,-9.359
DEC_0312,-10.325
DEC_0313,-68.345
DEC_0315,-9.552
DEC_0316,-8.149
DEC_0317,-7.295
DEC_0318,-6.839
DEC_0319,-7.728
DEC_0322,-9.349
DEC_0324,-7.95
DEC_0328,-9.515
DEC_0332,-5.977
DEC_0335,-8.202
DEC_0341,-6.063
DEC_0342,-8.641
DEC_0343,-8.632
DEC_0354,15.872
DEC_0355,27.475
DEC_0356,-2.095
DEC_0357,13.658
DEC_0358,-8.159
DEC_0364,9.857
DEC_0365,-0.787
DEC_0366,41.861
DEC_0367,54.661
DEC_0370,97.574
DEC_0371,-8.564
DEC_0372,-9.511
DEC_0374,-8.45
DEC_0376,-6.695
DEC_0377,-9.776
DEC_0379,-10.785
DEC_0380,14.605
DEC_0381,11.461
DEC_0382,-9.384
DEC_0383,-9.296
DEC_0384,23.917
DEC_0386,4.362
DEC_0387,-9.852
DEC_0388,-9.44
DEC_0390,-10.119
DEC_0391,-9.73
DEC_0392,-9.152
DEC_0394,-71.144
DEC_0395,29.716
DEC_0396,-9.236
DEC_0397,18.915
DEC_0398,-9.216
DEC_0399,-7.323
DEC_0401,65.133
DEC_0402,3.554
DEC_0406,-9.175
DEC_0409,-8.605
DEC_0417,-8.252
DEC_0418,-8.592
DEC_0420,-8.563
DEC_0421,9.824
DEC_0423,-8.358
DEC_0426,-8.95
DEC_0428,-8.871
DEC_0430,-8.196
DEC_0431,-7.986
DEC_0432,-7.948
DEC_0437,-9.638
DEC_0439,-8.295
DEC_0445,-7.812
DEC_0448,41.32
DEC_0449,7.909
DEC_0450,-7.062
DEC_0451,-8.861
DEC_0520,-6.489
DEC_0524,-5.611
DEC_0525,-7.009
DEC_0528,-6.916
DEC_0531,-6.91
DEC_0536,-7.728
DEC_0538,-7.023
DEC_0539,-7.168
DEC_0540,-6.619
DEC_0544,-5.464
DEC_0545,-6.88
DEC_0546,-6.179
DEC_0547,-7.659
DEC_0548,-8.295
DEC_0550,-7.592
DEC_0551,-7.511
DEC_0552,-7.548
DEC_0553,-7.98
DEC_0555,-8.847
DEC_0556,-7.76
DEC_0558,-5.551
DEC_0559,-7.212
DEC_0560,-6.146
DEC_0561,-8.686
DEC_0564,-8.929
DEC_0565,-9.56
DEC_0566,-10.985
DEC_0571,-8.042
DEC_0575,-7.916
DEC_0578,19.942
DEC_0580,-7.483
DEC_0582,-9.62
DEC_0583,-9.407
DEC_0584,-8.024
DEC_0586,-7.867
DEC_0588,-9.014
DEC_0589,-9.532
DEC_0594,-9.875
DEC_0595,-9.802
DEC_0596,-82.68
DEC_0599,-7.541
DEC_0600,-9.947
DEC_0601,-8.25
DEC_0602,-9.422
DEC_0604,-10.055
DEC_0605,-9.386
DEC_0607,-7.821
DEC_0609,-8.659
DEC_0611,-9.971
DEC_0612,-8.672
DEC_0614,-7.577
DEC_0615,-9.141
DEC_0617,-9.035
DEC_0618,-49.404
DEC_0619,-13.358
DEC_0620,-8.103
DEC_0621,-9.559
DEC_0625,-8.432
DEC_0628,-10.214
DEC_0633,-9.758
DEC_0752,-9.839
DEC_0754,-10.445
DEC_0755,-10.141
DEC_0756,-9.607
DEC_0757,-8.368
DEC_0758,-10.126
DEC_0759,-11.081
DEC_0760,-6.845
DEC_0762,-10.745
DEC_0763,-9.485
DEC_0764,-8.828
DEC_0765,-9.76
DEC_0771,-10.278
DEC_0772,-10.007
DEC_0774,-9.509
DEC_0775,-9.559
DEC_0777,-9.635
DEC_0778,-9.356
DEC_0779,-10.242
DEC_0780,-9.861
DEC_0815,-9.031
DEC_0816,-8.079
DEC_0817,-126.685
DEC_0818,-9.029
DEC_0819,-8.646
DEC_0820,-7.821
DEC_0821,-9.05
DEC_0822,-9.534
DEC_0823,-9.139
DEC_0826,-9.65
DEC_0827,-120.44
DEC_0829,7.424
DEC_0830,-7.84
DEC_0832,-10.994
DEC_0834,-99.604
DEC_0835,-7.887
DEC_0836,-119.369
DEC_0841,-9.783
DEC_0846,-8.509
DEC_0847,-7.184
DEC_0849,-8.94
DEC_0853,-7.777
DEC_0854,-10.023
DEC_0855,-8.706
DEC_0857,-9.552
DEC_0858,-10.059
DEC_0860,-9.079
DEC_0862,-8.45
DEC_0863,-9.194
DEC_0864,-9.443
DEC_0865,-9.816
DEC_0868,-9.118
DEC_0871,-10.368
DEC_0872,-9.872
DEC_0874,-10.473
DEC_0875,-9.128
DEC_0877,-8.781
DEC_0878,-10.164
DEC_0879,-10.995
DEC_0881,-8.629
DEC_0882,-8.849
DEC_0889,-8.68
DEC_0891,-10.763
DEC_0892,-10.321
DEC_0893,-10.184
DEC_0895,-8.925
DEC_0896,-9.666
DEC_0897,-8.959
DEC_0899,-9.902
DEC_0906,-9.636
DEC_0911,-8.733
DEC_0913,-7.975
DEC_0914,-7.957
DEC_0915,-7.858
DEC_0916,-8.057
DEC_0917,-8.502
DEC_0918,-8.736
DEC_0919,-9.621
DEC_0921,-7.512
DEC_0922,-7.374
DEC_0923,-187.974
DEC_0925,-8.858
DEC_0930,-9.523
DEC_0931,-8.594
DEC_0932,-10.365
DEC_0935,9.989
DEC_0936,-8.521
DEC_0937,-7.126
DEC_0939,-7.725
DEC_0940,-7.881
DEC_0941,-8.672
DEC_0945,-9.592
DEC_0947,-8.511
DEC_0948,-7.857
DEC_0949,-8.622
DEC_0950,-9.924
DEC_0953,-10.328
DEC_0954,-7.694
DEC_0960,-113.555
DEC_0961,-7.236
DEC_0994,-7.44
DEC_0995,-8.685
DEC_0996,-8.47
DEC_0998,-7.835
DEC_1000,-10.213
DEC_1002,-10.127
DEC_1004,-8.257
DEC_1005,-6.656
DEC_1008,-9.199
DEC_1010,-9.153
DEC_1021,-9.448
DEC_1022,-9.953
DEC_1025,-8.072
DEC_1031,-9.199
DEC_1032,-7.522
DEC_1033,-8.764
DEC_1035,-9.866
DEC_1036,-9.43
DEC_1038,-9.904
DEC_1044,-8.796
DEC_1049,-7.835
DEC_1052,-7.308
DEC_1056,-10.93
DEC_1057,-9.404
DEC_1060,-6.047
DEC_1062,-6.116
DEC_1063,-7.347
DEC_1064,-6.756
DEC_1065,-7.948
DEC_1066,-7.953
DEC_1071,-6.184
DEC_1073,-6.055
DEC_1074,-6.541
DEC_1075,9.738
DEC_1078,-196.912
DEC_1082,-5.473
DEC_1087,-7.591
DEC_1091,-8.406
DEC_1092,-9.789
DEC_1095,-9.442
DEC_1136,-9.339
DEC_1138,-7.309
DEC_1139,-9.54
DEC_1146,-9.319
