compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_001,CHEMBL1093219,CCN(C(=O)c1ccc2occc2c1)c1ccnc(N[C@@H](C)c2ccccc2)n1,7.15,IC50,386.45500000000004,5.062600000000004,1,5,6,71.26,29,0
ACT_002,CHEMBL3219383,N#Cc1c(-c2ccc(Cl)c(Cl)c2)cc(-c2ccc(Br)cc2)[nH]c1=N,6.92,IC50,419.109,5.769150000000003,2,2,2,63.43,24,0
ACT_003,CHEMBL372764,CCCCCCCCCCCCCCCCCCOP(=O)([O-])OC1CC[N+](C)(C)CC1,5.92,IC50,461.6680000000002,6.988300000000008,0,4,20,58.59,31,0
ACT_004,CHEMBL594602,Fc1ccc(Sc2ccc3nnc(C4CCNCC4)n3c2)c(F)c1,5.42,IC50,346.4060000000001,3.625700000000002,1,4,3,42.22,24,0
ACT_005,CHEMBL547,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,5.6,IC50,300.44200000000006,5.602600000000005,1,1,5,37.3,22,0
ACT_006,CHEMBL4872231,COc1ccc(C2=N/C(=C/c3ccc(O)cc3)C(=O)N2c2ccc(S(N)(=O)=O)cc2)cc1,6.85,IC50,449.48800000000017,2.8827000000000007,2,6,5,122.28999999999999,32,0
ACT_007,CHEMBL5619624,c1cc(-c2cccc3c(N4CCOCC4)nncc23)c2oncc2c1,9.22,IC50,332.363,3.2746000000000013,0,6,2,64.28,25,0
ACT_008,CHEMBL4802050,N#CN1CC[C@H](C(=O)Nc2nc3c(s2)CN(C(=O)CN=[N+]=[N-])CC3)C1,6.5,IC50,360.4030000000002,1.07958,1,7,4,138.09000000000003,25,0
ACT_009,CHEMBL563749,Nc1c(C(=O)c2ccccc2C(F)(F)F)cc[n+]([O-])c1-c1ccccc1Cl,5.78,IC50,392.764,4.472400000000002,1,3,3,70.03,27,0
ACT_010,CHEMBL4097778,CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21,6.0,IC50,458.5400000000003,1.1301999999999994,0,6,3,101.81000000000002,32,0
ACT_011,CHEMBL3260616,Cc1cccc(-c2[nH]c(CNc3cccc(C)c3C)nc2-c2ccc3ncnn3c2)n1,5.46,IC50,409.4970000000001,4.718760000000004,2,5,5,83.79,31,0
ACT_012,CHEMBL1078023,O=c1c(Br)c(OCc2ccc(Cl)cc2)ccn1Cc1ccc(F)cc1,5.72,IC50,422.6810000000001,5.030600000000003,0,2,5,31.23,25,0
ACT_013,CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,5.66,IC50,458.37500000000017,2.233199999999999,8,11,3,197.36999999999998,33,0
ACT_014,CHEMBL18520,CNC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,7.17,IC50,328.41600000000005,3.624220000000002,4,2,3,86.02000000000001,24,0
ACT_015,CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,7.06,IC50,406.90700000000004,6.609000000000001,2,2,2,40.46,21,0
ACT_016,CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,7.98,IC50,466.5410000000003,4.354000000000003,2,4,2,69.45,35,0
ACT_017,CHEMBL257342,Fc1ccccc1-c1ncoc1-c1ccc2ncsc2c1,7.33,IC50,296.326,4.757400000000002,0,4,2,38.92,21,0
ACT_018,CHEMBL1911342,Cc1ccc2c(N)noc2c1-c1ccc2c(c1)NC(=O)C21CCC(F)(F)CC1,8.92,IC50,383.39800000000025,4.784620000000002,2,4,1,81.15,28,0
ACT_019,CHEMBL1630578,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1,5.13,IC50,624.8739999999999,5.458300000000006,0,8,6,72.88000000000001,46,0
ACT_020,CHEMBL4645084,O=C(NCCN1CCOCC1)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)c(/C=N/NC(=O)c4cccs4)c3)cc1CC2,7.81,IC50,625.7260000000001,4.786300000000004,3,8,9,112.13,45,0
ACT_021,CHEMBL1973720,NC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,5.7,Ki,342.8340000000001,3.355100000000001,3,5,3,92.50999999999999,24,0
ACT_022,CHEMBL4637966,O=C(OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O)c1cc[nH]c1,6.06,IC50,361.314,-1.0760999999999996,4,8,4,155.35,26,0
ACT_023,CHEMBL1973359,NC(=O)c1ccc2nc(-c3ccc([N+](=O)[O-])o3)cn2c1,5.5,Ki,272.21999999999997,1.6014,1,5,3,116.67,20,0
ACT_024,CHEMBL601452,C[C@@H]1CN(C(C#N)c2ccc(F)cc2)[C@@H](C)CN1C(=O)c1cc2c(C(=O)C(=O)N(C)C)cn(C)c2cc1Cl,6.74,IC50,538.0230000000004,4.041380000000004,0,5,5,89.64999999999998,38,0
ACT_025,CHEMBL3314282,O=C(O)c1cc(-c2nc(-c3ccc(F)cc3)c(-c3cc[nH]c(=O)c3)[nH]2)ccc1O,5.17,IC50,391.35800000000006,3.641900000000002,4,4,4,119.06999999999998,29,0
