molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,290.0,nM,6.54,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL143370,C[S+]([O-])c1cccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)c1,IC50,2100.0,nM,5.68,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL111456,C[S+]([O-])c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,4000.0,nM,5.4,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL143007,Oc1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,5700.0,nM,5.24,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL359380,C[S+]([O-])c1ccc(CCCSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,750.0,nM,6.12,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL142891,CSc1cc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)ccc1O,IC50,3800.0,nM,5.42,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL356983,C[S+]([O-])c1ccc(CSc2nc(-c3ccc(Br)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,3800.0,nM,5.42,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL358042,C[S+]([O-])c1ccc(CSc2nc(-c3ccc(Cl)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,1400.0,nM,5.85,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL87858,Fc1ccc(-c2[nH]c(CCc3ccccc3)nc2-c2ccncc2)cc1,IC50,690.0,nM,6.16,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL113419,CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,IC50,630.0,nM,6.2,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL357648,CSc1cccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)c1,IC50,2300.0,nM,5.64,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL142841,C[S+]([O-])c1cc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)ccc1O,IC50,3400.0,nM,5.47,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL356485,C[S+]([O-])c1ccc(CCSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,IC50,1500.0,nM,5.82,CHEMBL732625,B,Inhibition of Mitogen-activated protein kinase p38 (P38 MAPK),CHEMBL1135626,2002
CHEMBL96565,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(C4CC4)CC3)cc2N1c1c(Cl)cccc1Cl,IC50,1.1,nM,8.96,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL419140,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(C4CCC4)CC3)cc2N1c1c(Cl)cccc1Cl,IC50,0.4,nM,9.4,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL97579,COC(=O)c1cc(-c2ccc(C)cc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,44.0,nM,7.36,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL96763,O=C1NCc2c(-c3ccccc3Cl)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,IC50,0.9,nM,9.05,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
