compound_id,score
DEC_3272,0.0
DEC_0787,-7.317
DEC_1955,-8.75
DEC_4312,0.0
DEC_0918,0.0
DEC_0472,0.0
DEC_1643,-8.866
DEC_3243,-8.116
DEC_1376,0.0
DEC_1362,0.0
DEC_0978,0.0
DEC_0393,0.0
DEC_0319,-8.857
DEC_4179,-9.408
DEC_0494,0.0
DEC_2130,-6.888
DEC_0601,-8.157
DEC_4635,-8.86
DEC_0122,0.0
DEC_2019,-8.997
DEC_3402,0.0
DEC_1582,0.0
DEC_4482,-8.554
DEC_3236,-5.767
DEC_2169,-7.906
DEC_1576,0.0
DEC_3678,-8.39
DEC_3569,0.0
DEC_3797,0.0
DEC_0374,-7.973
DEC_2463,-8.52
DEC_2240,0.0
DEC_0700,0.0
DEC_1805,-9.118
DEC_1734,-8.514
DEC_4277,0.0
DEC_1674,-8.936
DEC_3969,-10.324
DEC_4217,0.0
DEC_3909,-9.197
DEC_2698,-7.852
DEC_1175,-7.185
DEC_0878,0.0
DEC_4470,-7.892
DEC_2176,-6.754
DEC_0896,0.0
DEC_0446,0.0
DEC_2641,0.0
DEC_4103,-7.244
DEC_1565,0.0
DEC_3450,-8.675
DEC_1069,-9.397
DEC_1095,0.0
DEC_1237,-9.561
DEC_0195,0.0
DEC_3016,-8.347
DEC_1881,-9.415
DEC_0350,-7.353
DEC_2942,0.0
DEC_1006,-5.618
DEC_4236,-9.546
DEC_3548,-9.322
DEC_1562,0.0
DEC_2013,-9.136
DEC_1920,-9.132
DEC_2606,-8.964
ACT_033,-9.472
DEC_1996,-9.862
DEC_4014,-8.322
DEC_1276,-8.02
DEC_3545,-10.121
DEC_1675,-7.362
DEC_2464,-7.846
DEC_4837,-8.147
ACT_048,-11.61
DEC_4360,0.0
DEC_4776,0.0
DEC_2016,-8.814
DEC_3486,0.0
DEC_4255,-8.524
DEC_3418,0.0
DEC_2052,-8.908
DEC_4607,-8.313
DEC_2174,-7.063
DEC_0600,-9.179
DEC_0020,0.0
DEC_1569,0.0
DEC_3952,0.0
DEC_3647,-7.774
DEC_2809,-8.668
DEC_1632,-9.558
DEC_0044,0.0
DEC_0332,0.0
DEC_4405,0.0
DEC_4608,-9.35
DEC_4069,-9.917
DEC_4379,-10.984
DEC_1062,-7.892
DEC_4390,-7.351
DEC_1550,0.0
DEC_4032,0.0
DEC_0336,0.0
DEC_3924,-7.845
DEC_1048,-5.396
DEC_0277,-9.709
DEC_2460,0.0
DEC_4539,0.0
DEC_1452,-7.249
DEC_3157,-7.841
DEC_2720,0.0
DEC_2031,-5.798
DEC_1916,-8.811
DEC_0869,0.0
DEC_1953,-8.604
DEC_1516,-10.167
DEC_4375,-8.506
DEC_4726,0.0
DEC_0238,0.0
DEC_3116,0.0
DEC_3786,0.0
DEC_0643,-9.104
DEC_0212,-8.492
DEC_4782,0.0
DEC_3411,0.0
DEC_4743,0.0
DEC_0152,0.0
DEC_0289,0.0
DEC_0222,-9.05
DEC_1672,-8.821
