compound_id,score
DEC_3272,0.0
DEC_0787,0.0
DEC_1955,-7.72
DEC_4312,0.0
DEC_0918,133.59
DEC_0472,-8.266
DEC_1643,-8.824
DEC_3243,0.0
DEC_1376,0.0
DEC_1362,0.0
DEC_0978,0.0
DEC_0393,0.0
DEC_0319,-9.643
DEC_4179,-9.375
DEC_0494,0.0
DEC_2130,0.0
DEC_0601,-8.446
DEC_4635,-9.384
DEC_0122,0.0
DEC_2019,0.0
DEC_3402,34.102
DEC_1582,-8.721
DEC_4482,-8.283
DEC_3236,-6.495
DEC_2169,0.0
DEC_1576,0.0
DEC_3678,0.0
DEC_3569,-8.673
DEC_3797,0.0
DEC_0374,-8.581
DEC_2463,0.0
DEC_2240,-41.238
DEC_0700,0.0
DEC_1805,0.0
DEC_1734,-8.679
DEC_4277,0.0
DEC_1674,0.0
DEC_3969,0.0
DEC_4217,-9.311
DEC_3909,0.0
DEC_2698,0.0
DEC_1175,-7.511
DEC_0878,0.0
DEC_4470,-8.064
DEC_2176,0.0
DEC_0896,0.0
DEC_0446,-8.43
DEC_2641,-9.556
DEC_4103,-7.104
DEC_1565,-9.624
DEC_3450,0.0
DEC_1069,-11.264
DEC_1095,0.0
DEC_1237,0.0
DEC_0195,0.0
DEC_3016,-9.287
DEC_1881,0.0
DEC_0350,0.0
DEC_2942,-10.226
DEC_1006,0.0
DEC_4236,0.0
DEC_3548,-9.346
DEC_1562,0.0
DEC_2013,0.0
DEC_1920,0.0
DEC_2606,-8.374
ACT_033,-9.603
DEC_1996,0.0
DEC_4014,-8.081
DEC_1276,-8.516
DEC_3545,0.0
DEC_1675,0.0
DEC_2464,0.0
DEC_4837,-7.209
ACT_048,-11.985
DEC_4360,-9.054
DEC_4776,-7.845
DEC_2016,-8.537
DEC_3486,-8.078
DEC_4255,0.0
DEC_3418,0.0
DEC_2052,0.0
DEC_4607,-9.078
DEC_2174,0.0
DEC_0600,0.0
DEC_0020,0.0
DEC_1569,-8.631
DEC_3952,0.0
DEC_3647,0.0
DEC_2809,0.0
DEC_1632,-9.247
DEC_0044,0.0
DEC_0332,0.0
DEC_4405,-8.286
DEC_4608,0.0
DEC_4069,0.0
DEC_4379,0.0
DEC_1062,0.0
DEC_4390,0.0
DEC_1550,-9.074
DEC_4032,-7.719
DEC_0336,0.0
DEC_3924,0.0
DEC_1048,0.0
DEC_0277,0.0
DEC_2460,34.037
DEC_4539,-8.325
DEC_1452,0.0
DEC_3157,0.0
DEC_2720,0.0
DEC_2031,0.0
DEC_1916,0.0
DEC_0869,0.0
DEC_1953,0.0
DEC_1516,0.0
DEC_4375,-8.829
DEC_4726,0.0
DEC_0238,0.0
DEC_3116,0.0
DEC_3786,0.0
DEC_0643,-9.944
DEC_0212,0.0
DEC_4782,-9.736
DEC_3411,0.0
DEC_4743,0.0
DEC_0152,0.0
DEC_0289,0.0
DEC_0222,-9.189
DEC_1672,-8.585
DEC_0018,-9.079
DEC_1230,0.0
DEC_0831,-10.964
DEC_3047,-8.489
DEC_3583,0.0
DEC_0294,-7.888
DEC_0047,0.0
DEC_4313,0.0
DEC_4810,-8.899
DEC_1889,0.0
DEC_0932,0.0
DEC_0617,0.0
DEC_3319,-10.19
DEC_1778,-10.139
DEC_3055,0.0
DEC_1543,16.982
DEC_0966,0.0
DEC_0197,0.0
DEC_4007,-6.875
DEC_2093,0.0
DEC_0909,0.0
DEC_3019,-8.329
DEC_1731,-9.461
DEC_0103,0.0
ACT_089,0.0
DEC_2731,0.0
DEC_1024,0.0
DEC_3448,0.0
DEC_0830,0.0
DEC_1655,-9.288
DEC_3458,0.0
DEC_2805,0.0
DEC_2963,-9.005
DEC_2675,0.0
DEC_2044,-9.443
DEC_0444,0.0
DEC_2748,-11.771
DEC_1619,0.0
DEC_3669,0.0
DEC_4004,-7.629
DEC_2404,0.0
DEC_0126,0.0
DEC_4403,-10.863
DEC_0194,0.0
DEC_0992,-6.866
DEC_3803,0.0
DEC_3723,0.0
DEC_3048,-8.497
DEC_4038,0.0
DEC_0975,0.0
DEC_1290,0.0
DEC_4017,-7.491
DEC_0990,0.0
DEC_1488,-9.144
DEC_1914,0.0
DEC_1016,0.0
DEC_2862,-9.397
DEC_4169,-7.492
DEC_4816,0.0
DEC_1269,-9.858
DEC_4477,-7.996
DEC_4730,-9.134
ACT_041,0.0
ACT_016,-10.536
DEC_1375,0.0
DEC_0797,-9.021
DEC_3210,0.0
DEC_0452,0.0
ACT_043,0.0
DEC_3737,-8.891
DEC_3871,0.0
DEC_4118,-7.72
DEC_3398,0.0
