compound_id,score
ACT_003,-7.582
ACT_005,-9.283
ACT_006,-8.47
ACT_008,-8.085
ACT_009,-9.654
ACT_013,-8.963
ACT_015,-7.037
ACT_019,-11.32
ACT_020,22.352
ACT_023,-8.391
ACT_024,-9.244
ACT_027,-9.903
ACT_028,-8.916
ACT_029,-11.243
ACT_031,-8.724
ACT_035,-9.16
ACT_036,-8.66
ACT_037,-8.318
ACT_039,-9.509
ACT_040,-9.936
ACT_041,-9.862
ACT_043,-9.371
ACT_047,-7.834
ACT_049,-10.04
ACT_055,-9.869
ACT_059,-9.985
ACT_062,-10.915
ACT_064,-9.999
ACT_065,-10.799
ACT_067,-10.566
ACT_068,-7.638
ACT_072,-11.841
ACT_079,-11.922
ACT_088,-10.279
ACT_089,-7.691
ACT_096,-9.954
ACT_097,-9.942
ACT_099,-9.498
DEC_0001,-8.48
DEC_0002,-6.401
DEC_0003,-6.558
DEC_0004,24.508
DEC_0005,-8.106
DEC_0006,38.1
DEC_0007,-9.735
DEC_0008,-8.206
DEC_0009,-8.766
DEC_0010,-8.087
DEC_0011,-8.773
DEC_0012,-9.416
DEC_0013,-8.963
DEC_0014,-8.702
DEC_0015,-7.842
DEC_0016,-50.647
DEC_0017,-8.049
DEC_0020,-8.892
DEC_0021,-8.139
DEC_0022,-9.055
DEC_0027,-9.418
DEC_0029,-6.229
DEC_0065,-104.413
DEC_0067,-9.543
DEC_0069,-8.309
DEC_0070,-8.607
DEC_0073,-11.137
DEC_0076,-8.987
DEC_0077,-9.758
DEC_0078,-10.439
DEC_0080,-8.087
DEC_0081,-8.586
DEC_0086,-9.057
DEC_0087,-8.179
DEC_0093,-8.843
DEC_0101,-8.068
DEC_0102,-7.681
DEC_0103,-7.884
DEC_0104,-7.992
DEC_0105,-7.023
DEC_0106,-7.172
DEC_0107,-7.877
DEC_0108,-7.691
DEC_0109,-7.967
DEC_0110,-7.574
DEC_0111,-7.761
DEC_0112,-7.93
DEC_0113,-7.586
DEC_0114,-8.108
DEC_0115,-8.193
DEC_0116,-8.025
DEC_0117,-8.146
DEC_0118,-7.743
DEC_0119,-8.407
DEC_0120,-8.734
DEC_0121,-7.979
DEC_0122,-7.348
DEC_0123,-7.488
DEC_0124,-7.826
DEC_0125,-7.959
DEC_0126,-7.673
DEC_0127,-7.616
DEC_0128,-7.817
DEC_0129,-8.001
DEC_0130,-8.333
DEC_0131,-7.747
DEC_0132,-7.953
DEC_0137,-9.048
DEC_0138,-9.097
DEC_0139,-9.844
DEC_0140,-7.284
DEC_0141,-9.826
DEC_0142,-9.811
DEC_0144,-7.934
DEC_0146,-8.496
DEC_0149,28.786
DEC_0150,-9.815
DEC_0152,15.983
DEC_0153,88.434
DEC_0154,-6.46
DEC_0155,-9.188
DEC_0159,-7.914
DEC_0161,10.566
DEC_0168,-7.856
DEC_0169,-8.347
DEC_0170,-6.083
DEC_0171,-8.331
DEC_0173,-7.707
DEC_0176,-6.812
DEC_0180,-50.464
DEC_0181,-8.225
DEC_0183,28.472
DEC_0185,-6.7
DEC_0187,-9.443
DEC_0189,-7.116
DEC_0190,-7.399
DEC_0191,-8.289
DEC_0192,-8.259
DEC_0193,-8.78
