compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_001,CHEMBL126096,N=C(N)NOCCCOc1cc(Cl)cc(C(=O)N(CCc2ccncc2)CC2CC2)c1,7.28,Ki,445.9510000000003,3.0134700000000008,3,5,12,113.56,31,0
ACT_002,CHEMBL161254,O=c1oc(-c2ccccc2[N+](=O)[O-])nc2ccccc12,6.94,IC50,268.228,2.7632000000000003,0,5,2,86.24,20,0
ACT_003,CHEMBL404515,Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1,8.11,Kd,287.247,2.908900000000001,5,5,1,112.45,21,1
ACT_004,CHEMBL298756,CN(C)S(=O)(=O)N=C(N)N,5.92,Ki,166.206,-1.9337999999999989,2,2,2,101.78,10,0
ACT_005,CHEMBL3715692,COc1cc(OCc2csc(N3CCN(c4ccc(C)cn4)CC3)n2)c2cc(-c3cn4nc(C)ccc4n3)oc2c1,5.63,IC50,567.6750000000002,5.525040000000005,0,10,7,94.05000000000001,41,0
ACT_006,CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,7.32,Ki,217.28999999999996,0.6279000000000001,2,3,3,57.61,14,0
ACT_007,CHEMBL1524061,COC(=O)c1n[nH]c(NC(=O)C(C)(C)C)n1,5.84,IC50,226.236,0.5758999999999994,2,5,2,96.96999999999998,16,0
ACT_008,CHEMBL1462956,CCOC(=O)CSC1=N/C(=C/c2ccc(-n3cncn3)cc2)C(=O)N1C(C)=O,6.03,IC50,399.43200000000013,1.6492,0,8,5,106.75,28,0
ACT_009,CHEMBL48016,Nc1cc[n+](Cc2ccc(OC(c3ccccc3)c3ccccc3)cc2)cc1,7.24,Ki,367.47200000000004,4.773000000000004,1,2,6,39.129999999999995,28,1
ACT_010,CHEMBL4518749,CC1=C2CC(=O)NCc3cc(Cl)ccc3CNC(=O)OCOC(=O)c3cccc(c3)CNN(CC1)C2=O,6.7,Ki,526.9770000000004,2.9540000000000006,3,7,0,126.07000000000002,37,0
ACT_011,CHEMBL355576,CC(C)c1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,6.05,Ki,513.4550000000002,5.315000000000003,2,6,5,116.79,37,0
ACT_012,CHEMBL221542,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,6.57,Ki,414.7180000000003,8.02480000000001,1,1,6,20.23,30,0
ACT_013,CHEMBL48608,Cc1cc(Br)c(O)c(-c2cc3cc(C(=N)N)ccc3[nH]2)c1,6.75,Ki,344.21200000000005,3.8954900000000015,4,2,2,85.88999999999999,21,0
ACT_014,CHEMBL102115,C=CC[C@@H]1C(=O)O[C@H]2CCC[C@@H]21,7.01,IC50,166.21999999999997,1.9042,0,2,2,26.3,12,0
ACT_015,CHEMBL416754,O=C(Cn1c(Cl)cnc(NCC(F)(F)c2cccc[n+]2[O-])c1=O)NCc1cccc(Cl)c1Cl,8.7,Ki,518.7350000000002,3.3572000000000015,2,5,8,102.96000000000001,33,0
ACT_016,CHEMBL22886,CN(CC(=O)N[C@@H](CCCCN)B(O)O)C(=O)c1ccccc1Sc1ccccc1,8.8,Ki,429.3510000000001,1.5355999999999999,4,6,11,115.89000000000001,30,0
ACT_017,CHEMBL3196672,NC(=O)/C(=N\OC(=O)c1ccco1)c1nc(-c2ccc(Br)cc2)cs1,6.03,IC50,420.244,3.2120000000000015,1,7,5,107.78,25,0
ACT_018,CHEMBL275206,Oc1ccc2c(Cc3ccc(CN4CCCC4)c(Br)c3)c(-c3ccc(OCCN4CCCC4)cc3)sc2c1,8.68,Ki,591.6150000000004,7.6976000000000075,1,5,9,35.940000000000005,38,0
ACT_019,CHEMBL502639,CO[C@H](COS(=O)(=O)[O-])C(=O)N[C@H](CC(C)C)C(=O)N1[C@H](C(=O)NCCC2=CC[N+](=C(N)N)C2)C[C@@H]2C[C@H](O)[C@@H](O)C[C@@H]21,7.34,IC50,632.7370000000003,-3.1573999999999955,6,10,13,249.67999999999998,43,0
ACT_020,CHEMBL1580712,CCCCN1C(=O)NC(=O)C2(Cc3c(nc4ccccn4c3=O)N3CCc4ccccc4C32)C1=O,5.27,IC50,471.5170000000002,2.2192999999999996,1,6,3,104.09,35,0
ACT_021,CHEMBL1450585,CS(=O)(=O)Nc1cccc(C(=O)CC2(O)C(=O)Nc3ccc(Br)cc32)c1,6.28,IC50,439.2870000000001,2.2333,3,5,5,112.57,26,0
