molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL117716,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc3ccccc3n2)NS(=O)(=O)Cc2ccccc2)C1O,IC50,1270.0,nM,5.9,CHEMBL815798,B,In vitro inhibition of human Thrombin (FIIa).,CHEMBL1131910,1999
CHEMBL369583,CC(=N)N1CCC(Oc2ccc3nc(CCC(=O)O)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,2670.0,nM,5.57,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL176744,CC(=N)N1CCC(Oc2ccc3c(c2)nc(C(C)C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,Ki,870.0,nM,6.06,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL367476,CCC(C)c1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,2300.0,nM,5.64,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL50117,CCN(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C1CCCCC1,IC50,890.0,nM,6.05,CHEMBL816447,B,In vitro for the inhibition of thrombin,CHEMBL1132927,2000
CHEMBL366405,COC(=O)C(C)CN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,Ki,5000.0,nM,5.3,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL108952,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](CO)c1ccccc1,IC50,19.0,nM,7.72,CHEMBL649726,B,Concentration required to inhibit Human alpha-thrombin was determined,CHEMBL1134950,2002
CHEMBL3142655,COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc(OC)c1,IC50,50.0,nM,7.3,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
CHEMBL176640,CCCCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,2000.0,nM,5.7,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL366855,COC(=O)CCCN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,Ki,6000.0,nM,5.22,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
