compound_id,score
DEC_0009,-7.279
DEC_2078,-8.615
DEC_3927,0.0
DEC_3382,0.0
DEC_4107,-8.084
DEC_3226,-6.355
DEC_1778,0.0
DEC_2216,0.0
DEC_0049,-6.295
DEC_2203,0.0
DEC_1429,-5.444
DEC_3064,0.0
DEC_1675,0.0
DEC_0907,0.0
DEC_2674,0.0
DEC_2787,0.0
DEC_1468,-6.032
DEC_0454,0.0
DEC_1113,-7.586
DEC_1165,0.0
DEC_3699,-8.302
DEC_0835,-7.544
DEC_3475,0.0
DEC_2893,0.0
DEC_0954,0.0
DEC_0960,0.0
DEC_0616,0.0
DEC_0690,-7.02
DEC_3121,0.0
DEC_3573,-5.941
DEC_0346,0.0
DEC_1515,0.0
DEC_2089,0.0
DEC_0029,-7.712
DEC_3326,-7.945
DEC_0032,-6.103
DEC_1751,0.0
DEC_0387,0.0
DEC_1507,0.0
DEC_1101,-8.986
DEC_2799,-7.1
DEC_1454,-5.036
DEC_1974,-6.664
DEC_2593,-7.394
DEC_4029,-8.54
DEC_2550,0.0
DEC_3816,-6.947
DEC_0937,0.0
DEC_0133,0.0
DEC_3028,-6.982
DEC_0520,-6.232
DEC_1367,-7.655
DEC_3596,0.0
DEC_0242,-5.639
DEC_4032,-7.306
DEC_1269,0.0
DEC_2539,-6.997
DEC_1003,0.0
DEC_1437,-5.783
DEC_3414,0.0
DEC_3774,0.0
DEC_4042,0.0
DEC_0148,-8.407
DEC_1992,-7.357
DEC_0332,0.0
DEC_3439,0.0
DEC_4071,0.0
DEC_2966,-6.096
DEC_3330,-7.607
DEC_1966,-7.256
DEC_3494,0.0
DEC_4100,0.0
DEC_2805,-8.032
DEC_1194,-6.664
DEC_1928,0.0
DEC_0657,0.0
DEC_0850,-7.615
DEC_1077,-8.299
DEC_2273,0.0
DEC_1895,-8.419
DEC_2477,0.0
DEC_1148,0.0
ACT_074,-6.922
DEC_0969,0.0
DEC_0360,0.0
DEC_2950,-8.075
DEC_3476,0.0
DEC_4195,-4.876
DEC_1143,0.0
DEC_1176,0.0
DEC_0676,-8.49
DEC_4053,0.0
DEC_1337,-8.81
DEC_3213,-6.763
DEC_1853,-7.334
DEC_4168,-6.055
DEC_2669,0.0
DEC_2827,-8.071
DEC_1631,-7.943
DEC_2894,0.0
DEC_2527,-8.529
DEC_3385,0.0
DEC_3344,-8.453
DEC_4267,-7.151
