compound_id,score
DEC_0009,0.0
DEC_2078,0.0
DEC_3927,0.0
DEC_3382,0.0
DEC_4107,-8.366
DEC_3226,-5.855
DEC_1778,0.0
DEC_2216,0.0
DEC_0049,-5.987
DEC_2203,0.0
DEC_1429,-5.193
DEC_3064,0.0
DEC_1675,0.0
DEC_0907,0.0
DEC_2674,0.0
DEC_2787,-6.518
DEC_1468,0.0
DEC_0454,0.0
DEC_1113,0.0
DEC_1165,0.0
DEC_3699,-7.885
DEC_0835,-7.71
DEC_3475,0.0
DEC_2893,-5.563
DEC_0954,0.0
DEC_0960,0.0
DEC_0616,-7.9
DEC_0690,-7.265
DEC_3121,0.0
DEC_3573,0.0
DEC_0346,-7.831
DEC_1515,0.0
DEC_2089,-6.22
DEC_0029,0.0
DEC_3326,-8.85
DEC_0032,-6.705
DEC_1751,-9.101
DEC_0387,-7.738
DEC_1507,-6.281
DEC_1101,-8.676
DEC_2799,-6.492
DEC_1454,0.0
DEC_1974,-7.006
DEC_2593,-7.337
DEC_4029,0.0
DEC_2550,-7.316
DEC_3816,0.0
DEC_0937,0.0
DEC_0133,0.0
DEC_3028,-6.731
DEC_0520,0.0
DEC_1367,0.0
DEC_3596,-6.508
DEC_0242,0.0
DEC_4032,0.0
DEC_1269,0.0
DEC_2539,-8.674
DEC_1003,0.0
DEC_1437,0.0
DEC_3414,0.0
DEC_3774,0.0
DEC_4042,0.0
DEC_0148,-8.017
DEC_1992,0.0
DEC_0332,0.0
DEC_3439,0.0
DEC_4071,0.0
DEC_2966,-5.531
DEC_3330,-8.125
DEC_1966,0.0
DEC_3494,0.0
DEC_4100,-6.266
DEC_2805,0.0
DEC_1194,-7.066
DEC_1928,-6.609
DEC_0657,-6.746
DEC_0850,0.0
DEC_1077,-8.224
DEC_2273,0.0
DEC_1895,-7.539
DEC_2477,0.0
DEC_1148,-1.433
ACT_074,0.0
DEC_0969,-8.774
DEC_0360,-7.423
DEC_2950,-8.642
DEC_3476,-6.658
DEC_4195,-4.793
DEC_1143,0.0
DEC_1176,0.0
DEC_0676,0.0
DEC_4053,0.0
DEC_1337,-8.604
DEC_3213,0.0
DEC_1853,-7.026
DEC_4168,-6.08
DEC_2669,0.0
DEC_2827,0.0
DEC_1631,0.0
DEC_2894,-6.924
DEC_2527,0.0
DEC_3385,0.0
DEC_3344,0.0
DEC_4267,0.0
DEC_0795,0.0
DEC_3538,0.0
DEC_2954,0.0
DEC_4051,0.0
DEC_3336,0.0
DEC_2375,0.0
DEC_1552,0.0
DEC_1311,57.745
DEC_4196,-6.589
DEC_2834,0.0
DEC_1062,0.0
DEC_1681,0.0
DEC_2296,0.0
DEC_0280,0.0
DEC_2833,0.0
DEC_0972,0.0
DEC_0364,-7.375
DEC_1781,-63.353
DEC_0727,0.0
DEC_1794,-7.454
DEC_0445,0.0
DEC_2650,-7.29
DEC_1799,-7.421
DEC_1270,-7.705
DEC_1347,0.0
DEC_2552,-7.687
DEC_0113,-7.966
DEC_1563,0.0
DEC_4085,0.0
DEC_1567,0.0
DEC_4262,0.0
DEC_0263,0.0
DEC_0458,0.0
DEC_0573,0.0
DEC_0085,0.0
DEC_3354,-8.245
DEC_1445,0.0
DEC_3854,-7.608
DEC_2429,0.0
DEC_2290,-7.284
ACT_099,0.0
DEC_3551,-6.302
DEC_2247,0.0
DEC_2389,-8.481
DEC_3892,0.0
DEC_2488,0.0
DEC_3458,0.0
ACT_064,0.0
DEC_0358,0.0
DEC_1723,0.0
DEC_2878,-6.728
DEC_1182,0.0
DEC_3799,0.0
DEC_3512,0.0
DEC_4214,0.0
DEC_3975,0.0
DEC_3482,0.0
DEC_4069,-7.322
DEC_1965,0.0
DEC_3635,0.0
DEC_4253,0.0
DEC_4218,0.0
DEC_4154,0.0
DEC_2166,0.0
DEC_2628,-6.45
DEC_3109,0.0
DEC_4004,0.0
DEC_0893,-6.116
DEC_2044,4.46
DEC_0385,0.0
DEC_1317,0.0
DEC_4064,0.0
DEC_1536,-6.863
DEC_3137,-8.268
DEC_1203,0.0
DEC_3800,-7.565
DEC_1158,0.0
DEC_0316,0.0
DEC_1735,0.0
DEC_0455,0.0
DEC_3306,0.0
DEC_0095,-6.314
DEC_1304,-53.879
DEC_3038,-6.427
DEC_2820,0.0
DEC_1790,-7.706
DEC_2971,0.0
DEC_3819,0.0
DEC_2029,-26.757
DEC_0165,-6.725
DEC_0536,0.0
DEC_1455,0.0
DEC_0067,0.0
DEC_1149,0.0
DEC_3533,-7.156
DEC_3536,0.0
DEC_1668,-8.0
DEC_1608,-8.881
DEC_3017,0.0
DEC_0999,0.0
DEC_0379,0.0
DEC_0733,0.0
DEC_3392,0.0
DEC_0922,0.0
DEC_0238,-6.215
DEC_3238,-6.377
DEC_0706,-7.736
DEC_3840,0.0
DEC_1666,0.0
DEC_2193,-7.175
DEC_3063,0.0
DEC_3270,0.0
DEC_0468,0.0
DEC_1234,0.0
DEC_0830,-7.709
DEC_1115,-5.724
ACT_038,0.268
DEC_4183,-5.623
DEC_2034,-0.401
DEC_1888,-6.236
DEC_3913,-8.844
DEC_2708,0.0
DEC_3257,0.0
DEC_3365,-5.901
DEC_0160,-5.173
DEC_2424,0.0
DEC_2153,-6.34
DEC_1417,-5.524
DEC_2652,-7.103
DEC_2364,-7.024
DEC_2986,-6.465
DEC_3670,0.0
DEC_2700,-77.987
DEC_2762,-5.635
ACT_006,0.0
DEC_3639,-7.644
DEC_4041,-7.027
DEC_2006,0.0
DEC_1279,0.0
DEC_2985,-6.76
DEC_0195,0.0
DEC_3600,0.0
DEC_3613,0.0
DEC_1553,0.0
DEC_0262,0.0
DEC_1502,-6.183
DEC_0190,0.0
DEC_2280,-6.461
DEC_1184,-7.187
DEC_0955,-8.763
DEC_1797,-7.372
DEC_1439,0.0
DEC_3505,0.0
DEC_3942,0.0
DEC_1091,0.0
DEC_2487,0.0
DEC_3647,-6.776
DEC_1419,-6.012
DEC_4178,0.0
DEC_0220,-5.806
DEC_2265,0.0
DEC_0920,-5.887
DEC_3431,0.0
DEC_1618,-8.521
DEC_3478,0.0
DEC_1859,0.0
DEC_1787,-7.891
DEC_3430,0.0
ACT_082,0.0
DEC_3792,0.0
DEC_3185,-6.658
DEC_3817,0.0
DEC_0142,-7.35
ACT_030,0.0
DEC_0600,0.0
DEC_2401,-6.047
DEC_0013,0.0
DEC_3443,0.0
DEC_2939,-8.348
DEC_1483,0.0
DEC_0722,-7.563
DEC_1903,0.0
DEC_3244,0.0
DEC_2236,0.0
DEC_2460,-7.368
DEC_2748,0.0
DEC_3406,0.0
DEC_3015,0.0
DEC_2032,0.0
DEC_0222,0.0
DEC_3560,-6.137
DEC_1630,0.0
DEC_3252,0.0
DEC_1122,-6.147
DEC_2891,0.0
DEC_0634,0.0
DEC_3666,0.0
DEC_0097,-6.433
DEC_2108,-6.611
DEC_1863,0.0
DEC_0253,0.0
DEC_0540,-6.589
DEC_1920,0.0
DEC_0701,0.0
