compound_id,score
ACT_098,-7.163
ACT_099,-6.462
DEC_0001,-6.29
DEC_0002,-5.902
DEC_0003,-7.462
DEC_0004,-6.881
DEC_0005,-5.497
DEC_0006,-6.094
DEC_0007,-6.516
DEC_0008,-6.363
DEC_0009,-7.129
DEC_0010,-6.921
DEC_0011,-7.157
DEC_0012,-7.58
DEC_0013,-6.435
DEC_0014,-6.901
DEC_0015,-6.919
DEC_0016,-7.25
DEC_0017,-6.659
DEC_0018,-7.333
DEC_0019,-7.284
DEC_0020,-7.565
DEC_0021,-6.401
DEC_0022,-6.837
DEC_0023,-5.452
DEC_0025,-7.251
DEC_0026,-7.124
DEC_0027,-6.264
DEC_0028,-6.25
DEC_0029,-6.933
DEC_0030,-7.388
DEC_0033,-5.684
DEC_0034,-6.528
DEC_0035,-7.574
DEC_0036,-7.234
DEC_0037,-7.091
DEC_0038,-6.547
DEC_0039,-6.696
DEC_0041,-7.196
DEC_0042,-6.995
DEC_0043,-6.649
DEC_0044,-7.426
DEC_0045,-6.876
DEC_0046,-7.405
DEC_0050,-6.688
DEC_0051,-5.151
DEC_0052,-4.723
DEC_0053,-6.208
DEC_0058,-44.384
DEC_0059,-28.07
DEC_0060,-4.805
DEC_0061,-5.862
DEC_0062,-6.348
DEC_0064,-5.671
DEC_0065,-5.678
DEC_0067,-2.543
DEC_0071,-5.95
DEC_0075,-3.197
DEC_0076,-15.022
DEC_0078,-6.202
DEC_0080,-4.732
DEC_0081,-5.231
DEC_0082,-6.186
DEC_0083,-4.405
DEC_0085,-6.426
DEC_0086,-6.161
DEC_0087,-6.052
DEC_0089,-6.464
DEC_0090,-6.875
DEC_0094,-6.316
DEC_0099,-8.218
DEC_0100,-8.268
DEC_0101,-7.049
DEC_0102,-6.723
DEC_0103,-7.087
DEC_0111,-7.502
DEC_0112,-6.581
DEC_0114,-9.145
DEC_0115,-136.966
DEC_0119,-7.201
DEC_0144,-7.369
DEC_0145,-147.754
DEC_0146,-8.665
DEC_0147,-8.852
DEC_0149,-7.383
DEC_0150,-6.732
DEC_0152,-29.931
DEC_0153,-6.416
DEC_0154,-4.106
DEC_0155,-5.111
DEC_0156,-5.753
DEC_0157,-6.649
DEC_0158,-48.349
DEC_0159,-6.621
DEC_0161,-4.519
DEC_0162,-6.613
DEC_0163,-6.436
DEC_0164,-6.196
DEC_0168,-4.791
DEC_0174,-6.595
DEC_0175,-5.738
DEC_0178,-5.261
DEC_0182,-5.717
DEC_0184,-5.881
DEC_0186,-6.412
DEC_0189,-5.783
DEC_0190,-6.492
DEC_0192,-5.373
DEC_0193,-5.841
DEC_0195,-5.623
DEC_0196,-5.562
DEC_0197,-5.984
DEC_0200,-5.388
DEC_0201,-5.891
DEC_0202,-6.021
DEC_0203,-6.309
DEC_0205,-6.242
DEC_0207,-4.712
DEC_0214,-5.784
DEC_0217,-6.434
DEC_0222,-7.125
DEC_0224,-6.343
DEC_0225,-5.865
DEC_0229,-5.755
DEC_0242,-6.115
DEC_0243,-5.757
DEC_0247,-5.237
DEC_0251,-4.152
DEC_0252,-3.932
DEC_0254,-6.211
DEC_0256,-8.16
DEC_0258,-8.263
DEC_0260,-8.419
DEC_0261,-7.197
DEC_0262,-7.283
DEC_0263,-7.237
DEC_0264,-6.104
DEC_0265,-7.177
DEC_0266,-7.161
DEC_0268,-7.592
DEC_0269,-8.391
DEC_0270,-91.469
DEC_0271,-8.279
DEC_0272,-6.978
DEC_0273,-7.599
DEC_0274,-7.517
DEC_0275,-6.147
DEC_0277,-6.908
DEC_0278,-7.666
DEC_0279,-7.771
DEC_0280,-6.072
DEC_0281,-7.897
DEC_0282,-7.737
DEC_0283,-7.451
DEC_0284,-7.272
DEC_0286,-7.756
DEC_0287,-6.121
DEC_0288,-82.135
DEC_0289,-8.522
DEC_0290,-6.207
DEC_0291,-7.411
DEC_0295,-7.426
DEC_0296,-8.63
DEC_0297,-6.254
DEC_0298,-7.985
DEC_0299,-7.327
DEC_0300,-7.416
DEC_0301,-7.041
DEC_0302,-5.961
DEC_0303,-6.961
DEC_0304,-7.079
DEC_0306,-6.54
DEC_0308,-6.635
DEC_0310,-7.71
DEC_0311,-7.153
DEC_0312,-7.235
DEC_0313,-6.113
DEC_0318,-8.361
DEC_0323,-8.312
DEC_0325,-7.201
DEC_0326,-7.755
DEC_0327,-7.836
DEC_0329,-7.68
DEC_0332,-8.155
DEC_0333,-6.471
DEC_0334,-7.284
DEC_0335,-7.884
DEC_0336,-6.309
DEC_0338,-6.351
DEC_0340,-7.398
DEC_0341,-7.711
DEC_0342,-7.674
DEC_0343,-6.963
DEC_0344,-7.205
DEC_0347,-7.081
DEC_0350,-8.546
DEC_0351,-6.866
DEC_0352,-6.969
DEC_0353,-6.246
DEC_0355,-8.015
DEC_0356,-5.912
DEC_0358,-5.883
DEC_0359,-7.707
DEC_0361,-6.196
DEC_0365,-7.173
DEC_0366,-6.285
DEC_0367,-7.314
DEC_0369,-7.132
DEC_0370,-5.562
DEC_0371,-7.348
DEC_0372,-6.876
DEC_0376,-6.549
DEC_0377,-7.328
DEC_0378,-7.608
DEC_0379,-7.784
DEC_0380,-6.968
DEC_0383,-6.912
DEC_0384,-6.791
DEC_0385,-7.178
DEC_0386,-6.39
DEC_0389,-8.775
DEC_0390,-7.879
DEC_0391,-7.019
DEC_0392,-8.552
DEC_0393,-6.59
DEC_0394,-7.918
DEC_0395,-7.774
DEC_0396,-7.647
DEC_0398,-6.563
DEC_0399,-7.781
DEC_0401,-8.073
DEC_0403,-7.037
DEC_0404,-7.863
DEC_0405,-7.67
DEC_0407,-6.964
DEC_0415,-8.228
DEC_0418,-8.219
DEC_0422,-7.665
DEC_0424,-5.619
DEC_0425,-7.243
DEC_0426,-7.126
DEC_0427,-4.938
DEC_0428,-7.605
DEC_0429,-7.57
DEC_0431,-5.68
DEC_0433,-7.974
DEC_0434,-7.874
DEC_0436,-7.73
DEC_0438,-7.826
DEC_0439,-6.529
DEC_0441,-7.769
DEC_0444,-7.078
DEC_0445,-7.843
DEC_0446,-6.408
DEC_0447,-7.037
DEC_0450,-6.614
DEC_0451,-7.088
DEC_0452,-6.369
DEC_0456,-8.083
DEC_0457,-7.629
DEC_0482,-6.61
DEC_0483,-6.208
DEC_0486,-6.677
DEC_0487,-7.572
DEC_0489,-6.735
DEC_0490,-5.604
DEC_0493,-6.512
DEC_0494,-75.331
DEC_0496,-7.353
DEC_0497,-7.002
DEC_0498,-7.836
DEC_0500,-6.629
DEC_0501,-6.643
DEC_0502,-6.743
DEC_0503,-7.438
DEC_0504,-7.669
DEC_0505,-7.083
DEC_0506,-6.709
DEC_0509,-6.95
DEC_0510,-7.05
DEC_0512,-5.482
DEC_0513,-7.146
DEC_0514,-7.258
DEC_0515,-6.739
DEC_0516,-7.306
DEC_0517,-7.102
DEC_0518,-6.651
DEC_0519,-6.443
DEC_0520,-6.61
DEC_0521,-6.517
DEC_0523,-3.594
DEC_0524,-3.665
DEC_0525,-3.891
DEC_0526,-3.886
DEC_0529,-6.784
DEC_0530,-8.494
DEC_0531,-7.565
DEC_0533,-7.807
DEC_0534,-5.411
DEC_0535,-6.233
DEC_0536,-6.501
DEC_0537,-7.58
DEC_0538,-6.728
DEC_0539,-7.767
DEC_0541,-6.269
DEC_0544,-7.133
DEC_0545,-6.91
DEC_0547,-6.762
DEC_0548,-8.083
DEC_0550,-8.944
DEC_0551,-8.233
DEC_0552,-6.21
DEC_0553,-7.742
DEC_0557,-4.448
DEC_0558,-7.378
DEC_0562,-6.792
DEC_0566,-6.238
DEC_0567,-7.863
DEC_0569,-7.271
DEC_0571,-6.468
DEC_0573,-5.751
DEC_0574,-8.117
DEC_0575,-7.613
DEC_0576,-7.303
DEC_0578,-7.253
DEC_0579,-7.145
DEC_0580,-9.915
DEC_0581,-7.684
DEC_0582,-9.439
DEC_0583,-8.871
DEC_0584,-7.491
DEC_0585,-8.737
DEC_0586,-7.225
DEC_0588,-8.753
DEC_0589,-7.065
DEC_0590,-10.002
DEC_0591,-9.403
DEC_0592,-5.982
DEC_0594,-8.778
DEC_0595,-9.627
DEC_0659,-6.924
DEC_0662,-7.794
DEC_0666,-8.438
DEC_0667,-7.675
DEC_0669,-8.692
DEC_0670,-7.687
DEC_0671,-6.917
DEC_0676,-8.449
DEC_0677,-8.34
DEC_0678,-7.312
DEC_0679,-7.16
DEC_0681,-143.341
DEC_0682,-7.087
DEC_0684,-6.676
DEC_0685,-6.569
DEC_0686,-7.231
DEC_0687,-7.586
DEC_0688,-6.74
DEC_0689,-7.762
DEC_0691,-7.666
DEC_0734,-8.5
DEC_0735,-8.262
DEC_0736,-8.467
DEC_0737,-8.692
DEC_0739,-6.765
DEC_0740,-7.362
DEC_0741,-7.916
DEC_0742,-7.47
DEC_0743,-8.218
DEC_0749,-7.849
DEC_0750,-7.395
DEC_0751,-6.794
DEC_0752,-6.952
DEC_0753,-7.553
DEC_0754,-9.177
DEC_0755,-6.608
DEC_0756,-8.636
DEC_0758,-7.83
DEC_0759,-8.777
DEC_0760,-9.223
DEC_0834,-6.603
DEC_0841,-7.253
